# FILE DATA
ID : MDRW2100017218
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 지금 직장인이신가요??
P0 	: 손님들이 많이 오는 편은 아니고 드문드문 오는데 약간 비밀 아지트처럼ㅋㅋㅋ 지인들끼리 소문나서 오는데 있잖아요
P0 	: 그런데였는데
P0 	: 막 스테이크랑 파스타 시켜서 먹고 집갈때 피자 포장해가고ㅋㅋㅋㅋ
P0 	: 알바하면서 돈은 돈대로 엄청 썼어요
P1 	: 우와,,!!! 매일 맛집에서 밥먹는거네요 좋았을거같아요!!
P1 	: 손님많이오는 가게면 알바생입장에서 일하기는 힘들잖아오 ㅋㅋㅋ
P1 	: 저는 알바해서 번돈은 저축 하려하기보다
P1 	: 열심히 쓰려고했어요 주변에서 직장잡으면 그거 다 푼돈이라고 얘기해줘서
P1 	: 저축보다 경험할수있는거 최대한 많이 해보려구 했네여,,
P0 	: 우와 멋져요 저는 그냥 모을생각만 했어요
P0 	: 아 저는 용돈을 안받았었거든요
P0 	: &name2&님은 용돈 받으셨었나요?
P1 	: 장단점이 있는거같아요
P1 	: 저는 새내기때 받고 그 이후로는 안받다가
P1 	: 취준생일때 받았어요 ! 
P1 	: 다커서 용돈받으니 더 죄송한 느낌...
P0 	: 어차피 나중에 더 많이 드리게 될텐데요~ 저는 제 용돈하고 적금내고 부모님 용돈 드리고 했었어요 뭐가 맞는지는 아직도 모르겠지만 &name2&님 말씀처럼 나중에 그 돈은 푼돈이라는 말이 갑자기 확 와닿네요
P0 	: 누군가 저에게 그런점을 물어보면 말해주고 싶어요
P1 	: 알바해서 용돈하고 적금넣고 부모님 용돈까지 대단하세요...! 경제관념도 더 뚜렷하실거고 여러가지로 성숙하신 분인거 같아요 ㅎㅎ
P1 	: 지금 휴식기에 푹 쉬시고 새로 일 시작하시면 그때는 &name1&님만을 위한 소비도 하면서 삶을 즐겨보자구요~~
P0 	: 꼭 그런건 아니지만 그렇게 말씀해주셔서 감사합니다 ㅎㅎ
