# FILE DATA
ID : MDRW2100021937
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅇㅏ복잡해
P0 	: 일부 전사들이 탈출해서 정착한 지역이 구 몬드
P0 	: ㅇㅇ 그거야
P1 	: ㅇㅎ
P0 	: 츄츄서리왕도
P0 	: 그냥 츄츄서리왕이 있고
P1 	: 와 나 좋다고 그 못 위에서 스샷 찍었는데
P0 	: 멸망한 고대문명에서 왕족이 기르던? 심복?이 변한 츄츄 서리왕이 있음
P0 	: 후자는 서브타이틀에 우쿠라는 이름이 뜸
P1 	: ??
P1 	: 보긴 했는데
