# FILE DATA
ID : SDRW2100001344
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211115
topic : 지역 내 기피시설 설치 > 기피시설 설치시 지역주민들의 불편과 이익, 정부의 소통문제

# SPEAKER_INFO
id : SD2100747
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

id : SD2110748
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 서울
current_residence : 서울
education : 대졸

# SETTING
relation  :  모임_동아리 지인


P1 	:저는 / 어. /
	 빗물 ((저장탱크라던가)) 아니면은 그리고 저희는 / 쫌 건물을 뭐 / 폐 거 뭐 / 뭐 처리하는 이런 시설이 있는데 / 그런 시설에 이미 있음에도 불구하고 / 또 열병합 에너지가 들어온다는 거는 / 너무 희생을 많이 하는 거 같애요 저희 지역 주민들이 /
	
P0 	:그 에너지 관련 / 시설들이 / 근처에 있으면 있을수록 / 더 효과적이기 때문에 / 비용 측면이나 경제적으로 효과적이기 때문에 / 그 서울을 위해서는 이 지역에 꼭 / 필요하지 않을까요? /
	
P1 	:근데 그렇게 꼭 필요한 지역이라면 / 저 지금 짓겠다는 곳이 서울의 외곽 쪽인데. /
	 꼭 필요한 시설이라면 외곽이 아니라 중심부에 지어도 상관없는 거잖아요 / 근데 그거를 꼭 / 저희 지역의 주민들이 저희 구에 지역 / 주민들이 다른 구에 사는 심 시민들의 거까지의 / 열병합 에너지를 만든다고 / 저희 지역 주민들이 희생을 하게 되는 건데. /
	 그게 정말 / 옳은 거라면은 저는 만드는 / 그걸 설치하는 지역은 서울 중심부((여도)) 상관없다니 하거든요. /
	
P0 	:경제 지리학적으로 서울 중심부는 이미 / 비용이 너무 높기 때문에 / 약간 / 쪼꼼 더 / 이 / 환경을 위한 시설을 보강을 할라면은 / 부동산 가격 때문이라도 서울 외곽 / 쪽으로 나가게 된 것 같습니다. /
	 그 / 음. /
	 그 / 지금 이미 있는 시설도 잘 운영되고 있는 거를 / 충분히 보셨기 때문에 / 새로운 시설이 들어와도 / 이 시설도 잘 운영되지 않을까요? /
	
P1 	:그런데 / 그럼 그 지역의 주민들에 대한 / 건강은 누가 책임져 줄까요 그 / 거기 바로 앞에 위치한 아파트에만 해도 정말 수십 채이고 / 어. /
	 그 지역 주민들은 그 열병합 에너지에서 나오는 안 좋은 것들을 / 고스란히 다 받고 있는 건데. /
	 지역 주민들에 대한 희생이 너무 큰 거 같애요. /
	 건강이 너무 안노 안 나빠질 거라는게 / 연구 결과에서 뚜렷하게 보여주고 있는데. /
	 그거를 뭐 집값 문제다. /
	 뭐 다 해서 그냥 외곽 지역에 있는 사람들이 희생하는 걸로 /(note : 발화겹침) 치부한다면은 말이 안 되는 문제 아닌가요? /
	
P0 	:기술 발전으로 인해서 / 크 건강에는 크게 영향을 미치지 않을 것으로 / 그다 연구 결 판 아이아 / 이 판단이 되었기 때문에 / 서울 지역에 설치를 해도 괜찮지 않을까요? /
	
P1 	:아니요 열병합 에너지 쎈터는 이미 / 어 주민들에게 정말 건강이 안 좋다고 / 계속 입 모아서 / 뭐 연구든 어디 뭐 / 방송에서든 얘기를 하고 있고 / 하지만 저는 이거는 그냥 서울시에서 눈 감고 그냥 / 시간이 지나길 그냥 기다리고 있는 거 같아요 설치되게까지는 / 주민들의 얘기는 전혀 들어 주지 않고 / 저는 이 환경 오염 문제가 / 해결되지 않는다면 / 이런 지역 내 기피 시설을 설치할 수 없다고 생각해요. /
	
P0 	:올 여름 같은 경우에는 / 전력 문제가 없었지만 / 예전에 한 십팔 년도 그때쯤만 해도 / 전 여름철에 갑자기 다 / 전기 중단되고 그랬었잖아요? /
	 그래서 이 불편함이 누적되다 보면은 / 지역 주민들도 동의하게 되지 않을까요? /
	
P1 	:아니요 저는 / 음 그런 것과는 그것보다는 / 건강이 더 중요한 이쓔이기 때문에 / 쉽게 동의하지 않는 거라 생각하고 / 그리고 또 한 가지 쟁점으로는 / 그 / 열병합 에너지 인근의 아파트들은 모두 집값이 오르지 않을 텐데. /
	 그 부분에 대해서는 / 저희로써는 굉장히 / 불리한 어드밴티지가 있는 거인 있는 거잖아요? /
	 그래서 저는 더욱더 / 설치하면 안 된다고 생각합니다. /
	
P0 	:열병합 에너지 쎈터 이 외에 / 주민을 위한 시설을 더 / 보강할 예정인데. /
	 그 정도면은 또 괜찮지 않을까요? /
	
P1 	:그 보강을 하는 게 정말 확실하게 진행을 하는 것인지 / 그게 일단 가장 중요한 거 같고 / 그게 주민들과 충분한 대화가 이루어지는 이후에 / 그런 대안을 내놓는 건지가 / 가장 중요한 거 같은데 / 일단 주민들과는 소통이 저는 되지 않고 있거든요. /
	 그래서 저는 과연 주민들과 제대로 소통해서 / 대안을 이끌어 낼지가 의문입니다. /
	
P0 	:아 모든 일에 소통이 정말 중요하죠. /
	 그렇다면은 그런 / 음 님비 시설을 설치하기 위해서 / 그럼 보상 작업을 먼저 한 이후에는 또 괜찮지 않을까요? /
	
P1 	:그런데 그 보상에 대해서도 굉장히 / 어 생각하는 보상을 해줄려는 입장과 받는 입장이 / 굉장히 생각하는 부분에서 차이가 있을 거라고 저는 생각을 해요. /
	 저희로써 / 그까 그 지역에 사는 사람으로써는 / 정말 많은 금액을 요구할 것이고 / 어 지역 내에서는 / 적은 금액으로 많은 사람한테 보상을 해줄려고 할텐데. /
	 금액 보상을 한다는 거는 의견이 더 쫍혀 / 주지 않을까 이렇게 생각을 하고 있습니다. /
	
P0 	:그 으 환경적인 / 이쓔가 없는 / 지역 기피 시설 같은 경우 / 뭐 예를 들어 장애인 학교라든지 아니면 / 재소자 쎈터라든지 그런 것들은 / 우리 / 사회 교화와 사회 발전을 위해서 / 우리 지역에 들어와 / 오는 것에 찬성하는데. /
	 혹시 이에 대해서 어떻게 생각하시는지? /
	
P1 	:저는 어 / 어느 정도 복지 시설이 / 지역 내에 있어야 된다는 건 찬성하지만 / 음 그 지역 주민들한테 / 충분한 동의를 얻고 들어온 건지가 / 항상 의문이거든요 항상 주민들의 동의가 없이 그냥 / 밀어붙인 형식으로 일단 설치하고 보는 걸 많이 봐서 / 저는 주민들과 충분한 소통이 이뤄져야 된다고 봐요 그리고 / ((재소자)) / 것들이 다시 이르케 / 뭔가 하는 설치 쎈터를 만든다는 거는 / 그 지역에 쪼끔 위화감이 생기지 않을까요? /
	 저는 위화감을 조성하는 쎈터는 반대를 하고 있습니다. /
	
P0 	:우리 사회가 더불어 살아가기 위해서는 꼭 필요한 / 쎈터인데. /
	 그 쎈터를 믿고 / 맡겨 주시면은 괜찮지 않을까요? /
	
P1 	:저는 정말 그럼 쎈터야말로 / 집값 하락을 부르는 / 어 원인이라고 생각을 하고 / 저는 그 주변에 대한 / 뭐 치안이 더 강화되고 / 어 주민들이 모두 다 동의 한 명도 빠짐없이 동의를 하고 / 어 양보를 한 상태에서 들어 오는 거면 모르겠지만 / 정말 제대로 치안을 강화하고 / 어 돌볼지가 의문이거든요? /
	 그래서 저는 그런 쎈터는 정말 / 사람들이 없는 그런 쪽에 설치해야 된다고 생각합니다. /
	
P0 	:그래도 더불어 살아가기 위한 시설인데. /
	 도심지에 -있- -있- 있어야 오히려 / 더 보는 눈이 많아서 / 사회 인식도 바뀔 수 있는 가능성이 / 높아져서 좋지 않을까요? /
	
P1 	:저는 일단 재소자들에 대해서 일단 / 어. /
	 과연 이 사람들이 교화가 됐을까? /
	 될까라는 거에 대해서 굉장히 의문을 갖고 있습니다. /
	 실제로 / 뭐 성폭력에 관해서 / 범행을 저지르고 / 교도소에서 출소한 지 얼마 안 돼서 다시 / 재범을 하는 경우가 굉장히 많잖아요? /
	 근데 그런 사람한테 교화 시설에 / 그 를 / 권유하고 / 그런 시설 쎈터가 저희 지역에 있다고 생각을 하면은 / 저는 정말 그 시설 쎈터 근처에는 살고 싶지도 않고 / 가고 싶지도 않은 거 같거든요. /
	 그래서 / 과연 이게 모두를 위해서 옳은 길인가 싶은 생각을 하고 있습니다. /
	
P0 	:오히려 교화 쎈터가 곳곳에 많이 생겨야 / 사람들이 / 그 / 경각심을 갖고 / 범죄를 저지르지 않는다든지 왜냐면 교화 쎈터가 꼭 / 진짜 재소자들만 교육하는 것뿐만 아니라 / 다른 효과들도 있잖아요? /
	 그래서 음 / 더 많이 생겨야 우리 사회가 더 건강해지는 거 아닐까요? /
	 그 오히려 더 많이 생긴다면은? /
	 그런 부동산 가격 하락이라든지 / 치안 문제도 쪼끔 더 / 보완될 수가 있구요. /
	
P1 	:음 전에 그 보완에 있어서 가장 중요한 거는 계속 얘기했듯이 / 주민과의 소통 대화라고 생각을 하는데. /
	 항상 지역에서 주민과의 소통과 대화를 / 적극적으로 하겠다거라고 얘기를 하고 있지만 / 저는 정말 주민들의 얘기를 귀 기울여 듣나? /
	 그리고? /
	 과연 그들이 내놓은 대안이 제대로 이루어지나 / 싶은 거기에 큰 의구심을 / 안고 있거든요. /
	 그래서 저는 정말 이들이 / 이후에 어떤한 대안을 제대로 수행하고 / 이 수행한 걸 제대로 / 뭐 보고를 하고 이런 게 아니라 하면은 저는 그 / 절대 찬성하지 않습니다. /
	
P0 	:사업이 이루어 질 때는 / 사업 계획과 사업 중간 보고 / 그 결과 보고도 꾸준히 이어지고 있는데 / 이를 믿고 / 어 ((쪼)) / 어 / 이런 기피 시설들이 생기는 거에 / 찬성을 해 줘도 괜찮지 않을까요? /
	 이게 결국에 우리 사회를 위한 / 그 시설들이니깐요? /
	
P1 	:근데 우리나라에서 하는 고무적인 일을 보면은 항상 / 뭔가 어떠한 대안을 내고 그 대안을 실천하겠습니다. /
	 이러한 얘기는 굉장히 많이 하고 있는데. /
	 뭐 재발 방지를 위해 노력하겠습니다. /
	 라는 말을 많이 하는데. /
	 항상 그게 제대로 된 적이 있나요? /
	
P0 	:그 / 비율로 따져봤을 때는 / 다 잘 이루어지고 있지만 / 어 무조건 다 잘 이루어진다고 할 수는 없지만 / 그래도 / 꽤 괜찮은 성과를 내고 있거든요. /
	 하지만 한두 건에 / 발생하는 문제들로 / 이런 것들을 아예 지원을 안 해 준다거나 / 우리 지역에는 설치할 수 없다고 하는 거는 / 어 우리 사회를 위해서 쫌 / 사회 발전을 위해서는 쪼꼼 / 음 지향을 해야 될 것 같습니다. /
	
P1 	:저는 사회를 위해서 필요하다곤 하지만 / 어 그 지역 주민들이 희생하고 / 어 하는 것은 어떻게 / 보상이 될 것인지 그게 가장 중요한 / 문제인거 같아요 아까 얘기했던 환경 오염에 대한 건 / 그거는 건강과 정말 직결되는 문제인데 어떻게 / 대안을 낼 것인지도 참 정말 / 어려운 문제잖아요? /
	 그런 대안들이 제대로 해결이 된다면냐 / 괜찮겠지만 / 저는 환경 오염 같은 이쓔들은 / 보완되기 쉽지 않다고 생각하거든요. /
	 그래서 뭐 집값 하락 같은 것도 / 보완이 잘 된다면은 / ((뭐)) 문제 없지 않을까 생각합니다. /
	
P0 	:그러면 환경 어 / 그런 보완 작업 같은 / 경우에는 경제적 문제와 환경적 이유 / 그거 이외엔 또 / 어떤 것들이 있을까요 환경을 위해서는 / 그 / 이 / 정화 작업이 필요로 / 아이 정화 작업을 보강하는 작업이 필요한 거 같고 / 경제적인 이유들은 / 그 다른 시설들을 그러니까 기피 시설 외에 / 주민을 위한 시설을 더 설치함으로써 / 보완할 수 있지 않을까요? /
	
P1 	:음. /
	 저는 주민을 위한 시설을 더 설치하고 / 환경적인 부분이 어떻게 보완이 될진 잘 모르겠어요. /
	 하지만 어 / 어쨌든 간에 모두의 복지를 위해서 필요한 거라면은 / 설치는 돼야 하겠지만 하지만 / 문제가 되는 부분들이 다 보완이 된다는 그런 / 조건하에서 가능하다는 거지. /
	 지금처럼 / ((뭐)) 대안이 하나도 나오지 않은 상태에서 무작정 / 설치해야 합니다 모두를 위해서 설치해야 합니다 필요합니다라고 밀어붙이는 거는 / 아니라고 생각합니다. /
	
P0 	:그렇다면은 이 기피 시설을 위해 / 주민들과의 충분한 대화가 필요하고 / 그런 보상적인 문제가 꼭 / 실천적으로도 이루어져야 하겠습니다. /
	
P1 	:네 주민들과 제대로 소통이 이루어지고 / 그에 따른 환경적인 부분이나 / 집값 하락 하락에 대한 부분이 / 대안이 제대로 나온다면 / 어 설치되는데 문제 없지 않을까 이렇게 생각하게 합니다. /
