# FILE DATA
ID : SDRW2100001984
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211101
topic : 비대면 생활이 미치는 영향 > 반대 : 비대면의 부담과 힘듦

# SPEAKER_INFO
id : SD2101807
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 경기
principal_residence : 충남
current_residence : 경기
education : 대졸

id : SD2101808
age : 40대
occupation : 무직/취업준비생
sex : 남성
birthplace : 경기
principal_residence : 서울
current_residence : 경기
education : 대졸

# SETTING
relation  :  모임_동아리 지인


P0 	:요즘 보면 코로나 때문에 / 비대면 일상이 생활화 됐는데 / 어~ 사람들마다 생각이 다른 거 같더라고요. /
P0 	:음 생산성이 재택을 하는 경우 별로 / 높지 않다 이거군요 근데 / 그게 이제 완전 자료가 나와야 되겠지만은 저는 / 생산성이 쪼끔 떨어지더라도 / 어 그런 이제 재택근무를 쫌 해야 된다고 생각하는 입장인 게 / 재택근무를 함으로 인해서 새로운 / 어떤 경영 방 / 방향이라든가 신 사업에 대한 구상 / 이런 것들이 가능하다고 봐요 예를 들어서 / 메타뻐쓰라든가 뭐 아 요즘에 뭐 / 많이 나오는 아이티라든가 이런 것들을 꼭 집에 있어 가지고 / 되는 게 아니고 아 / 밖에 재택을 안 하고 이제 출근을 해서 되는 게 아니고 / 집에서 생활을 하면서 몸소 체험하고 느끼고 하는 거가 / 사업적으로 연결이 될 수도 있거든요. /
	 그래서 재택이 사회 현상으로 받아들여야 되지 않나? 이렇게 생각합니다. /
	
P1 	:물론 그럼 일부 직종에서는 필요할 수 있는데 / 근데 전반적으로 인한 우리 산업 전반을 봤을 때는 / 대면적으로 해야 되는 그룹 분야도 많고 / 지금까지 그렇게 해 왔고 또 이제 / 어~ / 산업 그 일 특성 상 그런 / 분야에서는 앞으로도 계속 그런 쪽으로 / 계속 해야지 물론 지금은 코로나 / 특후나 상황이다 보니깐 어쩔 수 없는 부분 / 잠시 그러고는 있지만 다시 예전으로 돌아가야 하지 않을까? /
	
P0 	:코로나 자체가 아직 없어지지가 않았고 / 코로나 뒤에 또 다른 뭐 전염병이라는 게 / 생길 수가 있기 때문에 / 비대면 그리고 어떤 재택근무 / 이런 것들이 일상적으로 정착이 돼 되지 않으면은 / 다음 위기 때 또 비슷한 상황을 겪을 거 같고 / 그러기 그런 거를 바꾸기 위해서는 / 어떤 비대면 생활이 필수적으로 / 정착돼야 되지 않나? 저는 그렇게 봅 /
	
P1 	:나도 비대면이 어느 정도는 필요하다고 / 하다고 생각하는데 그렇다고 / 필수까지는 아니고 이제 / 그 각 업종이나 그 고용주에게 이제 선택을 맡겨서 이제 / 쫌 / ((해야 하는)) 부분이 / 쫌 있어야 되지 않을까? 그렇게 생각하고 있어. /
	
P0 	:선택을 해서 맡기자고 하면은 사람들이 / 고용주 입장에서는 대부분 재택근무를 꺼려 하겠죠 속으로도. /
	 그러니까는 나오라고 할 것이고 / 그래서 안 되기 때문에 쫌 / 강제적으로 사회적인 문화를 조성을 하는 게 / 필요할 것이고 비대면이 정착이 / 되어야만 앞으로 / 제 이의 코로나 제 삼의 코로나가 발생했을 때도 / 능동적으로 대처할 수 있고 / 어떤 바뀐 사회상에 대해서 이제는 받아들이고 / 앞으로 나가야 될 때가 아닌가? 저는 그렇게 생각합니다. /
	
P1 	:근데 곧 인제 위드 코로나 시대가 되면서 다시 이제 / 재택에서 인제 / 그 회사 인제 다시 예전처럼 이제 많이 / 기업들이 돌아갈 텐데 이제 / 그러려면 인제 그거 기업들이 인제 / 뭔가 인식을 많이 바꿔야 되는데 아직까지는 / 우리 산업 전반에 대해서는 그렇게 생각하지 않는 거 같애. /
	
P0 	:음 그렇군요 어떤 / 제조업이나 이런 분야에서는 그런 경향이 쫌 많이 있을 / 거 같긴 해요 공장 자체가 돌아가야 되니까 근데 / 어 그런 사람들까지도 / 저는 이제 나중에 비대면은 / 쫌 제한적으로라도 진행을 해야 되는 게 / 맞지 않나? 이런 생각을 /(note : 발화겹침) 해요. /
	
P1 	:물론 산업도 산업이지만 이제 교육 같은 분야에서도 / 이제 / 비대면이 / 보다는 대면이 더 / 인간관계라던가 이런 / 사교성 이런 측면에서 더 / 필요하다고 생각해. /
	
P0 	:친구들을 사귀고 이러는 것들은 / 뭐 전화를 하거나 카카오톡을 하거나 이런 걸로 / 충분히 할 수가 있다고 저는 보고 / 학교 수업은 / 물론 마찬가지로 선생님 직접 전달을 하는 것은 / 그게 녹화가 되는 게 아니기 때문에 다시 볼 수가 없잖아요 근데 / 어떤 사이버 강의 온라인 강의로 되면은 / 그 학생들이 다시 또 수업을 들을 수가 있고 집에서 / 학교로 오가는 시간을 아낄 수 있기 때문에 / 어~ 애들은 육아하는 엄마나 / 부모 입장에서도 효율적이고 / 애한테 학습이 안 된 부분을 다시 시킬 수 있기 때문에 / 더 효율적이라고 생각을 해요. /
	
P1 	:근데 이런 비대면 수업보다는 / 그래도 현장 수업이 더 / 어~ 교육 / 그 효율적인 측면이랄까 그런 / 부분이 더 / 높은 거 같애 특히 인터넷 강의 이런 거 / 계속 하는 거보다는 현장에서 직접 가 가지고 / 대면으로 하는 게 / 어 교육적인 그 측면에서 더 / 효율이 높은 거 같애. /
	
P0 	:저는 좀 이견이 있는데 / 어~ 현장에서 수업을 하면은 우리 어릴 때 클 때도 생각해보면 / 선생님들이 쫌 쓸데없는 말씀을 좀 많이 하셨 / 던 거 같애요 한 시간의 수업 중에서 / 최소 한 십 분에서 십오 분은 / 수업하고 상관이 없는 얘기들을 하셨던 거 같고 / 학생들도 선생님이 집중해서 / 이렇게 가르치는 동안에 / 정작 학생은 / 잠을 잔다거나 집중을 하지 못한다거나 / 그렇게 시간 때우기 식으로 많이 / 시간을 보낸 거 같고 그러기 때문에 차라리 / 그 목표 설정이 확실한 온라인 강의로 하면은 / 학생들이 어느 정도 성취도를 보내 보이고 있는지를 알 수 있으니까 / 그게 더 좋지 않을까요? /
	
P1 	:근데 그게 그럼 / 문제점들은 대면 수업을 해야 또 어느 정도 / 그 학생관리라든가 / 이런 대인 관계의 측면이라든가 / 이런 교육적인 그 컨트롤 그 / 그~ / 교사라든가 선생님들이 이제 / 학생들이랑 그 이제 관리 / 해야 되니까 그거 온라인으로 하는 거는 / 비대면 하는 건 어느 정도 한계가 있기 때문에 / 직접 그거 / 어 현장에서 하는 게 더 / 효과적일 거 같애. /
	
P0 	:그까 인터넷 강의라는 게 공무원 시험이라든가 이런 / 데에서는 이미 정착이 돼 있잖아요. /
	 근데 문제는 이제 학교에서까지도 그거를 가능 / 한 거냐? 이런 부분인데 / 어 저는 부모의 관리감독이 / 잘되는 전제가 있다면은 아이들이 / 학교를 재택으로 해도 / 충분히 가능하지 않은가라는 생각을 하고 / 그 학생 수가 이제 자꾸 줄어드는 마당에 / 선생님들을 함부로 자를 수가 없잖아요. /
	 그까 결국에는 비대면 수업이 되면은 선생님 수도 줄일 수 있기 때문에 / 어떤 국가의 그 세금 뭐 절세라든가 이런 / 측면도 있다고 보고 있어요. /
	
P1 	:물론 낙후지역에나 몸이 불편하거나 / 그런 사람들에게는 물론 비대면 수업이 / 수업이 오히려 더 효과적일 수 있는데 / 근데 대부분의 이런 보통의 학생들이나 그런 사 / 들에게는 그런 비대면보다는 대면이 오히려 / 더 / 교육적인 측면이랑 그 학습 / 능률 / 측면에서 / 더 좋은 거 같애. /
	
P0 	:음 어릴 때부터도 생각해 보면 / 한 번씩 학교 정말 정말 가기 싫을 때가 있었거든요. /
	 그럴 때는 수업을 그냥 / 선생님이 여기 와서 해 줬으면 좋겠다 이런 생각들도 했어요. /
	 근데 그게 현실이 된 사회고 / 그게 사이버 강의로 이제 가능해졌잖아요 근데 / 애들이 그 수업을 잘 따라가느냐 / 못 따라가느냐는 온전하게 부모가 / 그 보호를 해주고 관리를 해주는 역할인 거 같고 / 학교가 예전처럼 / 부모의 역할까지 대신해 주는 거는 / 이제는 좀 지난 게 아닌가? /
	 시대가 바뀌'었기 때문에 / 뭐 그런 생각을 어떻게 생각하세요? 저는 그렇게 보는데 /
	
P1 	:그래도 아직까지는 교육적인 측면에서 봤을 때 / ((혼자)) 하는 것도 물론 중요하지만 누군가가 그래도 / 컨트롤하고 관리해 주는 그 / 런 어 학습적인 측면 뿐만 아니라 / 그 생활적인 면에서도 / 부모의 역할을 / 그 상상이나 그런 / 지도하는 / 분들이 대신해주고 그래야 될 것 같애. /
	
P0 	:뭐 이런 얘기도 있더라고요 온라인 / 그 인강이라고 하죠 학생들 중 고등학생들 / 인강이 발달되면서 / 그 소득이 낮은 것과 / 그 잘 사는 동네와의 / 학습 격차가 많이 줄었다라고 / 하더라고요. /
	 그래서 / 뭐 생각을 해 보면은 여러 가지 차원이 있긴 한데 / 비대면은 반대를 해야 될 것 같애요. /
	 비대면은 그 얘기를 들어보니까 / 음 효율적인 것만 너무 찾다가 어떤 /(note : 발화겹침) 어던 근본을 잃어버리지 않을까? 이런 생각이 듭니다. /
	
P1 	:물론 나도 전면적인 / 대면 그 생활을 나도 그렇게 / 찬성하는 거 아니고 이제 절충적으로 비대면도 물론 / 꼭 필요한 부분에서는 도입을 하되 / 이제 / 대면 / 그 생활을 하는 게 / 어 여러 가지 측면에서 더 / 좋을 거 같애. /
	
P0 	:이야기를 들어 보니까 뭐 코로나 때문에 갑자기 이렇게 / 비대면이라는 게 생긴 건데 / 코로나가 많이 잠잠해지면은 원래 일상대로 / 돌아가서 사람이 사람을 만나고 / 어떤 일을 처리하는 게 / 가장 올바른 방식이 아닌가? 지금은 임시 / 책이었던 거 같습니다. /
	
P1 	:이제 곧 위드코로나니까 이제 다시 예전처럼 / 기업 뿐만 아니라 학교도 인제 / 매일 거의 등교하고 이제 / 그러다 보면 이제 어~ / 의견처럼 대면 상황을 하는 게 더 / 일상 생활으로 돌아가는 / 그 길인 거 같애. /
	
P0 	:사실 재택근무도 제가 / 얘기를 하면서 생각이쫌 쪼끔 들은 게 / 재택근무가 효율성이 완전하게 높지는 않거든요. /
	 감독을 누가 하지 않기 때문에 / 다른 짓을 할 수도 있고 / 어떻게 일을 명확하게 하고 있는지를 / 확인하기가 어렵기 때문에 기업 입장에서는 / 불안할 수밖에 없고 / 그러면은 예전처럼 돌아 가는 게 맞지 않나? 이렇게 생각해요. /
