# FILE DATA
ID : SDRW2100003144
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211002
topic : AI의 직업 대체 > 반대 : 안전성 과 완성도가 미흡해 도입되는것에 대해 반대

# SPEAKER_INFO
id : SD2103071
age : 10대
occupation : 무직/취업준비생
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
education : 고졸

id : SD2103072
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
education : 중졸

# SETTING
relation  :  연인


P1 	:어 우리는 지금 에이아이의 직업 대체에 / 대한 걸 주제로 / 찬성과 반대로 나눠서 토론을 하고 있잖아. /
P0 	:그 구글에선가? /
	 에이아이 자동차 그 만든 거 알아? 구글이 아닌가? /
	 그 자동차 있잖아. /
	 그 내가 학교 유튜브에서 봤거든? /
	 근데 그 / 그거 알 텐데 / 애기를 칠래 이거 / 할머니를 칠래 그 에이아이 자동차가 선택하는 거 / 그거 알아? /
	
P1 	:아니 모르겠어. /
	(note : 발화겹침) 그 에이아이 자동차 /
	
P0 	:응 /
	
P1 	:우리 / 그 / 사장님이 / 오늘 그 자동차 차 타고 오셨거든 /
	
P0 	:어 /
	
P1 	:나는 찬성하는 입장으로써 / 오늘 그 자동차를 봤는데 / 되게 진짜 편하더라고. 핸들도 안 잡고 / 그냥 알아서 속도 다 줄여주고 알아서 카메라 다 잡아주고 / 진짜 그냥 핸드폰 하시면서 / 송도까지 가셨어. /
	 그 정도면 솔직히 진짜 / 너무 편리한 거 아니야 솔직히 안전성도 어느 정도 보장된다고 생각해. 왜냐면 / 차가 안 흔들려. /
	 에이아이가 / 차에 탑재가 되어 있잖아. 그게 /
	
P0 	:하이브리드 차도 안 들려. /
	 그 뭐지? /
	 긍까 내 말은 그거야. /
	 기계들이 이성적인 판단을 할 수 있는지야. /
	 그게 위기 대처 상황을 잘 피해 갈 수 있냐고 말이야. /
	
P1 	:보통 / 기계는 감정이 없으니까 / 사람은 감정이 있잖아. /
	
P0 	:그치 /
	
P1 	:그러니까 솔직 이성적 판단은 / 기계가 훨씬 정확하지. /
	 오히려 또 내가 찬성하는 -입- 입장 근거 중에 하나도 / 물론 / 감정이 오고 가는 사회가 / 중요해. /
	 감정이라는 것도 중요하지만 / 가끔은 이성적인 판단을 / 해야 될 때가 더 많아. 솔직히 사회를 살아가면서 / 내가 아직 사회도 안 살아 봤지만 / 이성적 판단이 더 중요할 때가 많거든. /
	
P0 	:그치 근데 / 너가 로봇이 이성적인 판단을 더 잘 한댔잖아. /
	 그치 그럼 감성적인 걸 봤을 때는 인간이 더 잘한다 했잖아? /
	 그 만약에 에이아이가 됐어. /
	 근데 그게 오류가 나서 (()) / 으로 막 이제 / 좀 유치하지만 폭동을 일으켰다 쳐. /
	
P1 	:영화처럼 /
	
P0 	:긍까 사고 났다 그래. 그것 때문에 / 그럼 어떻게 처벌해줄 건데? 만약에 홀서빙으은 / 뭐 식 / 엎어 버렸어. /
	 만약에 / 그걸 뭐라 해야 되지? /
	
P1 	:그까 로봇이 사고를 치면 /
	
P0 	:응 /
	
P1 	:그 로봇은 로봇일 뿐이야. 로봇은 / 어차피 인간이 만든 / 기계 / 장치들로 움직이는 거기 때문에 / 인간이 / 제어할 수 있고 통제할 수 있잖아. 근데 그 /(note : 발화겹침) 영화 무슨 로봇 영화 하나를 봤는데 그거는 /
	
P0 	:아일랜드 /
	
P1 	:아니야 / 근데 그거는 인간 / 도 모르는 막 바이러스가 로봇에 침투해 가지고 막 폭동을 일으키는 / 영화였는데 / 내가 / 그 시대까지 생각 안 을 안 해봤어. /
	 어쨌든 지금 에이아이 대체 /(note : 발화겹침) 에 대해 찬성을 하냐 반대하냐잖아. /
	
P0 	:응 /
	
P1 	:나는 / 찬성하는 / 이유가 / 이 정도 있어. /
	
P0 	:찬성을 하면 그니까 너도 이제 / 에이아이가 / 추진되면 / 그 실업자들을 어떻게 했으면 좋겠어? /
	
P1 	:일단 / 그거는 피해갈 수 없는 문제라고 생각해. /
	 왜냐면 / 일자리는 정해져 있고 / 그걸 기계가 대체한다면 /(note : 발화겹침) 또 다른 일자리를 생산을 해내야 되잖아. /
	
P0 	:그치 /
	
P1 	:그게 쉬운 일은 아니지. 솔직히 /
	
P0 	:그럼 실업자들은 계속 가난해지고 부자인 사람은 부자인 / 지금 우리나라 사회가 그렇잖아. /
	
P1 	:그치 / 편리함을 추구하기 위해서 /
	
P0 	:였는데 / 더 사람들이 힘들어져. /
	 그럼 나는 그래서 / 어떤 정책이 상상을 했으니까 어떤 -방- 방안이 있을 거 아니야? /
	 그래 난 그걸 궁금해. /
	
P1 	:일단 / 에이아이가 보통 / 대체하는 /(note : 발화겹침) 종목들이 몇 개 있잖아. /
	
P0 	:그치 /
	
P1 	:모든 걸 에이아이가 대체할 수는 없어. 사람의 손길이 필요한 것도 있을 거란 말이야. /
	 그 쪽 부분을 더 /
	
P0 	:맞아 /
	
P1 	:확대해서 / 그쪽 / 의 사람을 더 많이 채용을 하거나 보통 / 어~ / 선생님 / 같은 경우 요즘 인강 같은 것도 되게 많고 / 이케 / 에이아이 / 많잖아. /
	 근데 선생님을 대체할 수는 없어. /
	 그런 것처럼 대체할 수 없는 / 종목들을 / 더 확대시키는 방안도 있을 것 같애. /
	
P0 	:너 말 뜻이 방금 선생님을 대체할 수 없대잖아. /
	 근데 지금 선생님이 없어질 직업 일위야. /
	 지금 코로나 때문에 / 그치 / 근데 이제 창의력 같은 건 이제 로봇이 못 하긴 하지. /
	 근데 거기로 많이 몰려 봐. /
	 아니면 기계 좀 올리고 창의적을 올려. /
	 그면 / 일자리 더 / 경쟁률 더 치열해질 거고 / 사회에 혼란이 오지 않을까? /
	
P1 	:그러게 / 어 / 하지만 / 인간이 / 계속 / 기계화 / 하고 있고 / 솔직히 / 우리도 모르는 사이에 너무 많이 익숙해져 있는 / 게 되게 많아. /
	
P0 	:그건 맞아. /
	
P1 	:어 아까 말한 마트 셀프 계산대나 /
	
P0 	:그거는 에이아이가 /(note : 발화겹침) 맞나? /
	
P1 	:아 근 에이아이는 아니지만 / 어 아니면 / 우리 지금 / 핸드폰 빅스비랑 / 시리도 /
	
P0 	:그치 /
	
P1 	:다 어느 순간 그냥 우리 / 생활에 젖어 들어 있는 상태고 /
	
P0 	:그래 / 그치 그리고 / 이거 뭐지? 로봇 청소기도 많이 사용하고 / 왜 많이 요즘 많이 뜨는 게 그거랑 / 뭐 들었어. /
	 전기 자동차 알아? /
	 그거 뭐냐? /
	 아까 너가 말했듯이 차장님이 타고 왔던 에이아이 자동차 / 요즘 많이 하는데 / 근데 아직은 / 발전이 안 돼서 적긴 해. /
	 데 이제 점점 가다가는 / 이제 / 그런 사태가 올 수도 있다 /
	
P1 	:그러고 보면 에이아이 자동차가 / 점점 / 확대되면 대리운전 기사도 / 없어지지 않을까? /
	
P0 	:그지 더 중요한 거는 이제 / 사고겠지. /
	 에이아이 / 만약 어쩔 수 없는 상황이 됐어. /
	 그 영상 한번 나중에 봤으면 좋겠어. /
	 유튜브 치면 나오거든? 에이아이 자동차가 선택을 하는 건데 / 하 아니 할머니나 애긴데 할머니를 친다고 나왔을 걸 아닌가? /
	 잘 기억이 안 나는데 / 그거 보면 에이아이가 (()) / 그 판단력이 딸리는 줄 알아. /
	
P1 	:너랑 얘기를 하면서 / 나는 에이아이가 대체되는 게 솔직히 우리 일상의 편리함과 / 그리고 이성적이나 아니면 / 간편함 / 에 되게 /
	
P0 	:응 /
	
P1 	:그리고 삶의 질을 높여준다고 생각을 했어. /
	 근데 너의 말을 들어보니까 많은 실업자들도 생각하고 그리고 / 에이아이가 무조건 옳은 판단만을 / 하지 않을 수도 있다고 생각이 드네. /
	
P0 	:그렇지 근데 / 아직은 긍까 / 너무 반대도 아니었고 아니고 그니까 아직은 / 반대가 맞다 그니까 찬성도 아니고 반대도 아닌데 반대가 쪼끔 / 아직 정책을 세우고 / 잘 세웠으면 좋겠어. 아직 /
	
P1 	:나도 너의 말을 듣고 생각이 많이 바뀌었어. /
	 하 음 조금 더 에이아이에 대한 정책을 세우고 / 그리고 / 조금 더 / 가치관 / 같은 것도 조금 더 성립을 / 하고 / 그런 다음에 / 발전을 시켜야 될 거 같애. /
	
P0 	:응 맞아. /
	 아 / 그래. /
	 너의 말이 맞어. /
	 에 우선 에이아이는 반대라고 생각해. /
	
P1 	:나도 에이아이 반대야. /
