# FILE DATA
ID : SDRW2100002105
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211120
topic : 먹거리 > 점심메뉴 고민과 전에 먹었던 음식

# SPEAKER_INFO
id : SD2101881
age : 20대
occupation : 학생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
education : 대재

id : SD2101882
age : 10대
occupation : 학생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
education : 대재

# SETTING
relation  :  형제/자매


P0 	:어 그러면 / 너 오늘 / 점심 뭐 먹고 싶어? /
P1 	:근데 / 막상 / 나는 술 마실 때 안주는 / 탕이나 이런 국물 있는 요리 쪽을 좋아해서 / 별로 잘 안 먹었던 거 같애 안주는 /
	
P0 	:나도 술 마실 때 / 평소에 / 국물 좋아하는데 보통 / 짬뽕 국물 /
	
P1 	:응. /
	
P0 	:해물 짬뽕 이런 거 좋아하고 / 약간 김치찌개도 좋아하는 거 같애. /
	
P1 	:음 / 나는 주로 어묵탕이나 / 이런 맑은 국을 쫌 선호해. /
	 왜냐면 / 술 마시면 속이 아프거든. /
	
P0 	:너는 그럼 술 마시고 / 난 후에 뭐 숙취가 있어? /
	
P1 	:숙취는 그렇게 없는데 / 막걸리 같은 술을 마시면 그때는 숙취가 좀 있어. /
	 그래서 그리고 나는 술 마시고 / 항상 아이스크림을 사 먹어. /
	 언니는 뭐 술 마시고 하는 거 있어? /
	
P0 	:나는 술 마시고 나는 / 보통 이온 음료를 마시거나 / 나도 아이스크림 자주 먹는 거 같애. /
	
P1 	:음 / 막 / 이런 숙취 해소제 이런 거는 안 먹어? /
	
P0 	:나는 / 그런 거 먹으면 잘 안 받는 거 같애 그거 먹으면은 그냥 /(note : 발화겹침) 어쨌든 토를 할 때도 있고 /
	
P1 	:응 / 나는 / 토는 안 하는 거 같애. /
	
P0 	:그러면 / 그럼 너 주량이 얼마야? /
	
P1 	:나는 맥주로 따졌을 때는 / 일 리터 정도 마시고 / 소주로 따졌을 때는 세 잔 밖에 못 마셔. /
	 언니는 주량이 어떻게 돼? /
	
P0 	:나는 / 내 주량을 알 정도로 마신 적이 없어서 / 가장 많이 마셨을 때가 / 아이셔 이슬 쏘주 / 한 병 / 마신 거야. /
	
P1 	:혼자서 한 병을 마신 거야? /
	
P0 	:친구랑 같이 / 총 각 한 병씩 / 해서 총 두 병을 마신 거지. /
	
P1 	:음 /
	
P0 	:그럼 너는 또 먹고 싶은 음식 없어? /
	
P1 	:나는 / 아 요즘에는 마라탕 밖에 크게 땡기는 게 없어서 / 애초에 나는 / 한식을 생각보다 그렇게 선호하지 않아서 / 난 일식이 좋아. /
	 초밥이나 회 이런 거 / 언니는? /
	
P0 	:나는 / 솔직히 다 좋아하는데 / 주로 한식을 더 많이 먹는 편이긴 해. /
	 그럼 너는 / 초밥 중에서 어떤 / 재료를 더 좋아해? /
	
P1 	:나는 초밥 중에선 / 광어랑 / 광어 지느러미도 맛있고 / 참치도 정말 맛있는 거 같애. /
	 약간 / 흰 생선을 좋아해. /
	 흰 생선 / 언니는 초밥 좋아해? /
	
P0 	:나는 생선은 별로 안 좋아하고 / 생선은 좀 비려 가지고 싫고 나는 주로 / 새우 초밥이나 / 고기 초밥 / 그나마 생선은 연어 초밥을 먹는 거 같애. /
	 너가 검 알고 있는 / 맛집 이런 거 있어? /
	
P1 	:두정동에 / 이걸 / 내 / 전 전 전 남친이 알려준 맛집인데 / 수정동에 스시 린이라고 / 가격대가 좀 있긴 한데. /
	 그만큼 / 맛이 좋아. 약간 / 생선이 되게 / 신선하고 / 비린내도 없고 / 그리고 거기는 / 초밥을 시키면은 우선 / 우동이랑 튀김이랑 / 뭐 이런 것들이 / 사이드 메뉴로 꽁짜로 크게 나와. /
	 언니는 알고 있는 맛집 있어? /
	
P0 	:나는 / 나도 초 나는 초밥은 / 상무초밥이 거 괜찮은 거 제일 괜찮은 거 같고 / 주로 전 내가 전주에서 사는데 / 주로 전주에는 / 어 육회비빔밥 더 자주 먹는 거 같애. /
	
P1 	:응 / 육회비빔밥 맛있지. /
	
P0 	:그럼 너 전주에 가면은 / 먹고 싶은 음식 있어? /
	
P1 	:나는 전주에 가면은 / 근데 딱히 전주라서 뭘 먹고 싶다 이거는 / 딱히 없는 거 같애. /
	 약간 / 진짜 일식이나 이런 좋아하는 것만 좋아하다 보니까 / 전주 하면 딱 비빔밥 이런 거 생각나잖아. /
	 나는 근데 한식을 그렇게 좋아하지 않아서 / 딱히 크게 막 끌리는 건 없는 거 같애. /
	 그냥 전주에 있는 맛집이면 좋은 거 같애. /
	
P0 	:그럼 내가 나중에 / 전주 맛집 소개해줄게. /
	
P1 	:그래. 좋아. /
	
P0 	:그러면 너 그럼 주로 / 양식도 좋아해? /
	
P1 	:나는 양식 어 양식도 좋아해. /
	 면 요리를 되게 좋아하기도 하고 / 이런 느끼한 / 까르보나라 이런 음식들도 되게 좋아해 가지고 / 그래서 양식도 되게 선호하는 편이야. /
	 언니는 양식 / 좋아해? /
	
P0 	:나는 / 양식은 근데 내가 느끼한 걸 잘 못 먹어서 / 까르보나라는 거의 먹어 본 적이 없는 거 같고 / 주로 토마토 해물 파스타나 / 로제 파스타 쫌 그나마 덜 느끼한 음식을 / 주로 먹는 것 같애. /
	
P1 	:응 / 나는 / 토마토 스파게티는 / 뭔가 그 햄버거 먹을 때 케찹 있잖아. 거기 그 / 토마토 그 케찹 그 맛 같아서 / 별로 안 좋아해. /
	
P0 	:너는 토마토를 싫어해? /
	
P1 	:토마토라는 과일은 좋아하는데 / 약간 부가적으로 뭔가 찍어 먹거나 이런 / 쏘쓰를 자체를 별로 선호하지 않아서 / 그래서 감자튀김 먹을 때도 나는 / 케찹을 안 먹어. /
	
P0 	:케찹이 / 감자튀김 정말 / 찍어 먹으면 맛있는데. /
	
P1 	:그래서 나는 그런 거 있으면 친구 주거나 / 다른 주위 사람 줘 가지고 / 그래서 난 / 그냥 감자튀김의 그 본연의 맛을 / 많이 즐기는 거 같애. /
	 약간 / 국밥이나 이런 것들도 본연의 맛을 즐겨서 / 간을 별로 안 하거든. /
	
P0 	:너는 검 싱겁게 먹는구나. /
	
P1 	:나는 잘 몰랐는데 주위에서 많이 나 보고 싱겁게 먹는다고 하더라고. /
	 언니는 뭐 국밥 같은 거 먹을 때 뭐 풀어 넣거나 따로 뭔가 부가적으로 넣는 재료들이 있어? /
	
P0 	:나는 / 쫌 / 나는 싱거운 거보다는 / 간이 좀 돼 있는 걸 더 좋아하는 거 같애. /
	 그래서 / 국밥에는 주로 새우젓 / 이런 거나 아니면 / 양념장 이런 거 넣고 / 그렇게 해서 / 먹는데 너는 검 국밥 중에서 / 뭐 / 여러 종류가 있잖아. 그러면 / 좋아하는 국밥 있어? /
	
P1 	:나는 국밥 중에서는 / 돼지국밥 / 수육 국밥 / 수육 국밥을 가장 좋아하는 거 같애. /
	 가장 / 우선 고기라서 맛이 있어. /
	 언니는 국밥 중에 뭐 좋아해? /
	
P0 	:나는 / 국밥이랑 솔직히 다 좋아하는 거 같애. /
	 근데 / -소머- 소머리국밥은 좀 / 싫어하고 / 주로 순대국밥 수육국밥 / 이런 내장국밥 이런 거는 되게 좋아하는 거 같애. /
	
P1 	:나는 내장국밥은 안 먹어 봐 가지고 / 내장국밥 / 별로야. /
	 뭔가 이상하게 생겼어. /
	 내장이 있잖아. /
	
P0 	:근데 너 순대에 들어가는 / 내장 / 먹어? /
	
P1 	:순대에 들어가는 내장이 뭔데? /
	
P0 	:아 순대랑 같이 썰어서 / 주는 내장들 있잖아. 허파 간 이런 거 /
	
P1 	:아 그거 잘 안 먹어. 식감이 뭔가 / 딱딱한 느낌이라서 / 별로 / 그리고 무슨 맛인지 잘 모르겠어. 그냥 / 그렇다고 엄청 싫어하진 않는데 / 그냥 그래. /
	
P0 	:그래서 보통 순대랑 같이 이제 썰어주는 내장으로 / 이제 국밥을 이렇게 한 게 내장국밥이고 / 나는 주로 / 수육국밥이랑 순대국밥을 / 좋아하는 거 같애. /
	
P1 	:음 / 그 무슨 간 이런 것도 있잖아. /
	
P0 	:선지? /
	
P1 	:어 맞아. 선지 / 선지 좋아해? /
	
P0 	:아니 나는 / 약간 피 같은 거를 좀 싫어하고 무서워서 / 선지 이런 거는 / 진짜 / 잘 못 먹어. /
	
P1 	:나도 어릴 때는 비위가 좋아서 잘 먹었던 거 같은데 / 커서는 왠지 모르게 꺼려지더라고. 맛도 잘 모르겠고. /
	 우선 기본적으로 보이는 이미지가 있으니까 눈 앞에 / 그게 그거부터 약간 꺼려져서 / 맛도 잘 모르겠더라고. /
	
P0 	:그러면 너는 / 곱창 대창 이런 거 먹어? /
	
P1 	:곱창은 정말 좋아하는데 대창은 / 우리 가족끼리 한번 먹었었잖아. /
	 근데 그때 먹었는데 대창이 너무 너무 몇 입 안 먹었는데도 너무 느끼해서 / 그 이후로 한 번도 안 먹었어. /
	 싫어하게 됐어. /
	 언닌 대창 좋아해? /
	
P0 	:나는 대창 좋아하는데 / 나도 좀 계속 먹다 보면은 느끼한 거 같애 그래서 / 주로 대창만 먹는 게 아니라 곱창이랑 / -여- 여러 / 막창 이런 것도 같이 먹으면은 그리고 약간 부추 이런 거 싸 먹으면 / 되게 맛있어. /
