# FILE DATA
ID : SDRW2100001466
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211125
topic : 가짜 뉴스에 대한 징벌적 손해배상 > 제도 도입 후 효과/역효과, 표현의 자유와 언론의 책임 균형 필요

# SPEAKER_INFO
id : SD2100809
age : 30대
occupation : 경영/관리직
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

id : SD2100810
age : 30대
occupation : 경영/관리직
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

# SETTING
relation  :  친구


P0 	:요즘에 / 핫한 게 가짜 뉴스에 대한 징벌적 손해 배상이라고 들어 봤는데 / 너 들어본 적 있냐? /
	 그 개설한 거 보니까는 / 계속 자기 주장만 끝까지 요새도 내밀고 / 댓글 달리는 거 보면은 / 계속 / 이제 / 아 아직도 계셨나요? 그러면서 / 좋게 본 사람들 한 명도 없더라고. /
	 그럼에도 불구하고 그 사람은 / 애초에 언론인이었겠으니까 / 계속 / 그런 일을 하고 있 /
	
P0 	:그래 니 말이 맞는 거 같애. 지금 / 메이저 언론사에서도 그렇게 / 허위 과장 가짜 뉴스가 / 많아지고 있는데 요즘에 점점 많아지는 / 에스엔에스나 / 유튜브 같은 데서도 많은 개인 뉴스들이 / 많이 나오고 있는데 거기는 / 더욱더 심하게 가짜 뉴스나 허위 과장 뉴스들이 / 더욱더 많아지고 있는 거 같애. /
	 그래서 메이저부터 우선 잡아야지. /
	 유튜브도 잡히고 에스엔에스 개인 뉴스 등 이런 게 다 잡힐 거 같애. /
	
P1 	:아무래도 / 그 사례 드는 거 좋아하는 정부가 / 문 누군가 사례를 들어서 / 이제 본보기 식으로 / 일단 가짜 뉴스에 대한 처벌 / 를 징벌적 손해 배상을 시작하게 되면은 / 그 여파는 / 이제 어느 정도는 가겠지. 하지만 / 시간이 지나면 또 / 사람들은 잊고 계속 또 / 가짜 뉴스 또 이렇게 만들고 그러기는 할 거야. /
	 근데 그 가짜 뉴스에 대해서 / 사람들은 또 / 어 그렇구나 그렇구나 하면서 / 이제 / 동조돼 가고 / 그러면은 / 아무래도 가짜 뉴스가 또 나오면 이제 또 사람들은 으 그 나라에서는 / 가짜 뉴스에 대한 징벌 (()) 또 한다고 하지만 / 사실 가짜 뉴스를 덮을 수 있는 것도 정부기 때문에 / 되게 / 애매하고 난해한 케이스지. /
	
P0 	:그래 맞아 정부 얘기 잘 했어. /
	 나도 찬성하는 입장인데 그게 / 정확한 중립에서 정확한 / 가짜 뉴스에 대한 징벌적 손해 배상이 이루어져야 한다고 생각해. /
	 그러니까 언론은 더욱더 책임감을 필요하고 / 더욱더 정보력이 있어야 하고 그리고 / 정 니가 얘기한 정부나 그런 정치적에서는 이거를 / 악용하지 않고 / 그런 / 정확한 균형이 이루어진 / 가운데 / 가짜 뉴스에 대한 징벌적 손해 배상이 이루어져야 된다고 생각해. /
	
P1 	:나도 그거는 / 그렇게 된다 그러면 / 어느 정도는 / 뭐 괜찮을 수 있지만 / 그래도 / 웬만하면은 / 이 제도는 없어지는 게 난 좋을 거 같아. /
