# FILE DATA
ID : SDRW2100000032
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20210810
topic : 휴가 > 휴가지 선택

# SPEAKER_INFO
id : SD2100031
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대재

id : SD2100032
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대재

# SETTING
relation  :  친구


P0 	:우리가 / {clearing} 곧 있으면 / 같은 날에 군대를 가잖니? /
	 그런데 / 허어 / 바다나 계곡 같은 곳이 아니라면 / 또 다른 곳이 혹시 없을까 나는 솔직히 / 어 / 바다보다는 이제 / 다른 곳도 가고 싶은데 / 딱히 생각나는 곳이 없어서 /
	
P1 	:요즘 되게 떠오르는 거 하나 있잖아. /
	 호캉스 / 요즘은 / 굳이 멀리 안 나가도 / 서울 안에서 충분히 호텔 되게 / 비싼 호텔((에)) 있잖아 나도 길 가면서 / 홍대 나 약간 건대 이 근처에서 되게 비싼 호텔을 한두 개씩 봤거든? /
	 그래서 그런 호텔에서 / 그냥 일박 이 일? /
	 가볍게 하는 것도 좋은 휴양이 될 거라 생각하고 있어. /
	 어떻게 생각해? /
	
P0 	:나도 솔직히 / 호 서울 가에 있는 호텔에서 / {clearing} 노는 것도 되게 괜찮다고 생각해. /
	 솔직히 오히려 다른 동네에 있는 / 더 저렴한 숙박 시설을 가는 것보다 / 서울에 있는 곳에서 노는 게 / 어떤 의미에선 더 저렴하고 간편하고 편안하다고 볼 수도 있고 / 솔직히 우리는 / 숙박 시설에서 노는 걸 많이 즐기는 편이잖아. /
	 다른 곳에 돌아다니는 거보다는 그래서 나는 / 숙박 시설도 괜찮다고 생각하는데 / {clearing} 문제는 / 요즘 시국이 시국이다 보니까 / 우리가 입대하기 전까지는 / 호텔 방에서 두 명 이상이 모일 수 없겠다는 거지. /
	
P1 	:음 / 확실히 / 이왕이면 여러 명이서 있는 게 좋은데. /
	 확실히 코로나가 문제가 많이 되긴 하네. /
	 아니면 / 캠핑 같은 건 어떨까? /
	 그냥 진짜 산 같은데 가서 캠핑하는 거? /
	 왜냐면 / 캠핑 할 때 / 이제 다른 캠핑 온 분들도 함께 즐길 수 있고 하니까. /
	 코로나여도 따른 사람들과 함께 놀 수 있지 않을까? /
	
P0 	:확실히 니 말을 듣고 나니까 캠핑도 되게 괜찮은 거 같긴 하다. /
	 산골이나 / 계골 같 계곡 같은 곳에서 / 친구들과 같이 어울려 논다며 / 참 설렐 것 같긴 해 근데 / 문제는 지금이 한여름이라는 거지. /
	 내가 보기에 / 날씨와 / 모기의 장벽이 대단할 것 같은데. /
	 혹시 / 다른 / 괜찮은 방법에 대해 알고 있니? /
	
P1 	:나도 모기는 정말 싫어해 가지고 / 니 말 {laughing} 들으니까 캠핑은 절대 아닌 거 같다. /
	 그러면 모기나 그런 벌레 같은 걱정 없이 / 놀기 편안할 만한 장소가 있나? /
	 그럼 정말 호캉스 아니면 / 차라리 / 부산 같은데 가면 오히려 / 벌레 없이 놀 수 있을만한 실내 시설이 많지 않을까? /
	
P0 	:나도 확실히 / 서울에서 하는 호캉스를 제외하고 나니까 / 다른 지역으로 나가거나 혹은 뭐 / 다른 곳으로 가야겠다는 생각밖에 안 드는데 / 문제는 그렇게 나가게 되면 아무래도 / 시설 안에서만 있는 건 뭔가 아쉽단 말이지. /
	 서울 안에 있는 호텔을 사용한다면 / 시설만 사용하더라도 별로 아쉬움은 없지만 / 부산까지 가 가지고 시설 안에만 있으면 뭔가 / 아쉽지 않겠어? /
	
P1 	:그러면 / 시설 안 위주인데도 / 한 번씩 / 주변 풍경이 / 이쁠 만한 데 생각해 보면 여수 같은 데는 어때? /
	 여수 같은 데는 이제 모노레일도 있고 모노레일도 다 / 시내라고 따질 수 있잖아 그런 걸 보면서 / ((그냥)) 밤바다 한 번씩 보면 / 적당히 실내 실외를 지킬 수 있는 / 여행이 되지 않을까? /
	
P0 	:여수도 좋은 거 같아 아무래도 / 밤바다도 그렇게 예쁘다고 노래도 나왔고 / 어 모노레일도 / 다 같이 찬 탄다면 참 재밌을 거 같고 / 여수 / 여수는 / 가는데 혹시 얼마나 걸릴까? /
	
P1 	:여수 가는데? /
	 여수 가는데 한 세 시간? /
	 네 시간 걸리지 않나? /
	 내가 알기론 그 정도 걸리는 걸로 아는데? /
	 그렇게 멀다면 멀긴 하지만 여행이니까. /
	 그 정도 시간은 기본으로 다 걸리지 않을까? /
	
P0 	:아무래도 / 교통편을 잡는 것도 일이다 보니까 저번에도 우리는 / 우리가 버스와 그런 걸 좀 알아보다가 / 결국에 안 되겠다 싶어서 / 여행지를 아예 뒤엎었던 적도 있잖아 그러다 보니까 / 아무래도 / 교통 버스나 그런 게 -있 -있나 궁금하게 되네. /
	
P1 	:그치 그런 사고가 있었으니까 확실히 교통편은 신경 쓰게 되지. /
	 아니면 저번처럼 그냥 / 셔틀 버스가 있는 막 / 비발디파크 이런 데 가면 / 교통편은 바로 해결되지 않을까? /
	
P0 	:그것도 그렇지 그런데 / 아무래도 그런 곳은 저번에 갔다 왔다 보니까 / 사실 이런 고민도 만약에 / 사 인 규제가 풀려서 / 호텔 호캉스를 즐긴다면 정말 / 좋을 텐데 말이야. /
	 사 인 규제가 우리가 가기 전에 풀릴 / 그런 / 가능성은 아예 없겠지? /
	
P1 	:내 생각엔 절대 {laughing} 안 풀릴 거 같고 / 그거를 이제 감수하고 / 여행을 갈 수밖에 없다면 / 아니면 당일치기로 여행을 갔다 오는 것도 나쁘지 않지 그냥 / 주변에 수원 같은 데는 정말 당일치기로 갔다 오기 좋잖아. /
	
P0 	:당일치기 여행도 당일치기 여행만의 묘미가 있는 건 사실이지. /
	 그런데 나는 / 이건 욕심일지도 모르지만 / 아무래도 / 숙박 시설에서 다 같이 놀고 / 그렇게 하는 것도 / 즐기고 싶은 마음이 솔직히 있네. /
	
P1 	:숙박 시설? /
	 숙박 시설을 원한다? /
	 그러면 정말 여행지를 너무 {laughing} 정확히 어려워 지는 걸 / 너는 뭐 원하는 장소라도 있어? /
	
P0 	:나는 / 솔직히 말해서 니가 아까 말한 여수가 정말 괜찮다고 생각해. /
	 만약 교통편만 제대로 / 된다면 여수만 한 곳이 없다고 / 난 생각해. /
	 바다도 가까이 있고 그러면 이제 먹을거리도 아마 / 많을 거 같애 가보진 않았지만 그렇지 않을까? /
	
P1 	:맞아. /
	 여수 나는 어릴 때 딱 한 번 가봤는데 / 먹을 것도 생각보다 되게 많고 / 뭐 야시장이 좋았던 걸로 기억해. /
	 그래서 한 번 쯤은 더 가고 싶다는 생각을 많이 하게 되었어. /
	 교통편은 / 기차 같은 걸 알아보면 쉽게 찾을 수 있지 않을까? /
	 기차가 하나도 없어 없나 그쪽은? /
	
P0 	:사실 기차가 있으면 / 버스보다 훨씬 빠르고 쾌적하게 갈 수 있으니까 좋지. /
	 요금 정도야 이제 우리는 얼마 안 남았으니까 / 그 정도는 쓸 수 있을 거 같고 / 그렇다면 여수를 간다면 / 숙박시설은 어느 게 좋을까? /
	
P1 	:난 개인적으로 펜트하우스나 아니면 그냥 펜션 / 아님 풀 빌라? /
	 약간 셋 중에 하나가 제일 좋은 거 같다고 생각해. /
	 일단 펜트하우스는 / 우리만 있는 것도 아니고 / 다른 사람들도 약간 만나면서 / 좀 더 / 그분들이 어딜가 좋았는지 그런 조언도 듣고 / 그 장소에 있어서 더 좋은 장소로 갈 수 있을 것 같으니까 / 좋다고 생각하고 / 이제 풀 빌라 같은 경우는 내가 약간 / 수영장을 좀 좋아하는 편이거든? /
	 그래서 기본적으로 풀이 딸려 있으니까 / 남과의 접촉없이? /
	 물 쓸 수 있잖아? /
	 코로나 걱정도 없이 놀 수 있어서 좋은 거 같고 / 펜션은 제일 익숙하니까 편할 거 같아서 좋다고 생각해. /
	 넌 어떻게 생각해? /
	
P0 	:나는 펜트하우스는 사실 / 친구들과는 같이 가 본 적이 없어 가지고 잘 모르겠지만 / 펜션이나 풀 빌라는 디게 괜찮은 거 같애. /
	 풀 빌라 정도면 아무래도 / 펜션 안 아니 풀 빌라 안에서도 / 풀 빌라 정도면 / 놀거리도 많고 친구들과도 좋은 시간 보낼 수 있을 것 같고 / 그 안에 만약에 바비큐 시설 같은 게 있다면 / 더 좋을 거 같네. /
	 펜션 / 응 아마 / 일박에 한 얼마 정도 할까 풀 빌라와 차이가 심한가? /
	
P1 	:풀 빌((랑)) 펜션은 이제 / 끕에 따라 가격 차이가 천차만별이긴 한데. /
	 비슷한 뉘앙스의 끕에서? /
	 이제 풀 빌라는 이제 기본적으로 수영장이 딸려오니까? /
	 그것 때문에 가격 대비 좀 더 높은 편이지. /
	 펜션에 비하면? /
	 근데 뭐 돈을 크게 / 자금을 많이 가져 갈 생각인 거 아니었어? /
	
P0 	:그렇지 어차피 이제 곧 입대다 보니까 / 쓸 곳도 많이 없고 / 마지막으로 즐긴다는 마인드이기 때문에 자금에 대해서는 / 최대한 신경 쓰지 않을 계획이야. /
	
P1 	:그럼 난 이왕이면 풀 빌라가 좀 더 좋다고 생각해. /
	 숙소로 따진다면? /
	
P0 	:네 말을 들어 보니까 풀 빌라 / 가는 것도 괜찮은 거 같은 게 사실 저번에 여행 갈 때 / 샀던 수영복을 아직 한 그때 한 번밖에 입어 보지 않았거든. /
	 그래도 입대하기 전에 한 번쯤은 더 입어봐야 나의 돈이 / 그나마 좀 더 효율적으로 쓰였다고 할 수 있지 않을까? /
	
P1 	:그리고 만약에 풀 빌라 비용이 걱정이 된다면 / 기차 값을 빼는 수도 있어 왜냐하면 / 우리는 지금 휴학 중이니까 / 굳이 / 아 사람들이 많이 오는 주말 때나 연휴가 아니어도 / 여행 갈 수 있잖아? /
	 그러면 평일이면 보통 고속도로는 그렇게 / 심하게 막히지 않으니까 / 제일 막히지 않는 시간 때에 평일로? /
	 자동차로 이동하면 / 기차 값을 아껴서 / 다음에 풀 빌라에 대해서 비용을 조금 더 / 덜 부담 할 수 있을 거 같애. /
	
P0 	:그렇다면 자동차를 / 하는 타고 가는 쪽도 고려해 볼만하겠네. /
	 그러면 이제 / 풀 빌라와 / 여수 그리고 그런 쪽으로 하고 / 그렇다면 우리 이번에는 몇 박으로 가는 게 좋을까? /
	 저번에는 삼 박 사 일 했더니 그것조차 애들이 짧다고 했었잖아. /
	
P1 	:애들마다 편차가 있겠지만 / 나는 {laughing} 삼 박 사 일이 솔직히 조금 길게 / 느껴졌거든? /
	 나는 약간 혼자 있는 시간을 좀 크게 생각하니까 근데 / 그래도 애들이 약간 오래 있고 싶으면 / 일박을 더 늘려서 사 박 오 일도 괜찮고 / 나 혼자 돌아다니기 좀 좋을 거 같애. /
	
P0 	:그래 그러면 일단은 그렇게 알고 / 애들한테도 한번 전달해 보자. /
	
P1 	:그래. /
