# FILE DATA
ID : SDRW2100003974
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20220220
topic : 대중교통 > 비행기·기차 이용하면서 있었던 일, 대중교통 놓친 경험

# SPEAKER_INFO
id : SD2102163
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
education : 대재

id : SD2102164
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
education : 대재

# SETTING
relation  :  친구


P0 	:살면서 비행기 타 본 적 있어? /
	 내가 / 그 일본을 두 번 간 적이 있었다 했잖아? /
	 근데 첫 번째 여행에 갔을 때 / 그 옆 / 내가 창가 쪽이었거든? /
	 근데 옆에 대부분 세 개씩 이렇게 붙어 있잖아? /
	 근데 / 두 좌석이 인제 바깥 쪽에 있잖아 복도 쪽에? /
	 근데 / 마침 그 옆에 인제 외국인 / 남성분들 두 명이 앉았는데. 전부 다 막 / 체형이 엄청 크신 거야. /
	 그래 가지고 / 나는 창간데도 불구하고 엄청 쫍게 자 앉았거든. /
	 그래서 막 / 한 시간 맻 분 동안 계속 막 / 쪼그려 앉어 가면서 막 / 약간 그런 에피소드가 있었거든. /
	 &name1&은 약간 그런 경험은 없어? /
	 뭐 쫌 / 승객 때문에 불편하게 갔다던가 아니면 / 쫌 /(note : 발화겹침) 이거랑 관련된 /
	
P0 	:음 비행기에서는 없었던 거 같은데. /
	 이제 학교에서 집으로 돌아오는 뻐쓰에서 / 이제 / 거의 다 / (()) / 우리 집이 외곽 지역이다 보니까. /
	 오면 올수록 이제 뻐쓰 안의 승객이 점점 줄어드는 형식인데. /
	 ((x게)) 학교에서 / 뻐쓰에 올라 타고 이제 나는 잠이 들었었어. /
	 ((갖고)) / 한 한 시간 정도 잤는데. /
	 자고 일어나 깼는데. /
	 이제 분명 뻐쓰에는 빈 좌석이 많았는데. /
	 내 옆에 어떤 승객 여정 / 여자 승객이 있었는데. /
	 그 사람도 졸고 있었는데 자꾸 나한테 기대는 거야. -자- 자면서 / 갖고 나는 처음에 / 아니 좌석도 많은데 왜 / 굳이 내 옆자리에 앉아서 이렇게 / 자면서 나를 귀찮게 하나 싶어 가지고 처음에는 / (()) / 그 너무너무 심하게 기울여서 나한테 ((귀를)) 대길래 /
	
P1 	:(()) /
	
P0 	:그 승객을 처음에는 깨웠었어. /
	 ((갖고)) 깨웠는데 다시 일어나시더니만 / 뭐 송하다고 하는 코고는 / 다시 그렇게 잠이 또 다시 드셨는데. /
	 또 나한테 계속 귀를 대시는 거야. /
	 ((어)) 결국에는 내가 / 그때는 뻐쓰다 보니까 내가 자석을 마음대로 이동을 할 수 있어서 /(note : 발화겹침) 내가 자석으로 옮겼던 기억이 있어. /
	
P1 	:음 /(note : 발화겹침) 그분도 엄청 피곤하셨나 보네. {laughing} /
	
P0 	:(()) /(note : 발화겹침) 그렇겠지? {laughing} /
	
P1 	:음. 어 / 그러면 / 혹시 택시는 자주 이용하는 편이야? /
	
P0 	:택시는 / (()) / 택시를 탈 바에는 뻐쓰를 타자는 느낌이어서 / 택시가 너무 뻐쓰에 비해서 비싼 거 같 / 따른 대중교통들에 비해 비싸서 / 잘 이용을 하지는 않는 같애. /
	 &name2&는 자주 타? /
	
P1 	:아니 나도 비싸서 많이 못 타. {laughing} / 그리고 / 근데 인제 택시를 많이 이용할 때가 인제 / 왜 / 친구들끼리 많으면 ((x)) / (()) / 뻐쓰는 쪼끔 힘들고 이제 택시는 쫌 편안하게 갈 수가 있잖아? /
	 그래서 그때만 대부분 이용하는 거 같애. /
	
P0 	:맞아. 오히려 이동하는 거리가 가까우면은 / 이제 다 같이 뻐쓰를 타는 요금보다는 / 차라리 택시를 같이 타서 이동을 하는 게 / 경 뭐 비용 측면에서 더 /(note : 발화겹침) 저렴할 수도 있겠다. /
	
P1 	:음. /
	 (()) / 그리고 / 음 / (()) / 음 그거 외에는 딱히 택시를 이용하지 않는 거 같애. ((xx)) / 음. /
	 아까 기차 얘기가 나왔잖아? /
	 근데 / (()) / 내가 그 / 무궁화밖에 안 타서 그런데 /
	
P0 	:(()) /
	
P1 	:아까 에스알티였나? /
	 (()) / 에스알티는 약간 / 무궁화랑 차이가 있어? /
	
P0 	:음 / 에스알티가 무궁화보다 빠른 걸로 알고 있어. /
	 좌석도 / 케이티엑스랑 비슷했던 거 같애. /
	 근데 에스알티가 예매를 할 때 되게 신기했던 점인데. /
	 보통은 / 내가 알기로는 케이티엑스나 무궁화나 / 아니 새마을 ((xx)) 케이티엑스가 이제 / 코레일 앱에서 / 이제 승차권을 예매를 할 수 있는 걸로 알고 있는데. /
	 에스알티는 또 / 이제 코레일 회사랑은 엄청 다른 회사인지 / 또 전용앱을 따운을 받아서 / 예매권을 승차를 해야 아니 / 예매권을 이제 구매를 해야 되더라고. /
	 (()) / 그래서 디게 신기했던 거 같애. /
	 &name2&는 보통 / 대중 교통 뭐 뻐쓰나 / 기차를 / 타게 된 때 / 예매권 현장에서 발권하는 편이야 아니면은 앱에서 미리 / 예약을 하는 편이야? /
	
P1 	:현장에서 할 때도 있는데. /
	 대부분은 그래도 바쁘지가 않으면? /
	 대부분은 인제 / 어플로 / 예약을 하는 편이고 / 진짜 / 검청 인제 시간이 촉박할 때 현장에서 바로 / (()) / 바꾸지. /
	
P0 	:나 처음에 에스알티를 탔었을 때에는 / 처음에 탔었을 때는 현장에서 / (()) / 아니 예약을 했으 /
	
P1 	:(()) /
	
P0 	:예약을 했었는데. /
	 이제 기차 /
	
P1 	:(()) /
	
P0 	:뭐라고 해야 되지? /
	 게이트 게이트 탑승 /
	
P1 	:게이트에 탑승 /
	
P0 	:하는 곳 번호를 잘못 착각을 해 가지고 /
	
P1 	:(()) /
	
P0 	:이제 기차를 놓치게 된 거야. /
	 그래 가지고 ((x)) / 또 기차를 놓친 게 그때는 처음이었어서 이제 / 어떻게 해야 하나 이렇게 생각을 했었는데. /
	 그래서 그 매표소 창고에 가서 / 직원분께 이제 / 어 제가 착각을 해서 기차를 놓쳤다고 하니까. 이제 / 그 사람이 / (()) / 뭐 삼십 분 이낸가에 오면은 / 칠십 기차가 출발을 했음에도 불구하고 뭐 / 칠십 프론가 팔십 프로의 금액을 환불을 해주시는 거야. /
	 그래 가지고 디게 다행히었던 적이 있었어. /
	(note : 발화겹침) (()) /
	
P1 	:음 /
	
P0 	:&name2&는 기차나 뻐쓰를 놓쳐서 곤란했던 적이 있어? /
	
P1 	:기차는 없었고 / 버스는 되게 많았지. /
	 이제 / 그냥 / 왜 보통 우리가 뻐쓰 환승 하고 나면 / 버스를 기다리잖아? /
	 찍고 내리면? /
	 버스 따른 버스를 기다리잖아 환승할 버스를? /
	 근데 / 핸드폰을 {laughing} 계속 보고 있다가 / 인제 지나간 걸 / (()) / 지나가 가지고 놓친 거야. /
	 그래 가지지고 / (()) / 인제 / 놓친 경험이 진짜 많아. 엄청 / 그리고 / 음 지하철도 / 그래. /
	 지하철도 막 / 왔다 왔다 왔다 하면서 막 그 안내 표시 있잖아? /
	 전광판이라고 해야 되나? /
	 (()) 그런 게 인제 온 / 지금 열차가 오는 그 스크린이 보이잖아? /
	 (()) 그거 보고 막 다다다 뛰어 갔는데. /
	 스크린도 ((xx게)) 문이 다 닫힌거야. 그래서 막 / 땀 뻘뻘 흘리면서 왔는데. 놓치니까 그냥 /
	
P0 	:(()) /
	
P1 	:조용히 뒤에 가저 벤치 같은 데 앉아 가지고 계속 기다리는 그런 것도 있었어. /
	 지하철 얘기 나와서 / 어 / 생각난 건데. &name1&은 / 지하철 놓친 적이나 아니면 뭐 지하철 / 관련된 뭐 그런 거 있어? /
	
P0 	:음 나도 / 이제 핸드폰을 보느라고 정신이 팔려 가지고 / 뭐 내려야 할 곳에 내리지 못했던 적이 있기도 한데. /
	 (()) / 근데 내가 / 서울에 지옥철이 쫌 유명을하잖아 이제 / 지옥철 사람들이 너무 많이 탄다고 / 이제 지옥 같다고 이제 지옥철이라고 얘기를 하는데. 이제 / (()) / 내가 서울에 놀러 갔을 때 / 그거를 정말 실감을 했던 게 / 이제 / 정말 / 열차가 왔다고 해서 이제 / 기다리고 있었는데. 열차가 왔다고 해서 일어를났는데. /
	 열차 문이 열리는데 사람이 빽빽하게 서 있어서 /
	
P1 	:(()) /
	
P0 	:내가 차 / 탑승 / 아 탑승을 못 한 적이 있었거든? /
	
P1 	:(()) /
