# FILE DATA
ID : SDRW2100001407
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211118
topic : 가짜 뉴스에 대한 징벌적 손해배상 > 가짜뉴스의 기준과 처벌대상 논의

# SPEAKER_INFO
id : SD2100779
age : 30대
occupation : 무직/취업준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 고졸

id : SD2100780
age : 50대
occupation : 주부
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

# SETTING
relation  :  부모/자녀


P1 	:음 엄마는 / 언론 / 개혁이 반드시 있어야 된다고 생각하는 사람 중에 한 사람이거든. /
P1 	:아 그것도 이거 가짜 뉴스도 많아 지금 / 대표적으로 엄마가 요즘에 선거철이니까 / 삼 개월 있으면 지금 선거 하는데 / 뭐 어떻다드라 어떻다드라 / 어 이런 얘기 많이 해 특정 후보에 대해서 / 뭐 구타를 했다 뭐를 했다 / 안 봤잖아. /
	 안 봤는데 왜 본 것처럼 얘기를 하냐고 / 나중에 알고 보니깐 아니었어. /
	 아니었는데 왜 그런 식으로 / 아 때렸다드라 / 그렇다드라 / 이런 식으로 하는 거는 / 아닌 거지. /
	
P0 	:아니 근데 그러면 뭔가 나는 / 너무 / 민주주의에 맞지 않다고 생각하는데 /(note : 발화겹침) 너무 억압됐다고 생각하는데 /
	
P1 	:그럼 반대로 / 반대로 니가 그로 인해서 피해를 봤어. /
	 기준이 없기 때문에 너는 그러면은 포기할 거야? /
	
P0 	:아이 그니까 그 기준을 어떻게 세울 건지 물어보는 거잖아. /
	 찬성하는 입장에서 /(note : 발화겹침) 기준이 있을 거 아니야 그 /
	
P1 	:그 기준이라는 거는 엄마가 법 쪽에 없기 때문에 / 어~ / 딱 지금 뭐 무슨 기준을 세워야 이거는 아니지만 / 그 기본 틀은 / 그렇게 해야 / 앞으로 손해를 보는 사람이 없을 거다. /
	 그런 거야. /
	
P0 	:아니 긍까 손해 배상 청구를 찬성을 하는데 / 손해 배상이라는 게 / 그 기준이 있어야 되는 거 안 기준을 / 얘기하고 지금 얘기 하자고 지금 말하는 거 아니야? /
	
P1 	:그니까 생명을 앗아가는 일도 있기 때문에 / 그 법을 만들어야 된다. /
	 그 법 만드는 거는 / 온 사회에 어 / 저기 / 의료계 쪽 / 또 나라에서 시에서 구에서 다 / 그렇게 해서 합의해서 할 일이지. /
	
P0 	:아이 그니까 우리가 얘기를 하는 거 자체가 / 손해 배상 청구를 하 / 하는 걸 찬성하냐 반대하냐 그거 얘기하는 거잖아 그니까 / 손해 배상 찬성하는 입장 / 이 되보면 되 입장이면 / 그걸 기준을 세워야지 / 되지 그거 무조건 그냥 찬성이야 이렇게 하면 그게 /
	
P1 	:엄마는 그 기준을 세울 필요가 없다니까 우리가 / 세울 필요가 없는 게 / 그 찬성만 하잖아 찬성을 하면 / 그 세워야 되는 기준은 엄만 그거야 / 왜 생명이 왔다 갔다 하기 때문에 / 그걸로 인해서 피해가 많기 때문에 / 그리고 / 진실을 덮는 / 게 / 아주 / 법적인 처리가 없기 때문에 너무 많이 하기 때문에 / 누구나 그 오보를 다 올릴 수 있고 누구나 다 할 수 있기 때문에 / 그거는 반드시 있어야 / 그렇게 안 한다. /
	 그런 생각을 하거든 엄마는 / 그때 그거를 본인만 듣고 있는 게 아니라 / 퍼트리잖아. /
	 퍼트리는 게 문제지. /
	
P0 	:근데 그거는 / 나름 아니야 그냥 나는 내 생각을 말한 것 뿐인데 / 그거를 터트렸다고 할 수 있어 그 사람들이 와서 보는 거를 /
	
P1 	:그래서 그게 오보라는 거야. /
	 사실도 아닌 얘기를 / 누군가가 써놓은 걸 보고 / 그냥 그런가 보다 하면 되는데 그걸 / -살이- 살이 붙어서 그게 / 안 된다는 거지. /
	
P0 	:근데 그거를 / 돈으로 어쨌든 손해 배상 청구를 한다는 건 / 돈으로 / 하겠다는 거잖아. /
	 긍까 그거 그럼 어떻게 할 건데 / 뭐 하나 올릴 때마다 뭐 하고 하나 올릴 때마다 / 벌금 때리고 하나 올릴 때마다 벌금 때리고 이렇게 할 거야? /
	
P1 	:그럼 우리 면허증 저기 딱지 떼듯이 /
	
P0 	:그니까 나는 아까부터 물어본 기준이 그 /
	
P1 	:돈 /
	
P0 	:기준을 물어본 거야. /
	
P1 	:돈 내기 싫으면 거짓말을 안 하면 되고 / 내가 억울해서 피해 봤다 그러면은 / 자꾸 고소하면 되는 거고 / 그지? /
	 너 이거 아닌데 왜 나한테 이런 식으로 저기를 했어 / 이건 아니잖아. /
	 그리고 사실 근거해서 / 거기에 대한 증명이 될 수 있는 거 / 확인될 수 있는 거 예를 들어서 뭐 증인이라든가 /(note : 발화겹침) 그런 거 있으면 당연히 받을 수 있지. /
	
P0 	:그럼 운전면허 식으로 삼진아웃 식으로 그 / 렇게 하자 뭐 그런 거야? /
	 뭐 한 번 하면 정지 / 뭐 두 번 하면 이렇게? /
	
P1 	:뭐 어떻게 하자는 거는 뭐 내가 / 꼭 찝어서 말하긴 그렇지만 / 그런 제도는 꼭 / 필요해. /
	
P0 	:근데 그럼 중국이 그렇게 탄압하는 거랑 뭐가 달라? /
	
P1 	:엄마가 그 / 엄마가 그거를 왜 저기를 하냐면 / 엄마를 딴 사람으로 오해를 한 일이 있었어. /
	 비슷하게 생겼다는 이유로 / 근데 / 나중에 알고 봤더니 / 쫌 그랬어. /
	 나는 거기를 안 갔는데 날 봤대는 거야. /
	 거기가 어디 있는지도 난 모른다 / 봤대. /
	 난 억울하지. /
	 겪은 겪는 사람은 억울하지. /
	
P0 	:근데 / 근데 그거는 개인적인 일이니까 / 그런 건데 그거를 / 언론을 탄압한다 하면 완전 다른 얘기가 되잖아. /
	
P1 	:근데 그거는 / 내 일이면서 / 사회적인 문제로 많이 대두가 되기 때문에 / 그로 인해서 피해를 본다는 거는 / 작은 일이니깐 내가 / 손해 배상 청구를 안 하는 거야. /
	
P0 	:나도 근데 / 그렇게 생각을 하면 / 엄마 말이 맞다고 생각해. /
	 손해 배상 청구하는 게 맞다고 생각해. /
	
P1 	:정신적으로 피해를 많이 보고 그 일로 인해서 / (()) / 뭔 일을 못 한다면은 / 당연히 / 그래야지. /
