# FILE DATA
ID : SDRW2100000254
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20210827
topic : 관혼상제 > 코로나가 끼친 영향, 장례문화

# SPEAKER_INFO
id : SD2100253
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
education : 대재

id : SD2100254
age : 20대
occupation : 무직/취업준비생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

# SETTING
relation  :  연인


P1 	:음 얼마 전에 우리 외할머니가 돌아가셨잖아 그래서 / 장례식장에 / 나도 당연히 갔는데 / 가 보니까 생각보다 장례식이 돈이 많이 들더라고. /
P0 	:근데 보면 축의금 문화가 있는 나라는 / 전 세계에서 / 우리나라가 말고 더 있나 우리나라밖에 없는 거 같애. /
	 따른 나라 보면 / 그냥 선물 / 그 신혼부부를 위한 신혼부부가 / 필요한 리스트를 쫙 써 놓으면 / 그 참석자들이 / 그거 보고 / 선물로 사가고 뭐 친한 사이에서는 더 좋은 거 혼수라고 하지 / 그런 가구 사 주고 이런 문화가 있는데 / 우리나라는 유난히 너무 물질적으로 대놓고 축하한다는 의미로 돈을 주니까 / 그 뭔가 / 난 거부감이 좀 있는 거 같아. /
	 물론 내가 받으면 좋긴 하겠지만. /
	
P1 	:그럼 너는 결혼을 어떤 식으로 하고 싶어 / 뭐 스몰 웨딩이라던가 뭐 이제 요즘 유행하는 / 뭐 여러 가지 형태의 결혼들이 있잖아 /
	
P0 	:응. /
	 근데 / 오빠가 아까 말한 것처럼 / 우리 가족들이 뿌린 게 있는데 / 근데 그렇다고 스몰 웨딩을 / 해서 만약에 축의금을 못 돌려받는다 / 했을 때 나는 상관없다고 넘길 수 있을 만한 대인배가 아닌 거 같애. /
	 그래서 / 어~ / 형편에 맞게 하겠지 근데 너무 막 작게 / 스몰 웨딩 해서 친지들만 부르고 이렇게 작게 하진 않을 거 같애. /
	 오빠는? /
	
P1 	:응 나도 비슷한 거 같애 나도 결국에는 어쨌든 이 / 지금 현재 있는 제도권의 결혼 방식을 따라야 될 거 같다고 생각하고 / 근데 / 내 후대나 그 이후에는 / 쪼금 더 결혼 문화가 바뀌지 않을까 그런 생각은 지금은 들어. /
	 뭐 지금도 약간 축소화되고 간소화되고 있는 시기잖아 / 뭐 이게 코로나의 문제일 수도 있지만 / 그 전부터 뭐 / 스몰 웨딩이라는 단어가 우리나라에 들어오기 시작하면서부터 / 그런 형식의 결혼을 하는 사람도 많아졌고 / 또 뭐 축의금을 조금 / 덜 내고 덜 받는 쪽으로 가는 게 서로에게 더 / 편하지 않느냐 이런 말들도 많이 나오고 있으니까 / 시간이 가면 갈수록 쪼금 더 간소화 되지 않을까 그렇게 생각해. /
	
P0 	:근데 나도 / 그냥 막연하게는 / 뭐 우리 엄마도 돈 냈으니까 받아야지 이렇게 생각을 하긴 하는데 / 근데 / 언젠가부터 뭔가 사람들이 사용해서 결혼식 간다 이러면은 그냥 / 그게 이콜 / 돈 내러 가는 곳이다 이런 뜻이 됐잖아 / 근까 나는 어쨌든 진짜 인생에 한번 있는 날이고 / 진짜 축하 받을 날인데 / 뭔가 진정한 축하가 아니라 그렇게 사람들이 뭔가 아 / 돈 나가네 이렇게 불편하게 내 결혼식을 생각하는 것도 좀 / 싫을 것 같애. /
	 근데 어 부담이 가긴 하겠지. /
	 축의금 /
	
P1 	:맞지. /
	 음 얼마 전에 내 친구가 결혼을 해서 / 결혼식장에 가서 나는 물론 결혼식장에는 갔지만 / 결혼식장을 밖에서 구경 해야 되는 처지였어. /
	 그게 뭐 코로나 삼 단계인가 그래서 / 가족들만 들어갈 수 있고 / 가족 외에 다른 사람들은 밖에서 모니터나 / 멀리서 떨어져서 결혼식을 관람해야 되는 그런 구조였거든 그래서 / 멀리 떨어져서 이제 결혼식을 봤는데 / 그때도 내가 친구랑 같이 / 가서 축의금을 한 십만 원 정도 냈는데 / 내고 나니까 또 / 그 친구에게 / 그 친구가 내가 결혼했을 때도 십만 원을 줘야 되고 이런 거 이렇게 생각해 보니까 / 이게 조금 / 무슨 의미가 있나 싶더라고 이런 축의금 문화 자체가 / 또 어떤 사람들은 결혼할 때 받은 축의금을 / 이름이랑 같이 옆에다가 쓰는 사람들도 있잖아 그래서 내가 / 그 사람이 결혼했을 때 똑같이 똑같은 돈으로 돌려 주고 이런 형식으로 / 근데 그러다가 또 요즘은 비혼주의자들도 많으니까 / 그면 비혼을 하는 사람들은 어떻게 돼야 되는가 그런 문제도 좀 생기는 거 같고 /
	
P0 	:비혼식이라는 것도 하던데 요즘 사람들. /
	 무슨 비혼식 열릴 테니까 / 돈 돌려 달라고 아 진짜 실제로 / 비혼식을 열테니까 / 축의금을 돌려달라 이런 의미로 하긴 하는데 / 어~ 근까 / 너무 이해는 가는데 그게 쫌 / 뭐라 해야 되지 / 너무 / 의미 자체가 변질된 게 아닌가 식은 어디까지나 세레모니고 / 이케 축제인데 모두의 축제가 되지 못하고 / 그냥 돈 내고 돈 받는 사람만 있고 이렇게 의미가 변해 버린 거 같아서 / 쫌 슬퍼. /
	 그리고 절대로 이런 / 결혼식이나 장례식을 통해서 / 인간관계가 엄청 많이 걸러진다고 하더라고. /
	
P1 	:응 맞어 글고 원래 장례식장에서 친척들끼리 엄청 많이 싸우잖아 뭐 / 우리 외할머니가 돌아가셨을 때도 / 우리 외할아버지랑 -아- 아니 우리 외할 / 외삼촌이랑 아빠랑 싸울 뻔했거든 / 뭐 그런 일들도 있고 / 근까 뭐 이게 비단 돈 문제 뿐만이 아니라 / 어떤 장례식장에서의 태도나 여러가지 문제로 막 사람들끼리 / 문제가 생기더라고 /
	
P0 	:근데 / 의 / 근까 예의라는 게 있으니까 그 예의가 / 우리나라는 가뜩이나 유교사상이 강한데 / 그 예의에 / 범주에 어긋난다고 생각을 하면 / 서로 의가 상하는 거 같애 내 친구도 / 이제 친구 그 할머니 장례식장에서 / 친구들 불렀는데 / 친구들이 이제 남자애 둘이서 / 만 오천 원씩 축의를 근까 축의가 아니라 조의금을 낸 거야 부조금 그래서 / 의가 좀 상했다고 하더라고 왜냐면 그 장례식장이든 / 결혼식이든 정해져 있는 비용이 있잖아 비용 / 금액대가 있잖아 적게 내도 삼만 원 오만 원 / 십만 원 이런 식으로 단위가 있는데 / 단위도 없이 만 오천 원씩 / 스물 네 살이 / 냈다는 거에 쫌 화가 많이 났던 거 같더라고. /
	
P1 	:응. /
	 글쎄 많이 힘들었나 봐 친구들이. /
	 그렇지 않고서야 그러지 않았을 텐데 / 응. /
	 근까 이제는 조금 이런 장례문화나 / 이런 제도 결혼 제도 이런 것들을 쪼끔 / 바꿔 나가야 할 필요는 있을 거 같애 그리고 또 / 뭐 결혼이나 장례뿐만 아니더라도 제사나 이런 것들을 되게 / 크게 하는 집들이 있잖아 뭐 종갓집이나 이런 그런 집들은 / 그런 걸 되게 크게 하니까 / 그런 사람들은 / 또 거기 명절이 되면 오는 스트레스가 되게 어마어마해 가지고 막 / 괜히 팔 깁스 같은 것도 / 가짜로 끼우기도 하고 막 그런 식으로 / 안 갈려고 막 되게 노력하잖아 근데 사실 가족이라는 게 / 그렇게 막 보기 싫어서 억지로 가야 되는 구조가 아니었으면 좋았을 텐데 이게 / 오히려 그런 명절 문화가 / 가족들을 더 와해 시키는 역할을 하는 거 같아 내 생각에는 /
	
P0 	:맞아 근데 / 어 사실 / 어른들은 불편((할 수)) / 불편할 수밖에 없잖아. /
	 근데 그게 뭔가 명절이 정말 가속화하게 만든 거 같긴 해. /
	 음식 양도 엄청 많고 그리고 / 그런 말 있잖아 진짜 조상 덕 본 가족들은 / 추석에 / 차례 안 지낸다고 해외에 있다고. /
	 그런 말처럼 나도 / 사실 / 난 무교고 그래서 / 차례의 필요성을 진짜 못 느끼는 거 같애. /
	 제사나 이런 걸 왜 굳이 해야 되는지 모르겠어 살아 계실 때 / 최선을 다해서 잘 하고 기리는 마음은 그냥 간소화 해서 뭐 / 가족들끼리만 오붓하게 밥을 먹어도 사실 기리는 마음은 / 전달될 테니까 누구한테 전달을 하는지도 모르겠어 사실. /
	 걍 우리끼리만 알면 되는 건데 / 왜 그걸 그렇게 차례라는 거창한 이름으로 / 그렇게 해야 되는지 잘 모르겠어. /
	
P1 	:그래 내 친구 아버지는 자기가 돌아가시면 / 화장을 해서 변기통에 넣고 그냥 / 물을 내려 버리라고 하신 분도 있다더라고. /
	 그러니까 이제 / 그런 식으로 이 어려워지게 돼 가지고 많이 진절머리가 나셨던 거 같애 그 분은. /
	
P0 	:어 그럼 오빠는 어떤 장례식 하고 싶어? /
	
P1 	:나는 사실 막 뭐 / 화장을 하거나 아니면 / 화장을 해서 어디 강 같은데 뿌리는 게 제일 깔끔한 거 같은데 / 근데 그거 불법이잖아 요즘은 또. /
	 그래서 그렇게 하면 안될 거 같고 수목장 같은 걸로 하는 게 제일 좋은 방식이지 않을까 생각해. /
	 수목장을 하면 자연스럽게 또 / 하나의 나무를 / 살릴 수 있는 거니까 그렇게 되면 / 나는 죽지만 또 다른 생명이 살아간다는 어떤 이 /
	
P0 	:순환적 구조? {laughing} /
	
P1 	:어 순환적 / 고리순환적 구조를 가질 수도 있고 /
	
P0 	:우르보로스 처럼 /
	
P1 	:어. {laughing} /
	
P0 	:나는 근데 나는 그렇게 생각해 그렇다고 / 우리 엄마 아빠가 돌아가시게 된다면 영영 / 흔적도 없이 사라지진 않으셨으면 좋겠어. /
	 내가 차례를 / 하겠다 이건 아니지만 적어도 뭔가 / 보고 싶은 마음이 들 때 / 가서 뭔가 / 마음 기댈 곳은 필요한 거 같애. /
	 예를 들면 / 뭐 그게 화장터가 되더라도 / 우리 엄마 아빠 기일에 적어도 찾아뵐 수 있는 곳 / 보고 싶을 때 갈 수 있는 곳 그런 특정 / 한 곳에서 / 어. /
	 기릴 수 있었으면 좋겠어 나는 / 내 장례식도 그렇게 했으면 좋겠어. /
	
P1 	:그것도 이제 여러 가지 방식이 있잖아 요즘은 또 되게 / 방식이 많아져 가지고 / 메모리얼스톤 이라던가 아니면 또 / 그냥 우주로 쏘아버리는 그런 방식도 있고 / 근데 내가 본 것 중에서 가장 충격적인 건 그거였어 / 아 내가 직접 본 건 아니고 어떤 예전에 내가 / 과외를 받았던 과외 선생님이 해 준 얘긴데 / 본인이 인도에 갔는데 / 인도는 조장을 한데 그래서 / 길가에다가 시체들 버려 놓으면 독수리들이 와서 그걸 물고 가는데 / 그 물고 가는 걸 보면서 / 이제 아 이 사람이 하늘로 이제 승천했다 이렇게 믿는다는 거야 인도 사람들은 / 그래서 / 아 이런 식의 장례문화도 존재할 수 있구나 / 오히려 그게 더 편할 수도 있지 않을까 하는 생각도 조금 들기도 하고. /
	
P0 	:맞아 티베트도 그런 누나가 있잖아 천장 / 이라고 / 근데 / 정말 그 사람들은 불교 색채가 강해서 그런가 / 나는 아직 한국인 정서로는 / 받아들이기 힘든 거 같아 뭔가 그런 시체를 / 독수리가 쪼아 먹게 내버려둔다는 게 / 근데 요즘은 / 장례 파티를 하는 사람도 많더라고 / 생전에 근까 죽기 전에 / 살아 있을 때 이제 고마웠던 사람들을 불러서 / 고마웠다 이렇게 말을 하고 정말 / 그거야말로 그 세레모니처럼 / 하는 경우가 많더라고. /
	
P1 	:근데 뭐 죽음이라는 게 꼭 그렇게 예견될 수 있는 일은 아니니까. /
	 그게 / 뭔가 갑자기 닥쳐 올 수도 모르는 일이잖아 그래서 미리 / 주변 가족 구성원이나 친지들한테 / 나는 어떻게 했으면 좋겠다 이렇게 말을 해 놓는 게 좋을 거 같아 나 같은 경우에는 / 내가 일찍 죽게 되면 뭔가 사고로 일찍 뭐 혼수 상태에 빠지거나 / 뇌사 상태가 된다면 내 장기를 기증 해 달라 이렇게 / 공공연하게 여기저기 얘기를 하고 다녔거든. /
	 근데 뭐 물론 어머니는 반대하셨지만 / 아무튼 뭔가 그런 식으로 미리 자기가 닥쳐 올 일에 대해서 / 아니 닥쳐 올 언젠가 닥쳐 올 일에 대해서 미리 얘기를 하는 과정이 필요할 거 같아. /
	
P0 	:그거 있잖아 / 장기기증 그 / 카드 있는데 /
	
P1 	:아 신청 해야겠다. /
	
P0 	:어 그 신청하는 거 따로 있어 그래서 그 스티커를 /
	
P1 	:응. /
	
P0 	:붙여 놓으면 / 뭐 그렇게 한다 하더라고. /
	 옛날에는 약간 그렇게 하면은 장례식도 / 국가 차원에서 뭐 어떻게 해 준다 라고 들었던 거 같은데 / 병원 측에서인가 / 암튼 뭔가 장례 / 비용이 거의 무상으로 진행된다 이런 얘기를 들었던 거 같아. /
	 장례식은 사실 그냥 정말 / 식이지 그 전까지 어떻게 / 살아 오는지 그게 더 중요한 과정인 거 같아. /
	
P1 	:그래 우리 남은 날 잘 살도록 하자. {laughing} /
