# FILE DATA
ID : SDRW2100001717
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211202
topic : 가족 > 가족의 결혼 행사

# SPEAKER_INFO
id : SD2101901
age : 30대
occupation : 주부
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 경기
education : 대학원 이상

id : SD2101902
age : 30대
occupation : 무직/취업준비생
sex : 여성
birthplace : 울산
principal_residence : 충북
current_residence : 경기
education : 대졸

# SETTING
relation  :  부부


P0 	:저번 주에 우리 인천에 가서 오빠 만나고 왔었잖아? /
	 어떻게 오후 다섯시부터 새벽까지 / 그렇게 먹었는지 모르겠어. /
	 먹어도 먹어도 계속 들어가더라고. /
	 고기도 다양하게 먹었고 / 그날은 술도 다양하게 먹었었잖아? /
	 그다음날 외삼촌이 / 술에 취해 가지고 엄청 힘들어 했었잖아? /
	 그것도 생각하면 엄청 웃긴 거 같아. /
	
P0 	:나는 그때 외삼촌 생각하면 / 조금 기억에 남는 게 / 그때 우리가 고기를 많이 먹어서 / 불이 많이 약해졌었는데. /
	 거기다가 닭갈비를 구우려고 했던 게 기억나는 거 같아. /
	 외삼촌이 불 가까이서 구우면 안 된다고 했는데. /
	 내가 구웠더니 더 맛있었잖아? /
	
P1 	:아무래도 / 고기는 여보가 굽는 게 제일 맛있는 거 같아. /
	 외삼춘이 엄청 잘 하시는 척 했었는데. /
	 막상 구워 보니깐 별로더라고. /
	 그때도 여보가 양갈비도 준비해서 / 양갈비도 먹었었잖아? /
	 양갈비가 정말 맛있더라고. /
	
P0 	:원래 외숙모께서 고기를 거의 안 드시고 / 야채나 채소 종류만 좋아한다고 하셨잖아? /
	 그날 외삼촌이 사 오셨던 소고기나 닭고기 같은 것도 / 잘 드시지 않았었는데. /
	 외숙모가 내가 준비해 간 양갈비는 / 잘 드셔서 기분이 좋았었어. /
	 어머님도 양갈비 드시고 싶어 했는데. /
	 맛있게 잘 드시더라고. /
	
P1 	:아무래도 양갈비가 맛있어서 그럴 거야. /
	 더군다나 하루 전에 / 여보가 그거 다 양념에 재워 두고 / 맛있게 숙성도 했었잖아? /
	 그러니까 먹었을 때 맛있을 수밖에 없지. /
	 그리고 이번 주 일요일 날 / 어머님 생신이잖아? /
	 그때 어머님 생신 때 / 우리가 어떻게 하는 게 좋을까? /
	
P0 	:원래는 우리가 / 양가 부모님 생신이나 행사가 있을 때 / 그냥 용돈을 보내 드리기로 했었잖아? /
	 그래서 그냥 그렇게 해야 할 거 같아. /
	 뭐 다른 걸 특별히 하지는 못할 것 같고 /
	
P1 	:이번에도 저번에 아버님 생신처럼 / 같이 용돈 그냥 보내 드리고 / 다음번에 대구 내려가면 / 어머님 생신 겸 해서 / 또 파티 한번 하면 되지. /
	 나한테 케이크 상품권도 있거든. /
	 그거 해서 또 가져가면 / 어머님도 좋아하실 것 같고 / 아버님도 케이크를 사 가니까. /
	 아마 좋아하시지 않을까 싶어. /
	 아버님이 빵을 엄청 좋아하시잖아. /
	
P0 	:그런데 아빠랑 엄마랑은 / 서로 좋아하는 빵 스타일이 달라서 / 엄마 생일이니까 엄마가 좋아하는 걸로 사서 가야 할 거 같아. /
	 근데 아마 조금 있으면 명절이니까. /
	 명절 전에는 안 갈 거 같은데. /
	 그럼 생일이 너무 많이 지나고 나서 / 축하를 하는 게 아닌가 싶어. /
	
P1 	:주말에 날 잡고 한번 다녀오면 되지. /
	 아니면 평일에 가면 좋은데. /
	 평일에는 어머님도 일 하시니까. /
	 아마 조금 바쁘실 것 같고 / 토요일 저녁 쯤 맞춰서 내려 가서 / 같이 그날 맛있는 거 식사하고 / 하루 자고 일요일 날 올라 오는 것도 괜찮을 것 같아. /
	 저번에 우리 엄마 생일 때는 / 여보가 밥도 차려주고 그랬었는데. /
	 그래도 어머님 생신 때도 / 가서 얼굴 뵙고 인사 드리는 게 더 좋을 거 같아. /
	
P0 	:그때는 어머님이 먼저 내 생일을 챙겨 주셔서 / 나도 생신상도 차려 드렸던 거지. /
	 그때 내 생일 때 도련님이 케익도 준비해 주시고 / 어머님이 용돈도 주시고 생일 상도 차려 주시고 / 그리고 외식도 시켜 주셨었잖아? /
	 그래서 내가 그만큼 챙겨 드렸던 거지. /
	
P1 	:그때는 엄마도 여보 생일을 챙겨 주고 싶다고 / 그렇게 얘기하더라고. /
	 아무래도 결혼하고 / 첫 생일이니까. /
	 엄마가 조금 챙겨 주고 싶었나 봐. /
	 우리 집에는 딸이 없어서 그런지 / 엄마가 그런 생각을 좀 많이 했던 거 같아. /
	 나랑 동생은 아무래도 그냥 용돈을 드린다거나 / 생일 선물이나 / 생일 밥을 차려 주는 게 다인데. /
	 여보는 이것저것 열심히 다 하니까. /
	 그게 좋아서 엄마가 아마 그랬던 거 같아. /
	
P0 	:그러실 수도 있지. /
	 근데 여보 생일 때도 / 우리 엄마는 그냥 용돈만 줬었잖아. /
	 물론 그때는 결혼 전이긴 하지만 / 그랬기 때문에 여보도 우리 엄마 생일에 / 딱히 뭐 할 필요는 없어. /
	 그렇다고 여보가 미역국 끓이고 반찬 해서 / 엄마 생일상을 차려 주기도 조금 뭐 하잖아. /
	 그냥 용돈만 보내 드리고 / 다음에 대구 내려가게 되면 / 맛있는 거 식사 같이 하고 그렇게 하도록 하자. /
	
P1 	:그래도 상관은 없지. /
	 여보 말처럼 올해가 가기 전에 / 방문하는 게 좋을 거 같아. /
	 아무래도 내년이 되면 / 생일이 너무 지나 버린 거 같으니까. /
	 빠른 시일 내에 차라리 어머님 뵙고 / 맛있는 거 사 드리고 오는 게 / 우리도 좋고 / 어머님도 그게 더 좋으실 수도 있잖아. /
	 나는 어머님한테 다른 거 못 해 드렸는데. /
	 여보는 저번에 엄마 생일이라고 / 이것저것 뭐 많이 해 드렸었잖아. /
	 그래서인지 / 내가 지금 할 건 없지만 / 그래도 얼굴 뵈러 가는 게 제일 최선이라고 생각을 해. /
	
P0 	:그게 제일 좋지 뭐 어차피 / 여보가 가게 되면 나도 가니까. /
	 우리 엄마 아빠가 내 얼굴 한 번 더 보는 게 선물이라고 생각할 거야. /
	 기왕 대구까지 내려가는 김에 / 부산에 있는 외삼촌 집이랑 이모 집도 갔다 오면 좋을 거 같아. /
	 아니면 우리가 따로 부산까지 가려면 / 거의 네 시간에서 다섯 시간이 걸리니까. /
	 가는 김에 가 보도록 계획을 짜 보자. /
	
P1 	:차를 가져 가서 / 부산까지 갔다 오는 것도 좋긴 할텐데. /
	 조금 멀게 느껴지긴 한다. /
	 올라올 때 아마 / 차도 많이 막힐 거 같고 / 너무 멀어서 천천히 쉬엄쉬엄 와야 될 거 같아. /
	 여보 말처럼 네 다섯 시간 걸리니까. /
	 아마 운전하거나 / 여보도 옆에 있을 때 / 지루하면서 많이 힘들 거야. /
	
P0 	:나는 차 오래 타고 다닌 일이 많아서 / 생각보다 지루하지는 않아. /
	 대구에 가서 엄마 아빠랑 / 식사하고 하룻밤 자고 / 부산 가서 최삼촌이랑 이모 네랑 놀면서 하룻밤 자고 / 올라 오는 길에는 용인까지 너무 머니까. /
	 중간에 어머님 댁에 한번 들려도 되고 / 아니면 강원도 쪽으로 가서 / 우리 여행 삼아 하루 자고 올라가도 되지. /
	
P1 	:그래도 되겠다. /
	 여러 가지 방안을 생각해서 계획을 한번 짜 보자. /
	 어머니 생신 맞춰서 우리 내려갈 때 / 형님도 내려 오면 좋은데. /
	 형님은 시간이 좀 맞추기 어렵겠지? /
	
P0 	:우리 오빠는 워낙 휴무가 들쑥날쑥이라서 / 아무래도 맞춰서 가기엔 어려울 것 같아. /
