# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.268
metadata : {}


# id : NWRW1800000024.268.1.1
“뉴욕서 박연차 돈받은 사람 더 있다”

“뉴욕서	“/SS+뉴욕/NNP+서/JKB
곽씨는	곽/NNP+씨/NNB+는/JX
“묻지	“/SS+묻/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.268.3.1
곽씨는 이후 검찰이 “10명 가까이 된다고 했는데, 그건 박 전 회장의 친인척까지 포함해 한 말 아니냐”고 묻자, “(10명이) 다 정치인인지는 모르겠다”고 한발 물러섰다.

곽씨는	곽/NNP+씨/NNB+는/JX
이후	이후/NNG
검찰이	검찰/NNG+이/JKS
“10명	“/SS+10/SN+명/NNB
가까이	가까이/MAG
된다고	되/VV+ㄴ다고/EC
했는데,	하/VV+았/EP+는데/EC+,/SP
그건	그거/NP+ㄴ/JX
박	박/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
친인척까지	친인척/NNG+까지/JX
포함해	포함/NNG+하/XSV+아/EC
한	하/VV+ㄴ/ETM
말	말/NNG
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
묻자,	묻/VV+자/EC+,/SP
“(10명이)	“/SS+(/SS+10/SN+명/NNB+이/JKS+)/SS
다	다/MAG
정치인인지는	정치인/NNG+이/VCP+ㄴ지/EF+는/JX
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
한발	한발/MAG
물러섰다.	물러서/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.268.3.2
그는 두 의원 말고는 돈을 받아간 이들을 기억하지 못한다고 주장했다.

그는	그/NP+는/JX
두	두/MMN
의원	의원/NNG
말고는	말/VV+고/EC+는/JX
돈을	돈/NNG+을/JKO
받아간	받/VV+아/EC+가/VX+ㄴ/ETM
이들을	이/NNB+들/XSN+을/JKO
기억하지	기억/NNG+하/XSV+지/EC
못한다고	못하/VX+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.268.4.1
대검찰청 중앙수사부는 이에 대해 “박 전 회장의 메모에는 (미국에서 돈을 받은) 의원이 정확히 2명만 등장한다”며 “(10명 중 나머지에는) 박 전 회장의 친인척이 포함됐다”고 설명했다.

대검찰청	대/XPN+검찰청/NNG
중앙수사부는	중앙/NNG+수사부/NNG+는/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
“박	“/SS+박/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
메모에는	메모/NNG+에/JKB+는/JX
(미국에서	(/SS+미국/NNP+에서/JKB
돈을	돈/NNG+을/JKO
받은)	받/VV+은/ETM+)/SS
의원이	의원/NNG+이/JKS
정확히	정확히/MAG
2명만	2/SN+명/NNB+만/JX
등장한다”며	등장/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“(10명	“/SS+(/SS+10/SN+명/NNB
중	중/NNB
나머지에는)	나머지/NNG+에/JKB+는/JX+)/SS
박	박/NNP
친인척이	친인척/NNG+이/JKS
포함됐다”고	포함/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.268.4.2
그러나 검찰 안팎에서는 박 전 회장의 돈을 받은 정치인이 더 있는데도 검찰이 밝혀내지 못한 것 아니냐는 지적이 나오고 있다.

그러나	그러나/MAJ
검찰	검찰/NNG
안팎에서는	안팎/NNG+에서/JKB+는/JX
박	박/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
돈을	돈/NNG+을/JKO
받은	받/VV+은/ETM
정치인이	정치인/NNG+이/JKS
더	더/MAG
있는데도	있/VV+는데/EC+도/JX
검찰이	검찰/NNG+이/JKS
밝혀내지	밝혀내/VV+지/EC
못한	못하/VX+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
지적이	지적/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.268.5.1
이날 같은 법원의 형사합의23부(재판장 홍승면) 심리로 열린 박진(53) 한나라당 의원의 공판에 증인으로 나온 박 전 회장은 ‘박씨라는 이유로 돈을 건넨 의원이 또 있다’고 밝히기도 했다.

이날	이날/NNG
같은	같/VA+은/ETM
법원의	법원/NNG+의/JKG
형사합의23부(재판장	형사/NNG+합의/NNG+23/SN+부/NNG+(/SS+재판장/NNG
홍승면)	홍승면/NNP+)/SS
심리로	심리/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
박진(53)	박진/NNP+(/SS+53/SN+)/SS
한나라당	한나라당/NNP
의원의	의원/NNG+의/JKG
공판에	공판/NNG+에/JKB
증인으로	증인/NNG+으로/JKB
나온	나오/VV+ㄴ/ETM
박	박/NNP
전	전/MMD
회장은	회장/NNG+은/JX
‘박씨라는	‘/SS+박/NNP+씨/NNB+이/VCP+라는/ETM
이유로	이유/NNG+로/JKB
돈을	돈/NNG+을/JKO
건넨	건네/VV+ㄴ/ETM
의원이	의원/NNG+이/JKS
또	또/MAG
있다’고	있/VA+다/EF+’/SS+고/JKQ
밝히기도	밝히/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.268.5.2
같은 박씨니까 도와주라는 천신일(66) 세중나모여행 회장의 말에 따라 박 의원에게 3천여만원을 제공했다고 진술한 박 전 회장은 “박씨 성을 가진 또다른 의원도 도와준 적 있느냐”는 변호인 신문에 “있다”고 답했다.

같은	같/VA+은/ETM
박씨니까	박/NNP+씨/NNB+이/VCP+니까/EC
도와주라는	도와주/VV+라는/ETM
천신일(66)	천신일/NNP+(/SS+66/SN+)/SS
세중나모여행	세중나모여행/NNP
회장의	회장/NNG+의/JKG
말에	말/NNG+에/JKB
따라	따르/VV+아/EC
박	박/NNP
의원에게	의원/NNG+에게/JKB
3천여만원을	3/SN+천/NR+여/XSN+만/NR+원/NNB+을/JKO
제공했다고	제공/NNG+하/XSV+았/EP+다고/EC
진술한	진술/NNG+하/XSV+ㄴ/ETM
전	전/MMD
회장은	회장/NNG+은/JX
“박씨	“/SS+박/NNP+씨/NNB
성을	성/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
또다른	또/MAG+다른/MMD
의원도	의원/NNG+도/JX
도와준	도와주/VV+ㄴ/ETM
적	적/NNB
있느냐”는	있/VV+느냐/EF+”/SS+는/ETM
변호인	변호인/NNG
신문에	신문/NNG+에/JKB
“있다”고	“/SS+있/VA+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.268.5.3
검찰 관계자는 박 전 회장의 진술이 “박관용 전 국회의장을 가리키는 게 아닌가 싶다”고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
박	박/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
진술이	진술/NNG+이/JKS
“박관용	“/SS+박관용/NNP
국회의장을	국회/NNG+의장/NNG+을/JKO
가리키는	가리키/VV+는/ETM
게	거/NNB+이/JKC
아닌가	아니/VCN+ㄴ가/EF
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.268.6.1
한편, 같은 재판부는 박 전 회장에게서 불법 정치자금을 받은 혐의로 기소된 이정욱(60) 전 한국해양수산개발원 원장과 송은복(66) 전 김해시장에게 각각 징역 2년에 추징금 7억원, 징역 2년6월에 추징금 10억원을 선고했다.

한편,	한편/MAG+,/SP
같은	같/VA+은/ETM
재판부는	재판부/NNG+는/JX
박	박/NNP
전	전/MMD
회장에게서	회장/NNG+에게서/JKB
불법	불법/NNG
정치자금을	정치/NNG+자금/NNG+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
이정욱(60)	이정욱/NNP+(/SS+60/SN+)/SS
한국해양수산개발원	한국해양수산개발원/NNP
원장과	원장/NNG+과/JC
송은복(66)	송은복/NNP+(/SS+66/SN+)/SS
김해시장에게	김해시장/NNG+에게/JKB
각각	각각/MAG
징역	징역/NNG
2년에	2/SN+년/NNB+에/JKB
추징금	추징금/NNG
7억원,	7/SN+억/NR+원/NNB+,/SP
2년6월에	2/SN+년/NNB+6/SN+월/NNB+에/JKB
10억원을	10/SN+억/NR+원/NNB+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


