# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.18
metadata : {}


# id : NWRW1800000056.18.1.1
현대기아차 5조·롯데마트 5천억…사드보복 장기화 피해액 ‘눈덩이’

현대기아차	현대기아차/NNP
이르는	이르/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.18.5.2
가장 두드러진 피해를 입은 곳은 현대·기아차다.

가장	가장/MAG
두드러진	두드러지/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
입은	입/VV+은/ETM
곳은	곳/NNG+은/JX
현대·기아차다.	현대/NNP+·/SP+기아차/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000056.18.5.3
상반기에만 5조원 안팎의 매출 손실을 입은 것으로 추산된다.

상반기에만	상반기/NNG+에/JKB+만/JX
5조원	5/SN+조/NR+원/NNB
안팎의	안팎/NNG+의/JKG
매출	매출/NNG
손실을	손실/NNG+을/JKO
입은	입/VV+은/ETM
것으로	것/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.18.5.4
지난 3월 이후 중국 시장에서 판매가 넉달 연속 50% 이상 급감했다.

지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
이후	이후/NNG
중국	중국/NNP
시장에서	시장/NNG+에서/JKB
판매가	판매/NNG+가/JKS
넉달	넉/MMN+달/NNB
연속	연속/NNG
50%	50/SN+%/SW
이상	이상/NNG
급감했다.	급감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.18.5.5
상반기 전체 판매량은 42만9천대에 그쳐, 중국 시장 진출 초기인 2009년 수준으로 돌아갔다.

상반기	상반기/NNG
전체	전체/NNG
판매량은	판매량/NNG+은/JX
42만9천대에	42/SN+만/NR+9/SN+천/NR+대/NNB+에/JKB
그쳐,	그치/VV+어/EC+,/SP
중국	중국/NNP
시장	시장/NNG
진출	진출/NNG
초기인	초기/NNG+이/VCP+ㄴ/ETM
2009년	2009/SN+년/NNB
수준으로	수준/NNG+으로/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.18.5.6
올해 판매량이 100만대도 못 미칠 것이란 우려까지 나온다.

올해	올해/NNG
판매량이	판매량/NNG+이/JKS
100만대도	100/SN+만/NR+대/NNB+도/JX
못	못/MAG
미칠	미치/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
우려까지	우려/NNG+까지/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.18.5.7
지난해 중국 판매량은 179만대였다.

지난해	지난해/NNG
중국	중국/NNP
판매량은	판매량/NNG+은/JX
179만대였다.	179/SN+만/NR+대/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.18.6.1
중국 쇼크는 현대·기아차 중국 공장에 납품하는 중소 협력업체로도 번졌다.

중국	중국/NNP
쇼크는	쇼크/NNG+는/JX
현대·기아차	현대/NNP+·/SP+기아차/NNP
공장에	공장/NNG+에/JKB
납품하는	납품/NNG+하/XSV+는/ETM
중소	중소/NNG
협력업체로도	협력/NNG+업체/NNG+로/JKB+도/JX
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.18.6.2
한국무역협회의 집계를 보면, 5월까지 대중국 자동차부품 수출은 15억6천만달러로 지난해 같은 기간보다 33.2% 줄었다.

한국무역협회의	한국무역협회/NNP+의/JKG
집계를	집계/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
5월까지	5/SN+월/NNB+까지/JX
대중국	대중국/NNG
자동차부품	자동차/NNG+부품/NNG
수출은	수출/NNG+은/JX
15억6천만달러로	15/SN+억/NR+6/SN+천만/NR+달러/NNB+로/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
33.2%	33/SN+./SP+2/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.18.7.1
유통·면세점 업계도 직격탄을 맞았다.

유통·면세점	유통/NNG+·/SP+면세점/NNG
업계도	업계/NNG+도/JX
직격탄을	직격탄/NNG+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.18.7.2
면세점 업계는 중국인 관광객의 감소로 3월 이후 석달간 6천억원가량의 피해를 입은 것으로 추정한다.

면세점	면세점/NNG
업계는	업계/NNG+는/JX
중국인	중국인/NNG
관광객의	관광객/NNG+의/JKG
감소로	감소/NNG+로/JKB
3월	3/SN+월/NNB
이후	이후/NNG
석달간	석/MMN+달/NNB+간/XSN
6천억원가량의	6/SN+천억/NR+원/NNB+가량/XSN+의/JKG
피해를	피해/NNG+를/JKO
입은	입/VV+은/ETM
것으로	것/NNB+으로/JKB
추정한다.	추정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.18.7.3
롯데마트는 3~5월 중국 내 99개 점포 가운데 74곳이 ‘소방점검’ 등의 사유로 영업정지를 맞아 문을 닫은 상태다.

롯데마트는	롯데마트/NNP+는/JX
3~5월	3/SN+~/SO+5/SN+월/NNB
중국	중국/NNP
내	내/NNB
99개	99/SN+개/NNB
점포	점포/NNG
가운데	가운데/NNG
74곳이	74/SN+곳/NNG+이/JKS
‘소방점검’	‘/SS+소방/NNG+점검/NNG+’/SS
등의	등/NNB+의/JKG
사유로	사유/NNG+로/JKB
영업정지를	영업/NNG+정지/NNG+를/JKO
맞아	맞/VV+아/EC
문을	문/NNG+을/JKO
닫은	닫/VV+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.18.7.4
롯데마트는 넉달간 피해액을 약 5천억원 규모로 추산한다.

롯데마트는	롯데마트/NNP+는/JX
넉달간	넉/MMN+달/NNB+간/XSN
피해액을	피해액/NNG+을/JKO
약	약/MMA
5천억원	5/SN+천억/NR+원/NNB
규모로	규모/NNG+로/JKB
추산한다.	추산/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.18.7.5
오리온도 초코파이 등의 매출이 줄어 일부 생산라인 가동을 멈추며 출하량을 조절하고 있다.

오리온도	오리온/NNP+도/JX
초코파이	초코파이/NNP
등의	등/NNB+의/JKG
매출이	매출/NNG+이/JKS
줄어	줄/VV+어/EC
일부	일부/NNG
생산라인	생산/NNG+라인/NNG
가동을	가동/NNG+을/JKO
멈추며	멈추/VV+며/EC
출하량을	출하량/NNG+을/JKO
조절하고	조절/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.18.8.1
삼성에스디아이(SDI), 엘지(LG)화학, 에스케이(SK)이노베이션 등 전기차 배터리 업계는 중국 정부의 보조금 지원 대상에 포함되지 않아 어려움을 겪고 있다.

삼성에스디아이(SDI),	삼성에스디아이/NNP+(/SS+SDI/SL+)/SS+,/SP
엘지(LG)화학,	엘지/NNP+(/SS+LG/SL+)/SS+화학/NNG+,/SP
에스케이(SK)이노베이션	에스케이/NNP+(/SS+SK/SL+)/SS+이노베이션/NNP
등	등/NNB
전기차	전기/NNG+차/NNG
배터리	배터리/NNG
업계는	업계/NNG+는/JX
중국	중국/NNP
정부의	정부/NNG+의/JKG
보조금	보조금/NNG
지원	지원/NNG
대상에	대상/NNG+에/JKB
포함되지	포함/NNG+되/XSV+지/EC
않아	않/VX+아/EC
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.18.8.2
에스케이이노베이션은 아예 공장 가동을 멈춘 상태다.

에스케이이노베이션은	에스케이이노베이션/NNP+은/JX
아예	아예/MAG
공장	공장/NNG
가동을	가동/NNG+을/JKO
멈춘	멈추/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.18.8.3
또 게임 업체는 판매를 위한 중국 정부 허가를 얻지 못하고 있다.

또	또/MAG
게임	게임/NNG
업체는	업체/NNG+는/JX
판매를	판매/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
중국	중국/NNP
정부	정부/NNG
허가를	허가/NNG+를/JKO
얻지	얻/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.18.9.1
이런 상황을 두고 업계 안팎에서는 사드 배치로 인한 외교적 갈등 못지않게 일부 산업·품목에서는 중국의 자국산업 보호 목적이 혼재돼 있는 것으로 분석한다.

이런	이런/MMD
상황을	상황/NNG+을/JKO
두고	두/VV+고/EC
업계	업계/NNG
안팎에서는	안팎/NNG+에서/JKB+는/JX
사드	사드/NNG
배치로	배치/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
외교적	외교/NNG+적/XSN
갈등	갈등/NNG
못지않게	못지않/VA+게/EC
일부	일부/NNG
산업·품목에서는	산업/NNG+·/SP+품목/NNG+에서/JKB+는/JX
중국의	중국/NNP+의/JKG
자국산업	자국/NNG+산업/NNG
보호	보호/NNG
목적이	목적/NNG+이/JKS
혼재돼	혼재/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
분석한다.	분석/NNG+하/XSV+ㄴ다/EF+./SF


