# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.57
metadata : {}


# id : NWRW1800000049.57.1.1
‘트럼프 性추행’ 폭로전에 정책검증 사라진 美대선

‘트럼프	‘/SS+트럼프/NNP
# id : NWRW1800000049.57.4.1
당시 38세였던 리즈는 12일 보도된 뉴욕타임스(NYT) 인터뷰에서 “트럼프는 마치 문어 같았다.

당시	당시/NNG
38세였던	38/SN+세/NNB+이/VCP+었/EP+던/ETM
리즈는	리즈/NNP+는/JX
12일	12/SN+일/NNB
보도된	보도/NNG+되/XSV+ㄴ/ETM
뉴욕타임스(NYT)	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS
인터뷰에서	인터뷰/NNG+에서/JKB
“트럼프는	“/SS+트럼프/NNP+는/JX
마치	마치/MAG
문어	문어/NNG
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.57.4.2
그의 손은 (내 몸) 모든 곳에 있었다”고 회상하며 “2차 TV토론에 나온 트럼프가 ‘성추행 같은 것은 하지 않았다’고 말할 때 화면을 주먹으로 치고 싶었다”고 말했다.

그의	그/NP+의/JKG
손은	손/NNG+은/JX
(내	(/SS+나/NP+의/JKG
몸)	몸/NNG+)/SS
모든	모든/MMN
곳에	곳/NNG+에/JKB
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
회상하며	회상/NNG+하/XSV+며/EC
“2차	“/SS+2/SN+차/NNB
TV토론에	TV/SL+토론/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
트럼프가	트럼프/NNP+가/JKS
‘성추행	‘/SS+성추행/NNG
같은	같/VA+은/ETM
것은	것/NNB+은/JX
하지	하/VV+지/EC
않았다’고	않/VX+았/EP+다/EF+’/SS+고/JKQ
말할	말/NNG+하/XSV+ㄹ/ETM
때	때/NNG
화면을	화면/NNG+을/JKO
주먹으로	주먹/NNG+으로/JKB
치고	치/VV+고/EC
싶었다”고	싶/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.57.5.1
트럼프의 성추행 의혹이 고구마 줄기처럼 잇달아 터져 나오며 미국 대선판의 폭로전이 본격화되고 있다.

트럼프의	트럼프/NNP+의/JKG
성추행	성추행/NNG
의혹이	의혹/NNG+이/JKS
고구마	고구마/NNG
줄기처럼	줄기/NNG+처럼/JKB
잇달아	잇달/VV+아/EC
터져	터지/VV+어/EC
나오며	나오/VV+며/EC
미국	미국/NNP
대선판의	대선판/NNG+의/JKG
폭로전이	폭로전/NNG+이/JKS
본격화되고	본격/NNG+화/XSN+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.57.5.2
음담패설 동영상에 이어 실제로 성추행을 당했다는 여성들의 증언이 이어지면서 대선 판은 온통 성추문 기사가 신문 방송을 뒤덮고 있다.

음담패설	음담패설/NNG
동영상에	동영상/NNG+에/JKB
이어	잇/VV+어/EC
실제로	실제로/MAG
성추행을	성추행/NNG+을/JKO
당했다는	당하/VV+았/EP+다는/ETM
여성들의	여성/NNG+들/XSN+의/JKG
증언이	증언/NNG+이/JKS
이어지면서	이어지/VV+면서/EC
대선	대선/NNG
판은	판/NNG+은/JX
온통	온통/MAG
성추문	성/NNG+추문/NNG
기사가	기사/NNG+가/JKS
신문	신문/NNG
방송을	방송/NNG+을/JKO
뒤덮고	뒤덮/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.57.5.3
정작 중요한 국내외 현안들에 대한 정책 검증은 실종되고 있다.

정작	정작/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
국내외	국내외/NNG
현안들에	현안/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
정책	정책/NNG
검증은	검증/NNG+은/JX
실종되고	실종/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.57.6.1
NYT는 2005년 한 부동산 투자회사의 안내 데스크에서 일했던 레이철 크룩스(33)도 인터뷰했다.

NYT는	NYT/SL+는/JX
2005년	2005/SN+년/NNB
한	한/MMN
부동산	부동산/NNG
투자회사의	투자/NNG+회사/NNG+의/JKG
안내	안내/NNG
데스크에서	데스크/NNG+에서/JKB
일했던	일/NNG+하/XSV+았/EP+던/ETM
레이철	레이철/NNP
크룩스(33)도	크룩스/NNP+(/SS+33/SN+)/SS+도/JX
인터뷰했다.	인터뷰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.57.6.2
당시 22세였던 크룩스가 엘리베이터 앞에서 트럼프를 알아보고 인사를 하자 트럼프는 볼에 뽀뽀한 이후 바로 입에 키스했다.

당시	당시/NNG
22세였던	22/SN+세/NNB+이/VCP+었/EP+던/ETM
크룩스가	크룩스/NNP+가/JKS
엘리베이터	엘리베이터/NNG
앞에서	앞/NNG+에서/JKB
트럼프를	트럼프/NNP+를/JKO
알아보고	알아보/VV+고/EC
인사를	인사/NNG+를/JKO
하자	하/VV+자/EC
트럼프는	트럼프/NNP+는/JX
볼에	볼/NNG+에/JKB
뽀뽀한	뽀뽀/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
바로	바로/MAG
입에	입/NNG+에/JKB
키스했다.	키스/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.57.6.3
크룩스는 “그렇게 할 수 있을 정도로 나를 하찮게 봤다는 생각에 화가 났다”고 전했다.

크룩스는	크룩스/NNP+는/JX
“그렇게	“/SS+그렇/VA+게/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
정도로	정도/NNG+로/JKB
나를	나/NP+를/JKO
하찮게	하찮/VA+게/EC
봤다는	보/VV+았/EP+다는/ETM
생각에	생각/NNG+에/JKB
화가	화/NNG+가/JKS
났다”고	나/VV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.57.7.1
트럼프는 11일 밤 확인을 요청하는 NYT에 “그런 일은 절대 없다”며 “(당신 신문은) 나를 역겨운 인간으로 만들고 있다”고 거세게 항의했다.

트럼프는	트럼프/NNP+는/JX
11일	11/SN+일/NNB
밤	밤/NNG
확인을	확인/NNG+을/JKO
요청하는	요청/NNG+하/XSV+는/ETM
NYT에	NYT/SL+에/JKB
“그런	“/SS+그런/MMD
일은	일/NNG+은/JX
절대	절대/MAG
없다”며	없/VA+다/EF+”/SS+며/EC
“(당신	“/SS+(/SS+당신/NP
신문은)	신문/NNG+은/JX+)/SS
나를	나/NP+를/JKO
역겨운	역겹/VA+ㄴ/ETM
인간으로	인간/NNG+으로/JKB
만들고	만들/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
거세게	거세/VA+게/EC
항의했다.	항의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.57.7.2
월간 애틀랜틱은 트럼프에게 성적 피해를 입었다고 호소하는 여성이 리즈와 크룩스를 포함해 최소 5명 이상이라고 보도했다.

월간	월간/NNG
애틀랜틱은	애틀랜틱/NNP+은/JX
트럼프에게	트럼프/NNP+에게/JKB
성적	성/NNG+적/XSN
피해를	피해/NNG+를/JKO
입었다고	입/VV+었/EP+다고/EC
호소하는	호소/NNG+하/XSV+는/ETM
여성이	여성/NNG+이/JKS
리즈와	리즈/NNP+와/JC
크룩스를	크룩스/NNP+를/JKO
포함해	포함/NNG+하/XSV+아/EC
최소	최소/NNG
5명	5/SN+명/NNB
이상이라고	이상/NNG+이/VCP+라고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.57.7.3
이 매체는 “트럼프의 리조트에서 사진 보조로 일했던 민디 맥길리브레이, 전 피플지 기자인 나타샤 스토이노프, 트럼프가 주최하는 미인대회에서 일했던 질 하스 등 3명이 트럼프에게 추행을 당했다고 호소했다”고 전했다.

이	이/MMD
매체는	매체/NNG+는/JX
“트럼프의	“/SS+트럼프/NNP+의/JKG
리조트에서	리조트/NNG+에서/JKB
사진	사진/NNG
보조로	보조/NNG+로/JKB
일했던	일/NNG+하/XSV+았/EP+던/ETM
민디	민디/NNP
맥길리브레이,	맥길리브레이/NNP+,/SP
전	전/MMD
피플지	피플지/NNG
기자인	기자/NNG+이/VCP+ㄴ/ETM
나타샤	나타샤/NNP
스토이노프,	스토이노프/NNP+,/SP
트럼프가	트럼프/NNP+가/JKS
주최하는	주최/NNG+하/XSV+는/ETM
미인대회에서	미인/NNG+대회/NNG+에서/JKB
질	질/NNP
하스	하스/NNP
등	등/NNB
3명이	3/SN+명/NNB+이/JKS
트럼프에게	트럼프/NNP+에게/JKB
추행을	추행/NNG+을/JKO
당했다고	당하/VV+았/EP+다고/EC
호소했다”고	호소/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.57.8.1
트럼프가 자신이 주최한 미인대회에서 참가자들이 옷을 갈아입는 중에 탈의실에 들어갔다는 주장도 나왔다.

트럼프가	트럼프/NNP+가/JKS
자신이	자신/NNG+이/JKS
주최한	주최/NNG+하/XSV+ㄴ/ETM
미인대회에서	미인/NNG+대회/NNG+에서/JKB
참가자들이	참가자/NNG+들/XSN+이/JKS
옷을	옷/NNG+을/JKO
갈아입는	갈아입/VV+는/ETM
중에	중/NNB+에/JKB
탈의실에	탈의실/NNG+에/JKB
들어갔다는	들어가/VV+았/EP+다는/ETM
주장도	주장/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.57.8.2
2001년 미스 애리조나 출신인 타샤 딕슨은 12일 미 CBS2 방송 인터뷰에서 “당시 미스USA 대회 참가자들이 옷을 갈아입느라 나체, 또는 반나체 상태인데도 트럼프가 탈의실에 들어왔다”고 증언했다.

2001년	2001/SN+년/NNB
미스	미스/NNG
애리조나	애리조나/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
타샤	타샤/NNP
딕슨은	딕슨/NNP+은/JX
12일	12/SN+일/NNB
미	미/NNP
CBS2	CBS/SL+2/SN
방송	방송/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“당시	“/SS+당시/NNG
미스USA	미스/NNG+USA/SL
대회	대회/NNG
참가자들이	참가자/NNG+들/XSN+이/JKS
옷을	옷/NNG+을/JKO
갈아입느라	갈아입/VV+느라/EC
나체,	나체/NNG+,/SP
또는	또는/MAG
반나체	반나체/NNG
상태인데도	상태/NNG+이/VCP+ㄴ데/EC+도/JX
트럼프가	트럼프/NNP+가/JKS
탈의실에	탈의실/NNG+에/JKB
들어왔다”고	들어오/VV+았/EP+다/EF+”/SS+고/JKQ
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.57.8.3
온라인매체 버즈피드는 트럼프가 1997년 미스 틴(teen) USA(14∼19세) 대회 탈의실에도 들어갔다고 전했다.

온라인매체	온라인/NNG+매체/NNG
버즈피드는	버즈피드/NNP+는/JX
트럼프가	트럼프/NNP+가/JKS
1997년	1997/SN+년/NNB
미스	미스/NNG
틴(teen)	틴/NNG+(/SS+teen/SL+)/SS
USA(14∼19세)	USA/SL+(/SS+14/SN+∼/SO+19/SN+세/NNB+)/SS
대회	대회/NNG
탈의실에도	탈의실/NNG+에/JKB+도/JX
들어갔다고	들어가/VV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.57.8.4
당시 51명의 10대 소녀들이 개인 칸막이도 없는 대형 탈의실을 함께 사용하고 있었다.

당시	당시/NNG
51명의	51/SN+명/NNB+의/JKG
10대	10/SN+대/NNB
소녀들이	소녀/NNG+들/XSN+이/JKS
개인	개인/NNG
칸막이도	칸막이/NNG+도/JX
없는	없/VA+는/ETM
대형	대형/NNG
탈의실을	탈의실/NNG+을/JKO
함께	함께/MAG
사용하고	사용/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.57.8.5
참가자인 머라이아 빌라도는 “트럼프가 ‘숙녀분들 걱정 마세요.

참가자인	참가자/NNG+이/VCP+ㄴ/ETM
머라이아	머라이아/NNP
빌라도는	빌라도/NNP+는/JX
“트럼프가	“/SS+트럼프/NNP+가/JKS
‘숙녀분들	‘/SS+숙녀분/NNG+들/XSN
걱정	걱정/NNG
마세요.	말/VV+시/EP+어요/EF+./SF


# id : NWRW1800000049.57.8.6
난 이런 것 많이 봤습니다’라고 말한 게 기억난다”고 전했다.

난	나/NP+ㄴ/JX
이런	이런/MMD
것	것/NNB
많이	많이/MAG
봤습니다’라고	보/VV+았/EP+습니다/EF+’/SS+라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
기억난다”고	기억나/VV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.57.9.1
허핑턴포스트는 2010년 리얼리티 쇼 ‘어프렌티스’에 출연한 트럼프가 신인 가수 에밀리 웨스트에 대해 “피부가 거칠다”며 힐난했다고 출연진 발언 문서를 입수해 10일 공개했다.

허핑턴포스트는	허핑턴포스트/NNP+는/JX
2010년	2010/SN+년/NNB
리얼리티	리얼리티/NNG
쇼	쇼/NNG
‘어프렌티스’에	‘/SS+어프렌티스/NNG+’/SS+에/JKB
출연한	출연/NNG+하/XSV+ㄴ/ETM
트럼프가	트럼프/NNP+가/JKS
신인	신인/NNG
가수	가수/NNG
에밀리	에밀리/NNP
웨스트에	웨스트/NNP+에/JKB
대해	대하/VV+아/EC
“피부가	“/SS+피부/NNG+가/JKS
거칠다”며	거칠/VA+다/EF+”/SS+며/EC
힐난했다고	힐난/NNG+하/XSV+았/EP+다고/EC
출연진	출연진/NNG
발언	발언/NNG
문서를	문서/NNG+를/JKO
입수해	입수/NNG+하/XSV+아/EC
10일	10/SN+일/NNB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.57.9.2
트럼프는 “그녀의 피부, 피부가 엉망이다.

트럼프는	트럼프/NNP+는/JX
“그녀의	“/SS+그녀/NP+의/JKG
피부,	피부/NNG+,/SP
피부가	피부/NNG+가/JKS
엉망이다.	엉망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.57.9.3
피부과에서 제대로 치료를 받아야 한다”고 깎아내렸다.

피부과에서	피부과/NNG+에서/JKB
제대로	제대로/MAG
치료를	치료/NNG+를/JKO
받아야	받/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
깎아내렸다.	깎아내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.57.10.1
캐나다 첫 여성 총리인 킴 캠벨은 11일 캐나다 국영방송 CBS 인터뷰에서 트럼프에 대해 “동의 없는 성적 접촉은 성폭행”이라며 “유명인이기에 권리가 있다고 생각하고 그런 행동을 하는 것은 일종의 약탈”이라며 강도 높게 비판했다.

캐나다	캐나다/NNP
첫	첫/MMN
여성	여성/NNG
총리인	총리/NNG+이/VCP+ㄴ/ETM
킴	킴/NNP
캠벨은	캠벨/NNP+은/JX
11일	11/SN+일/NNB
국영방송	국영/NNG+방송/NNG
CBS	CBS/SL
인터뷰에서	인터뷰/NNG+에서/JKB
트럼프에	트럼프/NNP+에/JKB
대해	대하/VV+아/EC
“동의	“/SS+동의/NNG
없는	없/VA+는/ETM
성적	성/NNG+적/XSN
접촉은	접촉/NNG+은/JX
성폭행”이라며	성폭행/NNG+”/SS+이/VCP+라며/EC
“유명인이기에	“/SS+유명인/NNG+이/VCP+기에/EC
권리가	권리/NNG+가/JKS
있다고	있/VA+다고/EC
생각하고	생각/NNG+하/XSV+고/EC
그런	그런/MMD
행동을	행동/NNG+을/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
일종의	일종/NNG+의/JKG
약탈”이라며	약탈/NNG+”/SS+이/VCP+라며/EC
강도	강도/NNG
높게	높/VA+게/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


