# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.234
metadata : {}


# id : NWRW1800000037.234.1.1
유도계 대부 vs 첫 여성후보… 체육회장 선거 후보등록

유도계	유도/NNG+계/XSN
등록을	등록/NNG+을/JKO
하지	하/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.234.5.1
똑같이 경기인 출신으로 체육행정 경험도 갖춘 두 후보는 이번 선거를 앞두고 배수진을 쳤다.

똑같이	똑같이/MAG
경기인	경기인/NNG
출신으로	출신/NNG+으로/JKB
체육행정	체육/NNG+행정/NNG
경험도	경험/NNG+도/JX
갖춘	갖추/VV+ㄴ/ETM
두	두/MMN
후보는	후보/NNG+는/JX
이번	이번/NNG
선거를	선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
배수진을	배수진/NNG+을/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.234.5.2
김 총장은 20년 동안 맡아왔던 대한유도회장직을, 이 의원은 용인대 교수직을 각각 사퇴했다.

김	김/NNP
총장은	총장/NNG+은/JX
20년	20/SN+년/NNB
동안	동안/NNG
맡아왔던	맡/VV+아/EC+오/VX+았/EP+던/ETM
대한유도회장직을,	대한유도회장직/NNG+을/JKO+,/SP
이	이/NNP
의원은	의원/NNG+은/JX
용인대	용인대/NNP
교수직을	교수직/NNG+을/JKO
각각	각각/MAG
사퇴했다.	사퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.234.6.1
체육계에서는 이번 선거가 투표 전날까지 후보 간의 우열을 점칠 수 없는 백중세로 진행될 것으로 전망하고 있다.

체육계에서는	체육/NNG+계/XSN+에서/JKB+는/JX
이번	이번/NNG
선거가	선거/NNG+가/JKS
투표	투표/NNG
전날까지	전날/NNG+까지/JX
후보	후보/NNG
간의	간/NNB+의/JKG
우열을	우열/NNG+을/JKO
점칠	점치/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
백중세로	백중세/NNG+로/JKB
진행될	진행/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망하고	전망/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.234.6.2
두 후보 모두 한국 체육에 기여한 공로가 큰 데다 ‘유도계의 대부’와 ‘첫 여성’이라는 나름대로의 명분도 갖추고 있기 때문이다.

두	두/MMN
후보	후보/NNG
모두	모두/MAG
한국	한국/NNP
체육에	체육/NNG+에/JKB
기여한	기여/NNG+하/XSV+ㄴ/ETM
공로가	공로/NNG+가/JKS
큰	크/VA+ㄴ/ETM
데다	데/NNB+다/JX
‘유도계의	‘/SS+유도/NNG+계/XSN+의/JKG
대부’와	대부/NNG+’/SS+와/JC
‘첫	‘/SS+첫/MMN
여성’이라는	여성/NNG+’/SS+이/VCP+라는/ETM
나름대로의	나름/NNB+대로/JX+의/JKG
명분도	명분/NNG+도/JX
갖추고	갖추/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.234.7.1
따라서 승부의 관건은 김 총장이 박용성 현 대한체육회장의 지지 표를 얼마나 흡수할 수 있느냐와 박근혜 대통령 당선인과 가까운 이 의원이 여당 의원 프리미엄을 얼마나 누릴 수 있느냐에 달렸다는 전망이 많다.

따라서	따라서/MAJ
승부의	승부/NNG+의/JKG
관건은	관건/NNG+은/JX
김	김/NNP
총장이	총장/NNG+이/JKS
박용성	박용성/NNP
현	현/MMD
대한체육회장의	대한체육회장/NNG+의/JKG
지지	지지/NNG
표를	표/NNG+를/JKO
얼마나	얼마나/MAG
흡수할	흡수/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있느냐와	있/VA+느냐/EF+와/JC
박근혜	박근혜/NNP
대통령	대통령/NNG
당선인과	당선인/NNG+과/JKB
가까운	가깝/VA+ㄴ/ETM
이	이/NNP
의원이	의원/NNG+이/JKS
여당	여당/NNG
의원	의원/NNG
프리미엄을	프리미엄/NNG+을/JKO
누릴	누리/VV+ㄹ/ETM
있느냐에	있/VA+느냐/EF+에/JKB
달렸다는	달리/VV+었/EP+다는/ETM
전망이	전망/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000037.234.8.1
22일 대의원총회에는 새 회장을 뽑지 못한 스키협회와 복싱연맹을 제외한 53개 경기단체의 대표와 문대성 국제올림픽위원회(IOC) 위원 등 54명이 참석할 것으로 예상된다.

22일	22/SN+일/NNB
대의원총회에는	대의원/NNG+총회/NNG+에/JKB+는/JX
새	새/MMA
회장을	회장/NNG+을/JKO
뽑지	뽑/VV+지/EC
못한	못하/VX+ㄴ/ETM
스키협회와	스키/NNG+협회/NNG+와/JC
복싱연맹을	복싱/NNG+연맹/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
53개	53/SN+개/NNB
경기단체의	경기/NNG+단체/NNG+의/JKG
대표와	대표/NNG+와/JC
문대성	문대성/NNP
국제올림픽위원회(IOC)	국제올림픽위원회/NNP+(/SS+IOC/SL+)/SS
위원	위원/NNG
등	등/NNB
54명이	54/SN+명/NNB+이/JKS
참석할	참석/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.234.8.2
이에 따라 1차 투표에서 과반인 28표 이상을 얻으면 당선된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
1차	1/SN+차/NNB
투표에서	투표/NNG+에서/JKB
과반인	과반/NNG+이/VCP+ㄴ/ETM
28표	28/SN+표/NNG
이상을	이상/NNG+을/JKO
얻으면	얻/VV+으면/EC
당선된다.	당선/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.234.8.3
1차에서 과반 득표자가 나오지 않으면 2차 투표를 치러 많은 표를 얻은 후보가 회장으로 선출된다.

1차에서	1/SN+차/NNB+에서/JKB
과반	과반/NNG
득표자가	득표자/NNG+가/JKS
나오지	나오/VV+지/EC
않으면	않/VX+으면/EC
2차	2/SN+차/NNB
투표를	투표/NNG+를/JKO
치러	치르/VV+어/EC
많은	많/VA+은/ETM
표를	표/NNG+를/JKO
얻은	얻/VV+은/ETM
후보가	후보/NNG+가/JKS
회장으로	회장/NNG+으로/JKB
선출된다.	선출/NNG+되/XSV+ㄴ다/EF+./SF


