# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.156
metadata : {}


# id : NWRW1800000029.156.1.1
입 닥쳐!… 佛 사르코지 대통령, 英 캐머런 총리에 막말 파문

입	입/NNG
영국은 유로존에 참가하지 않고 자국의 독자화폐인 파운드를 쓰고 있다.

영국은	영국/NNP+은/JX
유로존에	유로존/NNG+에/JKB
참가하지	참가/NNG+하/XSV+지/EC
않고	않/VX+고/EC
자국의	자국/NNG+의/JKG
독자화폐인	독자/NNG+화폐/NNG+이/VCP+ㄴ/ETM
파운드를	파운드/NNG+를/JKO
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.156.9.2
결국 유로존 회의 전에 1시간 동안 EU 27개국 예비회의를 갖기로 했다.

결국	결국/NNG
유로존	유로존/NNG
회의	회의/NNG
전에	전/NNG+에/JKB
1시간	1/SN+시간/NNB
동안	동안/NNG
EU	EU/SL
27개국	27/SN+개국/NNB
예비회의를	예비/NNG+회의/NNG+를/JKO
갖기로	갖/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.156.10.1
한편 23일 EU 27개국 정상들은 재정위기 극복을 위해 유럽 은행들의 자본을 확충하고 EFSF 규모를 확대하기로 잠정 합의했다고 외신은 전했다.

한편	한편/MAG
23일	23/SN+일/NNB
EU	EU/SL
27개국	27/SN+개국/NNB
정상들은	정상/NNG+들/XSN+은/JX
재정위기	재정/NNG+위기/NNG
극복을	극복/NNG+을/JKO
위해	위하/VV+아/EC
유럽	유럽/NNP
은행들의	은행/NNG+들/XSN+의/JKG
자본을	자본/NNG+을/JKO
확충하고	확충/NNG+하/XSV+고/EC
EFSF	EFSF/SL
규모를	규모/NNG+를/JKO
확대하기로	확대/NNG+하/XSV+기/ETN+로/JKB
잠정	잠정/NNG
합의했다고	합의/NNG+하/XSV+았/EP+다고/EC
외신은	외신/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.156.11.1
EU 정상들은 또 다음 달 3, 4일 프랑스 칸에서 열리는 주요 20개국(G20) 정상회의에서 금융거래세(일명 토빈세·Tobin's tax)를 전 세계적으로 실행하는 방안을 논의하도록 촉구하기로 의견을 모았다.

EU	EU/SL
정상들은	정상/NNG+들/XSN+은/JX
또	또/MAG
다음	다음/NNG
달	달/NNG
3,	3/SN+,/SP
4일	4/SN+일/NNB
프랑스	프랑스/NNP
칸에서	칸/NNP+에서/JKB
열리는	열리/VV+는/ETM
주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
정상회의에서	정상/NNG+회의/NNG+에서/JKB
금융거래세(일명	금융/NNG+거래세/NNG+(/SS+일명/NNG
토빈세·Tobin's	토빈세/NNG+·/SP+Tobin/SL+'/SS+s/SL
tax)를	tax/SL+)/SS+를/JKO
전	전/MMN
세계적으로	세계/NNG+적/XSN+으로/JKB
실행하는	실행/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
논의하도록	논의/NNG+하/XSV+도록/EC
촉구하기로	촉구/NNG+하/XSV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


