# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.285
metadata : {}


# id : NWRW1800000040.285.1.1
“스파이가 전술 전달” “이번에도 고춧가루”

“스파이가	“/SS+스파이/NNG+가/JKS
5개 팀의 남자부 감독들은 챔피언전에서 맞붙을 팀으로 두산과 웰컴론코로사를 꼽았고, 7개 팀의 여자부 감독들은 삼척시청과 에스케이 슈가글라이더즈를 가장 많이 지목했다.

5개	5/SN+개/NNB
팀의	팀/NNG+의/JKG
남자부	남자부/NNG
감독들은	감독/NNG+들/XSN+은/JX
챔피언전에서	챔피언전/NNG+에서/JKB
맞붙을	맞붙/VV+을/ETM
팀으로	팀/NNG+으로/JKB
두산과	두산/NNP+과/JC
웰컴론코로사를	웰컴론코로사/NNP+를/JKO
꼽았고,	꼽/VV+았/EP+고/EC+,/SP
7개	7/SN+개/NNB
여자부	여자부/NNG
삼척시청과	삼척시청/NNP+과/JC
에스케이	에스케이/NNP
슈가글라이더즈를	슈가글라이더즈/NNP+를/JKO
가장	가장/MAG
많이	많이/MAG
지목했다.	지목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.285.4.3
이날 나온 감독과 선수들의 발언을 ‘말말말’로 정리했다.

이날	이날/NNG
나온	나오/VV+ㄴ/ETM
감독과	감독/NNG+과/JC
선수들의	선수/NNG+들/XSN+의/JKG
발언을	발언/NNG+을/JKO
‘말말말’로	‘/SS+말/NNG+말/NNG+말/NNG+’/SS+로/JKB
정리했다.	정리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.285.5.1
■ “형! 미안, 이건 예상이니까 변수가 있어야 재미있죠.”(남자 상무 조영신 감독)

■	■/SW
“형!	“/SS+형/NNG+!/SF
미안,	미안/NNG+,/SP
이건	이거/NP+ㄴ/JX
예상이니까	예상/NNG+이/VCP+니까/EC
변수가	변수/NNG+가/JKS
있어야	있/VA+어야/EC
재미있죠.”(남자	재미있/VA+죠/EF+./SF+”/SS+(/SS+남자/NNG
상무	상무/NNP
조영신	조영신/NNP
감독)	감독/NNG+)/SS


# id : NWRW1800000040.285.5.2
챔피언전에서 맞붙을 두 팀을 꼽아달라는 질문에 두산과 웰컴론코로사를 지목한 뒤 또다른 우승후보 충남체육회 김태훈 감독에게 애교를 떨며.

챔피언전에서	챔피언전/NNG+에서/JKB
맞붙을	맞붙/VV+을/ETM
두	두/MMN
팀을	팀/NNG+을/JKO
꼽아달라는	꼽/VV+아/EC+달/VX+라는/ETM
질문에	질문/NNG+에/JKB
두산과	두산/NNP+과/JC
웰컴론코로사를	웰컴론코로사/NNP+를/JKO
지목한	지목/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
또다른	또/MAG+다른/MMD
우승후보	우승/NNG+후보/NNG
충남체육회	충남체육회/NNP
김태훈	김태훈/NNP
감독에게	감독/NNG+에게/JKB
애교를	애교/NNG+를/JKO
떨며.	떨/VV+며/EC+./SF


# id : NWRW1800000040.285.6.1
■ “이번에는 꼭 우리 팀이 아니더라도 두산이 아닌 다른 팀이 우승했으면 좋겠다.”(남자 충남체육회 김태훈 감독)

■	■/SW
“이번에는	“/SS+이번/NNG+에/JKB+는/JX
꼭	꼭/MAG
우리	우리/NP
팀이	팀/NNG+이/JKS
아니더라도	아니/VCN+더라도/EC
두산이	두산/NNP+이/JKC
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
우승했으면	우승/NNG+하/XSV+았/EP+으면/EC
좋겠다.”(남자	좋/VA+겠/EP+다/EF+./SF+”/SS+(/SS+남자/NNG
충남체육회	충남체육회/NNP
김태훈	김태훈/NNP
감독)	감독/NNG+)/SS


# id : NWRW1800000040.285.6.2
지난 시즌 챔피언전에서 두산에 1골 차로 져 준우승에 그친 아쉬움을 갚아야 한다면서.

지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
챔피언전에서	챔피언전/NNG+에서/JKB
두산에	두산/NNP+에/JKB
1골	1/SN+골/NNG
차로	차/NNG+로/JKB
져	지/VV+어/EC
준우승에	준/XPN+우승/NNG+에/JKB
그친	그치/VV+ㄴ/ETM
아쉬움을	아쉬움/NNG+을/JKO
갚아야	갚/VV+아야/EC
한다면서.	하/VX+ㄴ다면서/EF+./SF


# id : NWRW1800000040.285.7.1
■ “박중규가 두산의 전술을 우리 선수들에게 전달하고 있다.”(남자 웰컴론코로사 장인익 감독)

■	■/SW
“박중규가	“/SS+박중규/NNP+가/JKS
두산의	두산/NNP+의/JKG
전술을	전술/NNG+을/JKO
우리	우리/NP
선수들에게	선수/NNG+들/XSN+에게/JKB
전달하고	전달/NNG+하/XSV+고/EC
있다.”(남자	있/VX+다/EF+./SF+”/SS+(/SS+남자/NNG
웰컴론코로사	웰컴론코로사/NNP
장인익	장인익/NNP
감독)	감독/NNG+)/SS


# id : NWRW1800000040.285.7.2
두산에서 웰컴론코로사로 이적한 국가대표 피벗 박중규 얘기를 하다가.

두산에서	두산/NNP+에서/JKB
웰컴론코로사로	웰컴론코로사/NNP+로/JKB
이적한	이적/NNG+하/XSV+ㄴ/ETM
국가대표	국가/NNG+대표/NNG
피벗	피벗/NNG
박중규	박중규/NNP
얘기를	얘기/NNG+를/JKO
하다가.	하/VV+다가/EC+./SF


# id : NWRW1800000040.285.7.3
사회자는 “박중규가 스파이라는 사실이 밝혀졌다”고 말해 폭소가 터졌다.

사회자는	사회자/NNG+는/JX
“박중규가	“/SS+박중규/NNP+가/JKS
스파이라는	스파이/NNG+이/VCP+라는/ETM
사실이	사실/NNG+이/JKS
밝혀졌다”고	밝혀지/VV+었/EP+다/EF+”/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
폭소가	폭소/NNG+가/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.285.8.1
■ “우리도 박중규의 장단점을 잘 알고 있다.”(남자 두산 윤경신 감독)

■	■/SW
“우리도	“/SS+우리/NP+도/JX
박중규의	박중규/NNP+의/JKG
장단점을	장단점/NNG+을/JKO
잘	잘/MAG
알고	알/VV+고/EC
있다.”(남자	있/VX+다/EF+./SF+”/SS+(/SS+남자/NNG
두산	두산/NNP
윤경신	윤경신/NNP
감독)	감독/NNG+)/SS


# id : NWRW1800000040.285.8.2
박중규의 ‘스파이 노릇’에 대해 답하면서.

박중규의	박중규/NNP+의/JKG
‘스파이	‘/SS+스파이/NNG
노릇’에	노릇/NNG+’/SS+에/JKB
대해	대하/VV+아/EC
답하면서.	답/NNG+하/XSV+면서/EC+./SF


# id : NWRW1800000040.285.9.1
■ “우승하면 삼척시내에서 카퍼레이드를 했는데, 이번에는 후배들이 따로 준비한 게 있다.

■	■/SW
“우승하면	“/SS+우승/NNG+하/XSV+면/EC
삼척시내에서	삼척/NNP+시내/NNG+에서/JKB
카퍼레이드를	카퍼레이드/NNG+를/JKO
했는데,	하/VV+았/EP+는데/EC+,/SP
이번에는	이번/NNG+에/JKB+는/JX
후배들이	후배/NNG+들/XSN+이/JKS
따로	따로/MAG
준비한	준비/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.285.9.2
우승해서 꼭 보여드리겠다.”(여자 삼척시청 유현지)

우승해서	우승/NNG+하/XSV+아서/EC
꼭	꼭/MAG
보여드리겠다.”(여자	보이/VV+어/EC+드리/VX+겠/EP+다/EF+./SF+”/SS+(/SS+여자/NNG
삼척시청	삼척시청/NNP
유현지)	유현지/NNP+)/SS


# id : NWRW1800000040.285.9.3
“우승 ‘공약’을 내걸어달라”는 사회자의 질문에 답하며.

“우승	“/SS+우승/NNG
‘공약’을	‘/SS+공약/NNG+’/SS+을/JKO
내걸어달라”는	내걸/VV+어/EC+달/VX+라/EF+”/SS+는/ETM
사회자의	사회자/NNG+의/JKG
질문에	질문/NNG+에/JKB
답하며.	답/NNG+하/XSV+며/EC+./SF


# id : NWRW1800000040.285.10.1
■ “올해도 플레이오프 진출팀을 가리는 데 고춧가루 구실을 톡톡히 하겠다.”(여자 경남개발공사 박영대 감독)

■	■/SW
“올해도	“/SS+올해/NNG+도/JX
플레이오프	플레이오프/NNG
진출팀을	진출/NNG+팀/NNG+을/JKO
가리는	가리/VV+는/ETM
데	데/NNB
고춧가루	고춧가루/NNG
구실을	구실/NNG+을/JKO
톡톡히	톡톡히/MAG
하겠다.”(여자	하/VV+겠/EP+다/EF+./SF+”/SS+(/SS+여자/NNG
경남개발공사	경남개발공사/NNP
박영대	박영대/NNP
감독)	감독/NNG+)/SS


# id : NWRW1800000040.285.10.2
경남은 전력상 하위권이지만 지난해 정규리그 마지막 경기에서 서울시청과 비겨 서울시청이 충격적으로 탈락한 것을 두고.

경남은	경남/NNP+은/JX
전력상	전력/NNG+상/XSN
하위권이지만	하위/NNG+권/XSN+이/VCP+지만/EC
지난해	지난해/NNG
정규리그	정규/NNG+리그/NNG
마지막	마지막/NNG
경기에서	경기/NNG+에서/JKB
서울시청과	서울시청/NNP+과/JKB
비겨	비기/VV+어/EC
서울시청이	서울시청/NNP+이/JKS
충격적으로	충격/NNG+적/XSN+으로/JKB
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
두고.	두/VV+고/EC+./SF


# id : NWRW1800000040.285.11.1
■ “지난해 1라운드에서 우승했을 때는 대한민국을 다 얻은 기분이었다.

■	■/SW
“지난해	“/SS+지난해/NNG
1라운드에서	1/SN+라운드/NNG+에서/JKB
우승했을	우승/NNG+하/XSV+았/EP+을/ETM
때는	때/NNG+는/JX
대한민국을	대한민국/NNP+을/JKO
다	다/MAG
얻은	얻/VV+은/ETM
기분이었다.	기분/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.285.11.2
고춧가루를 뿌렸던 경남에는 지고 싶지 않다.”(여자 서울시청 임오경 감독)

고춧가루를	고춧가루/NNG+를/JKO
뿌렸던	뿌리/VV+었/EP+던/ETM
경남에는	경남/NNP+에/JKB+는/JX
지고	지/VV+고/EC
싶지	싶/VX+지/EC
않다.”(여자	않/VX+다/EF+./SF+”/SS+(/SS+여자/NNG
서울시청	서울시청/NNP
임오경	임오경/NNP
감독)	감독/NNG+)/SS


# id : NWRW1800000040.285.11.3
서울시청은 지난 시즌 1라운드에서 5승1무1패로 선두로 나섰지만 결국 플레이오프 진출이 좌절됐다.

서울시청은	서울시청/NNP+은/JX
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
1라운드에서	1/SN+라운드/NNG+에서/JKB
5승1무1패로	5/SN+승/NNB+1/SN+무/NNB+1/SN+패/NNB+로/JKB
선두로	선두/NNG+로/JKB
나섰지만	나서/VV+었/EP+지만/EC
결국	결국/MAG
플레이오프	플레이오프/NNG
진출이	진출/NNG+이/JKS
좌절됐다.	좌절/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.285.12.1
■ “올해 주장을 맡아 그런 소리를 듣는데 저 원래 착한 여자예요.”(여자 에스케이 장소희)

■	■/SW
“올해	“/SS+올해/NNG
주장을	주장/NNG+을/JKO
맡아	맡/VV+아/EC
그런	그런/MMD
소리를	소리/NNG+를/JKO
듣는데	듣/VV+는데/EC
저	저/NP
원래	원래/MAG
착한	착하/VA+ㄴ/ETM
여자예요.”(여자	여자/NNG+이/VCP+에요/EF+./SF+”/SS+(/SS+여자/NNG
에스케이	에스케이/NNP
장소희)	장소희/NNP+)/SS


# id : NWRW1800000040.285.12.2
“요즘 무서워졌다는 소문이 있다”는 사회자의 질문을 받고.

“요즘	“/SS+요즘/NNG
무서워졌다는	무섭/VA+어/EC+지/VX+었/EP+다는/ETM
소문이	소문/NNG+이/JKS
있다”는	있/VA+다/EF+”/SS+는/ETM
사회자의	사회자/NNG+의/JKG
질문을	질문/NNG+을/JKO
받고.	받/VV+고/EC+./SF


