# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.194
metadata : {}


# id : NWRW1800000054.194.1.1
이별 통보한 연예인 여친에 "사생활 폭로" 협박, 돈 뜯어낸 커피업체 대표

이별	이별/NNG
연기자	연기자/NNG
김모씨는	김/NNP+모/NP+씨/NNB+는/JX
손씨와	손/NNP+씨/NNB+와/JKB
2013년부터	2013/SN+년/NNB+부터/JX
교제했다.	교제/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.194.3.2
이듬해 연말쯤 손씨의 집착과 감정 기복 등을 견디기 힘들다면서 결별을 통보했다.

이듬해	이듬해/NNG
연말쯤	연말/NNG+쯤/XSN
손씨의	손/NNP+씨/NNB+의/JKG
집착과	집착/NNG+과/JC
감정	감정/NNG
기복	기복/NNG
등을	등/NNB+을/JKO
견디기	견디/VV+기/ETN
힘들다면서	힘들/VA+다면서/EC
결별을	결별/NNG+을/JKO
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.194.3.3
화가 난 손씨는 2015년 1월까지 김씨에게 협박 문자메시지를 보냈다.

화가	화/NNG+가/JKS
난	나/VV+ㄴ/ETM
손씨는	손/NNP+씨/NNB+는/JX
2015년	2015/SN+년/NNB
1월까지	1/SN+월/NNB+까지/JX
김씨에게	김/NNP+씨/NNB+에게/JKB
협박	협박/NNG
문자메시지를	문자/NNG+메시지/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.194.3.4
'깨끗이 헤어지고 싶으면 네게 쓴 돈과 선물한 것들을 내놓아라' '네가 결혼을 빙자해 돈을 뜯은 꽃뱀이라고 언론과 소속사에 알리겠다'는 내용이었다.

'깨끗이	'/SS+깨끗이/MAG
헤어지고	헤어지/VV+고/EC
싶으면	싶/VX+으면/EC
네게	너/NP+에게/JKB
쓴	쓰/VV+ㄴ/ETM
돈과	돈/NNG+과/JC
선물한	선물/NNG+하/XSV+ㄴ/ETM
것들을	것/NNB+들/XSN+을/JKO
내놓아라'	내놓/VV+아라/EF+'/SS
'네가	'/SS+네/NP+가/JKS
결혼을	결혼/NNG+을/JKO
빙자해	빙자/NNG+하/XSV+아/EC
돈을	돈/NNG+을/JKO
뜯은	뜯/VV+은/ETM
꽃뱀이라고	꽃뱀/NNG+이/VCP+라고/EC
언론과	언론/NNG+과/JC
소속사에	소속사/NNG+에/JKB
알리겠다'는	알리/VV+겠/EP+다/EF+'/SS+는/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.194.3.5
겁이 난 김씨는 손씨에게 1억원을 송금했다고 검찰에서 진술했다.

겁이	겁/NNG+이/JKS
난	나/VV+ㄴ/ETM
김씨는	김/NNP+씨/NNB+는/JX
손씨에게	손/NNP+씨/NNB+에게/JKB
1억원을	1/SN+억/NR+원/NNB+을/JKO
송금했다고	송금/NNG+하/XSV+았/EP+다고/EC
검찰에서	검찰/NNG+에서/JKB
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.194.4.1
김씨가 헤어지겠다는 마음을 바꾸지 않자 손씨는 얼마 뒤 다시 '너 죽고 나 죽자, 일은커녕 이민 안 가고 살 수 없게 해볼게'라는 내용의 문자메시지를 보냈다.

김씨가	김/NNP+씨/NNB+가/JKS
헤어지겠다는	헤어지/VV+겠/EP+다는/ETM
마음을	마음/NNG+을/JKO
바꾸지	바꾸/VV+지/EC
않자	않/VX+자/EC
손씨는	손/NNP+씨/NNB+는/JX
얼마	얼마/NNG
뒤	뒤/NNG
다시	다시/MAG
'너	'/SS+너/NP
죽고	죽/VV+고/EC
나	나/NP
죽자,	죽/VV+자/EC+,/SP
일은커녕	일/NNG+은/JX+커녕/JX
이민	이민/NNG
안	안/MAG
가고	가/VV+고/EC
살	살/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
해볼게'라는	하/VX+아/EC+보/VX+ㄹ게/EF+'/SS+이/VCP+라는/ETM
내용의	내용/NNG+의/JKG
문자메시지를	문자/NNG+메시지/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.194.4.2
동영상을 유포하겠다며 '1시간 후에 꼭 인터넷 봐라 전화기 꺼놓고 자고'라는 문자를 보내기도 했다.

동영상을	동영상/NNG+을/JKO
유포하겠다며	유포/NNG+하/XSV+겠/EP+다며/EC
'1시간	'/SS+1/SN+시간/NNB
후에	후/NNG+에/JKB
꼭	꼭/MAG
인터넷	인터넷/NNG
봐라	보/VV+아라/EF
전화기	전화기/NNG
꺼놓고	끄/VV+어/EC+놓/VX+고/EC
자고'라는	자/VV+고/EC+'/SS+이/VCP+라는/ETM
문자를	문자/NNG+를/JKO
보내기도	보내/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.194.4.3
김씨는 손씨에게 6000만원을 보내고, 손씨에게 선물받은 시계 2개, 귀금속 3점, 가전제품 3개, 명품 의류·가방·구두 49점 등 물품 57점을 건넨 것으로 조사됐다.

김씨는	김/NNP+씨/NNB+는/JX
손씨에게	손/NNP+씨/NNB+에게/JKB
6000만원을	6000/SN+만/NR+원/NNB+을/JKO
보내고,	보내/VV+고/EC+,/SP
선물받은	선물/NNG+받/XSV+은/ETM
시계	시계/NNG
2개,	2/SN+개/NNB+,/SP
귀금속	귀금속/NNG
3점,	3/SN+점/NNB+,/SP
가전제품	가전제품/NNG
3개,	3/SN+개/NNB+,/SP
명품	명품/NNG
의류·가방·구두	의류/NNG+·/SP+가방/NNG+·/SP+구두/NNG
49점	49/SN+점/NNB
등	등/NNB
물품	물품/NNG
57점을	57/SN+점/NNB+을/JKO
건넨	건네/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.194.5.1
그러나 손씨는 지난해 3월 '너를 위해 쓴 돈이 이사할 때 2억원, 카드 9000만원, 월세 6000만원, 쇼핑 3억원, 현금 4000만원, 해외여행 2억원, 선물 구입비 1억원, 장 본 것만 5500만원'이라며 10억원을 더 내놓으라고 요구했다고 한다.

그러나	그러나/MAJ
손씨는	손/NNP+씨/NNB+는/JX
지난해	지난해/NNG
3월	3/SN+월/NNB
'너를	'/SS+너/NP+를/JKO
위해	위하/VV+아/EC
쓴	쓰/VV+ㄴ/ETM
돈이	돈/NNG+이/JKS
이사할	이사/NNG+하/XSV+ㄹ/ETM
때	때/NNG
2억원,	2/SN+억/NR+원/NNB+,/SP
카드	카드/NNG
9000만원,	9000/SN+만/NR+원/NNB+,/SP
월세	월세/NNG
6000만원,	6000/SN+만/NR+원/NNB+,/SP
쇼핑	쇼핑/NNG
3억원,	3/SN+억/NR+원/NNB+,/SP
현금	현금/NNG
4000만원,	4000/SN+만/NR+원/NNB+,/SP
해외여행	해외여행/NNG
선물	선물/NNG
구입비	구입비/NNG
1억원,	1/SN+억/NR+원/NNB+,/SP
장	장/NNG
본	보/VV+ㄴ/ETM
것만	것/NNB+만/JX
5500만원'이라며	5500/SN+만/NR+원/NNB+'/SS+이/VCP+라며/EC
10억원을	10/SN+억/NR+원/NNB+을/JKO
더	더/MAG
내놓으라고	내놓/VV+으라고/EC
요구했다고	요구/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.194.5.2
견디지 못한 김씨가 고소하면서 손씨는 재판을 받게 됐다.

견디지	견디/VV+지/EC
못한	못하/VX+ㄴ/ETM
김씨가	김/NNP+씨/NNB+가/JKS
고소하면서	고소/NNG+하/XSV+면서/EC
손씨는	손/NNP+씨/NNB+는/JX
재판을	재판/NNG+을/JKO
받게	받/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.194.6.1
검찰은 동영상은 없었다고 했다.

검찰은	검찰/NNG+은/JX
동영상은	동영상/NNG+은/JX
없었다고	없/VA+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.194.6.2
손씨는 검찰 조사에서 "김씨가 결혼할 것처럼 하다가 약속을 지키지 않아 괘씸해서 그랬다"고 진술한 것으로 알려졌다.

손씨는	손/NNP+씨/NNB+는/JX
검찰	검찰/NNG
조사에서	조사/NNG+에서/JKB
"김씨가	"/SS+김/NNP+씨/NNB+가/JKS
결혼할	결혼/NNG+하/XSV+ㄹ/ETM
것처럼	것/NNB+처럼/JKB
하다가	하/VV+다가/EC
약속을	약속/NNG+을/JKO
지키지	지키/VV+지/EC
않아	않/VX+아/EC
괘씸해서	괘씸하/VA+아서/EC
그랬다"고	그렇/VA+었/EP+다/EF+"/SS+고/JKQ
진술한	진술/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


