# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.79
metadata : {}


# id : NWRW1800000044.79.1.1
탄광참사, 전국 시위·총파업으로 번져

탄광참사,	탄광/NNG+참사/NNG+,/SP
다음날인	다음날/NNG+이/VCP+ㄴ/ETM
14일	14/SN+일/NNB
소마	소마/NNP
도심은	도심/NNG+은/JX
물론	물론/MAG
수도	수도/NNG
앙카라와	앙카라/NNP+와/JC
이스탄불	이스탄불/NNP
등에서	등/NNB+에서/JKB
수천명의	수천/NR+명/NNB+의/JKG
시위대가	시위대/NNG+가/JKS
몰려나와	몰려나오/VV+아/EC
경찰과	경찰/NNG+과/JKB
충돌을	충돌/NNG+을/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.79.6.3
이날 낮 앙카라에서는 800여명의 대학생 시위대가 에너지 분야 민영화를 무리하게 밀어붙인 데 항의해 정부 에너지 부처로 행진을 시도했으나 경찰이 최루탄과 물대포를 쏘며 막아섰다.

이날	이날/NNG
낮	낮/NNG
앙카라에서는	앙카라/NNP+에서/JKB+는/JX
800여명의	800/SN+여/XSN+명/NNB+의/JKG
대학생	대학/NNG+생/XSN
시위대가	시위대/NNG+가/JKS
에너지	에너지/NNG
분야	분야/NNG
민영화를	민영/NNG+화/XSN+를/JKO
무리하게	무리/NNG+하/XSA+게/EC
밀어붙인	밀어붙이/VV+ㄴ/ETM
데	데/NNB
항의해	항의/NNG+하/XSV+아/EC
정부	정부/NNG
부처로	부처/NNG+로/JKB
행진을	행진/NNG+을/JKO
시도했으나	시도/NNG+하/XSV+았/EP+으나/EC
경찰이	경찰/NNG+이/JKS
최루탄과	최루탄/NNG+과/JC
물대포를	물대포/NNG+를/JKO
쏘며	쏘/VV+며/EC
막아섰다.	막아서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.79.6.4
이후 앙카라 도심에서는 수천명이 항의 시위에 나서 경찰과 충돌했다.

이후	이후/NNG
앙카라	앙카라/NNP
도심에서는	도심/NNG+에서/JKB+는/JX
수천명이	수천/NR+명/NNB+이/JKS
항의	항의/NNG
시위에	시위/NNG+에/JKB
나서	나서/VV+어/EC
경찰과	경찰/NNG+과/JKB
충돌했다.	충돌/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.79.6.5
이스탄불에서도 참사를 초래한 소마 탄광 업체 본사 인근과 도심에서 시위가 이어졌다.

이스탄불에서도	이스탄불/NNP+에서/JKB+도/JX
참사를	참사/NNG+를/JKO
초래한	초래/NNG+하/XSV+ㄴ/ETM
소마	소마/NNP
탄광	탄광/NNG
업체	업체/NNG
본사	본사/NNG
인근과	인근/NNG+과/JC
도심에서	도심/NNG+에서/JKB
시위가	시위/NNG+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.79.6.6
현지의 <휘리예트 데일리 뉴스>는 시위대가 사고 업체 건물 벽에 “살인자”라고 쓰고 연좌 시위에 들어갔다고 전했다.

현지의	현지/NNG+의/JKG
<휘리예트	</SS+휘리예트/NNP
데일리	데일리/NNP
뉴스>는	뉴스/NNP+>/SS+는/JX
시위대가	시위대/NNG+가/JKS
사고	사고/NNG
업체	업체/NNG
건물	건물/NNG
벽에	벽/NNG+에/JKB
“살인자”라고	“/SS+살인자/NNG+”/SS+라고/JKQ
쓰고	쓰/VV+고/EC
연좌	연좌/NNG
시위에	시위/NNG+에/JKB
들어갔다고	들어가/VV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.79.6.7
이들은 에르도안 총리와 장관이 이전 탄광 사고 때 광부들의 죽음에 대해 ‘이런 직종의 운명’ ‘화상자국 없이 아름답게 죽었다’는 망언을 했던 점을 겨냥해 “그들은 아름답게 죽지 않았다.

이들은	이/NP+들/XSN+은/JX
에르도안	에르도안/NNP
총리와	총리/NNG+와/JC
장관이	장관/NNG+이/JKS
이전	이전/NNG
탄광	탄광/NNG
사고	사고/NNG
때	때/NNG
광부들의	광부/NNG+들/XSN+의/JKG
죽음에	죽음/NNG+에/JKB
대해	대하/VV+아/EC
‘이런	‘/SS+이런/MMD
직종의	직종/NNG+의/JKG
운명’	운명/NNG+’/SS
‘화상자국	‘/SS+화상/NNG+자국/NNG
없이	없이/MAG
아름답게	아름답/VA+게/EC
죽었다’는	죽/VV+었/EP+다/EF+’/SS+는/ETM
망언을	망언/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
점을	점/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
“그들은	“/SS+그/NP+들/XSN+은/JX
죽지	죽/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.79.6.8
이것은 운명이 아니라 살인이다”라는 펼침막을 내걸었다.

이것은	이것/NP+은/JX
운명이	운명/NNG+이/JKC
아니라	아니/VCN+라/EC
살인이다”라는	살인/NNG+이/VCP+다/EF+”/SS+이/VCP+라는/ETM
펼침막을	펼침막/NNG+을/JKO
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.79.6.9
터키 경찰은 지난해 반정부 시위의 구심점이 된 장소인 이스탄불 도심의 게지공원을 미리 폐쇄하는 한편, 시위대에 최루탄과 물대포로 대응했다.

터키	터키/NNP
경찰은	경찰/NNG+은/JX
지난해	지난해/NNG
반정부	반/XPN+정부/NNG
시위의	시위/NNG+의/JKG
구심점이	구심점/NNG+이/JKC
된	되/VV+ㄴ/ETM
장소인	장소/NNG+이/VCP+ㄴ/ETM
이스탄불	이스탄불/NNP
도심의	도심/NNG+의/JKG
게지공원을	게지공원/NNP+을/JKO
미리	미리/MAG
폐쇄하는	폐쇄/NNG+하/XSV+는/ETM
한편,	한편/NNG+,/SP
시위대에	시위대/NNG+에/JKB
최루탄과	최루탄/NNG+과/JC
물대포로	물대포/NNG+로/JKB
대응했다.	대응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.79.7.1
터키 주요 노조들은 15일 최악의 참사에 항의해 하루 동안 총파업을 선언했다고 <비비시>(BBC)가 전했다.

터키	터키/NNP
주요	주요/NNG
노조들은	노조/NNG+들/XSN+은/JX
15일	15/SN+일/NNB
최악의	최악/NNG+의/JKG
참사에	참사/NNG+에/JKB
항의해	항의/NNG+하/XSV+아/EC
하루	하루/NNG
동안	동안/NNG
총파업을	총파업/NNG+을/JKO
선언했다고	선언/NNG+하/XSV+았/EP+다고/EC
<비비시>(BBC)가	</SS+비비시/NNP+>/SS+(/SS+BBC/SL+)/SS+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.79.7.2
공공노조 연맹은 성명서를 발표해 “민영화 정책을 추구하는 이들이 비용을 아끼기 위해 노동자들의 생명을 위협했으며, 이들이 소마 대학살을 저지른 범죄자”라고 비판했다.

공공노조	공공/NNG+노조/NNG
연맹은	연맹/NNG+은/JX
성명서를	성명서/NNG+를/JKO
발표해	발표/NNG+하/XSV+아/EC
“민영화	“/SS+민영/NNG+화/XSN
정책을	정책/NNG+을/JKO
추구하는	추구/NNG+하/XSV+는/ETM
이들이	이/NP+들/XSN+이/JKS
비용을	비용/NNG+을/JKO
아끼기	아끼/VV+기/ETN
위해	위하/VV+아/EC
노동자들의	노동자/NNG+들/XSN+의/JKG
생명을	생명/NNG+을/JKO
위협했으며,	위협/NNG+하/XSV+았/EP+으며/EC+,/SP
소마	소마/NNP
대학살을	대/XPN+학살/NNG+을/JKO
저지른	저지르/VV+ㄴ/ETM
범죄자”라고	범죄자/NNG+”/SS+라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.79.8.1
분노는 쉽게 가라앉지 않을 조짐이다.

분노는	분노/NNG+는/JX
쉽게	쉽/VA+게/EC
가라앉지	가라앉/VV+지/EC
않을	않/VX+을/ETM
조짐이다.	조짐/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.79.8.2
에르도안 총리는 2003년 총리에 취임한 뒤 국제통화기금(IMF) 등이 요구한 신자유주의 경제개혁 처방에 따랐고, 개발독재에 가까운 통치 스타일을 보여줬다.

에르도안	에르도안/NNP
총리는	총리/NNG+는/JX
2003년	2003/SN+년/NNB
총리에	총리/NNG+에/JKB
취임한	취임/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
국제통화기금(IMF)	국제통화기금/NNP+(/SS+IMF/SL+)/SS
등이	등/NNB+이/JKS
요구한	요구/NNG+하/XSV+ㄴ/ETM
신자유주의	신/XPN+자유주의/NNG
경제개혁	경제/NNG+개혁/NNG
처방에	처방/NNG+에/JKB
따랐고,	따르/VV+았/EP+고/EC+,/SP
개발독재에	개발/NNG+독재/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
통치	통치/NNG
스타일을	스타일/NNG+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.79.8.3
최근에는 젊은층이 민주주의 확대를 요구하는데도 권위적 이슬람주의를 앞세워 여론의 반발을 샀다.

최근에는	최근/NNG+에/JKB+는/JX
젊은층이	젊/VA+은/ETM+층/NNG+이/JKS
민주주의	민주주의/NNG
확대를	확대/NNG+를/JKO
요구하는데도	요구/NNG+하/XSV+는데/EC+도/JX
권위적	권위/NNG+적/XSN
이슬람주의를	이슬람주의/NNG+를/JKO
앞세워	앞세우/VV+어/EC
여론의	여론/NNG+의/JKG
반발을	반발/NNG+을/JKO
샀다.	사/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.79.8.4
지난해 말에는 에르도안 총리가 자신의 아들과 거액의 현금을 옮길 것을 논의하는 대화가 도청된 파일이 흘러나오면서 비리·축재 스캔들로 번졌다.

지난해	지난해/NNG
말에는	말/NNB+에/JKB+는/JX
에르도안	에르도안/NNP
총리가	총리/NNG+가/JKS
자신의	자신/NNG+의/JKG
아들과	아들/NNG+과/JKB
거액의	거액/NNG+의/JKG
현금을	현금/NNG+을/JKO
옮길	옮기/VV+ㄹ/ETM
것을	것/NNB+을/JKO
논의하는	논의/NNG+하/XSV+는/ETM
대화가	대화/NNG+가/JKS
도청된	도청/NNG+되/XSV+ㄴ/ETM
파일이	파일/NNG+이/JKS
흘러나오면서	흘러나오/VV+면서/EC
비리·축재	비리/NNG+·/SP+축재/NNG
스캔들로	스캔들/NNG+로/JKB
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.79.9.1
이번 참사는 에르도안 총리에게 또다른 고비가 될 것으로 보인다.

이번	이번/NNG
참사는	참사/NNG+는/JX
에르도안	에르도안/NNP
총리에게	총리/NNG+에게/JKB
또다른	또/MAG+다른/MMD
고비가	고비/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.79.9.2
그는 1999년 1000여명이 숨진 대지진과 2001년 외환위기로 민심을 잃은 공화인민당을 2002년 말 총선에서 꺾고 집권했다.

그는	그/NP+는/JX
1999년	1999/SN+년/NNB
1000여명이	1000/SN+여/XSN+명/NNB+이/JKS
숨진	숨지/VV+ㄴ/ETM
대지진과	대/XPN+지진/NNG+과/JC
2001년	2001/SN+년/NNB
외환위기로	외환/NNG+위기/NNG+로/JKB
민심을	민심/NNG+을/JKO
잃은	잃/VV+은/ETM
공화인민당을	공화인민당/NNP+을/JKO
2002년	2002/SN+년/NNB
말	말/NNB
총선에서	총선/NNG+에서/JKB
꺾고	꺾/VV+고/EC
집권했다.	집권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.79.9.3
이후 높은 경제성장률이란 치적을 앞세워 2007년과 2011년 총선을 승리로 이끌며 터키 역사상 최초의 3선 총리가 됐다.

이후	이후/NNG
높은	높/VA+은/ETM
경제성장률이란	경제/NNG+성장/NNG+률/XSN+이/VCP+란/ETM
치적을	치적/NNG+을/JKO
앞세워	앞세우/VV+어/EC
2007년과	2007/SN+년/NNB+과/JC
2011년	2011/SN+년/NNB
총선을	총선/NNG+을/JKO
승리로	승리/NNG+로/JKB
이끌며	이끌/VV+며/EC
터키	터키/NNP
역사상	역사/NNG+상/XSN
최초의	최초/NNG+의/JKG
3선	3/SN+선/NNB
총리가	총리/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.79.9.4
현재 터키 헌법으로는 총리를 세차례 이상 연임할 수 없기 때문에 그가 올해 8월에 대선에 출마할 것이란 얘기가 파다하다.

현재	현재/MAG
터키	터키/NNP
헌법으로는	헌법/NNG+으로/JKB+는/JX
총리를	총리/NNG+를/JKO
세차례	세/MMN+차례/NNG
이상	이상/NNG
연임할	연임/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
그가	그/NP+가/JKS
올해	올해/NNG
8월에	8/SN+월/NNB+에/JKB
대선에	대선/NNG+에/JKB
출마할	출마/NNG+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
얘기가	얘기/NNG+가/JKS
파다하다.	파다하/VA+다/EF+./SF


# id : NWRW1800000044.79.9.5
개헌으로 대통령 선출을 직선제로 바꾸었고, 총리중심 내각책임제를 사실상 대통령중심제로 바꿀 뜻을 비치는 발언도 여러 차례 했기 때문이다.

개헌으로	개헌/NNG+으로/JKB
대통령	대통령/NNG
선출을	선출/NNG+을/JKO
직선제로	직선/NNG+제/XSN+로/JKB
바꾸었고,	바꾸/VV+었/EP+고/EC+,/SP
총리중심	총리/NNG+중심/NNG
내각책임제를	내각/NNG+책임/NNG+제/XSN+를/JKO
사실상	사실/NNG+상/XSN
대통령중심제로	대통령/NNG+중심/NNG+제/XSN+로/JKB
바꿀	바꾸/VV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
비치는	비치/VV+는/ETM
발언도	발언/NNG+도/JX
여러	여러/MMN
차례	차례/NNG
했기	하/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.79.10.1
<비비시>는 “에르도안 총리가 이번 비극을 자신에 대한 평가 시험대로 인식할 것”이라며 “그는 이전 정권이 1999년 터키 지진에 제대로 대처하지 못해서 선거에서 졌다는 것을 알고 있다”고 짚었다.

<비비시>는	</SS+비비시/NNP+>/SS+는/JX
“에르도안	“/SS+에르도안/NNP
총리가	총리/NNG+가/JKS
이번	이번/NNG
비극을	비극/NNG+을/JKO
자신에	자신/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평가	평가/NNG
시험대로	시험대/NNG+로/JKB
인식할	인식/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“그는	“/SS+그/NP+는/JX
이전	이전/NNG
정권이	정권/NNG+이/JKS
1999년	1999/SN+년/NNB
터키	터키/NNP
지진에	지진/NNG+에/JKB
제대로	제대로/MAG
대처하지	대처/NNG+하/XSV+지/EC
못해서	못하/VX+아서/EC
선거에서	선거/NNG+에서/JKB
졌다는	지/VV+었/EP+다는/ETM
것을	것/NNB+을/JKO
알고	알/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
짚었다.	짚/VV+었/EP+다/EF+./SF


