# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.85
metadata : {}


# id : NWRW1800000032.85.1.1
애플 상대 ‘치킨게임’ 가나…삼성, 일본·호주서도 소송

애플	애플/NNP
관련	관련/NNG
상용특허	상용/NNG+특허/NNG
3건이	3/SN+건/NNB+이/JKS
침해	침해/NNG
사례로	사례/NNG+로/JKB
제시됐다.	제시/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.85.4.3
이 가운데 일본 법원에 제시한 상용특허는 화면 표시 방법과 관련된 필수 기능 특허로, 구체적으로는 비행기 모드 아이콘 표시, 사용자 중심의 홈 스크린 공간 활용, 앱스토어를 카테고리별 트리 구조로 표시하는 것 등이다.

이	이/MMD
가운데	가운데/NNG
일본	일본/NNP
법원에	법원/NNG+에/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
상용특허는	상용/NNG+특허/NNG+는/JX
화면	화면/NNG
표시	표시/NNG
방법과	방법/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
필수	필수/NNG
기능	기능/NNG
특허로,	특허/NNG+로/JKB+,/SP
구체적으로는	구체/NNG+적/XSN+으로/JKB+는/JX
비행기	비행기/NNG
모드	모드/NNG
아이콘	아이콘/NNG
표시,	표시/NNG+,/SP
사용자	사용자/NNG
중심의	중심/NNG+의/JKG
홈	홈/NNG
스크린	스크린/NNG
공간	공간/NNG
활용,	활용/NNG+,/SP
앱스토어를	앱스토어/NNG+를/JKO
카테고리별	카테고리/NNG+별/XSN
트리	트리/NNG
구조로	구조/NNG+로/JKB
표시하는	표시/NNG+하/XSV+는/ETM
것	것/NNB
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.85.4.4
예를 들어 비행기 탑승 때 아이폰의 단말기 전원을 끄지 않고도 비행 모드로 전환해 통신 기능만 없앨 수 있는 기능이 있는데, 이때 비행기 모양의 아이콘이 화면 상단에 뜬다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
비행기	비행기/NNG
탑승	탑승/NNG
때	때/NNG
아이폰의	아이폰/NNP+의/JKG
단말기	단말기/NNG
전원을	전원/NNG+을/JKO
끄지	끄/VV+지/EC
않고도	않/VX+고/EC+도/JX
비행	비행/NNG
모드로	모드/NNG+로/JKB
전환해	전환/NNG+하/XSV+아/EC
통신	통신/NNG
기능만	기능/NNG+만/JX
없앨	없애/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기능이	기능/NNG+이/JKS
있는데,	있/VA+는데/EC+,/SP
이때	이때/NNG
모양의	모양/NNG+의/JKG
아이콘이	아이콘/NNG+이/JKS
화면	화면/NNG
상단에	상단/NNG+에/JKB
뜬다.	뜨/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.85.5.1
삼성전자 관계자는 “비행기 모드 아이콘 표시는 원래 삼성전자의 기술”이라며 “3가지 기능 특허가 아이폰4와 아이패드2에도 적용돼 있어 아이폰4에스 외에도 두 제품을 소송에 포함시켰다”고 설명했다.

삼성전자	삼성전자/NNP
관계자는	관계자/NNG+는/JX
“비행기	“/SS+비행기/NNG
모드	모드/NNG
아이콘	아이콘/NNG
표시는	표시/NNG+는/JX
원래	원래/MAG
삼성전자의	삼성전자/NNP+의/JKG
기술”이라며	기술/NNG+”/SS+이/VCP+라며/EC
“3가지	“/SS+3/SN+가지/NNB
기능	기능/NNG
특허가	특허/NNG+가/JKS
아이폰4와	아이폰4/NNP+와/JC
아이패드2에도	아이패드2/NNP+에/JKB+도/JX
적용돼	적용/NNG+되/XSV+어/EC
있어	있/VX+어/EC
아이폰4에스	아이폰4에스/NNP
외에도	외/NNB+에/JKB+도/JX
두	두/MMN
제품을	제품/NNG+을/JKO
소송에	소송/NNG+에/JKB
포함시켰다”고	포함/NNG+시키/XSV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.85.5.2
일본은 애플의 신제품인 아이폰4에스 1차 출시국이어서 이미 판매가 시작된 상황이다.

일본은	일본/NNP+은/JX
애플의	애플/NNP+의/JKG
신제품인	신/XPN+제품/NNG+이/VCP+ㄴ/ETM
아이폰4에스	아이폰4에스/NNP
1차	1/SN+차/NNB
출시국이어서	출시국/NNG+이/VCP+어서/EC
이미	이미/MAG
판매가	판매/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.85.6.1
한편 삼성전자는 지난 13일(현지시각) 내려진 호주 법원의 ‘갤럭시탭 10.1’ 판매금지 가처분 판결에 대해서도 이날 항소했다.

한편	한편/MAG
삼성전자는	삼성전자/NNP+는/JX
지난	지나/VV+ㄴ/ETM
13일(현지시각)	13/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
내려진	내려지/VV+ㄴ/ETM
호주	호주/NNP
법원의	법원/NNG+의/JKG
‘갤럭시탭	‘/SS+갤럭시탭/NNP
10.1’	10/SN+./SP+1/SN+’/SS
판매금지	판매/NNG+금지/NNG
가처분	가/XPN+처분/NNG
판결에	판결/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
이날	이날/NNG
항소했다.	항소/NNG+하/XSV+았/EP+다/EF+./SF


