# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.168
metadata : {}


# id : NWRW1800000029.168.1.1
“한국사 연구영역 시공간 확대해야”

“한국사	“/SS+한국사/NNG
선사시대	선사/NNG+시대/NNG
역사까지를	역사/NNG+까지/JX+를/JKO
포괄한다.	포괄/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.168.6.4
박선희 상명대 교수가 ‘선사 및 고조선’을 주제로, 이재범 경기대 교수가 ‘고려 및 조선사’를, 한상도 건국대 교수가 ‘근현대사’에 관한 발표를 한다.

박선희	박선희/NNP
상명대	상명대/NNP
교수가	교수/NNG+가/JKS
‘선사	‘/SS+선사/NNG
및	및/MAG
고조선’을	고조선/NNP+’/SS+을/JKO
주제로,	주제/NNG+로/JKB+,/SP
이재범	이재범/NNP
경기대	경기대/NNP
‘고려	‘/SS+고려/NNP
조선사’를,	조선사/NNG+’/SS+를/JKO+,/SP
한상도	한상도/NNP
건국대	건국대/NNP
‘근현대사’에	‘/SS+근현대사/NNG+’/SS+에/JKB
관한	관하/VV+ㄴ/ETM
발표를	발표/NNG+를/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.168.7.1
한 국가의 역사가 주변 국가나 지역과 무관하게 전개되지 않는다는 점에서 일본과 중국, 동남아시아 등과 함께 전개된 한국사도 살핀다.

한	한/MMN
국가의	국가/NNG+의/JKG
역사가	역사/NNG+가/JKS
주변	주변/NNG
국가나	국가/NNG+나/JC
지역과	지역/NNG+과/JKB
무관하게	무관하/VA+게/EC
전개되지	전개/NNG+되/XSV+지/EC
않는다는	않/VX+는다는/ETM
점에서	점/NNG+에서/JKB
일본과	일본/NNP+과/JC
중국,	중국/NNP+,/SP
동남아시아	동남아시아/NNP
등과	등/NNB+과/JKB
함께	함께/MAG
전개된	전개/NNG+되/XSV+ㄴ/ETM
한국사도	한국사/NNG+도/JX
살핀다.	살피/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.168.7.2
특히 한국사의 무대가 만주 등 북방지역으로도 뻗쳤음을 상기시키기 위해 이들 지역 연구자들의 발표도 포함한다.

특히	특히/MAG
한국사의	한국사/NNG+의/JKG
무대가	무대/NNG+가/JKS
만주	만주/NNP
등	등/NNB
북방지역으로도	북방/NNG+지역/NNG+으로/JKB+도/JX
뻗쳤음을	뻗치/VV+었/EP+음/ETN+을/JKO
상기시키기	상기/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
이들	이/NP+들/XSN
지역	지역/NNG
연구자들의	연구자/NNG+들/XSN+의/JKG
발표도	발표/NNG+도/JX
포함한다.	포함/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.168.7.3
김위현 명지대 교수가 ‘한국사와 만주사’, 정태성 동국대 교수는 ‘한국사와 중국사’, 박원길 몽골학회장은 ‘한국사와 북방사’, 정효운 동아대 교수는 ‘한국사와 일본사’, 임상우 서강대 교수는 ‘한국사와 서양사’를 주제로 발표한다.

김위현	김위현/NNP
명지대	명지대/NNP
교수가	교수/NNG+가/JKS
‘한국사와	‘/SS+한국사/NNG+와/JC
만주사’,	만주사/NNG+’/SS+,/SP
정태성	정태성/NNP
동국대	동국대/NNP
교수는	교수/NNG+는/JX
중국사’,	중국사/NNG+’/SS+,/SP
박원길	박원길/NNP
몽골학회장은	몽골학회장/NNG+은/JX
북방사’,	북방사/NNG+’/SS+,/SP
정효운	정효운/NNP
동아대	동아대/NNP
일본사’,	일본사/NNG+’/SS+,/SP
임상우	임상우/NNP
서강대	서강대/NNP
서양사’를	서양사/NNG+’/SS+를/JKO
주제로	주제/NNG+로/JKB
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.168.8.1
이번 학술대회에서는 또 문헌 위주로 연구하는 기존 역사학의 한계를 극복하기 위한 방안으로 인접학문과 연계한 학제 간 연구방법의 활성화를 모색한다.

이번	이번/NNG
학술대회에서는	학술/NNG+대회/NNG+에서/JKB+는/JX
또	또/MAG
문헌	문헌/NNG
위주로	위주/NNG+로/JKB
연구하는	연구/NNG+하/XSV+는/ETM
기존	기존/NNG
역사학의	역사학/NNG+의/JKG
한계를	한계/NNG+를/JKO
극복하기	극복/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
방안으로	방안/NNG+으로/JKB
인접학문과	인접/NNG+학문/NNG+과/JKB
연계한	연계/NNG+하/XSV+ㄴ/ETM
학제	학제/NNG
간	간/NNB
연구방법의	연구/NNG+방법/NNG+의/JKG
활성화를	활성/NNG+화/XSN+를/JKO
모색한다.	모색/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.168.8.2
문헌만을 ‘과학’이라고 믿을 것이 아니라 주변 학문의 진보된 기술과 연구결과를 접목해 역사의 공백을 메워야 한다는 인식에서 비롯된 것이다.

문헌만을	문헌/NNG+만/JX+을/JKO
‘과학’이라고	‘/SS+과학/NNG+’/SS+이라고/JKQ
믿을	믿/VV+을/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
주변	주변/NNG
학문의	학문/NNG+의/JKG
진보된	진보/NNG+되/XSV+ㄴ/ETM
기술과	기술/NNG+과/JC
연구결과를	연구/NNG+결과/NNG+를/JKO
접목해	접목/NNG+하/XSV+아/EC
역사의	역사/NNG+의/JKG
공백을	공백/NNG+을/JKO
메워야	메우/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
인식에서	인식/NNG+에서/JKB
비롯된	비롯되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.168.8.3
임형진 고려대 교수의 ‘역사학과 정치학’, 김종혁 연세대 교수의 ‘역사학과 지리학’, 장장식 국립민속박물관 연구원의 ‘역사학과 민속학’, 김헌선 경기대 교수의 ‘역사학과 신화학’ 등이다.

임형진	임형진/NNP
고려대	고려대/NNP
교수의	교수/NNG+의/JKG
‘역사학과	‘/SS+역사학/NNG+과/JC
정치학’,	정치학/NNG+’/SS+,/SP
김종혁	김종혁/NNP
연세대	연세대/NNP
지리학’,	지리학/NNG+’/SS+,/SP
장장식	장장식/NNP
국립민속박물관	국립민속박물관/NNP
연구원의	연구원/NNG+의/JKG
민속학’,	민속학/NNG+’/SS+,/SP
김헌선	김헌선/NNP
경기대	경기대/NNP
신화학’	신화학/NNG+’/SS
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.168.9.1
특히 자연과학과의 접목까지 필요하다는 점을 강조한다.

특히	특히/MAG
자연과학과의	자연/NNG+과학/NNG+과/JKB+의/JKG
접목까지	접목/NNG+까지/JX
필요하다는	필요/NNG+하/XSA+다는/ETM
점을	점/NNG+을/JKO
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.168.9.2
이를 위해 류정열 숭실대 교수가 ‘역사학과 화학’을 주제로 발표하는 것을 비롯해 이현숙 이화여대 교수가 질병 및 환경사의 관점에서 본 ‘고대사’를 발표한다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
류정열	류정열/NNP
숭실대	숭실대/NNP
교수가	교수/NNG+가/JKS
‘역사학과	‘/SS+역사학/NNG+과/JC
화학’을	화학/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
발표하는	발표/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
비롯해	비롯하/VV+아/EC
이현숙	이현숙/NNP
이화여대	이화여대/NNP
질병	질병/NNG
및	및/MAG
환경사의	환경사/NNG+의/JKG
관점에서	관점/NNG+에서/JKB
본	보/VV+ㄴ/ETM
‘고대사’를	‘/SS+고대사/NNG+’/SS+를/JKO
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.168.9.3
이틀간 진행되는 학술행사에 총 16명이 발표를 하며 14명이 토론에 참여한다.

이틀간	이틀/NNG+간/XSN
진행되는	진행/NNG+되/XSV+는/ETM
학술행사에	학술/NNG+행사/NNG+에/JKB
총	총/MMA
16명이	16/SN+명/NNB+이/JKS
발표를	발표/NNG+를/JKO
하며	하/VV+며/EC
14명이	14/SN+명/NNB+이/JKS
토론에	토론/NNG+에/JKB
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.168.10.1
윤명철 한민족학회장(동국대 교수)은 미리 배포한 기조강연문 ‘한국사 연구의 지평을 넘어 신(新)역사학을 제언하며’에서 “근대 역사학은 소위 ‘반도사관(半島史觀)의 굴레를 완벽하게 탈피하지 못한 면이 있다”며 “역사 활동의 터에 대한 명확하고 과학적인 이해를 하려면 지리학 기후학 지형학 생태학 생물학 동물행동학 천체물리학 등의 학문이 필요하다”고 강조했다.

윤명철	윤명철/NNP
한민족학회장(동국대	한민족학회장/NNP+(/SS+동국대/NNP
교수)은	교수/NNG+)/SS+은/JX
미리	미리/MAG
배포한	배포/NNG+하/XSV+ㄴ/ETM
기조강연문	기조/NNG+강연문/NNG
‘한국사	‘/SS+한국사/NNG
연구의	연구/NNG+의/JKG
지평을	지평/NNG+을/JKO
넘어	넘/VV+어/EC
신(新)역사학을	신/XPN+(/SS+新/SH+)/SS+역사학/NNG+을/JKO
제언하며’에서	제언/NNG+하/XSV+며/EC+’/SS+에서/JKB
“근대	“/SS+근대/NNG
역사학은	역사학/NNG+은/JX
소위	소위/MAG
‘반도사관(半島史觀)의	‘/SS+반도/NNG+사관/NNG+(/SS+半島史觀/SH+)/SS+의/JKG
굴레를	굴레/NNG+를/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
탈피하지	탈피/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
면이	면/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“역사	“/SS+역사/NNG
활동의	활동/NNG+의/JKG
터에	터/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
명확하고	명확하/VA+고/EC
과학적인	과학/NNG+적/XSN+이/VCP+ㄴ/ETM
이해를	이해/NNG+를/JKO
하려면	하/VV+려면/EC
지리학	지리학/NNG
기후학	기후학/NNG
지형학	지형학/NNG
생태학	생태학/NNG
생물학	생물학/NNG
동물행동학	동물/NNG+행동학/NNG
천체물리학	천체/NNG+물리학/NNG
등의	등/NNB+의/JKG
학문이	학문/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


