# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.264
metadata : {}


# id : NWRW1800000030.264.1.1
[만물상] 학자와 논문

[만물상]	[/SS+만물상/NNG+]/SS
대학원생 한 명 데리고 새벽부터 밤중까지 연구에만 매달린 결실이다.

대학원생	대학원/NNG+생/XSN
한	한/MMN
명	명/NNB
데리고	데리/VV+고/EC
새벽부터	새벽/NNG+부터/JX
밤중까지	밤중/NNG+까지/JX
연구에만	연구/NNG+에/JKB+만/JX
매달린	매달리/VV+ㄴ/ETM
결실이다.	결실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.264.2.19
대학을 옮겨보면 어떠냐는 말에 그는 이렇게 대답했다.

대학을	대학/NNG+을/JKO
옮겨보면	옮기/VV+어/EC+보/VX+면/EC
어떠냐는	어떻/VA+냐는/ETM
말에	말/NNG+에/JKB
그는	그/NP+는/JX
이렇게	이렇/VA+게/EC
대답했다.	대답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.264.2.20
"서울에 있거나 지방에 있거나 학자가 연구하는 것은 똑같다.

"서울에	"/SS+서울/NNP+에/JKB
있거나	있/VA+거나/EC
지방에	지방/NNG+에/JKB
학자가	학자/NNG+가/JKS
연구하는	연구/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
똑같다.	똑같/VA+다/EF+./SF


# id : NWRW1800000030.264.2.21
연구는 학교 이름으로 하는 것이 아니다." 그에게서 대한민국 학계의 희망을 본다.

연구는	연구/NNG+는/JX
학교	학교/NNG
이름으로	이름/NNG+으로/JKB
하는	하/VV+는/ETM
것이	것/NNB+이/JKC
아니다."	아니/VCN+다/EF+./SF+"/SS
그에게서	그/NP+에게서/JKB
대한민국	대한민국/NNP
학계의	학계/NNG+의/JKG
희망을	희망/NNG+을/JKO
본다.	보/VV+ㄴ다/EF+./SF


