# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.40
metadata : {}


# id : NWRW1800000025.40.1.1
소송 덫 걸려… 재개발-재건축 ‘올스톱’ 속출

소송	소송/NNG
확인	확인/NNG
소송에서	소송/NNG+에서/JKB
승소하면서	승소/NNG+하/XSV+면서/EC
사업	사업/NNG
자체가	자체/NNG+가/JKS
불투명해졌다.	불/XPN+투명/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.40.8.3
이미 이주를 마친 조합원 1000가구와 건설사는 물론 소송을 낸 4명조차 이러지도 저러지도 못하는 상황에 처해 있다.

이미	이미/MAG
이주를	이주/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
조합원	조합원/NNG
1000가구와	1000/SN+가구/NNG+와/JC
건설사는	건설사/NNG+는/JX
물론	물론/MAG
소송을	소송/NNG+을/JKO
낸	내/VV+ㄴ/ETM
4명조차	4/SN+명/NNB+조차/JX
이러지도	이러/VV+지/EC+도/JX
저러지도	저러/VV+지/EC+도/JX
못하는	못하/VX+는/ETM
상황에	상황/NNG+에/JKB
처해	처하/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.40.9.1
재개발을 추진하는 답십리16구역은 현재 착공 직전인 관리처분 단계에서 관리처분인가 무효 소송이 진행되고 있다.

재개발을	재/XPN+개발/NNG+을/JKO
추진하는	추진/NNG+하/XSV+는/ETM
답십리16구역은	답십리/NNP+16/SN+구역/NNG+은/JX
현재	현재/MAG
착공	착공/NNG
직전인	직전/NNG+이/VCP+ㄴ/ETM
관리처분	관리/NNG+처분/NNG
단계에서	단계/NNG+에서/JKB
관리처분인가	관리/NNG+처분/NNG+인가/NNG
무효	무효/NNG
소송이	소송/NNG+이/JKS
진행되고	진행/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.40.9.2
조합원 일부가 조합 측이 조합원들이 내야 할 개별분담금과 기존 재산 평가액을 제대로 알려주지 않았다며 소송을 제기했다.

조합원	조합원/NNG
일부가	일부/NNG+가/JKS
조합	조합/NNG
측이	측/NNB+이/JKS
조합원들이	조합원/NNG+들/XSN+이/JKS
내야	내/VV+어야/EC
할	하/VX+ㄹ/ETM
개별분담금과	개별/NNG+분담금/NNG+과/JC
기존	기존/NNG
재산	재산/NNG
평가액을	평가액/NNG+을/JKO
제대로	제대로/MAG
알려주지	알리/VV+어/EC+주/VX+지/EC
않았다며	않/VX+았/EP+다며/EC
소송을	소송/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.40.10.1
휘경3구역과 북아현2구역 등에서는 조합 설립 당시 낸 ‘백지 동의서’가 문제가 돼 조합과 비대위 측이 맞서고 있다.

휘경3구역과	휘경/NNP+3/SN+구역/NNG+과/JC
북아현2구역	북아현/NNP+2/SN+구역/NNG
등에서는	등/NNB+에서/JKB+는/JX
조합	조합/NNG
설립	설립/NNG
당시	당시/NNG
낸	내/VV+ㄴ/ETM
‘백지	‘/SS+백지/NNG
동의서’가	동의서/NNG+’/SS+가/JKS
문제가	문제/NNG+가/JKC
돼	되/VV+어/EC
조합과	조합/NNG+과/JC
비대위	비대위/NNG
측이	측/NNB+이/JKS
맞서고	맞서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.40.10.2
녹번1·2구역에선 인감증명 복사본으로 된 주민 동의서가 발견되면서 조합원 일부가 조합 측을 대상으로 무효 소송을 냈다.

녹번1·2구역에선	녹번/NNP+1/SN+·/SP+2/SN+구역/NNG+에서/JKB+ㄴ/JX
인감증명	인감/NNG+증명/NNG
복사본으로	복사본/NNG+으로/JKB
된	되/VV+ㄴ/ETM
주민	주민/NNG
동의서가	동의서/NNG+가/JKS
발견되면서	발견/NNG+되/XSV+면서/EC
조합원	조합원/NNG
일부가	일부/NNG+가/JKS
조합	조합/NNG
측을	측/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
무효	무효/NNG
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.40.11.1
특히 용산4구역 재개발 현장에서 발생한 용산 화재 참사로 인해 재개발 사업을 둘러싼 갈등은 더 커질 것으로 건설업계는 보고 있다.

특히	특히/MAG
용산4구역	용산/NNP+4/SN+구역/NNG
재개발	재/XPN+개발/NNG
현장에서	현장/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
용산	용산/NNP
화재	화재/NNG
참사로	참사/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
사업을	사업/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
갈등은	갈등/NNG+은/JX
더	더/MAG
커질	커지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
건설업계는	건설업/NNG+계/XSN+는/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.40.11.2
국가가 철거민에게 거액의 보상금을 지급하는 것으로 사건이 마무리되면서 비슷한 상황에 처한 세입자들도 이 같은 보상을 요구할 수 있다는 것이다.

국가가	국가/NNG+가/JKS
철거민에게	철거민/NNG+에게/JKB
거액의	거액/NNG+의/JKG
보상금을	보상금/NNG+을/JKO
지급하는	지급/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
사건이	사건/NNG+이/JKS
마무리되면서	마무리/NNG+되/XSV+면서/EC
비슷한	비슷하/VA+ㄴ/ETM
상황에	상황/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
세입자들도	세입자/NNG+들/XSN+도/JX
이	이/NP
같은	같/VA+은/ETM
보상을	보상/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.40.11.3
건설업계는 이처럼 재건축·재개발 사업장이 ‘소송의 덫’에 걸리면서 4만여 채의 아파트 공급이 지연되고 있다고 추산한다.

건설업계는	건설업/NNG+계/XSN+는/JX
이처럼	이/NP+처럼/JKB
재건축·재개발	재/XPN+건축/NNG+·/SP+재/XPN+개발/NNG
사업장이	사업장/NNG+이/JKS
‘소송의	‘/SS+소송/NNG+의/JKG
덫’에	덫/NNG+’/SS+에/JKB
걸리면서	걸리/VV+면서/EC
4만여	4/SN+만/NR+여/XSN
채의	채/NNB+의/JKG
아파트	아파트/NNG
공급이	공급/NNG+이/JKS
지연되고	지연/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
추산한다.	추산/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.40.12.1
○공공관리자 제도 확대 등 제도 개선 시급

○공공관리자	○/SW+공공/NNG+관리자/NNG
제도	제도/NNG
확대	확대/NNG
등	등/NNB
개선	개선/NNG
시급	시급/XR


# id : NWRW1800000025.40.13.1
재개발·재건축 사업이 이처럼 하루아침에 멈추는 것은 명확하지 않은 관련 법령과 재개발 사업의 주도권을 사실상 아무도 쥘 수 없는 구조 때문이라고 전문가들은 지적한다.

재개발·재건축	재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG
사업이	사업/NNG+이/JKS
이처럼	이/NP+처럼/JKB
하루아침에	하루아침/NNG+에/JKB
멈추는	멈추/VV+는/ETM
것은	것/NNB+은/JX
명확하지	명확하/VA+지/EC
않은	않/VX+은/ETM
관련	관련/NNG
법령과	법령/NNG+과/JC
재개발	재/XPN+개발/NNG
사업의	사업/NNG+의/JKG
주도권을	주도/NNG+권/XSN+을/JKO
사실상	사실/NNG+상/XSN
아무도	아무/NP+도/JX
쥘	쥐/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
구조	구조/NNG
때문이라고	때문/NNB+이/VCP+라고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.40.13.2
한국건설산업연구원의 두성규 건설경제연구실장은 “사업 당사자들이 자산가치를 최대한 높이려고 하다 보니 이해관계가 첨예하게 대립하면서 소송으로 이어지고 있다”며 “사업 과정에 직접 개입해 조정하고 사업을 빨리 진행하도록 도와주는 공공관리자 제도를 도입해야 한다”고 주장했다.

한국건설산업연구원의	한국건설산업연구원/NNP+의/JKG
두성규	두성규/NNP
건설경제연구실장은	건설/NNG+경제/NNG+연구실장/NNG+은/JX
“사업	“/SS+사업/NNG
당사자들이	당사자/NNG+들/XSN+이/JKS
자산가치를	자산/NNG+가치/NNG+를/JKO
최대한	최대한/MAG
높이려고	높이/VV+려고/EC
하다	하/VX+다/EC
보니	보/VX+니/EC
이해관계가	이해관계/NNG+가/JKS
첨예하게	첨예하/VA+게/EC
대립하면서	대립/NNG+하/XSV+면서/EC
소송으로	소송/NNG+으로/JKB
이어지고	이어지/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
과정에	과정/NNG+에/JKB
직접	직접/MAG
개입해	개입/NNG+하/XSV+아/EC
조정하고	조정/NNG+하/XSV+고/EC
사업을	사업/NNG+을/JKO
빨리	빨리/MAG
진행하도록	진행/NNG+하/XSV+도록/EC
도와주는	도와주/VV+는/ETM
공공관리자	공공/NNG+관리자/NNG
제도를	제도/NNG+를/JKO
도입해야	도입/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.40.14.1
대우건설 관계자는 “절차상 문제나 당사자 간의 마찰 등을 객관적으로 조정하고 강제할 기구를 만들어야 한다”며 “당사자들이 직접 해결하려면 이해관계가 엇갈려 시간적, 금전적 피해가 크다”고 말했다.

대우건설	대우건설/NNP
관계자는	관계자/NNG+는/JX
“절차상	“/SS+절차/NNG+상/XSN
문제나	문제/NNG+나/JC
당사자	당사자/NNG
간의	간/NNB+의/JKG
마찰	마찰/NNG
등을	등/NNB+을/JKO
객관적으로	객관/NNG+적/XSN+으로/JKB
조정하고	조정/NNG+하/XSV+고/EC
강제할	강제/NNG+하/XSV+ㄹ/ETM
기구를	기구/NNG+를/JKO
만들어야	만들/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“당사자들이	“/SS+당사자/NNG+들/XSN+이/JKS
직접	직접/MAG
해결하려면	해결/NNG+하/XSV+려면/EC
이해관계가	이해관계/NNG+가/JKS
엇갈려	엇갈리/VV+어/EC
시간적,	시간/NNG+적/XSN+,/SP
금전적	금전/NNG+적/XSN
피해가	피해/NNG+가/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.40.14.2
GS건설 관계자는 “재개발 사업에서 세입자나 상가조합원에 대한 보상비나 임대주택 건립의 부담을 전적으로 조합이 떠안으면서 갈등이 더 커졌다”며 “이런 갈등을 없애려면 정부의 사업비 지원이 필요하다”고 말했다.

GS건설	GS건설/NNP
관계자는	관계자/NNG+는/JX
“재개발	“/SS+재/XPN+개발/NNG
사업에서	사업/NNG+에서/JKB
세입자나	세입자/NNG+나/JC
상가조합원에	상가/NNG+조합원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보상비나	보상비/NNG+나/JC
임대주택	임대/NNG+주택/NNG
건립의	건립/NNG+의/JKG
부담을	부담/NNG+을/JKO
전적으로	전적/NNG+으로/JKB
조합이	조합/NNG+이/JKS
떠안으면서	떠안/VV+으면서/EC
갈등이	갈등/NNG+이/JKS
더	더/MAG
커졌다”며	커지/VV+었/EP+다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
갈등을	갈등/NNG+을/JKO
없애려면	없애/VV+려면/EC
정부의	정부/NNG+의/JKG
사업비	사업비/NNG
지원이	지원/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


