# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.28
metadata : {}


# id : NWRW1800000048.28.1.1
올 공동주택 공시가격 3.1% 올랐다

올	올/NNG
가장 많이 오른 광역은 대구로 12.0% 올랐으며, 제주가 9.4%, 경북이 7.7%, 광주가 7.1% 올라 상승률이 높은 편이었다.

가장	가장/MAG
많이	많이/MAG
오른	오르/VV+ㄴ/ETM
광역은	광역/NNG+은/JX
대구로	대구/NNP+로/JKB
12.0%	12/SN+./SP+0/SN+%/SW
올랐으며,	오르/VV+았/EP+으며/EC+,/SP
제주가	제주/NNP+가/JKS
9.4%,	9/SN+./SP+4/SN+%/SW+,/SP
경북이	경북/NNP+이/JKS
7.7%,	7/SN+./SP+7/SN+%/SW+,/SP
광주가	광주/NNP+가/JKS
7.1%	7/SN+./SP+1/SN+%/SW
올라	오르/VV+아/EC
상승률이	상승/NNG+률/XSN+이/JKS
높은	높/VA+은/ETM
편이었다.	편/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.28.7.3
가격 별로는 2억원 이하 주택이 2.7~3.6%, 2억원 초과 주택은 2.5~3.1% 올라 저가 주택의 상승률이 약간 더 높았다.

가격	가격/NNG
별로는	별/XSN+로/JKB+는/JX
2억원	2/SN+억/NR+원/NNB
이하	이하/NNG
주택이	주택/NNG+이/JKS
2.7~3.6%,	2/SN+./SP+7/SN+~/SO+3/SN+./SP+6/SN+%/SW+,/SP
초과	초과/NNG
주택은	주택/NNG+은/JX
2.5~3.1%	2/SN+./SP+5/SN+~/SO+3/SN+./SP+1/SN+%/SW
올라	오르/VV+아/EC
저가	저가/NNG
주택의	주택/NNG+의/JKG
상승률이	상승/NNG+률/XSN+이/JKS
약간	약간/MAG
더	더/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000048.28.8.1
단독 주택은 상승률이 공동주택보다 좀 더 높은 3.96%였다.

단독	단독/NNG
주택은	주택/NNG+은/JX
상승률이	상승/NNG+률/XSN+이/JKS
공동주택보다	공동/NNG+주택/NNG+보다/JKB
좀	좀/MAG
더	더/MAG
높은	높/VA+은/ETM
3.96%였다.	3/SN+./SP+96/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.28.8.2
단독 주택 가운데 상위 5위까지는 모두 삼성 집안의 주택이 차지했는데, 이건희 회장 소유의 서울 용산구 이태원동 주택이 156억원으로 1위를 차지했고, 2, 3, 5위 역시 이 회장 소유의 주택들이었다.

단독	단독/NNG
주택	주택/NNG
가운데	가운데/NNG
상위	상위/NNG
5위까지는	5/SN+위/NNB+까지/JX+는/JX
모두	모두/MAG
삼성	삼성/NNP
집안의	집안/NNG+의/JKG
주택이	주택/NNG+이/JKS
차지했는데,	차지/NNG+하/XSV+았/EP+는데/EC+,/SP
이건희	이건희/NNP
회장	회장/NNG
소유의	소유/NNG+의/JKG
서울	서울/NNP
용산구	용산구/NNP
이태원동	이태원동/NNP
156억원으로	156/SN+억/NR+원/NNB+으로/JKB
1위를	1/SN+위/NNB+를/JKO
차지했고,	차지/NNG+하/XSV+았/EP+고/EC+,/SP
2,	2/SN+,/SP
3,	3/SN+,/SP
5위	5/SN+위/NNB
역시	역시/MAG
이	이/NNP
주택들이었다.	주택/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.28.8.3
4위는 신세계 이명희 회장의 주택이었다.

4위는	4/SN+위/NNB+는/JX
신세계	신세계/NNP
이명희	이명희/NNP
회장의	회장/NNG+의/JKG
주택이었다.	주택/NNG+이/VCP+었/EP+다/EF+./SF


