# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.365
metadata : {}


# id : NWRW1800000041.365.1.1
재계 “低성과 정규직 해고기준 명확히 세우자”, 노동계 “정규직까지 해고 불안… 총파업 불사”

재계	재계/NNG
대립하기	대립/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.365.3.2
노사(勞使)갈등뿐 아니라 한정된 양질의 일자리를 둘러싼 정규직과 비정규직 사이의 노노(勞勞) 갈등 조짐도 나타나고 있다.

노사(勞使)갈등뿐	노사/NNG+(/SS+勞使/SH+)/SS+갈등/NNG+뿐/JX
아니라	아니/VCN+라/EC
한정된	한정/NNG+되/XSV+ㄴ/ETM
양질의	양질/NNG+의/JKG
일자리를	일자리/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
정규직과	정규직/NNG+과/JC
비정규직	비/XPN+정규직/NNG
사이의	사이/NNG+의/JKG
노노(勞勞)	노노/NNG+(/SS+勞勞/SH+)/SS
갈등	갈등/NNG
조짐도	조짐/NNG+도/JX
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.365.4.1
1일 한국경영자총협회와 한국노동조합총연맹(한국노총) 등에 따르면 재계는 저(低)성과 근로자에 대한 해고 기준이 구체화될 경우 노동시장의 유연성이 높아질 것이라고 평가한 반면 노동계는 전체 근로자들이 해고 불안에 상시적으로 시달리게 될 것이라며 반발하고 있다.

1일	1/SN+일/NNB
한국경영자총협회와	한국경영자총협회/NNP+와/JC
한국노동조합총연맹(한국노총)	한국노동조합총연맹/NNP+(/SS+한국노총/NNP+)/SS
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
재계는	재계/NNG+는/JX
저(低)성과	저/XPN+(/SS+低/SH+)/SS+성과/NNG
근로자에	근로자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
해고	해고/NNG
기준이	기준/NNG+이/JKS
구체화될	구체/NNG+화/XSN+되/XSV+ㄹ/ETM
경우	경우/NNG
노동시장의	노동/NNG+시장/NNG+의/JKG
유연성이	유연성/NNG+이/JKS
높아질	높아지/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
평가한	평가/NNG+하/XSV+ㄴ/ETM
반면	반면/NNG
노동계는	노동/NNG+계/XSN+는/JX
전체	전체/NNG
근로자들이	근로자/NNG+들/XSN+이/JKS
불안에	불안/NNG+에/JKB
상시적으로	상시/NNG+적/XSN+으로/JKB
시달리게	시달리/VV+게/EC
될	되/VV+ㄹ/ETM
것이라며	것/NNB+이/VCP+라며/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.365.5.1
재계는 근로기준법이 정당한 사유 없이 저성과자를 해고할 수 없도록 하고 있지만 ‘정당한 사유’의 기준이 모호하다며 불만스러워하고 있다.

재계는	재계/NNG+는/JX
근로기준법이	근로/NNG+기준법/NNG+이/JKS
정당한	정당하/VA+ㄴ/ETM
사유	사유/NNG
없이	없이/MAG
저성과자를	저/XPN+성과자/NNG+를/JKO
해고할	해고/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
하고	하/VX+고/EC
있지만	있/VX+지만/EC
‘정당한	‘/SS+정당하/VA+ㄴ/ETM
사유’의	사유/NNG+’/SS+의/JKG
기준이	기준/NNG+이/JKS
모호하다며	모호하/VA+다며/EC
불만스러워하고	불만/NNG+스럽/XSA+어/EC+하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.365.5.2
일례로 서울지방노동위원회는 2005년 한 대학병원이 간호사를 근무성적 부진을 이유로 해고한 것에 대해 정당하다고 평가했지만 2006년에 대법원은 금융회사 직원들이 평점 부진으로 해고되자 부당해고라고 판결했다.

일례로	일례/NNG+로/JKB
서울지방노동위원회는	서울지방노동위원회/NNP+는/JX
2005년	2005/SN+년/NNB
한	한/MMN
대학병원이	대학/NNG+병원/NNG+이/JKS
간호사를	간호사/NNG+를/JKO
근무성적	근무/NNG+성적/NNG
부진을	부진/NNG+을/JKO
이유로	이유/NNG+로/JKB
해고한	해고/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
정당하다고	정당하/VA+다고/EC
평가했지만	평가/NNG+하/XSV+았/EP+지만/EC
2006년에	2006/SN+년/NNB+에/JKB
대법원은	대/XPN+법원/NNG+은/JX
금융회사	금융/NNG+회사/NNG
직원들이	직원/NNG+들/XSN+이/JKS
평점	평점/NNG
부진으로	부진/NNG+으로/JKB
해고되자	해고/NNG+되/XSV+자/EC
부당해고라고	부당/NNG+해고/NNG+이/VCP+라고/EC
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.365.6.1
각각의 판단은 당시의 정황을 감안할 때 합리적이었을 수 있어도 기업들은 소송을 벌이기 전까지 해고의 정당성을 예측할 잣대가 없다고 지적한다.

각각의	각각/NNG+의/JKG
판단은	판단/NNG+은/JX
당시의	당시/NNG+의/JKG
정황을	정황/NNG+을/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
때	때/NNG
합리적이었을	합리/NNG+적/XSN+이/VCP+었/EP+을/ETM
수	수/NNB
있어도	있/VA+어도/EC
기업들은	기업/NNG+들/XSN+은/JX
소송을	소송/NNG+을/JKO
벌이기	벌이/VV+기/ETN
전까지	전/NNG+까지/JX
해고의	해고/NNG+의/JKG
정당성을	정당성/NNG+을/JKO
예측할	예측/NNG+하/XSV+ㄹ/ETM
잣대가	잣대/NNG+가/JKS
없다고	없/VA+다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.365.7.1
이와 관련해 이날 박근혜 대통령은 수석비서관회의에서 “노동시장의 경직성, 일부 대기업 노조의 이기주의 등은 노사 간, 노노 간 갈등을 일으켜 사회통합을 가로막는다”고 지적했다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
이날	이날/NNG
박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
수석비서관회의에서	수석/NNG+비서관/NNG+회의/NNG+에서/JKB
“노동시장의	“/SS+노동/NNG+시장/NNG+의/JKG
경직성,	경직/NNG+성/XSN+,/SP
일부	일부/NNG
대기업	대/XPN+기업/NNG
노조의	노조/NNG+의/JKG
이기주의	이기주의/NNG
등은	등/NNB+은/JX
노사	노사/NNG
간,	간/NNB+,/SP
노노	노노/NNG
간	간/NNB
갈등을	갈등/NNG+을/JKO
일으켜	일으키/VV+어/EC
사회통합을	사회/NNG+통합/NNG+을/JKO
가로막는다”고	가로막/VV+는다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.365.8.1
법원 판결이나 노동위 결정을 토대로 해고 대상이 될 수 있는 저성과자의 유형을 분류해 보면 △2년 동안 계약을 1건도 성사시키지 못한 판매영업사원 △통상 30분 걸리는 배송 업무를 4시간 만에 완료한 배송직원 △전산장비 구입 가격을 예정 단가의 2배로 잘못 기재해 회사에 손해를 끼친 기획관리팀장 △근무평정 결과 동일 직급 중 3년 연속 최하위 성적을 받은 간부 등이다.

법원	법원/NNG
판결이나	판결/NNG+이나/JC
노동위	노동위/NNG
결정을	결정/NNG+을/JKO
토대로	토대/NNG+로/JKB
해고	해고/NNG
대상이	대상/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
저성과자의	저/XPN+성과자/NNG+의/JKG
유형을	유형/NNG+을/JKO
분류해	분류/NNG+하/XSV+아/EC
보면	보/VX+면/EC
△2년	△/SW+2/SN+년/NNB
동안	동안/NNG
계약을	계약/NNG+을/JKO
1건도	1/SN+건/NNB+도/JX
성사시키지	성사/NNG+시키/XSV+지/EC
못한	못하/VX+ㄴ/ETM
판매영업사원	판매/NNG+영업/NNG+사원/NNG
△통상	△/SW+통상/MAG
30분	30/SN+분/NNB
걸리는	걸리/VV+는/ETM
배송	배송/NNG
업무를	업무/NNG+를/JKO
4시간	4/SN+시간/NNB
만에	만/NNB+에/JKB
완료한	완료/NNG+하/XSV+ㄴ/ETM
배송직원	배송/NNG+직원/NNG
△전산장비	△/SW+전산/NNG+장비/NNG
구입	구입/NNG
가격을	가격/NNG+을/JKO
예정	예정/NNG
단가의	단가/NNG+의/JKG
2배로	2/SN+배/NNG+로/JKB
잘못	잘못/MAG
기재해	기재/NNG+하/XSV+아/EC
회사에	회사/NNG+에/JKB
손해를	손해/NNG+를/JKO
끼친	끼치/VV+ㄴ/ETM
기획관리팀장	기획/NNG+관리/NNG+팀장/NNG
△근무평정	△/SW+근무/NNG+평정/NNG
결과	결과/NNG
동일	동일/NNG
직급	직급/NNG
중	중/NNB
3년	3/SN+년/NNB
연속	연속/NNG
최하위	최/XPN+하위/NNG
성적을	성적/NNG+을/JKO
받은	받/VV+은/ETM
간부	간부/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.365.8.2
하지만 이런 분류는 법원과 노동위가 사안별 정황에 따라 판단한 결과여서 일반적으로 적용하기 어렵다.

하지만	하지만/MAJ
이런	이런/MMD
분류는	분류/NNG+는/JX
법원과	법원/NNG+과/JC
노동위가	노동위/NNG+가/JKS
사안별	사안/NNG+별/XSN
정황에	정황/NNG+에/JKB
따라	따르/VV+아/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
결과여서	결과/NNG+이/VCP+어서/EC
일반적으로	일반/NNG+적/XSN+으로/JKB
적용하기	적용/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000041.365.9.1
정부는 노사정위를 통해 일반해고 대상이 될 수 있는 저성과자의 모델을 만들면 각 기업 노사가 자신들의 상황에 맞는 사내 취업규칙을 만들어 불확실성을 줄일 수 있을 것으로 기대하고 있다.

정부는	정부/NNG+는/JX
노사정위를	노사정위/NNG+를/JKO
통해	통하/VV+아/EC
일반해고	일반/NNG+해고/NNG
대상이	대상/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
저성과자의	저/XPN+성과자/NNG+의/JKG
모델을	모델/NNG+을/JKO
만들면	만들/VV+면/EC
각	각/MMD
기업	기업/NNG
노사가	노사/NNG+가/JKS
자신들의	자신/NNG+들/XSN+의/JKG
상황에	상황/NNG+에/JKB
맞는	맞/VV+는/ETM
사내	사내/NNG
취업규칙을	취업/NNG+규칙/NNG+을/JKO
만들어	만들/VV+어/EC
불확실성을	불확실/NNG+성/XSN+을/JKO
줄일	줄이/VV+ㄹ/ETM
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.365.9.2
다만 모든 기업의 모든 정규직이 저성과자 기준을 적용받는 것은 아니다.

다만	다만/MAG
모든	모든/MMN
기업의	기업/NNG+의/JKG
정규직이	정규직/NNG+이/JKS
저성과자	저/XPN+성과자/NNG
기준을	기준/NNG+을/JKO
적용받는	적용/NNG+받/XSV+는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000041.365.9.3
현재 전체 근로자의 70% 정도가 정규직이고 나머지 30%가 비정규직이다.

현재	현재/MAG
전체	전체/NNG
근로자의	근로자/NNG+의/JKG
70%	70/SN+%/SW
정도가	정도/NNG+가/JKS
정규직이고	정규직/NNG+이/VCP+고/EC
나머지	나머지/NNG
30%가	30/SN+%/SW+가/JKS
비정규직이다.	비/XPN+정규직/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.365.9.4
이 중 대기업과 공공기관에 소속된 정규직에만 이런 기준을 도입하겠다는 게 정부의 방침이다.

이	이/MMD
중	중/NNB
대기업과	대/XPN+기업/NNG+과/JC
공공기관에	공공/NNG+기관/NNG+에/JKB
소속된	소속/NNG+되/XSV+ㄴ/ETM
정규직에만	정규직/NNG+에/JKB+만/JX
이런	이런/MMD
기준을	기준/NNG+을/JKO
도입하겠다는	도입/NNG+하/XSV+겠/EP+다는/ETM
게	거/NNB+이/JKS
정부의	정부/NNG+의/JKG
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.365.10.1
정부 당국자는 “근무 환경이 상대적으로 떨어지는 중소기업 정규직의 경우 새로운 일반해고 기준이 적용될 가능성이 없다”고 설명했다.

정부	정부/NNG
당국자는	당국자/NNG+는/JX
“근무	“/SS+근무/NNG
환경이	환경/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
떨어지는	떨어지/VV+는/ETM
중소기업	중소기업/NNG
정규직의	정규직/NNG+의/JKG
경우	경우/NNG
새로운	새롭/VA+ㄴ/ETM
일반해고	일반/NNG+해고/NNG
기준이	기준/NNG+이/JKS
적용될	적용/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.365.11.1
이에 대해 노동계는 “정규직과 비정규직의 대결 구도를 만들어 노동운동을 약화시키려는 전형적인 노동분열 전략”이라며 반발했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
노동계는	노동/NNG+계/XSN+는/JX
“정규직과	“/SS+정규직/NNG+과/JC
비정규직의	비/XPN+정규직/NNG+의/JKG
대결	대결/NNG
구도를	구도/NNG+를/JKO
만들어	만들/VV+어/EC
노동운동을	노동/NNG+운동/NNG+을/JKO
약화시키려는	약화/NNG+시키/XSV+려는/ETM
전형적인	전형/NNG+적/XSN+이/VCP+ㄴ/ETM
노동분열	노동/NNG+분열/NNG
전략”이라며	전략/NNG+”/SS+이/VCP+라며/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.365.11.2
한국노총은 “국내 노동자의 88%는 중소기업에 근무하고 있기 때문에 정규직 과보호는 있을 수 없는 일”이라며 “정규직이든 비정규직이든 모두 불안정한 고용 상태에 놓여 있다”고 주장했다.

한국노총은	한국노총/NNP+은/JX
“국내	“/SS+국내/NNG
노동자의	노동자/NNG+의/JKG
88%는	88/SN+%/SW+는/JX
중소기업에	중소기업/NNG+에/JKB
근무하고	근무/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
정규직	정규직/NNG
과보호는	과/XPN+보호/NNG+는/JX
있을	있/VA+을/ETM
수	수/NNB
없는	없/VA+는/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“정규직이든	“/SS+정규직/NNG+이든/JX
비정규직이든	비/XPN+정규직/NNG+이든/JX
모두	모두/MAG
불안정한	불/XPN+안정/NNG+하/XSA+ㄴ/ETM
고용	고용/NNG
상태에	상태/NNG+에/JKB
놓여	놓이/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.365.11.3
전국민주노동조합총연맹(민주노총)도 성명을 통해 “정부 정책은 사실상 정규직과 비정규직 구별 없이 언제든 해고시킬 수 있도록 하자는 것”이라고 밝혔다.

전국민주노동조합총연맹(민주노총)도	전국민주노동조합총연맹/NNP+(/SS+민주노총/NNP+)/SS+도/JX
성명을	성명/NNG+을/JKO
통해	통하/VV+아/EC
“정부	“/SS+정부/NNG
정책은	정책/NNG+은/JX
사실상	사실/NNG+상/XSN
정규직과	정규직/NNG+과/JC
비정규직	비/XPN+정규직/NNG
구별	구별/NNG
없이	없이/MAG
언제든	언제/NP+든/JX
해고시킬	해고/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하자는	하/VX+자는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.365.11.4
노동계 일각에서는 1997년 정리해고 법제화 과정에서 일으켰던 총파업 투쟁도 불사하겠다는 움직임이 일고 있다.

노동계	노동/NNG+계/XSN
일각에서는	일각/NNG+에서/JKB+는/JX
1997년	1997/SN+년/NNB
정리해고	정리/NNG+해고/NNG
법제화	법제/NNG+화/XSN
과정에서	과정/NNG+에서/JKB
일으켰던	일으키/VV+었/EP+던/ETM
총파업	총파업/NNG
투쟁도	투쟁/NNG+도/JX
불사하겠다는	불사/NNG+하/XSV+겠/EP+다는/ETM
움직임이	움직임/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.365.12.1
학계는 과거 ‘가족주의, 완전고용’을 중시하던 기업문화가 경영의 효율성을 중시하는 쪽으로 변화하고 있는 만큼 사회적 합의를 통해 정당한 해고절차를 만들어야 한다고 본다.

학계는	학계/NNG+는/JX
과거	과거/NNG
‘가족주의,	‘/SS+가족주의/NNG+,/SP
완전고용’을	완전/NNG+고용/NNG+’/SS+을/JKO
중시하던	중시/NNG+하/XSV+던/ETM
기업문화가	기업/NNG+문화/NNG+가/JKS
경영의	경영/NNG+의/JKG
효율성을	효율/NNG+성/XSN+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
변화하고	변화/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
만큼	만큼/NNB
사회적	사회/NNG+적/XSN
합의를	합의/NNG+를/JKO
통해	통하/VV+아/EC
정당한	정당하/VA+ㄴ/ETM
해고절차를	해고/NNG+절차/NNG+를/JKO
만들어야	만들/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.365.12.2
박지순 고려대 법학전문대학원 교수는 “고용보험을 통해 직업훈련을 강화하는 등 전직이 원활하게 이뤄지도록 보완장치를 마련해야 한다”고 말했다.

박지순	박지순/NNP
고려대	고려대/NNP
법학전문대학원	법학/NNG+전문/NNG+대학원/NNG
교수는	교수/NNG+는/JX
“고용보험을	“/SS+고용/NNG+보험/NNG+을/JKO
통해	통하/VV+아/EC
직업훈련을	직업/NNG+훈련/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
등	등/NNB
전직이	전직/NNG+이/JKS
원활하게	원활/NNG+하/XSA+게/EC
이뤄지도록	이뤄지/VV+도록/EC
보완장치를	보완/NNG+장치/NNG+를/JKO
마련해야	마련/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


