# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.276
metadata : {}


# id : NWRW1800000022.276.1.1
스승의 날 '작은 선물'도 거절한 담임선생님;현직 교사인 학부모가 본 '교원평가 시범학교'

스승의	스승/NNG+의/JKG
이 학교를 선택하면서 이씨가 고민했던 것은 학교가 생활 형편이 어려운 동네에 있다는 점이었다.

이	이/MMD
학교를	학교/NNG+를/JKO
선택하면서	선택/NNG+하/XSV+면서/EC
이씨가	이/NNP+씨/NNB+가/JKS
고민했던	고민/NNG+하/XSV+았/EP+던/ETM
것은	것/NNB+은/JX
학교가	학교/NNG+가/JKS
생활	생활/NNG
형편이	형편/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
동네에	동네/NNG+에/JKB
있다는	있/VA+다는/ETM
점이었다.	점/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.276.4.2
전곡초 전교생 1200명 중 기초생활수급 가정 자녀가 6%, 점심급식 지원 학생이 8%였다.

전곡초	전곡초/NNP
전교생	전교/NNG+생/XSN
1200명	1200/SN+명/NNB
중	중/NNB
기초생활수급	기초/NNG+생활/NNG+수급/NNG
가정	가정/NNG
자녀가	자녀/NNG+가/JKS
6%,	6/SN+%/SW+,/SP
점심급식	점심/NNG+급식/NNG
지원	지원/NNG
학생이	학생/NNG+이/JKS
8%였다.	8/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.276.4.3
이씨는 "나도 교사지만, 남편 직장에서 좀 멀어도 강남이나 목동 같은 곳으로 가야 하는 것 아닌가 솔직히 걱정이 좀 됐다"고 했다.

이씨는	이/NNP+씨/NNB+는/JX
"나도	"/SS+나/NP+도/JX
교사지만,	교사/NNG+이/VCP+지만/EC+,/SP
남편	남편/NNG
직장에서	직장/NNG+에서/JKB
좀	좀/MAG
멀어도	멀/VA+어도/EC
강남이나	강남/NNP+이나/JC
목동	목동/NNP
같은	같/VA+은/ETM
곳으로	곳/NNG+으로/JKB
가야	가/VV+아야/EC
하는	하/VX+는/ETM
것	것/NNB
아닌가	아니/VCN+ㄴ가/EF
솔직히	솔직히/MAG
걱정이	걱정/NNG+이/JKS
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.276.5.1
그런데 이씨의 걱정은 곧 사라졌다.

그런데	그런데/MAJ
이씨의	이/NNP+씨/NNB+의/JKG
걱정은	걱정/NNG+은/JX
곧	곧/MAG
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.276.5.2
"친구들이 착하고 선생님도 잘해주신다"며 두 딸이 학교를 신나게 다니고 새로운 환경에도 금방 적응했던 것이다.

"친구들이	"/SS+친구/NNG+들/XSN+이/JKS
착하고	착하/VA+고/EC
선생님도	선생/NNG+님/XSN+도/JX
잘해주신다"며	잘/MAG+하/XSV+아/EC+주/VX+시/EP+ㄴ다/EF+"/SS+며/EC
두	두/MMN
딸이	딸/NNG+이/JKS
학교를	학교/NNG+를/JKO
신나게	신나/VV+게/EC
다니고	다니/VV+고/EC
새로운	새롭/VA+ㄴ/ETM
환경에도	환경/NNG+에/JKB+도/JX
금방	금방/MAG
적응했던	적응/NNG+하/XSV+았/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.276.5.3
아버지 직장을 따라 3번이나 전학 다녔던 아이들은 이전 학교들에선 그런 얘기를 한 적이 없었다.

아버지	아버지/NNG
직장을	직장/NNG+을/JKO
따라	따르/VV+아/EC
3번이나	3/SN+번/NNB+이나/JX
전학	전학/NNG
다녔던	다니/VV+었/EP+던/ETM
아이들은	아이/NNG+들/XSN+은/JX
이전	이전/NNG
학교들에선	학교/NNG+들/XSN+에서/JKB+ㄴ/JX
그런	그런/MMD
얘기를	얘기/NNG+를/JKO
한	하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.276.6.1
큰딸 유진이는 "선생님이 수학시간에 동화책에 나오는 '어린 왕자'가 모험을 떠나는 얘기로 수학 공식을 설명해주셨다"며 "수업시간이 너무너무 재미있다"고 했다.

큰딸	큰딸/NNG
유진이는	유진이/NNP+는/JX
"선생님이	"/SS+선생/NNG+님/XSN+이/JKS
수학시간에	수학/NNG+시간/NNG+에/JKB
동화책에	동화책/NNG+에/JKB
나오는	나오/VV+는/ETM
'어린	'/SS+어리/VA+ㄴ/ETM
왕자'가	왕자/NNG+'/SS+가/JKS
모험을	모험/NNG+을/JKO
떠나는	떠나/VV+는/ETM
얘기로	얘기/NNG+로/JKB
수학	수학/NNG
공식을	공식/NNG+을/JKO
설명해주셨다"며	설명/NNG+하/XSV+아/EC+주/VX+시/EP+었/EP+다/EF+"/SS+며/EC
"수업시간이	"/SS+수업/NNG+시간/NNG+이/JKS
너무너무	너무너무/MAG
재미있다"고	재미있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.276.7.1
작은딸 현진이는 "담임선생님이 '학교 엄마'라고 부르라고 하셨다"고 하더니, 그 뒤로는 "오늘 학교 엄마가 핫케이크를 구워주셨어" "학교 엄마가 철인 3종 경기에 도전하는 장애인 비디오를 보여주셨어"라며 날마다 '학교 엄마' 얘기를 늘어놨다.

작은딸	작은딸/NNG
현진이는	현진이/NNP+는/JX
"담임선생님이	"/SS+담임/NNG+선생/NNG+님/XSN+이/JKS
'학교	'/SS+학교/NNG
엄마'라고	엄마/NNG+'/SS+라고/JKQ
부르라고	부르/VV+라고/EC
하셨다"고	하/VV+시/EP+었/EP+다/EF+"/SS+고/JKQ
하더니,	하/VV+더니/EC+,/SP
그	그/MMD
뒤로는	뒤/NNG+로/JKB+는/JX
"오늘	"/SS+오늘/MAG
학교	학교/NNG
엄마가	엄마/NNG+가/JKS
핫케이크를	핫케이크/NNG+를/JKO
구워주셨어"	굽/VV+어/EC+주/VX+시/EP+었/EP+어/EF+"/SS
"학교	"/SS+학교/NNG
철인	철인/NNG
3종	3종/NNG
경기에	경기/NNG+에/JKB
도전하는	도전/NNG+하/XSV+는/ETM
장애인	장애인/NNG
비디오를	비디오/NNG+를/JKO
보여주셨어"라며	보이/VV+어/EC+주/VX+시/EP+었/EP+어/EF+"/SS+이/VCP+라며/EC
날마다	날/NNG+마다/JX
엄마'	엄마/NNG+'/SS
얘기를	얘기/NNG+를/JKO
늘어놨다.	늘어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.276.8.1
이씨를 더 놀라게 한 것은 '스승의 날'이었다.

이씨를	이/NNP+씨/NNB+를/JKO
더	더/MAG
놀라게	놀라/VV+게/EC
한	하/VX+ㄴ/ETM
것은	것/NNB+은/JX
'스승의	'/SS+스승/NNG+의/JKG
날'이었다.	날/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.276.8.2
아이들 담임교사에게 작은 선물을 하려고 했는데 "아이들에게 상품으로 나눠줄 수 있는 작은 학용품 이외에는 일절 받지 않는다"며 교사들이 거절했다.

아이들	아이/NNG+들/XSN
담임교사에게	담임/NNG+교사/NNG+에게/JKB
작은	작/VA+은/ETM
선물을	선물/NNG+을/JKO
하려고	하/VV+려고/EC
했는데	하/VX+았/EP+는데/EC
"아이들에게	"/SS+아이/NNG+들/XSN+에게/JKB
상품으로	상품/NNG+으로/JKB
나눠줄	나누/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
학용품	학용품/NNG
이외에는	이외/NNG+에/JKB+는/JX
일절	일절/MAG
받지	받/VV+지/EC
않는다"며	않/VX+는다/EF+"/SS+며/EC
교사들이	교사/NNG+들/XSN+이/JKS
거절했다.	거절/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.276.8.3
지난해 유진이가 전교 부회장이 됐을 때는 이 학교 전병식 교장이 "학교 임원은 애들이 하는 것이지 엄마들이 하는 게 아니다. 학교 오실 필요 없다"고 잘라 말했다.

지난해	지난해/NNG
유진이가	유진이/NNP+가/JKS
전교	전교/NNG
부회장이	부회장/NNG+이/JKC
됐을	되/VV+었/EP+을/ETM
때는	때/NNG+는/JX
이	이/MMD
학교	학교/NNG
전병식	전병식/NNP
교장이	교장/NNG+이/JKS
"학교	"/SS+학교/NNG
임원은	임원/NNG+은/JX
애들이	애/NNG+들/XSN+이/JKS
하는	하/VV+는/ETM
것이지	것/NNB+이/VCP+지/EC
엄마들이	엄마/NNG+들/XSN+이/JKS
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF
오실	오/VV+시/EP+ㄹ/ETM
필요	필요/NNG
없다"고	없/VA+다/EF+"/SS+고/JKQ
잘라	자르/VV+아/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.276.9.1
이씨는 "나도 교사로서 여러 학교에서 근무해봤지만 이런 학교는 처음 봤다"며 "모든 것이 투명했고 놀라움의 연속이었다.

이씨는	이/NNP+씨/NNB+는/JX
"나도	"/SS+나/NP+도/JX
교사로서	교사/NNG+로서/JKB
여러	여러/MMN
학교에서	학교/NNG+에서/JKB
근무해봤지만	근무/NNG+하/XSV+아/EC+보/VX+았/EP+지만/EC
이런	이런/MMD
학교는	학교/NNG+는/JX
처음	처음/NNG
봤다"며	보/VV+았/EP+다/EF+"/SS+며/EC
"모든	"/SS+모든/MMN
것이	것/NNB+이/JKS
투명했고	투명/NNG+하/XSA+았/EP+고/EC
놀라움의	놀라움/NNG+의/JKG
연속이었다.	연속/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.276.9.2
학교가 지역교육청 바로 옆에 있어서 일부러 우수한 교사들만 보내줬나 싶었다"고 했다.

학교가	학교/NNG+가/JKS
지역교육청	지역/NNG+교육청/NNG
바로	바로/MAG
옆에	옆/NNG+에/JKB
있어서	있/VA+어서/EC
일부러	일부러/MAG
우수한	우수/NNG+하/XSA+ㄴ/ETM
교사들만	교사/NNG+들/XSN+만/JX
보내줬나	보내/VV+어/EC+주/VX+었/EP+나/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.276.10.1
이런 이씨의 놀라움의 '비밀'이 풀린 것은 지난해 7월이었다.

이런	이런/MMD
이씨의	이/NNP+씨/NNB+의/JKG
놀라움의	놀라움/NNG+의/JKG
'비밀'이	'/SS+비밀/NNG+'/SS+이/JKS
풀린	풀리/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난해	지난해/NNG
7월이었다.	7/SN+월/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.276.10.2
두 아이가 학교에서 '자녀의 학교생활 만족도 조사'라는 설문지를 한장씩 들고 온 것이다.

두	두/MMN
아이가	아이/NNG+가/JKS
학교에서	학교/NNG+에서/JKB
'자녀의	'/SS+자녀/NNG+의/JKG
학교생활	학교생활/NNG
만족도	만족도/NNG
조사'라는	조사/NNG+'/SS+이/VCP+라는/ETM
설문지를	설문지/NNG+를/JKO
한장씩	한/MMN+장/NNB+씩/XSN
들고	들/VV+고/EC
온	오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.276.11.1
설문은 ▲교사가 수업을 열심히 한다고 생각하는지 ▲아이들을 세심하게 보살펴주는지 ▲교장·교감이 충분히 지원하고 있는지 ▲학부모들의 의견이 반영되는지 등을 묻고 있었다.

설문은	설문/NNG+은/JX
▲교사가	▲/SW+교사/NNG+가/JKS
수업을	수업/NNG+을/JKO
열심히	열심히/MAG
한다고	하/VV+ㄴ다고/EC
생각하는지	생각/NNG+하/XSV+는지/EF
▲아이들을	▲/SW+아이/NNG+들/XSN+을/JKO
세심하게	세심하/VA+게/EC
보살펴주는지	보살피/VV+어/EC+주/VX+는지/EF
▲교장·교감이	▲/SW+교장/NNG+·/SP+교감/NNG+이/JKS
충분히	충분히/MAG
지원하고	지원/NNG+하/XSV+고/EC
있는지	있/VX+는지/EF
▲학부모들의	▲/SW+학부모/NNG+들/XSN+의/JKG
의견이	의견/NNG+이/JKS
반영되는지	반영/NNG+되/XSV+는지/EF
등을	등/NNB+을/JKO
묻고	묻/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.276.11.2
전곡초등학교는 교원평가를 시범적으로 실시하고 있는 전국 1500여개 초·중·고교 중 하나였던 것이다.

전곡초등학교는	전곡초등학교/NNP+는/JX
교원평가를	교원/NNG+평가/NNG+를/JKO
시범적으로	시범/NNG+적/XSN+으로/JKB
실시하고	실시/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
전국	전국/NNG
1500여개	1500/SN+여/XSN+개/NNB
초·중·고교	초·중·고교/NNG
중	중/NNB
하나였던	하나/NR+이/VCP+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.276.12.1
이전에도 교사로서 평가를 피할 생각은 없었지만, 아이들로부터 학교의 열띤 분위기를 날마다 접하면서 '교원평가가 정말 필요하다'는 생각을 하게 됐다고 이씨는 말했다.

이전에도	이전/NNG+에/JKB+도/JX
교사로서	교사/NNG+로서/JKB
평가를	평가/NNG+를/JKO
피할	피하/VV+ㄹ/ETM
생각은	생각/NNG+은/JX
없었지만,	없/VA+었/EP+지만/EC+,/SP
아이들로부터	아이/NNG+들/XSN+로부터/JKB
학교의	학교/NNG+의/JKG
열띤	열띠/VA+ㄴ/ETM
분위기를	분위기/NNG+를/JKO
날마다	날/NNG+마다/JX
접하면서	접하/VV+면서/EC
'교원평가가	'/SS+교원/NNG+평가/NNG+가/JKS
정말	정말/MAG
필요하다'는	필요/NNG+하/XSA+다/EF+'/SS+는/ETM
생각을	생각/NNG+을/JKO
하게	하/VV+게/EC
됐다고	되/VV+었/EP+다고/EC
이씨는	이/NNP+씨/NNB+는/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.276.12.2
교사들이 교육 수요자의 평가에 건전한 자극을 받아 수업에 최선을 다하게 되는 것은 물론이고, 아이들의 '인성'에도 좋은 영향을 끼친다는 것을 절감했다고 한다.

교사들이	교사/NNG+들/XSN+이/JKS
교육	교육/NNG
수요자의	수요자/NNG+의/JKG
평가에	평가/NNG+에/JKB
건전한	건전/NNG+하/XSA+ㄴ/ETM
자극을	자극/NNG+을/JKO
받아	받/VV+아/EC
수업에	수업/NNG+에/JKB
최선을	최선/NNG+을/JKO
다하게	다/MAG+하/XSV+게/EC
되는	되/VV+는/ETM
것은	것/NNB+은/JX
물론이고,	물론/NNG+이/VCP+고/EC+,/SP
아이들의	아이/NNG+들/XSN+의/JKG
'인성'에도	'/SS+인성/NNG+'/SS+에/JKB+도/JX
좋은	좋/VA+은/ETM
영향을	영향/NNG+을/JKO
끼친다는	끼치/VV+ㄴ다는/ETM
것을	것/NNB+을/JKO
절감했다고	절감/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.276.13.1
"제 경험을 보면 교사도 사람이라 그날 자기감정이나 컨디션에 따라 애들을 다르게 대하기가 쉽거든요.

"제	"/SS+저/NP+의/JKG
경험을	경험/NNG+을/JKO
보면	보/VV+면/EC
교사도	교사/NNG+도/JX
사람이라	사람/NNG+이/VCP+라/EC
그날	그날/NNG
자기감정이나	자기감정/NNG+이나/JC
컨디션에	컨디션/NNG+에/JKB
따라	따르/VV+아/EC
애들을	애/NNG+들/XSN+을/JKO
다르게	다르/VA+게/EC
대하기가	대하/VV+기/ETN+가/JKS
쉽거든요.	쉽/VA+거든/EF+요/JX+./SF


# id : NWRW1800000022.276.13.2
학생과 학부모들이 1년에 한 번이라도 나를 평가한다는 것을 의식하면, 스스로 감정을 조절하고 아이들을 일관성 있게 대하는 데 큰 도움이 된다는 걸 깨달았어요."

학생과	학생/NNG+과/JC
학부모들이	학부모/NNG+들/XSN+이/JKS
1년에	1/SN+년/NNB+에/JKB
한	한/MMN
번이라도	번/NNB+이/VCP+라도/EC
나를	나/NP+를/JKO
평가한다는	평가/NNG+하/XSV+ㄴ다는/ETM
것을	것/NNB+을/JKO
의식하면,	의식/NNG+하/XSV+면/EC+,/SP
스스로	스스로/MAG
감정을	감정/NNG+을/JKO
조절하고	조절/NNG+하/XSV+고/EC
아이들을	아이/NNG+들/XSN+을/JKO
일관성	일관/NNG+성/XSN
있게	있/VA+게/EC
대하는	대하/VV+는/ETM
데	데/NNB
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
걸	거/NNB+ㄹ/JKO
깨달았어요."	깨닫/VV+았/EP+어요/EF+./SF+"/SS


# id : NWRW1800000022.276.14.1
이씨는 교원평가 결과를 승진·성과급 등에 연계하는 문제에 대해서도 "빨리 그렇게 됐으면 좋겠다"고 했다.

이씨는	이/NNP+씨/NNB+는/JX
교원평가	교원/NNG+평가/NNG
결과를	결과/NNG+를/JKO
승진·성과급	승진/NNG+·/SP+성과급/NNG
등에	등/NNB+에/JKB
연계하는	연계/NNG+하/XSV+는/ETM
문제에	문제/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
"빨리	"/SS+빨리/MAG
그렇게	그렇/VA+게/EC
됐으면	되/VV+었/EP+으면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.276.14.2
"학생과 학부모에게 최선을 다해 열심히 하는 선생님이 학교에서도, 나라에서도 제대로 된 대우를 받아야지요."

"학생과	"/SS+학생/NNG+과/JC
학부모에게	학부모/NNG+에게/JKB
최선을	최선/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
열심히	열심히/MAG
하는	하/VV+는/ETM
선생님이	선생/NNG+님/XSN+이/JKS
학교에서도,	학교/NNG+에서/JKB+도/JX+,/SP
나라에서도	나라/NNG+에서/JKB+도/JX
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
대우를	대우/NNG+를/JKO
받아야지요."	받/VV+아야지/EF+요/JX+./SF+"/SS


# id : NWRW1800000022.276.15.1
전곡초등학교는 학력 부진학생이 2006년 28명에서 지난해 8명으로 줄었고, 기초학력 미달 학생 비율은 서울시 평균(2.8%)이나 동대문구·중랑구 평균(3.9%)보다 낮은 1.5%였다.

전곡초등학교는	전곡초등학교/NNP+는/JX
학력	학력/NNG
부진학생이	부진/NNG+학생/NNG+이/JKS
2006년	2006/SN+년/NNB
28명에서	28/SN+명/NNB+에서/JKB
지난해	지난해/NNG
8명으로	8/SN+명/NNB+으로/JKB
줄었고,	줄/VV+었/EP+고/EC+,/SP
기초학력	기초/NNG+학력/NNG
미달	미달/NNG
학생	학생/NNG
비율은	비율/NNG+은/JX
서울시	서울시/NNP
평균(2.8%)이나	평균/NNG+(/SS+2/SN+./SP+8/SN+%/SW+)/SS+이나/JC
동대문구·중랑구	동대문구/NNP+·/SP+중랑구/NNP
평균(3.9%)보다	평균/NNG+(/SS+3/SN+./SP+9/SN+%/SW+)/SS+보다/JKB
낮은	낮/VA+은/ETM
1.5%였다.	1/SN+./SP+5/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.276.16.1
현재 주변 일대가 재개발되고 있지만, 다른 곳으로 이사를 가서도 버스를 타고 일부러 이 학교에 다니는 학생들이 많다.

현재	현재/MAG
주변	주변/NNG
일대가	일대/NNG+가/JKS
재개발되고	재/XPN+개발/NNG+되/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
다른	다른/MMD
곳으로	곳/NNG+으로/JKB
이사를	이사/NNG+를/JKO
가서도	가/VV+아서/EC+도/JX
버스를	버스/NNG+를/JKO
타고	타/VV+고/EC
일부러	일부러/MAG
이	이/MMD
학교에	학교/NNG+에/JKB
다니는	다니/VV+는/ETM
학생들이	학생/NNG+들/XSN+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000022.276.16.2
전학을 갔다가 다시 돌아오는 학생들도 있다고 한다.

전학을	전학/NNG+을/JKO
갔다가	가/VV+았/EP+다가/EC
다시	다시/MAG
돌아오는	돌아오/VV+는/ETM
학생들도	학생/NNG+들/XSN+도/JX
있다고	있/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.276.17.1
이 학교 전병식 교장은 "교사들이 교원평가를 '족쇄'라고 생각하기 쉽지만, 오히려 교사들에게 더 큰 자율성을 주기 위한 수단"이라고 했다.

이	이/MMD
학교	학교/NNG
전병식	전병식/NNP
교장은	교장/NNG+은/JX
"교사들이	"/SS+교사/NNG+들/XSN+이/JKS
교원평가를	교원/NNG+평가/NNG+를/JKO
'족쇄'라고	'/SS+족쇄/NNG+'/SS+라고/JKQ
생각하기	생각/NNG+하/XSV+기/ETN
쉽지만,	쉽/VA+지만/EC+,/SP
오히려	오히려/MAG
교사들에게	교사/NNG+들/XSN+에게/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
자율성을	자율/NNG+성/XSN+을/JKO
주기	주/VV+기/ETN
위한	위하/VV+ㄴ/ETM
수단"이라고	수단/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


