# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.17
metadata : {}


# id : NWRW1800000037.17.1.1
“금융사 해킹사고땐 경영진 책임 엄격히 묻겠다”

“금융사	“/SS+금융사/NNG
뜻도	뜻/NNG+도/JX
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.17.5.2
최 원장은 “금융회사가 IT 보안 인력을 양성하도록 유도하고, 보안 수준 점검을 강화하겠다”고 말했다.

최	최/NNP
원장은	원장/NNG+은/JX
“금융회사가	“/SS+금융/NNG+회사/NNG+가/JKS
IT	IT/SL
보안	보안/NNG
인력을	인력/NNG+을/JKO
양성하도록	양성/NNG+하/XSV+도록/EC
유도하고,	유도/NNG+하/XSV+고/EC+,/SP
수준	수준/NNG
점검을	점검/NNG+을/JKO
강화하겠다”고	강화/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.17.5.3
감독 당국이 나서 금융회사와 교육기관, 보안전문기관, 산업계 등의 연계를 강화해 보안 관련 일자리 창출에 기여해보겠다는 뜻이다.

감독	감독/NNG
당국이	당국/NNG+이/JKS
나서	나서/VV+어/EC
금융회사와	금융/NNG+회사/NNG+와/JC
교육기관,	교육/NNG+기관/NNG+,/SP
보안전문기관,	보안/NNG+전문/NNG+기관/NNG+,/SP
산업계	산업/NNG+계/XSN
등의	등/NNB+의/JKG
연계를	연계/NNG+를/JKO
강화해	강화/NNG+하/XSV+아/EC
보안	보안/NNG
관련	관련/NNG
일자리	일자리/NNG
창출에	창출/NNG+에/JKB
기여해보겠다는	기여/NNG+하/XSV+아/EC+보/VX+겠/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.17.6.1
금감원은 전자금융사기를 막기 위해 온라인에서 공인인증서를 재발급받거나 300만 원 이상을 다른 계좌로 보낼 때, 본인확인 절차를 강화하는 ‘전자금융사기 예방서비스’를 9월 26일부터 전면 시행한다.

금감원은	금감원/NNG+은/JX
전자금융사기를	전자/NNG+금융/NNG+사기/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
온라인에서	온라인/NNG+에서/JKB
공인인증서를	공인/NNG+인증서/NNG+를/JKO
재발급받거나	재/XPN+발급/NNG+받/XSV+거나/EC
300만	300/SN+만/NR
원	원/NNB
이상을	이상/NNG+을/JKO
다른	다른/MMD
계좌로	계좌/NNG+로/JKB
보낼	보내/VV+ㄹ/ETM
때,	때/NNG+,/SP
본인확인	본인/NNG+확인/NNG
절차를	절차/NNG+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
‘전자금융사기	‘/SS+전자/NNG+금융/NNG+사기/NNG
예방서비스’를	예방/NNG+서비스/NNG+’/SS+를/JKO
9월	9/SN+월/NNB
26일부터	26/SN+일/NNB+부터/JX
전면	전면/NNG
시행한다.	시행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.17.7.1
금감원은 ‘3·20 해킹’에 노출됐던 농협과 신한은행에 대한 제재심의를 조만간 열 예정이다.

금감원은	금감원/NNG+은/JX
‘3·20	‘/SS+3/SN+·/SP+20/SN
해킹’에	해킹/NNG+’/SS+에/JKB
노출됐던	노출/NNG+되/XSV+었/EP+던/ETM
농협과	농협/NNP+과/JC
신한은행에	신한은행/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
제재심의를	제재/NNG+심의/NNG+를/JKO
조만간	조만간/MAG
열	열/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.17.7.2
특히 농협은 2011년에 이어 전산사고가 반복된 데다 사고로 인한 사회적 파장이 컸던 만큼 중징계를 받을 것으로 보인다.

특히	특히/MAG
농협은	농협/NNP+은/JX
2011년에	2011/SN+년/NNB+에/JKB
이어	잇/VV+어/EC
전산사고가	전산/NNG+사고/NNG+가/JKS
반복된	반복/NNG+되/XSV+ㄴ/ETM
데다	데/NNB+다/JX
사고로	사고/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
사회적	사회/NNG+적/XSN
파장이	파장/NNG+이/JKS
컸던	크/VA+었/EP+던/ETM
만큼	만큼/NNB
중징계를	중징계/NNG+를/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.17.7.3
해킹 사고 당시 신제윤 금융위원장도 사고원인을 철저히 규명하고 책임을 묻겠다고 강조한 바 있다.

해킹	해킹/NNG
사고	사고/NNG
당시	당시/NNG
신제윤	신제윤/NNP
금융위원장도	금융/NNG+위원장/NNG+도/JX
사고원인을	사고/NNG+원인/NNG+을/JKO
철저히	철저히/MAG
규명하고	규명/NNG+하/XSV+고/EC
책임을	책임/NNG+을/JKO
묻겠다고	묻/VV+겠/EP+다고/EC
강조한	강조/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


