# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.89
metadata : {}


# id : NWRW1800000033.89.1.1
혹한 베이징서 여름 광저우로 8시간이내 도착

혹한	혹한/NNG
선전(深(수,천))을	선전/NNP+(/SS+深/SH+(/SS+수/NA+,/SP+천/NA+)/SS+)/SS+을/JKO
거쳐	거치/VV+어/EC
홍콩까지	홍콩/NNP+까지/JX
연장될	연장/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.89.6.1
열차 요금은 좌석에 따라 △비즈니스석 2727위안(약 47만 원) △일등석 1383위안(약 24만 원) △이등석 865위안(약 15만 원).

열차	열차/NNG
요금은	요금/NNG+은/JX
좌석에	좌석/NNG+에/JKB
따라	따르/VV+아/EC
△비즈니스석	△/SW+비즈니스석/NNG
2727위안(약	2727/SN+위안/NNB+(/SS+약/MMA
47만	47/SN+만/NR
원)	원/NNB+)/SS
△일등석	△/SW+일등석/NNG
1383위안(약	1383/SN+위안/NNB+(/SS+약/MMA
24만	24/SN+만/NR
△이등석	△/SW+이등석/NNG
865위안(약	865/SN+위안/NNB+(/SS+약/MMA
15만	15/SN+만/NR
원).	원/NNB+)/SS+./SF


# id : NWRW1800000033.89.6.2
이 구간 이코노미석 항공료(1880위안·약 32만4000원)보다 비싼 좌석도 있다.

이	이/MMD
구간	구간/NNG
이코노미석	이코노미석/NNG
항공료(1880위안·약	항공료/NNG+(/SS+1880/SN+위안/NNB+·/SP+약/MMA
32만4000원)보다	32/SN+만/NR+4000/SN+원/NNB+)/SS+보다/JKB
비싼	비싸/VA+ㄴ/ETM
좌석도	좌석/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.89.6.3
이 노선은 비행기로는 3시간 10분이 걸린다.

이	이/MMD
노선은	노선/NNG+은/JX
비행기로는	비행기/NNG+로/JKB+는/JX
3시간	3/SN+시간/NNB
10분이	10/SN+분/NNB+이/JKS
걸린다.	걸리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.89.7.1
기자가 이날 탑승한 고속열차는 소음과 진동이 일반 열차는 물론이고 비행기보다 훨씬 작았다.

기자가	기자/NNG+가/JKS
이날	이날/NNG
탑승한	탑승/NNG+하/XSV+ㄴ/ETM
고속열차는	고속/NNG+열차/NNG+는/JX
소음과	소음/NNG+과/JC
진동이	진동/NNG+이/JKS
일반	일반/NNG
열차는	열차/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
비행기보다	비행기/NNG+보다/JKB
훨씬	훨씬/MAG
작았다.	작/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.89.7.2
다만 무선인터넷과 휴대전화는 가끔 끊겨 불편했다.

다만	다만/MAG
무선인터넷과	무선/NNG+인터넷/NNG+과/JC
휴대전화는	휴대/NNG+전화/NNG+는/JX
가끔	가끔/MAG
끊겨	끊기/VV+어/EC
불편했다.	불편/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000033.89.8.1
한편 일부 언론은 징광 고속철도는 경제적 효과는 물론이고 국방력 강화에도 기여할 것이라는 분석을 내놓아 전략미사일 이동 등 작전에도 사용될 가능성을 시사했다.

한편	한편/MAG
일부	일부/NNG
언론은	언론/NNG+은/JX
징광	징광/NNP
고속철도는	고속/NNG+철도/NNG+는/JX
경제적	경제/NNG+적/XSN
효과는	효과/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
국방력	국방력/NNG
강화에도	강화/NNG+에/JKB+도/JX
기여할	기여/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석을	분석/NNG+을/JKO
내놓아	내놓/VV+아/EC
전략미사일	전략/NNG+미사일/NNG
이동	이동/NNG
등	등/NNB
작전에도	작전/NNG+에/JKB+도/JX
사용될	사용/NNG+되/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


