# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.292
metadata : {}


# id : NWRW1800000022.292.1.1
[수도권Ⅱ] 가평에 '잣 생산특구'추진

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SL+]/SS
강화해	강화/NNG+하/XSV+아/EC
특구	특구/NNG
내에서	내/NNB+에서/JKB
선택적으로	선택/NNG+적/XSN+으로/JKB
특례를	특례/NNG+를/JKO
적용받아	적용/NNG+받/XSV+아/EC
잣	잣/NNG
생산	생산/NNG
활성화를	활성/NNG+화/XSN+를/JKO
기대할	기대/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


