# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.92
metadata : {}


# id : NWRW1800000053.92.1.1
용감해진 오스카, 트럼프에게 ‘한 방’ 먹였다

용감해진	용감하/VA+아/EC+지/VX+ㄴ/ETM
한)	하/VX+ㄴ/ETM+)/SS
트럼프	트럼프/NNP
대통령께	대통령/NNG+께/JKB
감사	감사/NNG
드린다”고	드리/VV+ㄴ다/EF+”/SS+고/JKQ
비꼬았다.	비꼬/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.92.8.4
또 트럼프 대통령이 “역사상 가장 과대평가된 배우”라며 깎아내린 메릴 스트립을 향해서는 “그녀는 올해까지 20차례나 오스카상 후보로 지명됐다.

또	또/MAG
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
“역사상	“/SS+역사/NNG+상/XSN
가장	가장/MAG
과대평가된	과대평가/NNG+되/XSV+ㄴ/ETM
배우”라며	배우/NNG+”/SS+이/VCP+라며/EC
깎아내린	깎아내리/VV+ㄴ/ETM
메릴	메릴/NNP
스트립을	스트립/NNP+을/JKO
향해서는	향하/VV+아서/EC+는/JX
“그녀는	“/SS+그녀/NP+는/JX
올해까지	올해/NNG+까지/JX
20차례나	20/SN+차례/NNG+나/JX
오스카상	오스카/NNP+상/NNG
후보로	후보/NNG+로/JKB
지명됐다.	지명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.92.8.5
우리는 올해도 ‘습관적으로’ 그녀의 이름을 적었다”며 풍자했다.

우리는	우리/NP+는/JX
올해도	올해/NNG+도/JX
‘습관적으로’	‘/SS+습관/NNG+적/XSN+으로/JKB+’/SS
그녀의	그녀/NP+의/JKG
이름을	이름/NNG+을/JKO
적었다”며	적/VV+었/EP+다/EF+”/SS+며/EC
풍자했다.	풍자/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.92.9.1
‘세일즈맨’으로 외국어영화상을 수상한 이란의 아스가르 파르하디 감독은 대리 참석자를 통해 “비인간적인 법(반이민 행정명령)으로 결례를 당한 우리 국민과 다른 6개 국민을 존중해 불참한다”며 시상식 보이콧을 선언했다.

‘세일즈맨’으로	‘/SS+세일즈맨/NNP+’/SS+으로/JKB
외국어영화상을	외국어/NNG+영화상/NNG+을/JKO
수상한	수상/NNG+하/XSV+ㄴ/ETM
이란의	이란/NNP+의/JKG
아스가르	아스가르/NNP
파르하디	파르하디/NNP
감독은	감독/NNG+은/JX
대리	대리/NNG
참석자를	참석자/NNG+를/JKO
통해	통하/VV+아/EC
“비인간적인	“/SS+비/XPN+인간/NNG+적/XSN+이/VCP+ㄴ/ETM
법(반이민	법/NNG+(/SS+반/XPN+이민/NNG
행정명령)으로	행정/NNG+명령/NNG+)/SS+으로/JKB
결례를	결례/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
우리	우리/NP
국민과	국민/NNG+과/JC
다른	다른/MMD
6개	6/SN+개/NNB
국민을	국민/NNG+을/JKO
존중해	존중/NNG+하/XSV+아/EC
불참한다”며	불참/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
시상식	시상식/NNG
보이콧을	보이콧/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.92.10.1
시상식 전 열린 레드카펫에서도 드레스보다 ‘반트럼프’ 메시지가 더 돋보였다.

시상식	시상식/NNG
전	전/NNG
열린	열리/VV+ㄴ/ETM
레드카펫에서도	레드/NNG+카펫/NNG+에서/JKB+도/JX
드레스보다	드레스/NNG+보다/JKB
‘반트럼프’	‘/SS+반/XPN+트럼프/NNP+’/SS
메시지가	메시지/NNG+가/JKS
더	더/MAG
돋보였다.	돋보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.92.10.2
‘러빙’으로 여우주연상 후보에 오른 흑인 배우 루스 네이가를 비롯해 여러 스타가 ‘파란 리본’을 달고 레드카펫에 섰다.

‘러빙’으로	‘/SS+러빙/NNG+’/SS+으로/JKB
여우주연상	여우/NNG+주연상/NNG
후보에	후보/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
흑인	흑인/NNG
배우	배우/NNG
루스	루스/NNP
네이가를	네이가/NNP+를/JKO
비롯해	비롯하/VV+아/EC
여러	여러/MMN
스타가	스타/NNG+가/JKS
‘파란	‘/SS+파랗/VA+ㄴ/ETM
리본’을	리본/NNG+’/SS+을/JKO
달고	달/VV+고/EC
레드카펫에	레드/NNG+카펫/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.92.10.3
파란 리본은 반이민 행정명령에 반발해 소송까지 제기한 시민단체인 미국시민자유연맹(ACLU)에 대한 지지를 뜻한다.

파란	파랗/VA+ㄴ/ETM
리본은	리본/NNG+은/JX
반이민	반/XPN+이민/NNG
행정명령에	행정/NNG+명령/NNG+에/JKB
반발해	반발/NNG+하/XSV+아/EC
소송까지	소송/NNG+까지/JX
제기한	제기/NNG+하/XSV+ㄴ/ETM
시민단체인	시민/NNG+단체/NNG+이/VCP+ㄴ/ETM
미국시민자유연맹(ACLU)에	미국시민자유연맹/NNP+(/SS+ACLU/SL+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
지지를	지지/NNG+를/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.92.11.1
○ ‘라라랜드’ 6관왕

○	○/SW
‘라라랜드’	‘/SS+라라랜드/NNP+’/SS
6관왕	6관왕/NNG


# id : NWRW1800000053.92.12.1
주제가 2곡 등 13개 부문에서 14개 후보를 올리며 독주가 예상됐던 ‘라라랜드’는 ‘문라이트’ ‘맨체스터 바이 더 씨’ ‘핵소 고지’ 등 쟁쟁한 경쟁작들 사이에서 감독상과 여우주연상, 촬영상, 주제가상 등 6관왕을 차지하는 데 그쳤다.

주제가	주제가/NNG
2곡	2/SN+곡/NNG
등	등/NNB
13개	13/SN+개/NNB
부문에서	부문/NNG+에서/JKB
14개	14/SN+개/NNB
후보를	후보/NNG+를/JKO
올리며	올리/VV+며/EC
독주가	독주/NNG+가/JKS
예상됐던	예상/NNG+되/XSV+었/EP+던/ETM
‘라라랜드’는	‘/SS+라라랜드/NNP+’/SS+는/JX
‘문라이트’	‘/SS+문라이트/NNP+’/SS
‘맨체스터	‘/SS+맨체스터/NNP
바이	바이/NNP
더	더/NNP
씨’	씨/NNP+’/SS
‘핵소	‘/SS+핵소/NNG
고지’	고지/NNG+’/SS
쟁쟁한	쟁쟁하/VA+ㄴ/ETM
경쟁작들	경쟁작/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
감독상과	감독상/NNG+과/JC
여우주연상,	여우/NNG+주연상/NNG+,/SP
촬영상,	촬영상/NNG+,/SP
주제가상	주제가/NNG+상/NNG
6관왕을	6관왕/NNG+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.92.13.1
감독상을 거머쥔 셔젤 감독은 하버드대 재학 시절 단편 영화(가이 앤드 매들린 온 어 파크 벤츠·2009년)로 데뷔했다.

감독상을	감독상/NNG+을/JKO
거머쥔	거머쥐/VV+ㄴ/ETM
셔젤	셔젤/NNP
감독은	감독/NNG+은/JX
하버드대	하버드대/NNP
재학	재학/NNG
시절	시절/NNG
단편	단편/NNG
영화(가이	영화/NNG+(/SS+가이/NNP
앤드	앤드/NNP
매들린	매들린/NNP
온	온/NNP
어	어/NNP
파크	파크/NNP
벤츠·2009년)로	벤츠/NNP+·/SP+2009/SN+년/NNB+)/SS+로/JKB
데뷔했다.	데뷔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.92.13.2
2015년 첫 장편 ‘위플래시’를 연출하며 주목받았고 ‘라라랜드’는 그의 두 번째 장편 연출작이다.

2015년	2015/SN+년/NNB
첫	첫/MMN
장편	장편/NNG
‘위플래시’를	‘/SS+위플래시/NNG+’/SS+를/JKO
연출하며	연출/NNG+하/XSV+며/EC
주목받았고	주목/NNG+받/XSV+았/EP+고/EC
‘라라랜드’는	‘/SS+라라랜드/NNP+’/SS+는/JX
그의	그/NP+의/JKG
두	두/MMN
번째	번/NNB+째/XSN
연출작이다.	연출작/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.92.14.1
여우주연상은 ‘라라랜드’에서 배우 지망생 미아 역을 맡은 에마 스톤(29)이 수상했다.

여우주연상은	여우/NNG+주연상/NNG+은/JX
‘라라랜드’에서	‘/SS+라라랜드/NNP+’/SS+에서/JKB
배우	배우/NNG
지망생	지망/NNG+생/XSN
미아	미아/NNP
역을	역/NNG+을/JKO
맡은	맡/VV+은/ETM
에마	에마/NNP
스톤(29)이	스톤/NNP+(/SS+29/SN+)/SS+이/JKS
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.92.14.2
영화를 위해 탭댄스와 왈츠까지 철저하게 준비한 스톤은 지난해 베니스영화제에서도 같은 작품으로 여우주연상을 받았다.

영화를	영화/NNG+를/JKO
위해	위하/VV+아/EC
탭댄스와	탭댄스/NNG+와/JC
왈츠까지	왈츠/NNG+까지/JX
철저하게	철저/NNG+하/XSA+게/EC
준비한	준비/NNG+하/XSV+ㄴ/ETM
스톤은	스톤/NNP+은/JX
지난해	지난해/NNG
베니스영화제에서도	베니스/NNP+영화제/NNG+에서/JKB+도/JX
같은	같/VA+은/ETM
작품으로	작품/NNG+으로/JKB
여우주연상을	여우/NNG+주연상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.92.14.3
남우주연상은 ‘맨체스터 바이 더 씨’에서 절정의 연기력을 보인 케이시 애플렉(42)에게 돌아갔다.

남우주연상은	남우/NNG+주연상/NNG+은/JX
‘맨체스터	‘/SS+맨체스터/NNP
바이	바이/NNP
더	더/NNP
씨’에서	씨/NNP+’/SS+에서/JKB
절정의	절정/NNG+의/JKG
연기력을	연기력/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
케이시	케이시/NNP
애플렉(42)에게	애플렉/NNP+(/SS+42/SN+)/SS+에게/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


