# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.306
metadata : {}


# id : NWRW1800000037.306.1.1
[오늘과 내일/이진녕]거짓말의 늪에 빠진 대화록

[오늘과	[/SS+오늘/NNG+과/JC
그런 깊은 뜻이 있었다면 당연히 후임인 이명박 대통령 측에 분명히 알려줬어야 한다.

그런	그런/MMD
깊은	깊/VA+은/ETM
뜻이	뜻/NNG+이/JKS
있었다면	있/VA+었/EP+다면/EC
당연히	당연히/MAG
후임인	후임/NNG+이/VCP+ㄴ/ETM
이명박	이명박/NNP
대통령	대통령/NNG
측에	측/NNB+에/JKB
분명히	분명히/MAG
알려줬어야	알리/VV+어/EC+주/VX+었/EP+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.306.3.4
그래야 후임자가 마음 놓고 국정원의 대화록을 들여다볼 수 있을 것 아닌가.

그래야	그렇/VA+어야/EC
후임자가	후임자/NNG+가/JKS
마음	마음/NNG
놓고	놓/VV+고/EC
국정원의	국정원/NNG+의/JKG
대화록을	대화록/NNG+을/JKO
들여다볼	들여다보/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
아닌가.	아니/VCN+ㄴ가/EF+./SF


# id : NWRW1800000037.306.3.5
하지만 그 사실을 알려줬다는 사람도, 통고받았다는 사람도 없다.

하지만	하지만/MAJ
그	그/MMD
사실을	사실/NNG+을/JKO
알려줬다는	알리/VV+어/EC+주/VX+었/EP+다는/ETM
사람도,	사람/NNG+도/JX+,/SP
통고받았다는	통고/NNG+받/XSV+았/EP+다는/ETM
사람도	사람/NNG+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.306.3.6
문재인 의원을 비롯한 노무현 측 사람들은 거꾸로 “대화록을 분명히 국가기록원에 보냈다”고 말해 왔다.

문재인	문재인/NNP
의원을	의원/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
노무현	노무현/NNP
측	측/NNB
사람들은	사람/NNG+들/XSN+은/JX
거꾸로	거꾸로/MAG
“대화록을	“/SS+대화록/NNG+을/JKO
분명히	분명히/MAG
국가기록원에	국가/NNG+기록원/NNG+에/JKB
보냈다”고	보내/VV+었/EP+다/EF+”/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.306.3.7
도무지 앞뒤가 맞지 않는다.

도무지	도무지/MAG
앞뒤가	앞뒤/NNG+가/JKS
맞지	맞/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000037.306.4.1
국정원의 대화록이 대통령기록물과 같은 취급을 받는다는 말도 맞지 않다.

국정원의	국정원/NNG+의/JKG
대화록이	대화록/NNG+이/JKS
대통령기록물과	대통령/NNG+기록물/NNG+과/JKB
같은	같/VA+은/ETM
취급을	취급/NNG+을/JKO
받는다는	받/VV+는다는/ETM
말도	말/NNG+도/JX
맞지	맞/VV+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000037.306.4.2
국정원 것은 공공기록물관리법에 따라, 국가기록원 것은 대통령기록물관리법에 따라 관리된다.

국정원	국정원/NNG
것은	것/NNB+은/JX
공공기록물관리법에	공공/NNG+기록물/NNG+관리법/NNG+에/JKB
따라,	따르/VV+아/EC+,/SP
국가기록원	국가/NNG+기록원/NNG
대통령기록물관리법에	대통령/NNG+기록물/NNG+관리법/NNG+에/JKB
따라	따르/VV+아/EC
관리된다.	관리/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.306.4.3
적용법이 엄연히 다른데 어떻게 같이 취급할 수 있는가.

적용법이	적용법/NNG+이/JKS
엄연히	엄연히/MAG
다른데	다르/VA+ㄴ데/EC
어떻게	어떻/VA+게/EC
같이	같이/MAG
취급할	취급/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는가.	있/VA+는가/EF+./SF


# id : NWRW1800000037.306.4.4
같은 국정원에 있는 김대중-김정일 대화록은 2급 기밀인데 노무현-김정일 대화록은 그보다 열람과 공개가 훨씬 까다로운 1급 기밀로 지정한 것도 노 전 대통령의 선의로는 설명하기 어렵다.

같은	같/VA+은/ETM
국정원에	국정원/NNG+에/JKB
있는	있/VA+는/ETM
김대중-김정일	김대중/NNP+-/SO+김정일/NNP
대화록은	대화록/NNG+은/JX
2급	2/SN+급/NNG
기밀인데	기밀/NNG+이/VCP+ㄴ데/EC
노무현-김정일	노무현/NNP+-/SO+김정일/NNP
그보다	그/NP+보다/JKB
열람과	열람/NNG+과/JC
공개가	공개/NNG+가/JKS
훨씬	훨씬/MAG
까다로운	까다롭/VA+ㄴ/ETM
1급	1/SN+급/NNG
기밀로	기밀/NNG+로/JKB
지정한	지정/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
선의로는	선의/NNG+로/JKB+는/JX
설명하기	설명/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000037.306.5.1
더 억지스러운 주장도 있다.

더	더/MAG
억지스러운	억지/NNG+스럽/XSA+ㄴ/ETM
주장도	주장/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.306.5.2
노 전 대통령이 봉하마을로 가져갔던 복제 이지원(청와대 문서관리시스템)에 대화록이 존재하고 그것이 지금 국가기록원에 있으니 사초(史草) 실종은 아니라는 주장이다.

노	노/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
봉하마을로	봉하마을/NNP+로/JKB
가져갔던	가져가/VV+았/EP+던/ETM
복제	복제/NNG
이지원(청와대	이지원/NNP+(/SS+청와대/NNP
문서관리시스템)에	문서/NNG+관리/NNG+시스템/NNG+)/SS+에/JKB
대화록이	대화록/NNG+이/JKS
존재하고	존재/NNG+하/XSV+고/EC
그것이	그것/NP+이/JKS
지금	지금/MAG
국가기록원에	국가/NNG+기록원/NNG+에/JKB
있으니	있/VA+으니/EC
사초(史草)	사초/NNG+(/SS+史草/SH+)/SS
실종은	실종/NNG+은/JX
아니라는	아니/VCN+라는/ETM
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.306.5.3
봉하마을 이지원은 노 전 대통령이 무단 반출했다가 5개월 뒤 법 위반 논란이 일자 마지못해 반납한 것이다.

봉하마을	봉하마을/NNP
이지원은	이지원/NNP+은/JX
노	노/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
무단	무단/NNG
반출했다가	반출/NNG+하/XSV+았/EP+다가/EC
5개월	5/SN+개월/NNB
뒤	뒤/NNG
법	법/NNG
위반	위반/NNG
논란이	논란/NNG+이/JKS
일자	일/VV+자/EC
마지못해	마지못하/VA+아/EC
반납한	반납/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.306.5.4
이명박 정부가 문제 제기를 하지 않았더라면 지금도 봉하마을에 그대로 있을지 모른다.

이명박	이명박/NNP
정부가	정부/NNG+가/JKS
문제	문제/NNG
제기를	제기/NNG+를/JKO
하지	하/VV+지/EC
않았더라면	않/VX+았/EP+더라면/EC
지금도	지금/NNG+도/JX
봉하마을에	봉하마을/NNP+에/JKB
그대로	그대로/MAG
있을지	있/VA+을지/EC
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.306.5.5
있어야 할 사고(史庫)에는 없고 개인의 사유물로 취급한 것에서 나온 대화록을 어떻게 사초라고 우길 수 있나.

있어야	있/VA+어야/EC
할	하/VX+ㄹ/ETM
사고(史庫)에는	사고/NNG+(/SS+史庫/SH+)/SS+에/JKB+는/JX
없고	없/VA+고/EC
개인의	개인/NNG+의/JKG
사유물로	사유물/NNG+로/JKB
취급한	취급/NNG+하/XSV+ㄴ/ETM
것에서	것/NNB+에서/JKB
나온	나오/VV+ㄴ/ETM
대화록을	대화록/NNG+을/JKO
어떻게	어떻/VA+게/EC
사초라고	사초/NNG+이/VCP+라고/EC
우길	우기/VV+ㄹ/ETM
수	수/NNB
있나.	있/VA+나/EF+./SF


# id : NWRW1800000037.306.6.1
작년 10월 정문헌 새누리당 의원의 폭로로 노 전 대통령의 서해북방한계선(NLL) 포기 발언 의혹이 불거지자 이재정 전 통일부 장관은 “정상회담에서 NLL 문제는 거론조차 안 됐다”고 반박했다.

작년	작년/NNG
10월	10/SN+월/NNB
정문헌	정문헌/NNP
새누리당	새누리당/NNP
의원의	의원/NNG+의/JKG
폭로로	폭로/NNG+로/JKB
노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
서해북방한계선(NLL)	서해/NNP+북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS
포기	포기/NNG
발언	발언/NNG
의혹이	의혹/NNG+이/JKS
불거지자	불거지/VV+자/EC
이재정	이재정/NNP
통일부	통일부/NNG
장관은	장관/NNG+은/JX
“정상회담에서	“/SS+정상/NNG+회담/NNG+에서/JKB
NLL	NLL/SL
문제는	문제/NNG+는/JX
거론조차	거론/NNG+조차/JX
안	안/MAG
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.306.6.2
그는 “NLL 관련 이야기가 나왔으면 배석했던 우리가 깜짝 놀랄 일인데 그냥 넘어갔겠느냐.

그는	그/NP+는/JX
“NLL	“/SS+NLL/SL
관련	관련/NNG
이야기가	이야기/NNG+가/JKS
나왔으면	나오/VV+았/EP+으면/EC
배석했던	배석/NNG+하/XSV+았/EP+던/ETM
우리가	우리/NP+가/JKS
깜짝	깜짝/MAG
놀랄	놀라/VV+ㄹ/ETM
일인데	일/NNG+이/VCP+ㄴ데/EC
그냥	그냥/MAG
넘어갔겠느냐.	넘어가/VV+았/EP+겠/EP+느냐/EF+./SF


# id : NWRW1800000037.306.6.3
국민 앞에 명예를 걸고 말하겠다”고 했다.

국민	국민/NNG
앞에	앞/NNG+에/JKB
명예를	명예/NNG+를/JKO
걸고	걸/VV+고/EC
말하겠다”고	말/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.306.6.4
하지만 몇 달 뒤 국정원의 대화록이 공개되면서 그의 말은 새빨간 거짓말로 드러났다.

하지만	하지만/MAJ
몇	몇/NR
달	달/NNG
뒤	뒤/NNG
국정원의	국정원/NNG+의/JKG
대화록이	대화록/NNG+이/JKS
공개되면서	공개/NNG+되/XSV+면서/EC
그의	그/NP+의/JKG
말은	말/NNG+은/JX
새빨간	새빨갛/VA+ㄴ/ETM
거짓말로	거짓말/NNG+로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.306.7.1
노 전 대통령의 NLL 발언 외에도 대화록의 내용은 한마디로 실망스러웠다.

노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
NLL	NLL/SL
발언	발언/NNG
외에도	외/NNB+에/JKB+도/JX
대화록의	대화록/NNG+의/JKG
내용은	내용/NNG+은/JX
한마디로	한마디/NNG+로/JKB
실망스러웠다.	실망/NNG+스럽/XSA+었/EP+다/EF+./SF


# id : NWRW1800000037.306.7.2
그러자 친노와 민주당 사람들은 국정원 대화록의 조작 가능성을 제기했고, 대조를 위해 국가기록원에 보관돼 있을 ‘원본’ 수색에 나섰으나 찾지 못하자 이번엔 이명박 정부의 폐기 가능성을 거론했다.

그러자	그러/VV+자/EC
친노와	친/XPN+노/NNP+와/JC
민주당	민주당/NNP
사람들은	사람/NNG+들/XSN+은/JX
국정원	국정원/NNG
대화록의	대화록/NNG+의/JKG
조작	조작/NNG
가능성을	가능/NNG+성/XSN+을/JKO
제기했고,	제기/NNG+하/XSV+았/EP+고/EC+,/SP
대조를	대조/NNG+를/JKO
위해	위하/VV+아/EC
국가기록원에	국가/NNG+기록원/NNG+에/JKB
보관돼	보관/NNG+되/XSV+어/EC
있을	있/VX+을/ETM
‘원본’	‘/SS+원본/NNG+’/SS
수색에	수색/NNG+에/JKB
나섰으나	나서/VV+었/EP+으나/EC
찾지	찾/VV+지/EC
못하자	못하/VX+자/EC
이번엔	이번/NNG+에/JKB+ㄴ/JX
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
폐기	폐기/NNG
거론했다.	거론/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.306.7.3
하지만 원본은 애당초 노무현 청와대에서 국가기록원으로 넘어가지도 않았고, 정작 원본을 폐기하고 수정본을 빼돌린 것은 노무현 측으로 드러났다.

하지만	하지만/MAJ
원본은	원본/NNG+은/JX
애당초	애당초/NNG
노무현	노무현/NNP
청와대에서	청와대/NNP+에서/JKB
국가기록원으로	국가/NNG+기록원/NNG+으로/JKB
넘어가지도	넘어가/VV+지/EC+도/JX
않았고,	않/VX+았/EP+고/EC+,/SP
정작	정작/MAG
원본을	원본/NNG+을/JKO
폐기하고	폐기/NNG+하/XSV+고/EC
수정본을	수정본/NNG+을/JKO
빼돌린	빼돌리/VV+ㄴ/ETM
것은	것/NNB+은/JX
측으로	측/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.306.8.1
대화록을 둘러싼 그들의 거짓말, 억지 주장, 말 바꾸기, 둘러대기 행진이 끝이 없다.

대화록을	대화록/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
그들의	그/NP+들/XSN+의/JKG
거짓말,	거짓말/NNG+,/SP
억지	억지/NNG
주장,	주장/NNG+,/SP
말	말/NNG
바꾸기,	바꾸/VV+기/ETN+,/SP
둘러대기	둘러대/VV+기/ETN
행진이	행진/NNG+이/JKS
끝이	끝/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.306.8.2
잘못이 드러나면 차라리 솔직히 시인하고 매를 맞는 편이 오히려 국민의 신뢰를 높여줄 텐데 정치를 왜 그렇게 하는지 답답하다.

잘못이	잘못/NNG+이/JKS
드러나면	드러나/VV+면/EC
차라리	차라리/MAG
솔직히	솔직히/MAG
시인하고	시인/NNG+하/XSV+고/EC
매를	매/NNG+를/JKO
맞는	맞/VV+는/ETM
편이	편/NNB+이/JKS
오히려	오히려/MAG
국민의	국민/NNG+의/JKG
신뢰를	신뢰/NNG+를/JKO
높여줄	높이/VV+어/EC+주/VX+ㄹ/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
정치를	정치/NNG+를/JKO
왜	왜/MAG
그렇게	그렇/VA+게/EC
하는지	하/VV+는지/EC
답답하다.	답답하/VA+다/EF+./SF


# id : NWRW1800000037.306.8.3
혹시 국민을 바보로 아는 건가.

혹시	혹시/MAG
국민을	국민/NNG+을/JKO
바보로	바보/NNG+로/JKB
아는	알/VV+는/ETM
건가.	거/NNB+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000037.306.8.4
“사람들을 잠시 속일 수 있고, 한 사람을 오래 속일 수 있을지는 몰라도, 모든 사람들을 영원히 속일 수는 없다”는 에이브러햄 링컨(미국 16대 대통령)의 경구도 모르나.

“사람들을	“/SS+사람/NNG+들/XSN+을/JKO
잠시	잠시/MAG
속일	속이/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
한	한/MMN
사람을	사람/NNG+을/JKO
오래	오래/MAG
있을지는	있/VA+을지/EC+는/JX
몰라도,	모르/VV+아도/EC+,/SP
모든	모든/MMN
사람들을	사람/NNG+들/XSN+을/JKO
영원히	영원히/MAG
수는	수/NNB+는/JX
없다”는	없/VA+다/EF+”/SS+는/ETM
에이브러햄	에이브러햄/NNP
링컨(미국	링컨/NNP+(/SS+미국/NNP
16대	16/SN+대/NNB
대통령)의	대통령/NNG+)/SS+의/JKG
경구도	경구/NNG+도/JX
모르나.	모르/VV+나/EF+./SF


