# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.286
metadata : {}


# id : NWRW1800000036.286.1.1
빅초이, 기아 떠나나

빅초이,	빅초이/NNP+,/SP
하지만	하지만/MAJ
지난	지나/VV+ㄴ/ETM
시즌에는	시즌/NNG+에/JKB+는/JX
허리	허리/NNG
통증과	통증/NNG+과/JC
발가락	발가락/NNG
미세	미세/NNG
골절	골절/NNG
등으로	등/NNB+으로/JKB
70경기밖에	70/SN+경기/NNG+밖에/JX
소화하지	소화/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.286.6.2
홈런도 9개밖에 치지 못했다.

홈런도	홈런/NNG+도/JX
9개밖에	9/SN+개/NNB+밖에/JX
치지	치/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.286.6.3
팀 주장을 맡았다가 시즌 전 반납하는 일도 있었다.

팀	팀/NNG
주장을	주장/NNG+을/JKO
맡았다가	맡/VV+았/EP+다가/EC
시즌	시즌/NNG
전	전/NNG
반납하는	반납/NNG+하/XSV+는/ETM
일도	일/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000036.286.6.4
재활 기간 중 아내가 트위터에 올린 글이 팬들의 오해를 사면서 최희섭은 여러 비난에 직면해야 했다.

재활	재활/NNG
기간	기간/NNG
중	중/NNB
아내가	아내/NNG+가/JKS
트위터에	트위터/NNP+에/JKB
올린	올리/VV+ㄴ/ETM
글이	글/NNG+이/JKS
팬들의	팬/NNG+들/XSN+의/JKG
오해를	오해/NNG+를/JKO
사면서	사/VV+면서/EC
최희섭은	최희섭/NNP+은/JX
여러	여러/MMN
비난에	비난/NNG+에/JKB
직면해야	직면/NNG+하/XSV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.286.6.5
자존심에 큰 생채기가 났다.

자존심에	자존심/NNG+에/JKB
큰	크/VA+ㄴ/ETM
생채기가	생채기/NNG+가/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.286.6.6
마무리훈련에도 불참하고 두문불출하면서 ‘기아에서 마음이 떠난 것 아니냐’는 관측이 흘러나왔고, 결국 새해 첫 합동훈련에 불참하면서 그의 거취 문제는 수면 위로 떠올랐다.

마무리훈련에도	마무리/NNG+훈련/NNG+에/JKB+도/JX
불참하고	불참/NNG+하/XSV+고/EC
두문불출하면서	두문불출/NNG+하/XSV+면서/EC
‘기아에서	‘/SS+기아/NNP+에서/JKB
마음이	마음/NNG+이/JKS
떠난	떠나/VV+ㄴ/ETM
것	것/NNB
아니냐’는	아니/VCN+냐/EF+’/SS+는/ETM
관측이	관측/NNG+이/JKS
흘러나왔고,	흘러나오/VV+았/EP+고/EC+,/SP
결국	결국/MAG
새해	새해/NNG
첫	첫/MMN
합동훈련에	합동/NNG+훈련/NNG+에/JKB
불참하면서	불참/NNG+하/XSV+면서/EC
그의	그/NP+의/JKG
거취	거취/NNG
문제는	문제/NNG+는/JX
수면	수면/NNG
위로	위/NNG+로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.286.7.1
기아는 일단 최희섭을 다독이고 있다.

기아는	기아/NNP+는/JX
일단	일단/MAG
최희섭을	최희섭/NNP+을/JKO
다독이고	다독이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.286.7.2
기아 관계자는 “최희섭은 현재 광주에 있다.

기아	기아/NNP
관계자는	관계자/NNG+는/JX
“최희섭은	“/SS+최희섭/NNP+은/JX
현재	현재/MAG
광주에	광주/NNP+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.286.7.3
어젯밤(11일)에도 오현표 운영팀장이 만나 이런저런 얘기를 나눴다”며 “일단 몸을 추스르고 팀에 합류해 훈련하면 여러가지 말들도 들어가고 팬들과의 오해 또한 풀릴 수 있는 문제라고 설득하고 있다”고 밝혔다.

어젯밤(11일)에도	어젯밤/NNG+(/SS+11/SN+일/NNB+)/SS+에/JKB+도/JX
오현표	오현표/NNP
운영팀장이	운영/NNG+팀장/NNG+이/JKS
만나	만나/VV+아/EC
이런저런	이런저런/MMD
얘기를	얘기/NNG+를/JKO
나눴다”며	나누/VV+었/EP+다/EF+”/SS+며/EC
“일단	“/SS+일단/MAG
몸을	몸/NNG+을/JKO
추스르고	추스르/VV+고/EC
팀에	팀/NNG+에/JKB
합류해	합류/NNG+하/XSV+아/EC
훈련하면	훈련/NNG+하/XSV+면/EC
여러가지	여러/MMN+가지/NNB
말들도	말/NNG+들/XSN+도/JX
들어가고	들어가/VV+고/EC
팬들과의	팬/NNG+들/XSN+과/JKB+의/JKG
오해	오해/NNG
또한	또한/MAG
풀릴	풀리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
문제라고	문제/NNG+이/VCP+라고/EC
설득하고	설득/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.286.7.4
최희섭은 15일 출발하는 미국 애리조나 전지훈련 명단에는 빠져 있는 상황이다.

최희섭은	최희섭/NNP+은/JX
15일	15/SN+일/NNB
출발하는	출발/NNG+하/XSV+는/ETM
미국	미국/NNP
애리조나	애리조나/NNP
전지훈련	전지훈련/NNG
명단에는	명단/NNG+에/JKB+는/JX
빠져	빠지/VV+어/EC
있는	있/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.286.8.1
팀 분위기를 고려해야 하는 기아로서는 최후의 수단으로 트레이드도 생각중이다.

팀	팀/NNG
분위기를	분위기/NNG+를/JKO
고려해야	고려/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
기아로서는	기아/NNP+로서/JKB+는/JX
최후의	최후/NNG+의/JKG
수단으로	수단/NNG+으로/JKB
트레이드도	트레이드/NNG+도/JX
생각중이다.	생각/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.286.8.2
하지만 워낙 거물급 선수라 카드 맞추기가 쉽지 않다.

하지만	하지만/MAJ
워낙	워낙/MAG
거물급	거물급/NNG
선수라	선수/NNG+이/VCP+라/EC
카드	카드/NNG
맞추기가	맞추/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000036.286.8.3
기아가 현금이 부족한 구단이 아니라서 상대팀은 에이스급 투수 혹은 팀 간판타자를 기아에 내줘야 한다.

기아가	기아/NNP+가/JKS
현금이	현금/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
구단이	구단/NNG+이/JKC
아니라서	아니/VCN+라서/EC
상대팀은	상대/NNG+팀/NNG+은/JX
에이스급	에이스급/NNG
투수	투수/NNG
혹은	혹은/MAG
팀	팀/NNG
간판타자를	간판타자/NNG+를/JKO
기아에	기아/NNP+에/JKB
내줘야	내주/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.286.8.4
구단은 헐값에 최희섭을 트레이드할 생각이 전혀 없다.

구단은	구단/NNG+은/JX
헐값에	헐값/NNG+에/JKB
최희섭을	최희섭/NNP+을/JKO
트레이드할	트레이드/NNG+하/XSV+ㄹ/ETM
생각이	생각/NNG+이/JKS
전혀	전혀/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000036.286.8.5
결국 현재로서는 최희섭이 마음을 다잡고 이른 시일 내 팀훈련에 합류하는 것밖에는 해법이 없어 보인다.

결국	결국/MAG
현재로서는	현재/NNG+로서/JKB+는/JX
최희섭이	최희섭/NNP+이/JKS
마음을	마음/NNG+을/JKO
다잡고	다잡/VV+고/EC
이른	이르/VA+ㄴ/ETM
시일	시일/NNG
내	내/NNB
팀훈련에	팀/NNG+훈련/NNG+에/JKB
합류하는	합류/NNG+하/XSV+는/ETM
것밖에는	것/NNB+밖에/JX+는/JX
해법이	해법/NNG+이/JKS
없어	없/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


