# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.252
metadata : {}


# id : NWRW1800000036.252.1.1
세 아들 데리고 가출한 엄마, 베개로…

세	세/MMN
3명은	3/SN+명/NNB+은/JX
객실	객실/NNG
침대에	침대/NNG+에/JKB
이불을	이불/NNG+을/JKO
덮은	덮/VV+은/ETM
채	채/NNB
나란히	나란히/MAG
누워	눕/VV+어/EC
있었고,	있/VX+었/EP+고/EC+,/SP
엄마	엄마/NNG
김씨는	김/NNP+씨/NNB+는/JX
쪼그리고	쪼그리/VV+고/EC
앉아	앉/VV+아/EC
멍하니	멍하니/MAG
아이들을	아이/NNG+들/XSN+을/JKO
지켜보고	지켜보/VV+고/EC
있었다고	있/VX+었/EP+다고/EC
경찰은	경찰/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.252.7.1
경찰 조사를 종합하면, 방송사 공채 출신 탤런트인 김아무개(46)씨와 1999년 결혼한 김씨는 ‘남편이 주는 생활비가 부족하다’며 주변 사람들에게 10만원에서 많게는 1천만원 이상 돈을 빌려 사용해왔다.

경찰	경찰/NNG
조사를	조사/NNG+를/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
방송사	방송사/NNG
공채	공채/NNG
출신	출신/NNG
탤런트인	탤런트/NNG+이/VCP+ㄴ/ETM
김아무개(46)씨와	김/NNP+아무개/NP+(/SS+46/SN+)/SS+씨/NNB+와/JKB
1999년	1999/SN+년/NNB
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
김씨는	김/NNP+씨/NNB+는/JX
‘남편이	‘/SS+남편/NNG+이/JKS
주는	주/VV+는/ETM
생활비가	생활비/NNG+가/JKS
부족하다’며	부족/NNG+하/XSA+다/EF+’/SS+며/EC
주변	주변/NNG
사람들에게	사람/NNG+들/XSN+에게/JKB
10만원에서	10/SN+만/NR+원/NNB+에서/JKB
많게는	많/VA+게/EC+는/JX
1천만원	1/SN+천만/NR+원/NNB
이상	이상/NNG
돈을	돈/NNG+을/JKO
빌려	빌리/VV+어/EC
사용해왔다.	사용/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.252.7.2
이런 사실을 알게 된 남편과 심하게 다툰 뒤 김씨는 아이들을 데리고 집을 나왔다.

이런	이런/MMD
사실을	사실/NNG+을/JKO
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
남편과	남편/NNG+과/JKB
심하게	심하/VA+게/EC
다툰	다투/VV+ㄴ/ETM
뒤	뒤/NNG
김씨는	김/NNP+씨/NNB+는/JX
아이들을	아이/NNG+들/XSN+을/JKO
데리고	데리/VV+고/EC
집을	집/NNG+을/JKO
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.252.7.3
남편 김씨는 지난 7일 서울 관악경찰서 봉천지구대에 가출신고를 접수했으나 참극을 막진 못했다.

남편	남편/NNG
김씨는	김/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
서울	서울/NNP
관악경찰서	관악경찰서/NNP
봉천지구대에	봉천지구대/NNP+에/JKB
가출신고를	가출/NNG+신고/NNG+를/JKO
접수했으나	접수/NNG+하/XSV+았/EP+으나/EC
참극을	참극/NNG+을/JKO
막진	막/VV+지/EC+ㄴ/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.252.8.1
경찰은 “김씨가 ‘아이들이 잠들었을 때 베개로 얼굴을 눌렀다’고 진술할 뿐 범행 동기 등에 대해 구체적으로 말하지 않고 있다”고 밝혔다.

경찰은	경찰/NNG+은/JX
“김씨가	“/SS+김/NNP+씨/NNB+가/JKS
‘아이들이	‘/SS+아이/NNG+들/XSN+이/JKS
잠들었을	잠들/VV+었/EP+을/ETM
때	때/NNG
베개로	베개/NNG+로/JKB
얼굴을	얼굴/NNG+을/JKO
눌렀다’고	누르/VV+었/EP+다/EF+’/SS+고/JKQ
진술할	진술/NNG+하/XSV+ㄹ/ETM
뿐	뿐/NNB
범행	범행/NNG
동기	동기/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
구체적으로	구체/NNG+적/XSN+으로/JKB
말하지	말/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.252.8.2
경찰은 김씨가 지난 8일 모텔 인근 가게에서 빌린 휴대전화로 자신이 돈을 빌려 썼던 여성과 통화한 사실을 확인하고, 휴대전화 발신지를 추적해 김씨를 붙잡았다.

경찰은	경찰/NNG+은/JX
김씨가	김/NNP+씨/NNB+가/JKS
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
모텔	모텔/NNG
인근	인근/NNG
가게에서	가게/NNG+에서/JKB
빌린	빌리/VV+ㄴ/ETM
휴대전화로	휴대/NNG+전화/NNG+로/JKB
자신이	자신/NNG+이/JKS
돈을	돈/NNG+을/JKO
빌려	빌리/VV+어/EC
썼던	쓰/VV+었/EP+던/ETM
여성과	여성/NNG+과/JKB
통화한	통화/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
확인하고,	확인/NNG+하/XSV+고/EC+,/SP
휴대전화	휴대/NNG+전화/NNG
발신지를	발신지/NNG+를/JKO
추적해	추적/NNG+하/XSV+아/EC
김씨를	김/NNP+씨/NNB+를/JKO
붙잡았다.	붙잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.252.8.3
경찰은 살인 혐의로 김씨의 구속영장을 신청하는 한편, 아이들의 정확한 사망 시점과 사인을 가리기 위해 국립과학수사연구원에 부검을 의뢰하기로 했다.

경찰은	경찰/NNG+은/JX
살인	살인/NNG
혐의로	혐의/NNG+로/JKB
김씨의	김/NNP+씨/NNB+의/JKG
구속영장을	구속/NNG+영장/NNG+을/JKO
신청하는	신청/NNG+하/XSV+는/ETM
한편,	한편/NNG+,/SP
아이들의	아이/NNG+들/XSN+의/JKG
정확한	정확/NNG+하/XSA+ㄴ/ETM
사망	사망/NNG
시점과	시점/NNG+과/JC
사인을	사인/NNG+을/JKO
가리기	가리/VV+기/ETN
위해	위하/VV+아/EC
국립과학수사연구원에	국립과학수사연구원/NNP+에/JKB
부검을	부검/NNG+을/JKO
의뢰하기로	의뢰/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


