# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.405
metadata : {}


# id : NWRW1800000054.405.1.1
北은 도발 수위 높여가는데… "대화로 풀자"는 메시지 반복

北은	北/SH+은/JX
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"적어도	"/SS+적어도/MAG
북한이	북한/NNP+이/JKS
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
핵과	핵/NNG+과/JC
미사일	미사일/NNG
도발을	도발/NNG+을/JKO
중단해야	중단/NNG+하/XSV+아야/EC
대화의	대화/NNG+의/JKG
여건이	여건/NNG+이/JKS
갖춰질	갖추/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.405.8.2
북핵 동결을 대화의 입구(入口)로, 북핵 폐기를 출구(出口)로 하겠다는 '2단계 구상'이다.

북핵	북핵/NNG
동결을	동결/NNG+을/JKO
대화의	대화/NNG+의/JKG
입구(入口)로,	입구/NNG+(/SS+入口/SH+)/SS+로/JKB+,/SP
폐기를	폐기/NNG+를/JKO
출구(出口)로	출구/NNG+(/SS+出口/SH+)/SS+로/JKB
하겠다는	하/VV+겠/EP+다는/ETM
'2단계	'/SS+2/SN+단계/NNG
구상'이다.	구상/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000054.405.8.3
문 대통령은 6·15 기념사에서는 "북한이 핵과 미사일의 추가 도발을 중단한다면, 북한과 조건 없이 대화에 나설 수 있다"고 했고, 7월 '베를린 구상' 때는 "올바른 여건이 형성된다면 언제든 대화의 문을 열어 놓겠다"고 했었다.

문	문/NNP
대통령은	대통령/NNG+은/JX
6·15	6/SN+·/SP+15/SN
기념사에서는	기념사/NNG+에서/JKB+는/JX
"북한이	"/SS+북한/NNP+이/JKS
핵과	핵/NNG+과/JC
미사일의	미사일/NNG+의/JKG
추가	추가/NNG
도발을	도발/NNG+을/JKO
중단한다면,	중단/NNG+하/XSV+ㄴ다면/EC+,/SP
북한과	북한/NNP+과/JKB
조건	조건/NNG
없이	없이/MAG
대화에	대화/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
7월	7/SN+월/NNB
'베를린	'/SS+베를린/NNP
구상'	구상/NNG+'/SS
때는	때/NNG+는/JX
"올바른	"/SS+올바르/VA+ㄴ/ETM
여건이	여건/NNG+이/JKS
형성된다면	형성/NNG+되/XSV+ㄴ다면/EC
언제든	언제/NP+든/JX
대화의	대화/NNG+의/JKG
문을	문/NNG+을/JKO
열어	열/VV+어/EC
놓겠다"고	놓/VX+겠/EP+다/EF+"/SS+고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000054.405.9.1
문 대통령은 8·15 경축사에서 이산가족 상봉을 위한 남북 회담과 남북 군사회담도 제안했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
8·15	8/SN+·/SP+15/SN
경축사에서	경축사/NNG+에서/JKB
이산가족	이산가족/NNG
상봉을	상봉/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
남북	남북/NNP
회담과	회담/NNG+과/JC
군사회담도	군사/NNG+회담/NNG+도/JX
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.405.9.2
이는 7월 '베를린 구상'과 같다.

이는	이/NP+는/JX
7월	7/SN+월/NNB
'베를린	'/SS+베를린/NNP
구상'과	구상/NNG+'/SS+과/JKB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000054.405.9.3
북한은 베를린 구상에 따른 정부의 대화 제안을 거절했지만, 문 대통령은 이번에도 똑같은 제안을 다시 했다.

북한은	북한/NNP+은/JX
베를린	베를린/NNP
구상에	구상/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
정부의	정부/NNG+의/JKG
대화	대화/NNG
제안을	제안/NNG+을/JKO
거절했지만,	거절/NNG+하/XSV+았/EP+지만/EC+,/SP
문	문/NNP
대통령은	대통령/NNG+은/JX
이번에도	이번/NNG+에/JKB+도/JX
똑같은	똑같/VA+은/ETM
다시	다시/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.405.9.4
청와대 관계자는 "북핵과 별도로 추진되는 인도적 대화와 남북 긴장 완화를 위한 군사회담 제안에는 수정이 있을 수 없다"고 했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
"북핵과	"/SS+북핵/NNG+과/JKB
별도로	별도/NNG+로/JKB
추진되는	추진/NNG+되/XSV+는/ETM
인도적	인도/NNG+적/XSN
대화와	대화/NNG+와/JC
남북	남북/NNP
긴장	긴장/NNG
완화를	완화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
군사회담	군사/NNG+회담/NNG
제안에는	제안/NNG+에/JKB+는/JX
수정이	수정/NNG+이/JKS
있을	있/VA+을/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


