# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.181
metadata : {}


# id : NWRW1800000036.181.1.1
“관절염에 걷는 모습 안좋다고”“화장실 휴지 제때 안갈았다고”

“관절염에	“/SS+관절염/NNG+에/JKB
못했다고	못/MAG+하/XSV+았/EP+다고/EC
지적받은	지적/NNG+받/XSV+은/ETM
적도	적/NNB+도/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.181.4.4
권씨는 “늙어서 다리가 조금 불편한 것뿐인데, 우리 같은 사람은 굶어 죽으란 얘기냐”고 하소연했다.

권씨는	권/NNP+씨/NNB+는/JX
“늙어서	“/SS+늙/VV+어서/EC
다리가	다리/NNG+가/JKS
조금	조금/MAG
불편한	불편/NNG+하/XSA+ㄴ/ETM
것뿐인데,	것/NNB+뿐/JX+이/VCP+ㄴ데/EC+,/SP
우리	우리/NP
같은	같/VA+은/ETM
사람은	사람/NNG+은/JX
굶어	굶/VV+어/EC
죽으란	죽/VV+으란/ETM
얘기냐”고	얘기/NNG+이/VCP+냐/EF+”/SS+고/JKQ
하소연했다.	하소연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.181.4.5
4년째 법원에서 청소를 해온 안아무개(48)씨도 “내가 담당하던 화장실의 화장지가 떨어져 제때 교체하지 못하자 법원에서 항의가 들어온 적이 있었는데, 그것이 해고 이유라고 설명을 들었다”고 말했다.

4년째	4/SN+년/NNB+째/XSN
법원에서	법원/NNG+에서/JKB
청소를	청소/NNG+를/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
안아무개(48)씨도	안/NNP+아무개/NP+(/SS+48/SN+)/SS+씨/NNB+도/JX
“내가	“/SS+내/NP+가/JKS
담당하던	담당/NNG+하/XSV+던/ETM
화장실의	화장실/NNG+의/JKG
화장지가	화장지/NNG+가/JKS
떨어져	떨어지/VV+어/EC
제때	제때/NNG
교체하지	교체/NNG+하/XSV+지/EC
못하자	못하/VX+자/EC
항의가	항의/NNG+가/JKS
들어온	들어오/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있었는데,	있/VA+었/EP+는데/EC+,/SP
그것이	그것/NP+이/JKS
해고	해고/NNG
이유라고	이유/NNG+이/VCP+라고/EC
설명을	설명/NNG+을/JKO
들었다”고	듣/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.181.4.6
이들 6명은 모두 민주노총 조합원이다.

이들	이/NP+들/XSN
6명은	6/SN+명/NNB+은/JX
모두	모두/MAG
민주노총	민주노총/NNP
조합원이다.	조합원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.181.4.7
이들이 이번 계약종료를 ‘표적 해고’라고 주장하는 이유다.

이들이	이/NP+들/XSN+이/JKS
이번	이번/NNG
계약종료를	계약/NNG+종료/NNG+를/JKO
‘표적	‘/SS+표적/NNG
해고’라고	해고/NNG+’/SS+라고/JKQ
주장하는	주장/NNG+하/XSV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.181.4.8
민주노총 이찬배 여성연맹 위원장은 “복수노조가 시행되면서 하청업체에 다른 노조가 만들어졌다”며 “민주노조를 무력화하기 위해 열심히 활동하는 조합원들을 해고한 것”이라고 주장했다.

민주노총	민주노총/NNP
이찬배	이찬배/NNP
여성연맹	여성/NNG+연맹/NNG
위원장은	위원장/NNG+은/JX
“복수노조가	“/SS+복수/NNG+노조/NNG+가/JKS
시행되면서	시행/NNG+되/XSV+면서/EC
하청업체에	하청/NNG+업체/NNG+에/JKB
다른	다른/MMD
노조가	노조/NNG+가/JKS
만들어졌다”며	만들/VV+어/EC+지/VX+었/EP+다/EF+”/SS+며/EC
“민주노조를	“/SS+민주노조/NNP+를/JKO
무력화하기	무력/NNG+화/XSN+하/XSV+기/ETN
위해	위하/VV+아/EC
열심히	열심히/MAG
활동하는	활동/NNG+하/XSV+는/ETM
조합원들을	조합원/NNG+들/XSN+을/JKO
해고한	해고/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.181.4.9
이에 ㅇ사 관계자는 “권씨의 경우 관절 때문에 산업재해가 발생할 수 있어 계약연장이 어려웠고, 나머지는 불성실한 업무 등이 이유”라고 말했다.

이에	이/NP+에/JKB
ㅇ사	ㅇ/NNG+사/NNG
관계자는	관계자/NNG+는/JX
“권씨의	“/SS+권/NNP+씨/NNB+의/JKG
경우	경우/NNG
관절	관절/NNG
때문에	때문/NNB+에/JKB
산업재해가	산업/NNG+재해/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
계약연장이	계약/NNG+연장/NNG+이/JKS
어려웠고,	어렵/VA+었/EP+고/EC+,/SP
나머지는	나머지/NNG+는/JX
불성실한	불/XPN+성실/NNG+하/XSA+ㄴ/ETM
업무	업무/NNG
등이	등/NNB+이/JKS
이유”라고	이유/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.181.5.1
서울 구로구보건소에서 방문간호사로 일해온 노동자 2명도 12월30일 저녁 계약종료를 통보받았다.

서울	서울/NNP
구로구보건소에서	구로구보건소/NNP+에서/JKB
방문간호사로	방문/NNG+간호사/NNG+로/JKB
일해온	일/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
노동자	노동자/NNG
2명도	2/SN+명/NNB+도/JX
12월30일	12/SN+월/NNB+30/SN+일/NNB
저녁	저녁/NNG
계약종료를	계약/NNG+종료/NNG+를/JKO
통보받았다.	통보/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.181.5.2
최아무개(48)씨는 “2년째 일한 간호사 7명 중 2명이 해고를 당했다”며 “내가 그동안 언론 등에 방문간호사의 실태를 알리고 다녀 밉보인 것 같다”고 말했다.

최아무개(48)씨는	최/NNP+아무개/NP+(/SS+48/SN+)/SS+씨/NNB+는/JX
“2년째	“/SS+2/SN+년/NNB+째/XSN
일한	일/NNG+하/XSV+ㄴ/ETM
간호사	간호사/NNG
7명	7/SN+명/NNB
중	중/NNB
2명이	2/SN+명/NNB+이/JKS
해고를	해고/NNG+를/JKO
당했다”며	당하/VV+았/EP+다/EF+”/SS+며/EC
“내가	“/SS+내/NP+가/JKS
그동안	그동안/NNG
언론	언론/NNG
등에	등/NNB+에/JKB
방문간호사의	방문/NNG+간호사/NNG+의/JKG
실태를	실태/NNG+를/JKO
알리고	알리/VV+고/EC
다녀	다니/VV+어/EC
밉보인	밉보이/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.181.5.3
최씨는 방문간호사들이 10개월짜리 계약을 하고 2개월은 쉬는 형태의 계약을 하는 바람에 퇴직금도 못 받고 고용불안에 시달리고 있다며 개선이 필요하다는 주장을 해왔다.

최씨는	최/NNP+씨/NNB+는/JX
방문간호사들이	방문/NNG+간호사/NNG+들/XSN+이/JKS
10개월짜리	10/SN+개월/NNB+짜리/XSN
계약을	계약/NNG+을/JKO
하고	하/VV+고/EC
2개월은	2/SN+개월/NNB+은/JX
쉬는	쉬/VV+는/ETM
형태의	형태/NNG+의/JKG
하는	하/VV+는/ETM
바람에	바람/NNB+에/JKB
퇴직금도	퇴직금/NNG+도/JX
못	못/MAG
받고	받/VV+고/EC
고용불안에	고용/NNG+불안/NNG+에/JKB
시달리고	시달리/VV+고/EC
있다며	있/VX+다며/EC
개선이	개선/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
주장을	주장/NNG+을/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.181.5.4
(<한겨레> 10월25일치 11면) 하지만 구로구 관계자는 “방문간호사 14명을 뽑는 데 모두 20명이 지원해 외부 전문가들이 공정하게 심사해 최종 결정한 것”이라며 “최씨의 주장은 사실무근”이라고 말했다.

(<한겨레>	(/SS+</SS+한겨레/NNP+>/SS
10월25일치	10/SN+월/NNB+25/SN+일/NNB+치/NNB
11면)	11/SN+면/NNG+)/SS
하지만	하지만/MAJ
구로구	구로구/NNP
관계자는	관계자/NNG+는/JX
“방문간호사	“/SS+방문/NNG+간호사/NNG
14명을	14/SN+명/NNB+을/JKO
뽑는	뽑/VV+는/ETM
데	데/NNB
모두	모두/MAG
20명이	20/SN+명/NNB+이/JKS
지원해	지원/NNG+하/XSV+아/EC
외부	외부/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
공정하게	공정/NNG+하/XSA+게/EC
심사해	심사/NNG+하/XSV+아/EC
최종	최종/NNG
결정한	결정/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“최씨의	“/SS+최/NNP+씨/NNB+의/JKG
주장은	주장/NNG+은/JX
사실무근”이라고	사실무근/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.181.5.5
구로구청은 새로 고용된 14명에 대해서는 2개월 쉬는 변칙 계약을 개선해 1년 단위 고용을 하겠다고 덧붙였다.

구로구청은	구로구청/NNP+은/JX
새로	새로/MAG
고용된	고용/NNG+되/XSV+ㄴ/ETM
14명에	14/SN+명/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
2개월	2/SN+개월/NNB
쉬는	쉬/VV+는/ETM
변칙	변칙/NNG
계약을	계약/NNG+을/JKO
개선해	개선/NNG+하/XSV+아/EC
1년	1/SN+년/NNB
단위	단위/NNG
고용을	고용/NNG+을/JKO
하겠다고	하/VV+겠/EP+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


