# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.69
metadata : {}


# id : NWRW1800000053.69.1.1
[봄맞이 국내 관광 가이드]아이부터 어른까지 놀면서 구석기인 삶을 느껴봐요

[봄맞이	[/SS+봄맞이/NNG
어린이에서부터	어린이/NNG+에서부터/JKB
어른에	어른/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
가족	가족/NNG
단위	단위/NNG
관광객들이	관광객/NNG+들/XSN+이/JKS
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
구석기	구석기/NNG
체험과	체험/NNG+과/JC
이벤트,	이벤트/NNG+,/SP
야간	야간/NNG
체험을	체험/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
축제를	축제/NNG+를/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.69.5.1
체험장은 어린이들이 놀면서 배우는 구석기학습장인 ‘구석기로 놀자’, 가족이 함께 이벤트로 즐겨 보는 ‘우가 우가 구석기존’, 석장리 유적 발굴을 기념하는 ‘1964년 석장리 구석기 첫 이야기 존’, 그리고 야간 체험과 행사가 가득한 ‘구석기인 봄밤을 거닐다 존’ 등 4개의 체험 구역으로 나뉘어 있다.

체험장은	체험장/NNG+은/JX
어린이들이	어린이/NNG+들/XSN+이/JKS
놀면서	놀/VV+면서/EC
배우는	배우/VV+는/ETM
구석기학습장인	구석기/NNG+학습장/NNG+이/VCP+ㄴ/ETM
‘구석기로	‘/SS+구석기/NNG+로/JKB
놀자’,	놀/VV+자/EF+’/SS+,/SP
가족이	가족/NNG+이/JKS
함께	함께/MAG
이벤트로	이벤트/NNG+로/JKB
즐겨	즐기/VV+어/EC
보는	보/VX+는/ETM
‘우가	‘/SS+우가/MAG
우가	우가/MAG
구석기존’,	구석기/NNG+존/NNG+’/SS+,/SP
석장리	석장리/NNP
유적	유적/NNG
발굴을	발굴/NNG+을/JKO
기념하는	기념/NNG+하/XSV+는/ETM
‘1964년	‘/SS+1964/SN+년/NNB
구석기	구석기/NNG
첫	첫/MMN
이야기	이야기/NNG
존’,	존/NNG+’/SS+,/SP
그리고	그리고/MAJ
야간	야간/NNG
체험과	체험/NNG+과/JC
행사가	행사/NNG+가/JKS
가득한	가득/MAG+하/XSA+ㄴ/ETM
‘구석기인	‘/SS+구석기인/NNG
봄밤을	봄밤/NNG+을/JKO
거닐다	거닐/VV+다/EC
존’	존/NNG+’/SS
등	등/NNB
4개의	4/SN+개/NNB+의/JKG
체험	체험/NNG
구역으로	구역/NNG+으로/JKB
나뉘어	나뉘/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.69.6.1
각 체험존에는 아이들도 쉽게 따라 할 수 있는 체험 프로그램을 비롯해 구석기인의 생활상을 엿볼 수 있는 구석기인 퍼포먼스, 구석기 캠프 등이 열린다.

각	각/MMD
체험존에는	체험/NNG+존/NNG+에/JKB+는/JX
아이들도	아이/NNG+들/XSN+도/JX
쉽게	쉽/VA+게/EC
따라	따르/VV+아/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
체험	체험/NNG
프로그램을	프로그램/NNG+을/JKO
비롯해	비롯하/VV+아/EC
구석기인의	구석기인/NNG+의/JKG
생활상을	생활상/NNG+을/JKO
엿볼	엿보/VV+ㄹ/ETM
구석기인	구석기인/NNG
퍼포먼스,	퍼포먼스/NNG+,/SP
구석기	구석기/NNG
캠프	캠프/NNG
등이	등/NNB+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.69.6.2
이 외에도 전국어린이그림그리기대회, 구석기 음식나라, 구석기 의상 체험, 어린이날을 기념한 다채로운 공연 등도 풍성하게 마련돼 있다.

이	이/MMD
외에도	외/NNB+에/JKB+도/JX
전국어린이그림그리기대회,	전국/NNG+어린이/NNG+그림/NNG+그리/VV+기/ETN+대회/NNG+,/SP
구석기	구석기/NNG
음식나라,	음식/NNG+나라/NNG+,/SP
의상	의상/NNG
체험,	체험/NNG+,/SP
어린이날을	어린이날/NNG+을/JKO
기념한	기념/NNG+하/XSV+ㄴ/ETM
다채로운	다채롭/VA+ㄴ/ETM
공연	공연/NNG
등도	등/NNB+도/JX
풍성하게	풍성/NNG+하/XSA+게/EC
마련돼	마련/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


