# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.152
metadata : {}


# id : NWRW1800000025.152.1.1
北주민-탈북자 등 인권 개선… 인권위, 중장기 로드맵 추진

北주민-탈북자	北/SH+주민/NNG+-/SO+탈북자/NNG
25일	25/SN+일/NNB
북한	북한/NNP
인권	인권/NNG
업무를	업무/NNG+를/JKO
전담하는	전담/NNG+하/XSV+는/ETM
‘북한인권팀’을	‘/SS+북한/NNP+인권/NNG+팀/NNG+’/SS+을/JKO
신설하며	신설/NNG+하/XSV+며/EC
문제를	문제/NNG+를/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
다루겠다는	다루/VV+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
표명해왔다.	표명/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.152.4.1
북한 인권 개선을 위한 중·장기적 로드맵 구축에는 인권위 예산 1억 원이 투입되고 경남대 산하협력단이 용역을 맡아 진행한다.

북한	북한/NNP
인권	인권/NNG
개선을	개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
중·장기적	중·장기/NNG+적/XSN
로드맵	로드맵/NNG
구축에는	구축/NNG+에/JKB+는/JX
인권위	인권위/NNP
예산	예산/NNG
1억	1/SN+억/NR
원이	원/NNB+이/JKS
투입되고	투입/NNG+되/XSV+고/EC
경남대	경남대/NNP
산하협력단이	산하/NNG+협력단/NNG+이/JKS
용역을	용역/NNG+을/JKO
맡아	맡/VV+아/EC
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.152.4.2
로드맵은 향후 6개월 동안 실태조사를 거쳐 올해 11월 중순경 완성될 것으로 보인다.

로드맵은	로드맵/NNG+은/JX
향후	향후/NNG
6개월	6/SN+개월/NNB
동안	동안/NNG
실태조사를	실태/NNG+조사/NNG+를/JKO
거쳐	거치/VV+어/EC
올해	올해/NNG
11월	11/SN+월/NNB
중순경	중순/NNG+경/XSN
완성될	완성/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.152.4.3
로드맵 구축을 위한 북한 인권 조사는 문헌 연구와 대북정책 및 인권정책 전문가 면접, 미국 일본 등 해외의 대북전문가 면접 등을 통해 이뤄질 예정이다.

로드맵	로드맵/NNG
구축을	구축/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
북한	북한/NNP
인권	인권/NNG
조사는	조사/NNG+는/JX
문헌	문헌/NNG
연구와	연구/NNG+와/JC
대북정책	대북/NNG+정책/NNG
및	및/MAG
인권정책	인권/NNG+정책/NNG
전문가	전문가/NNG
면접,	면접/NNG+,/SP
미국	미국/NNP
일본	일본/NNP
등	등/NNB
해외의	해외/NNG+의/JKG
대북전문가	대북/NNG+전문가/NNG
면접	면접/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
이뤄질	이뤄지/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.152.4.4
국가기관 차원에서 북한 인권과 관련된 장기적이고 체계적인 정책 로드맵을 마련하는 것은 이번이 처음이다.

국가기관	국가/NNG+기관/NNG
차원에서	차원/NNG+에서/JKB
북한	북한/NNP
인권과	인권/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
장기적이고	장기/NNG+적/XSN+이/VCP+고/EC
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
정책	정책/NNG
로드맵을	로드맵/NNG+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.152.5.1
중·장기 로드맵에는 국내외 북한 인권개선 정책 및 제도 정비를 모색하는 내용이 담길 예정이다.

중·장기	중·장기/NNG
로드맵에는	로드맵/NNG+에/JKB+는/JX
국내외	국내외/NNG
북한	북한/NNP
인권개선	인권/NNG+개선/NNG
정책	정책/NNG
및	및/MAG
제도	제도/NNG
정비를	정비/NNG+를/JKO
모색하는	모색/NNG+하/XSV+는/ETM
내용이	내용/NNG+이/JKS
담길	담기/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.152.5.2
현재 논의 중인 북한인권법안과 기존의 남북관계 관련 법령, 유엔을 중심으로 한 북한 인권 관련 국제인권규범을 비롯해 미국 일본 유럽연합(EU) 등의 법 제도 및 정책에 관한 비판적 검토가 이뤄진다.

현재	현재/MAG
논의	논의/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
북한인권법안과	북한/NNP+인권법/NNG+안/NNG+과/JC
기존의	기존/NNG+의/JKG
남북관계	남북/NNP+관계/NNG
관련	관련/NNG
법령,	법령/NNG+,/SP
유엔을	유엔/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
북한	북한/NNP
인권	인권/NNG
국제인권규범을	국제/NNG+인권/NNG+규범/NNG+을/JKO
비롯해	비롯하/VV+아/EC
미국	미국/NNP
일본	일본/NNP
유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
등의	등/NNB+의/JKG
법	법/NNG
제도	제도/NNG
및	및/MAG
정책에	정책/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
비판적	비판/NNG+적/XSN
검토가	검토/NNG+가/JKS
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.152.5.3
국내의 사회, 언론, 교육, 시민 활동 등을 통한 북한 인권 여론을 형성하기 위한 제도적 방안도 마련할 방침이다.

국내의	국내/NNG+의/JKG
사회,	사회/NNG+,/SP
언론,	언론/NNG+,/SP
교육,	교육/NNG+,/SP
시민	시민/NNG
활동	활동/NNG
등을	등/NNB+을/JKO
통한	통하/VV+ㄴ/ETM
북한	북한/NNP
인권	인권/NNG
여론을	여론/NNG+을/JKO
형성하기	형성/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
제도적	제도/NNG+적/XSN
방안도	방안/NNG+도/JX
마련할	마련/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.152.5.4
북한 인권의 범위는 북한 지역 내 북한 주민과 재외탈북자, 이산가족, 납북자, 국군포로 등으로 설정했다.

북한	북한/NNP
인권의	인권/NNG+의/JKG
범위는	범위/NNG+는/JX
지역	지역/NNG
내	내/NNB
주민과	주민/NNG+과/JC
재외탈북자,	재외/NNG+탈북자/NNG+,/SP
이산가족,	이산가족/NNG+,/SP
납북자,	납북자/NNG+,/SP
국군포로	국군/NNG+포로/NNG
등으로	등/NNB+으로/JKB
설정했다.	설정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.152.6.1
탈북자 문제의 근본적인 개선책을 마련하기 위해 미국 중국 등을 포함한 관련 국가의 다자적 인권협의체를 구성하는 방안도 논의한다.

탈북자	탈북자/NNG
문제의	문제/NNG+의/JKG
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
개선책을	개선책/NNG+을/JKO
마련하기	마련/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
미국	미국/NNP
중국	중국/NNP
등을	등/NNB+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
관련	관련/NNG
국가의	국가/NNG+의/JKG
다자적	다자/NNG+적/XSN
인권협의체를	인권/NNG+협의체/NNG+를/JKO
구성하는	구성/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
논의한다.	논의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.152.6.2
국제형사재판소와 국제연합인권체제, 유럽인권체제 등을 제도적으로 분석해 효과적인 협력방안을 제시하는 내용도 포함될 것으로 보인다.

국제형사재판소와	국제형사재판소/NNP+와/JC
국제연합인권체제,	국제연합/NNP+인권/NNG+체제/NNG+,/SP
유럽인권체제	유럽/NNP+인권/NNG+체제/NNG
등을	등/NNB+을/JKO
제도적으로	제도/NNG+적/XSN+으로/JKB
분석해	분석/NNG+하/XSV+아/EC
효과적인	효과/NNG+적/XSN+이/VCP+ㄴ/ETM
협력방안을	협력/NNG+방안/NNG+을/JKO
제시하는	제시/NNG+하/XSV+는/ETM
내용도	내용/NNG+도/JX
포함될	포함/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.152.7.1
이용근 인권위 북한인권팀장은 “기존 연구의 종합적 검토 및 평가를 통해 명확하게 차별화된 중·장기적 로드맵을 구축할 예정”이라며 “이번 사업을 통해 우리 사회의 북한 인권 정책과 관련한 소모적인 논쟁을 넘어 생산적인 정책 개발에 기여할 수 있는 계기가 마련될 것으로 보인다”고 밝혔다.

이용근	이용근/NNP
인권위	인권위/NNP
북한인권팀장은	북한/NNP+인권/NNG+팀장/NNG+은/JX
“기존	“/SS+기존/NNG
연구의	연구/NNG+의/JKG
종합적	종합/NNG+적/XSN
검토	검토/NNG
및	및/MAG
평가를	평가/NNG+를/JKO
통해	통하/VV+아/EC
명확하게	명확하/VA+게/EC
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
중·장기적	중·장기/NNG+적/XSN
로드맵을	로드맵/NNG+을/JKO
구축할	구축/NNG+하/XSV+ㄹ/ETM
예정”이라며	예정/NNG+”/SS+이/VCP+라며/EC
“이번	“/SS+이번/NNG
사업을	사업/NNG+을/JKO
우리	우리/NP
사회의	사회/NNG+의/JKG
북한	북한/NNP
인권	인권/NNG
정책과	정책/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
소모적인	소모/NNG+적/XSN+이/VCP+ㄴ/ETM
논쟁을	논쟁/NNG+을/JKO
넘어	넘/VV+어/EC
생산적인	생산/NNG+적/XSN+이/VCP+ㄴ/ETM
정책	정책/NNG
개발에	개발/NNG+에/JKB
기여할	기여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
계기가	계기/NNG+가/JKS
마련될	마련/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


