# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.62
metadata : {}


# id : NWRW1800000022.62.1.1
암참<주한미국상공회의소> 회장 "韓·美 FTA 재협상 필요없어";데이비드 럭 회장 "美의회 비준 위해 힘쓸 것"

암참<주한미국상공회의소>	암참/NNP+</SS+주한미국상공회의소/NNP+>/SS
문제를	문제/NNG+를/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.62.4.2
그는 "현 체제에서 기업들은 변화하는 시장 형편에 맞게 노동력을 쉽게 조정할 수 없지만 경기 침체기에 노동 유연성은 필수"라고 강조했다.

그는	그/NP+는/JX
"현	"/SS+현/MMD
체제에서	체제/NNG+에서/JKB
기업들은	기업/NNG+들/XSN+은/JX
변화하는	변화/NNG+하/XSV+는/ETM
시장	시장/NNG
형편에	형편/NNG+에/JKB
맞게	맞/VV+게/EC
노동력을	노동력/NNG+을/JKO
쉽게	쉽/VA+게/EC
조정할	조정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없지만	없/VA+지만/EC
경기	경기/NNG
침체기에	침체기/NNG+에/JKB
노동	노동/NNG
유연성은	유연성/NNG+은/JX
필수"라고	필수/NNG+"/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.62.4.3
또 "노동 유연성이 실직을 가져올 것이라고 많은 사람이 믿고 있지만 이는 전체 그림의 일부에 불과하다"며 "진정한 의미의 노동 유연성이 보장된다면 오히려 각 기업은 경기 침체 때 인력 규모를 조정하는 것이 어렵지 않다는 사실을 알기 때문에 보다 적극적으로 인력을 고용할 것"이라고 말했다.

또	또/MAG
"노동	"/SS+노동/NNG
유연성이	유연성/NNG+이/JKS
실직을	실직/NNG+을/JKO
가져올	가져오/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
믿고	믿/VV+고/EC
있지만	있/VX+지만/EC
이는	이/NP+는/JX
전체	전체/NNG
그림의	그림/NNG+의/JKG
일부에	일부/NNG+에/JKB
불과하다"며	불과/MAG+하/XSA+다/EF+"/SS+며/EC
"진정한	"/SS+진정하/VA+ㄴ/ETM
의미의	의미/NNG+의/JKG
노동	노동/NNG
보장된다면	보장/NNG+되/XSV+ㄴ다면/EC
오히려	오히려/MAG
각	각/MMD
기업은	기업/NNG+은/JX
경기	경기/NNG
침체	침체/NNG
때	때/NNG
인력	인력/NNG
규모를	규모/NNG+를/JKO
조정하는	조정/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
어렵지	어렵/VA+지/EC
않다는	않/VX+다는/ETM
사실을	사실/NNG+을/JKO
알기	알/VV+기/ETN
때문에	때문/NNB+에/JKB
보다	보다/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
인력을	인력/NNG+을/JKO
고용할	고용/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.62.5.1
그는 "올해 경제 전망이 어두워 보이지만 역사적으로 한국인들은 위기 때마다 힘을 모아 극복해왔기 때문에 한국이 현재의 경제 위기와 어려움을 빠르게 이겨낼 것이라고 믿는다"고 덧붙였다.

그는	그/NP+는/JX
"올해	"/SS+올해/NNG
경제	경제/NNG
전망이	전망/NNG+이/JKS
어두워	어둡/VA+어/EC
보이지만	보이/VV+지만/EC
역사적으로	역사/NNG+적/XSN+으로/JKB
한국인들은	한국인/NNG+들/XSN+은/JX
위기	위기/NNG
때마다	때/NNG+마다/JX
힘을	힘/NNG+을/JKO
모아	모으/VV+아/EC
극복해왔기	극복/NNG+하/XSV+아/EC+오/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
한국이	한국/NNP+이/JKS
현재의	현재/NNG+의/JKG
위기와	위기/NNG+와/JC
어려움을	어려움/NNG+을/JKO
빠르게	빠르/VA+게/EC
이겨낼	이기/VV+어/EC+내/VX+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
믿는다"고	믿/VV+는다/EF+"/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.62.6.1
럭 회장은 30년 넘게 항공업계에 몸담으며, 27년간 아시아 지역에서 활동한 '아시아 지역 전문가'다.

럭	럭/NNP
회장은	회장/NNG+은/JX
30년	30/SN+년/NNB
넘게	넘/VV+게/EC
항공업계에	항공업/NNG+계/XSN+에/JKB
몸담으며,	몸담/VV+으며/EC+,/SP
27년간	27/SN+년/NNB+간/XSN
아시아	아시아/NNP
지역에서	지역/NNG+에서/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
'아시아	'/SS+아시아/NNP
지역	지역/NNG
전문가'다.	전문가/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.62.6.2
1981년부터 미국상공회의소 회원으로 활동한 그는 지난 1월 1일부터 윌리엄 오벌린 전 회장의 뒤를 이어 1년 임기를 시작했다.

1981년부터	1981/SN+년/NNB+부터/JX
미국상공회의소	미국상공회의소/NNP
회원으로	회원/NNG+으로/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
윌리엄	윌리엄/NNP
오벌린	오벌린/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
뒤를	뒤/NNG+를/JKO
이어	잇/VV+어/EC
1년	1/SN+년/NNB
임기를	임기/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


