# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.44
metadata : {}


# id : NWRW1800000030.44.1.1
"연구 성과 아닌 미래 가치 평가해 상 줍니다"

"연구	"/SS+연구/NNG
'인간은	'/SS+인간/NNG+은/JX
왜	왜/MAG
점점	점점/MAG
더	더/MAG
바빠질까'라는	바쁘/VA+아/EC+지/VX+ㄹ까/EF+'/SS+이/VCP+라는/ETM
질문에서	질문/NNG+에서/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.44.4.2
그는 컴퓨터에 자동으로 데이터 수집을 명령, 인간의 잡무를 컴퓨터에 맡기도록 하는 프로그램을 진행 중이다.

그는	그/NP+는/JX
컴퓨터에	컴퓨터/NNG+에/JKB
자동으로	자동/NNG+으로/JKB
데이터	데이터/NNG
수집을	수집/NNG+을/JKO
명령,	명령/NNG+,/SP
인간의	인간/NNG+의/JKG
잡무를	잡무/NNG+를/JKO
맡기도록	맡기/VV+도록/EC
하는	하/VX+는/ETM
프로그램을	프로그램/NNG+을/JKO
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.44.4.3
각각의 가전제품이 소비하는 전력 등을 컴퓨터가 자동으로 측정해 관리비 절감 방안을 내놓도록 명령하는 식이다.

각각의	각각/NNG+의/JKG
가전제품이	가전제품/NNG+이/JKS
소비하는	소비/NNG+하/XSV+는/ETM
전력	전력/NNG
등을	등/NNB+을/JKO
컴퓨터가	컴퓨터/NNG+가/JKS
자동으로	자동/NNG+으로/JKB
측정해	측정/NNG+하/XSV+아/EC
관리비	관리비/NNG
절감	절감/NNG
방안을	방안/NNG+을/JKO
내놓도록	내놓/VV+도록/EC
명령하는	명령/NNG+하/XSV+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.44.4.4
파텔은 "인간은 데이터 수집에 쏟는 시간을 줄이고 삶을 좀 더 즐길 필요가 있다"고 말했다.

파텔은	파텔/NNP+은/JX
"인간은	"/SS+인간/NNG+은/JX
데이터	데이터/NNG
수집에	수집/NNG+에/JKB
쏟는	쏟/VV+는/ETM
시간을	시간/NNG+을/JKO
줄이고	줄이/VV+고/EC
삶을	삶/NNG+을/JKO
좀	좀/MAG
더	더/MAG
즐길	즐기/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.44.5.1
또 다른 수상자인 하버드대 심리학과 매튜 노크(34) 교수는 '마음의 병 진단 장치'를 통해 자살·자해를 예방할 수 있다고 믿는다.

또	또/MAG
다른	다른/MMD
수상자인	수상자/NNG+이/VCP+ㄴ/ETM
하버드대	하버드대/NNP
심리학과	심리학과/NNG
매튜	매튜/NNP
노크(34)	노크/NNP+(/SS+34/SN+)/SS
교수는	교수/NNG+는/JX
'마음의	'/SS+마음/NNG+의/JKG
병	병/NNG
진단	진단/NNG
장치'를	장치/NNG+'/SS+를/JKO
통해	통하/VV+아/EC
자살·자해를	자살/NNG+·/SP+자해/NNG+를/JKO
예방할	예방/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
믿는다.	믿/VV+는다/EF+./SF


# id : NWRW1800000030.44.5.2
암을 조기 발견해 치료하듯이 마음 상태를 과학적으로 분석하고 측정함으로써 인간의 자기 파괴를 예측하고 목숨을 구하는 것이 목적이다.

암을	암/NNG+을/JKO
조기	조기/NNG
발견해	발견/NNG+하/XSV+아/EC
치료하듯이	치료/NNG+하/XSV+듯이/EC
마음	마음/NNG
상태를	상태/NNG+를/JKO
과학적으로	과학/NNG+적/XSN+으로/JKB
분석하고	분석/NNG+하/XSV+고/EC
측정함으로써	측정/NNG+하/XSV+ㅁ/ETN+으로써/JKB
인간의	인간/NNG+의/JKG
자기	자기/NNG
파괴를	파괴/NNG+를/JKO
예측하고	예측/NNG+하/XSV+고/EC
목숨을	목숨/NNG+을/JKO
구하는	구하/VV+는/ETM
것이	것/NNB+이/JKS
목적이다.	목적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.44.5.3
하버드대 경제학과 롤런드 프라이어(38) 교수는 소셜네트워크에서 오가는 메시지를 분석해 경쟁의 과학을 연구한다.

하버드대	하버드대/NNP
경제학과	경제학과/NNG
롤런드	롤런드/NNP
프라이어(38)	프라이어/NNP+(/SS+38/SN+)/SS
교수는	교수/NNG+는/JX
소셜네트워크에서	소셜/NNG+네트워크/NNG+에서/JKB
오가는	오가/VV+는/ETM
메시지를	메시지/NNG+를/JKO
분석해	분석/NNG+하/XSV+아/EC
경쟁의	경쟁/NNG+의/JKG
과학을	과학/NNG+을/JKO
연구한다.	연구/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.44.5.4
학생 20만명에 대한 조사를 진행한 프라이어 교수에 따르면 인간은 자기가 속한 인종과 비슷한 경제 계층 안에서 경쟁자를 찾는다.

학생	학생/NNG
20만명에	20/SN+만/NR+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
조사를	조사/NNG+를/JKO
진행한	진행/NNG+하/XSV+ㄴ/ETM
프라이어	프라이어/NNP
교수에	교수/NNG+에/JKB
따르면	따르/VV+면/EC
인간은	인간/NNG+은/JX
자기가	자기/NP+가/JKS
속한	속하/VV+ㄴ/ETM
인종과	인종/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
경제	경제/NNG
계층	계층/NNG
안에서	안/NNG+에서/JKB
경쟁자를	경쟁자/NNG+를/JKO
찾는다.	찾/VV+는다/EF+./SF


# id : NWRW1800000030.44.6.1
맥아더재단이 1981년부터 수여해온 '올해의 천재'는 등록 절차 없이 비밀 심사위원 수백명이 직접 수상자를 찾아 나선다.

맥아더재단이	맥아더/NNP+재단/NNG+이/JKS
1981년부터	1981/SN+년/NNB+부터/JX
수여해온	수여/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
'올해의	'/SS+올해/NNG+의/JKG
천재'는	천재/NNG+'/SS+는/JX
등록	등록/NNG
절차	절차/NNG
없이	없이/MAG
비밀	비밀/NNG
심사위원	심사/NNG+위원/NNG
수백명이	수백/NR+명/NNB+이/JKS
직접	직접/NNG
수상자를	수상자/NNG+를/JKO
찾아	찾/VV+아/EC
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.44.6.2
수상자에겐 어느 날 갑자기 전화로 수상 소식을 통보한다.

수상자에겐	수상자/NNG+에게/JKB+ㄴ/JX
어느	어느/MMD
날	날/NNG
갑자기	갑자기/MAG
전화로	전화/NNG+로/JKB
수상	수상/NNG
소식을	소식/NNG+을/JKO
통보한다.	통보/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.44.6.3
올해 수상자 중에선 10명이 과학자였고 음악가 2명과 건축가·역사학자·방송인 등이 명단에 이름을 올렸지만 미술가는 15년 만에 한 명도 뽑히지 않았다.

올해	올해/NNG
수상자	수상자/NNG
중에선	중/NNB+에서/JKB+ㄴ/JX
10명이	10/SN+명/NNB+이/JKS
과학자였고	과학자/NNG+이/VCP+었/EP+고/EC
음악가	음악가/NNG
2명과	2/SN+명/NNB+과/JC
건축가·역사학자·방송인	건축가/NNG+·/SP+역사학자/NNG+·/SP+방송인/NNG
등이	등/NNB+이/JKS
명단에	명단/NNG+에/JKB
이름을	이름/NNG+을/JKO
올렸지만	올리/VV+었/EP+지만/EC
미술가는	미술가/NNG+는/JX
15년	15/SN+년/NNB
만에	만/NNB+에/JKB
한	한/MMN
명도	명/NNB+도/JX
뽑히지	뽑히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


