# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.132
metadata : {}


# id : NWRW1800000052.132.1.1
“처음으로 부모님이 티켓을 달라고 하네요”

“처음으로	“/SS+처음/NNG+으로/JKB
2집에서는	2/SN+집/NNB+에서/JKB+는/JX
모든	모든/MMN
멤버가	멤버/NNG+가/JKS
작곡에	작곡/NNG+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.132.6.2
“모두 한 방에 모여 한 마디도 하지 않은 적이 있었고, 그런 갈등들을 스튜디오에서 음악에 쏟아 부었다.

“모두	“/SS+모두/MAG
한	한/MMN
방에	방/NNG+에/JKB
모여	모이/VV+어/EC
마디도	마디/NNG+도/JX
하지	하/VV+지/EC
않은	않/VX+은/ETM
적이	적/NNB+이/JKS
있었고,	있/VA+었/EP+고/EC+,/SP
그런	그런/MMD
갈등들을	갈등/NNG+들/XSN+을/JKO
스튜디오에서	스튜디오/NNG+에서/JKB
음악에	음악/NNG+에/JKB
쏟아	쏟/VV+아/EC
부었다.	붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.132.6.3
그 결과물들은 굉장히 만족스러웠다.”(다니엘)

그	그/MMD
결과물들은	결과물/NNG+들/XSN+은/JX
굉장히	굉장히/MAG
만족스러웠다.”(다니엘)	만족/NNG+스럽/XSA+었/EP+다/EF+./SF+”/SS+(/SS+다니엘/NNP+)/SS


# id : NWRW1800000052.132.6.4
악기에서도 중요한 변화가 일어났다.

악기에서도	악기/NNG+에서/JKB+도/JX
중요한	중요/NNG+하/XSA+ㄴ/ETM
변화가	변화/NNG+가/JKS
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.132.6.5
알렉스는 어쿠스틱 기타 대신 일렉트릭 기타를 잡았고 “자연스럽게 강렬한 사운드로 가게 되었다.

알렉스는	알렉스/NNP+는/JX
어쿠스틱	어쿠스틱/NNG
기타	기타/NNG
대신	대신/NNG
일렉트릭	일렉트릭/NNG
기타를	기타/NNG+를/JKO
잡았고	잡/VV+았/EP+고/EC
“자연스럽게	“/SS+자연/NNG+스럽/XSA+게/EC
강렬한	강렬하/VA+ㄴ/ETM
사운드로	사운드/NNG+로/JKB
가게	가/VV+게/EC
되었다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.132.6.6
그러면서 좀 더 그루브한 기타 라인, 베이스, 드럼 사운드가 만들어지게 되었다.”(존)

그러면서	그러/VV+면서/EC
좀	좀/MAG
더	더/MAG
그루브한	그루브/NNG+하/XSA+ㄴ/ETM
기타	기타/NNG
라인,	라인/NNG+,/SP
베이스,	베이스/NNG+,/SP
드럼	드럼/NNG
사운드가	사운드/NNG+가/JKS
만들어지게	만들/VV+어/EC+지/VX+게/EC
되었다.”(존)	되/VV+었/EP+다/EF+./SF+”/SS+(/SS+존/NNP+)/SS


# id : NWRW1800000052.132.6.7
그렇지만 바이올린을 켜면서도 노래를 부르는 등, 절정 부분의 합창은 여전히 힘찬 응원의 소리로 들린다.

그렇지만	그렇지만/MAJ
바이올린을	바이올린/NNG+을/JKO
켜면서도	켜/VV+면서/EC+도/JX
노래를	노래/NNG+를/JKO
부르는	부르/VV+는/ETM
등,	등/NNB+,/SP
절정	절정/NNG
부분의	부분/NNG+의/JKG
합창은	합창/NNG+은/JX
여전히	여전히/MAG
힘찬	힘차/VA+ㄴ/ETM
응원의	응원/NNG+의/JKG
소리로	소리/NNG+로/JKB
들린다.	들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.132.6.8
“각 멤버들의 목소리가 하나의 음악이 되는 것은 굉장한 일이다.”(제니퍼)

“각	“/SS+각/MMD
멤버들의	멤버/NNG+들/XSN+의/JKG
목소리가	목소리/NNG+가/JKS
하나의	하나/NR+의/JKG
음악이	음악/NNG+이/JKC
되는	되/VV+는/ETM
것은	것/NNB+은/JX
굉장한	굉장하/VA+ㄴ/ETM
일이다.”(제니퍼)	일/NNG+이/VCP+다/EF+./SF+”/SS+(/SS+제니퍼/NNP+)/SS


# id : NWRW1800000052.132.7.1
여전히 2집에도 ‘사랑 노래’는 없고(알렉스는 “모든 노래가 사랑 노래”라고 말한다) 정체성을 고민하고 세계를 철학하는 모습이 드러난다.

여전히	여전히/MAG
2집에도	2/SN+집/NNB+에/JKB+도/JX
‘사랑	‘/SS+사랑/NNG
노래’는	노래/NNG+’/SS+는/JX
없고(알렉스는	없/VA+고/EC+(/SS+알렉스/NNP+는/JX
“모든	“/SS+모든/MMN
노래가	노래/NNG+가/JKS
사랑	사랑/NNG
노래”라고	노래/NNG+”/SS+라고/JKQ
말한다)	말/NNG+하/XSV+ㄴ다/EF+)/SS
정체성을	정체/NNG+성/XSN+을/JKO
고민하고	고민/NNG+하/XSV+고/EC
세계를	세계/NNG+를/JKO
철학하는	철학/NNG+하/XSV+는/ETM
모습이	모습/NNG+이/JKS
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.132.7.2
유독 ‘섀도우’(shadow)가 많은 것도 그런 이유일 것이다.

유독	유독/MAG
‘섀도우’(shadow)가	‘/SS+섀도우/NNG+’/SS+(/SS+shadow/SL+)/SS+가/JKS
많은	많/VA+은/ETM
것도	것/NNB+도/JX
그런	그런/MMD
이유일	이유/NNG+이/VCP+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.132.7.3
‘런 오어 하이드’(Run or Hide)에서는 딴 사람의 그림자가 자신에게 드리워지고, ‘데이비드 로빈슨’(David Robinson)에서는 스포트라이트 반대편의 의미가 드러나고, ‘29’에서는 그림자가 사실은 진실이라고 말한다.

‘런	‘/SS+런/NNP
오어	오어/NNP
하이드’(Run	하이드/NNP+’/SS+(/SS+Run/SL
or	or/SL
Hide)에서는	Hide/SL+)/SS+에서/JKB+는/JX
딴	딴/MMD
사람의	사람/NNG+의/JKG
그림자가	그림자/NNG+가/JKS
자신에게	자신/NNG+에게/JKB
드리워지고,	드리워지/VV+고/EC+,/SP
‘데이비드	‘/SS+데이비드/NNP
로빈슨’(David	로빈슨/NNP+’/SS+(/SS+David/SL
Robinson)에서는	Robinson/SL+)/SS+에서/JKB+는/JX
스포트라이트	스포트라이트/NNG
반대편의	반대편/NNG+의/JKG
의미가	의미/NNG+가/JKS
드러나고,	드러나/VV+고/EC+,/SP
‘29’에서는	‘/SS+29/SN+’/SS+에서/JKB+는/JX
사실은	사실/NNG+은/JX
진실이라고	진실/NNG+이/VCP+라고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.132.7.4
“‘섀도우’는 우리 내면의 두려움을 표현하는 단어라고 생각한다.

“‘섀도우’는	“/SS+‘/SS+섀도우/NNG+’/SS+는/JX
우리	우리/NP
내면의	내면/NNG+의/JKG
두려움을	두려움/NNG+을/JKO
표현하는	표현/NNG+하/XSV+는/ETM
단어라고	단어/NNG+이/VCP+라고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.132.7.5
우리는 항상 내면의 어두운 그림자에서 도망가려고 하는 것 같다.”(다니엘)

우리는	우리/NP+는/JX
항상	항상/MAG
내면의	내면/NNG+의/JKG
어두운	어둡/VA+ㄴ/ETM
그림자에서	그림자/NNG+에서/JKB
도망가려고	도망가/VV+려고/EC
하는	하/VX+는/ETM
것	것/NNB
같다.”(다니엘)	같/VA+다/EF+./SF+”/SS+(/SS+다니엘/NNP+)/SS


# id : NWRW1800000052.132.8.1
앨범 제목은 거친 세상을 드러내면서도 이들의 결성배경인 한인교회를 환기시키기도 한다.

앨범	앨범/NNG
제목은	제목/NNG+은/JX
거친	거칠/VA+ㄴ/ETM
세상을	세상/NNG+을/JKO
드러내면서도	드러내/VV+면서/EC+도/JX
이들의	이/NP+들/XSN+의/JKG
결성배경인	결성/NNG+배경/NNG+이/VCP+ㄴ/ETM
한인교회를	한인/NNG+교회/NNG+를/JKO
환기시키기도	환기/NNG+시키/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.132.8.2
“‘소금’이란 단어에 많은 의미가 담겨 있다.

“‘소금’이란	“/SS+‘/SS+소금/NNG+’/SS+이/VCP+란/ETM
단어에	단어/NNG+에/JKB
많은	많/VA+은/ETM
의미가	의미/NNG+가/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.132.8.3
성경에서도 염전에서 맑은 물이 나오는 내용이 있는 것처럼, 우리는 모순이 가득한 세상에 살고 있다.

성경에서도	성경/NNG+에서/JKB+도/JX
염전에서	염전/NNG+에서/JKB
맑은	맑/VA+은/ETM
물이	물/NNG+이/JKS
나오는	나오/VV+는/ETM
내용이	내용/NNG+이/JKS
있는	있/VA+는/ETM
것처럼,	것/NNB+처럼/JKB+,/SP
우리는	우리/NP+는/JX
모순이	모순/NNG+이/JKS
가득한	가득/MAG+하/XSA+ㄴ/ETM
세상에	세상/NNG+에/JKB
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.132.8.4
끔찍한 악행과 엄청난 선행이 공존하고 있는 세상이다.

끔찍한	끔찍하/VA+ㄴ/ETM
악행과	악행/NNG+과/JC
엄청난	엄청나/VA+ㄴ/ETM
선행이	선행/NNG+이/JKS
공존하고	공존/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
세상이다.	세상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.132.8.5
그 사이에서 좋은 음악과 예술이 탄생하고 있고, 우린 계속 그런 걸 만들어 가려고 한다.”

그	그/MMD
사이에서	사이/NNG+에서/JKB
좋은	좋/VA+은/ETM
음악과	음악/NNG+과/JC
예술이	예술/NNG+이/JKS
탄생하고	탄생/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
우린	우리/NP+ㄴ/JX
계속	계속/MAG
그런	그런/MMD
걸	거/NNB+ㄹ/JKO
만들어	만들/VV+어/EC
가려고	가/VV+려고/EC
한다.”	하/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000052.132.9.1
앨범의 첫 곡은 ‘장례 행렬’(Funeral Parade)이다.

앨범의	앨범/NNG+의/JKG
첫	첫/MMN
곡은	곡/NNG+은/JX
‘장례	‘/SS+장례/NNG
행렬’(Funeral	행렬/NNG+’/SS+(/SS+Funeral/SL
Parade)이다.	Parade/SL+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000052.132.9.2
이 곡은 마지막 트랙 ‘윈터 윈드(Winter Wind)’에서 이어진다.

이	이/MMD
곡은	곡/NNG+은/JX
마지막	마지막/NNG
트랙	트랙/NNG
‘윈터	‘/SS+윈터/NNG
윈드(Winter	윈드/NNP+(/SS+Winter/SL
Wind)’에서	Wind/SL+)/SS+’/SS+에서/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.132.9.3
“큰 그림을 그리는 앨범을 만들고 싶었다.

“큰	“/SS+크/VA+ㄴ/ETM
그림을	그림/NNG+을/JKO
그리는	그리/VV+는/ETM
앨범을	앨범/NNG+을/JKO
만들고	만들/VV+고/EC
싶었다.	싶/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.132.9.4
이렇게 돌고 도는 것이 죽음, 장례식과 비슷하다는 생각이 든다.”(알렉스)

이렇게	이렇/VA+게/EC
돌고	돌/VV+고/EC
도는	돌/VV+는/ETM
것이	것/NNB+이/JKS
죽음,	죽음/NNG+,/SP
장례식과	장례식/NNG+과/JKB
비슷하다는	비슷하/VA+다는/ETM
생각이	생각/NNG+이/JKS
든다.”(알렉스)	들/VV+ㄴ다/EF+./SF+”/SS+(/SS+알렉스/NNP+)/SS


# id : NWRW1800000052.132.10.1
한국 공연 소감을 물었다.

한국	한국/NNP
공연	공연/NNG
소감을	소감/NNG+을/JKO
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.132.10.2
“‘교포밴드’라는 시선보다는 미국 록을 하는 한국인 밴드라는 시선으로 봐주셨으면 한다.

“‘교포밴드’라는	“/SS+‘/SS+교포/NNG+밴드/NNG+’/SS+이/VCP+라는/ETM
시선보다는	시선/NNG+보다/JKB+는/JX
미국	미국/NNP
록을	록/NNG+을/JKO
하는	하/VV+는/ETM
한국인	한국인/NNG
밴드라는	밴드/NNG+이/VCP+라는/ETM
시선으로	시선/NNG+으로/JKB
봐주셨으면	봐주/VV+시/EP+었/EP+으면/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.132.10.3
부모님들이 굉장히 좋아하신다.

부모님들이	부모/NNG+님/XSN+들/XSN+이/JKS
굉장히	굉장히/MAG
좋아하신다.	좋아하/VV+시/EP+ㄴ다/EF+./SF


# id : NWRW1800000052.132.10.4
보통은 내가 먼저 공연 티켓을 드리는데, 이번엔 부모님들께서 먼저 티켓을 구해달라고 하셨다.

보통은	보통/NNG+은/JX
내가	내/NP+가/JKS
먼저	먼저/MAG
공연	공연/NNG
티켓을	티켓/NNG+을/JKO
드리는데,	드리/VV+는데/EC+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
부모님들께서	부모/NNG+님/XSN+들/XSN+께서/JKS
구해달라고	구하/VV+아/EC+달/VX+라고/EC
하셨다.	하/VV+시/EP+었/EP+다/EF+./SF


# id : NWRW1800000052.132.10.5
한국에 계신 친구, 친척 분들에게 많이 말씀하셨다고 들었다.

한국에	한국/NNP+에/JKB
계신	계시/VV+ㄴ/ETM
친구,	친구/NNG+,/SP
친척	친척/NNG
분들에게	분/NA+들/XSN+에게/JKB
많이	많이/MAG
말씀하셨다고	말씀/NNG+하/XSV+시/EP+었/EP+다고/EC
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.132.10.6
이번 내한공연 소식을 통해, 부모님들께서도 우리들의 음악을 좀 더 진지하게 들어보신 것 같다.”(다니엘)

이번	이번/NNG
내한공연	내한/NNG+공연/NNG
소식을	소식/NNG+을/JKO
통해,	통하/VV+아/EC+,/SP
부모님들께서도	부모/NNG+님/XSN+들/XSN+께서/JKS+도/JX
우리들의	우리/NP+들/XSN+의/JKG
음악을	음악/NNG+을/JKO
좀	좀/MAG
더	더/MAG
진지하게	진지하/VA+게/EC
들어보신	듣/VV+어/EC+보/VX+시/EP+ㄴ/ETM
것	것/NNB
같다.”(다니엘)	같/VA+다/EF+./SF+”/SS+(/SS+다니엘/NNP+)/SS


