# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.271
metadata : {}


# id : NWRW1800000036.271.1.1
최필립, 지난해 12월부터 부산일보 지분매각 추진한듯

최필립,	최필립/NNP+,/SP
노조	노조/NNG
관계자도	관계자/NNG+도/JX
“최	“/SS+최/NNP
이사장이	이사장/NNG+이/JKS
지난해	지난해/NNG
12월부터	12/SN+월/NNB+부터/JX
회사	회사/NNG
임원들과	임원/NNG+들/XSN+과/JKB
만난	만나/VV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
여러	여러/MMN
차례	차례/NNG
매각	매각/NNG
얘기를	얘기/NNG+를/JKO
꺼냈다”고	꺼내/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.271.6.3
최 이사장은 지난 1~2월 <한겨레>와 한 인터뷰(2월4일치 3면)에서도 “올해 만약 대규모 적자가 발생하고 앞으로도 나아질 가능성이 없다면 팔아버리는 수밖에 없다”고 말한 바 있다.

최	최/NNP
이사장은	이사장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1~2월	1/SN+~/SO+2/SN+월/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
한	하/VV+ㄴ/ETM
인터뷰(2월4일치	인터뷰/NNG+(/SS+2/SN+월/NNB+4/SN+일/NNB+치/NNB
3면)에서도	3/SN+면/NNG+)/SS+에서/JKB+도/JX
“올해	“/SS+올해/NNG
만약	만약/MAG
대규모	대/XPN+규모/NNG
적자가	적자/NNG+가/JKS
발생하고	발생/NNG+하/XSV+고/EC
앞으로도	앞/NNG+으로/JKB+도/JX
나아질	나아지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
없다면	없/VA+다면/EC
팔아버리는	팔/VV+아/EC+버리/VX+는/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.271.7.1
최 이사장의 발언 뒤 실제 비공식적으로 부산일보사를 인수하기 위한 움직임이 시작됐다.

최	최/NNP
이사장의	이사장/NNG+의/JKG
발언	발언/NNG
뒤	뒤/NNG
실제	실제/MAG
비공식적으로	비/XPN+공식/NNG+적/XSN+으로/JKB
부산일보사를	부산일보사/NNP+를/JKO
인수하기	인수/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
움직임이	움직임/NNG+이/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.271.7.2
올해 1~2월 부산일보사 사내 인터넷게시판에 ‘서울의 한 신문사 실무자가 부산일보 인수를 위해 접촉을 해왔다’는 글이 올라와, 노조 쪽이 서울의 신문사 실무자를 만났더니 사실이었다고 노조 관계자는 전했다.

올해	올해/NNG
1~2월	1/SN+~/SO+2/SN+월/NNB
부산일보사	부산일보사/NNP
사내	사내/NNG
인터넷게시판에	인터넷/NNG+게시판/NNG+에/JKB
‘서울의	‘/SS+서울/NNP+의/JKG
한	한/MMN
신문사	신문사/NNG
실무자가	실무자/NNG+가/JKS
부산일보	부산일보/NNP
인수를	인수/NNG+를/JKO
위해	위하/VV+아/EC
접촉을	접촉/NNG+을/JKO
해왔다’는	하/VV+아/EC+오/VX+았/EP+다/EF+’/SS+는/ETM
글이	글/NNG+이/JKS
올라와,	올라오/VV+아/EC+,/SP
노조	노조/NNG
쪽이	쪽/NNB+이/JKS
서울의	서울/NNP+의/JKG
실무자를	실무자/NNG+를/JKO
만났더니	만나/VV+았/EP+더니/EC
사실이었다고	사실/NNG+이/VCP+었/EP+다고/EC
관계자는	관계자/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.271.8.1
지난 8월엔 이 게시판에 ‘매각 대금이 500억원’이라는 내용이 올라왔다.

지난	지나/VV+ㄴ/ETM
8월엔	8/SN+월/NNB+에/JKB+ㄴ/JX
이	이/MMD
게시판에	게시판/NNG+에/JKB
‘매각	‘/SS+매각/NNG
대금이	대금/NNG+이/JKS
500억원’이라는	500/SN+억/NR+원/NNB+’/SS+이/VCP+라는/ETM
내용이	내용/NNG+이/JKS
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.271.8.2
1만원짜리 부산일보 주식 20만주(20억원)와 부산 동구 본사 사옥과 부산 금정구·경남 김해시 인쇄공장 등 여러 부동산과 윤전기 등을 포함한 가격으로 보인다.

1만원짜리	1/SN+만/NR+원/NNB+짜리/XSN
부산일보	부산일보/NNP
주식	주식/NNG
20만주(20억원)와	20/SN+만/NR+주/NNG+(/SS+20/SN+억/NR+원/NNB+)/SS+와/JC
부산	부산/NNP
동구	동구/NNP
본사	본사/NNG
사옥과	사옥/NNG+과/JC
금정구·경남	금정구/NNP+·/SP+경남/NNP
김해시	김해시/NNP
인쇄공장	인쇄/NNG+공장/NNG
등	등/NNB
여러	여러/MMN
부동산과	부동산/NNG+과/JC
윤전기	윤전기/NNG
등을	등/NNB+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
가격으로	가격/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.271.9.1
정수장학회가 지난달부터 지인을 내세워 지역의 기업 5~6곳과 매각 협상을 벌인 정황도 포착됐다.

정수장학회가	정수장학회/NNP+가/JKS
지난달부터	지난달/NNG+부터/JX
지인을	지인/NNG+을/JKO
내세워	내세우/VV+어/EC
지역의	지역/NNG+의/JKG
기업	기업/NNG
5~6곳과	5/SN+~/SO+6/SN+곳/NNG+과/JKB
매각	매각/NNG
협상을	협상/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
정황도	정황/NNG+도/JX
포착됐다.	포착/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.271.9.2
지역언론에 정통한 인사는 “경남의 ㄴ사 회장이 <부산일보> 지분 인수를 제의받았으나 적자 우려로 포기했다는 얘기를 들었다”며 “팔순을 넘긴 최 이사장이 직접 나서기보다는 지역 기업인들을 잘 아는 인사를 통해 개별적으로 접촉한 것으로 보인다”고 말했다.

지역언론에	지역/NNG+언론/NNG+에/JKB
정통한	정통/NNG+하/XSV+ㄴ/ETM
인사는	인사/NNG+는/JX
“경남의	“/SS+경남/NNP+의/JKG
ㄴ사	ㄴ/NNG+사/NNG
회장이	회장/NNG+이/JKS
<부산일보>	</SS+부산일보/NNP+>/SS
지분	지분/NNG
인수를	인수/NNG+를/JKO
제의받았으나	제의/NNG+받/XSV+았/EP+으나/EC
적자	적자/NNG
우려로	우려/NNG+로/JKB
포기했다는	포기/NNG+하/XSV+았/EP+다는/ETM
얘기를	얘기/NNG+를/JKO
들었다”며	듣/VV+었/EP+다/EF+”/SS+며/EC
“팔순을	“/SS+팔순/NNG+을/JKO
넘긴	넘기/VV+ㄴ/ETM
최	최/NNP
이사장이	이사장/NNG+이/JKS
직접	직접/MAG
나서기보다는	나서/VV+기/ETN+보다/JKB+는/JX
지역	지역/NNG
기업인들을	기업인/NNG+들/XSN+을/JKO
잘	잘/MAG
아는	알/VV+는/ETM
인사를	인사/NNG+를/JKO
통해	통하/VV+아/EC
개별적으로	개별/NNG+적/XSN+으로/JKB
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.271.10.1
이호진 부산일보 노조 위원장은 “지금까지 일어난 사실을 종합해보면 부산일보사 매각 시나리오가 오래전부터 있었던 것이 분명하다”며 “지난 50여년 동안 한푼도 부산일보사에 투자하지 않았던 정수장학회가 부산일보사 구성원들 몰래 매각을 추진하는 것은 어불성설”이라고 말했다.

이호진	이호진/NNP
부산일보	부산일보/NNP
노조	노조/NNG
위원장은	위원장/NNG+은/JX
“지금까지	“/SS+지금/NNG+까지/JX
일어난	일어나/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
종합해보면	종합/NNG+하/XSV+아/EC+보/VX+면/EC
부산일보사	부산일보사/NNP
매각	매각/NNG
시나리오가	시나리오/NNG+가/JKS
오래전부터	오래전/NNG+부터/JX
있었던	있/VA+었/EP+던/ETM
것이	것/NNB+이/JKS
분명하다”며	분명/MAG+하/XSA+다/EF+”/SS+며/EC
“지난	“/SS+지나/VV+ㄴ/ETM
50여년	50/SN+여/XSN+년/NNB
동안	동안/NNG
한푼도	한/MMN+푼/NNB+도/JX
부산일보사에	부산일보사/NNP+에/JKB
투자하지	투자/NNG+하/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
정수장학회가	정수장학회/NNP+가/JKS
구성원들	구성원/NNG+들/XSN
몰래	몰래/MAG
매각을	매각/NNG+을/JKO
추진하는	추진/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
어불성설”이라고	어불성설/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


