# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.186
metadata : {}


# id : NWRW1800000049.186.1.1
옥시, 형사처벌 피하려 새 법인 설립 의혹

옥시,	옥시/NNP+,/SP
형태를	형태/NNG+를/JKO
주식회사에서	주식회사/NNG+에서/JKB
유한회사로	유한/NNG+회사/NNG+로/JKB
변경했다.	변경/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.186.4.3
이 절차를 통해 옥시 측은 가습기 살균제를 제조 판매해 온 기존 법인을 해산했으며 주주·사원, 재산, 상호를 이어받은 새로운 법인을 설립했다.

이	이/MMD
절차를	절차/NNG+를/JKO
통해	통하/VV+아/EC
옥시	옥시/NNP
측은	측/NNB+은/JX
가습기	가습기/NNG
살균제를	살균제/NNG+를/JKO
제조	제조/NNG
판매해	판매/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
기존	기존/NNG
법인을	법인/NNG+을/JKO
해산했으며	해산/NNG+하/XSV+았/EP+으며/EC
주주·사원,	주주/NNG+·/SP+사원/NNG+,/SP
재산,	재산/NNG+,/SP
상호를	상호/NNG+를/JKO
이어받은	이어받/VV+은/ETM
새로운	새롭/VA+ㄴ/ETM
설립했다.	설립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.186.4.4
2011년 12월은 정부가 가습기 살균제와 폐 손상 사이에 인과관계가 있다는 실험 결과를 발표한 직후로 진상 규명 여론이 거세던 때였다.

2011년	2011/SN+년/NNB
12월은	12/SN+월/NNB+은/JX
정부가	정부/NNG+가/JKS
가습기	가습기/NNG
살균제와	살균제/NNG+와/JC
폐	폐/NNG
손상	손상/NNG
사이에	사이/NNG+에/JKB
인과관계가	인과/NNG+관계/NNG+가/JKS
있다는	있/VA+다는/ETM
실험	실험/NNG
결과를	결과/NNG+를/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
직후로	직후/NNG+로/JKB
진상	진상/NNG
규명	규명/NNG
여론이	여론/NNG+이/JKS
거세던	거세/VA+던/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.186.5.1
검찰은 옥시 측이 형사처벌을 피하기 위해 이런 꼼수를 부린 것으로 보고 있다.

검찰은	검찰/NNG+은/JX
옥시	옥시/NNP
측이	측/NNB+이/JKS
형사처벌을	형사/NNG+처벌/NNG+을/JKO
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
이런	이런/MMD
꼼수를	꼼수/NNG+를/JKO
부린	부리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.186.5.2
형사소송법은 피고인인 법인이 존속하지 않으면 공소 기각을 결정하도록 규정하고 있다.

형사소송법은	형사/NNG+소송법/NNG+은/JX
피고인인	피고인/NNG+이/VCP+ㄴ/ETM
법인이	법인/NNG+이/JKS
존속하지	존속/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
공소	공소/NNG
기각을	기각/NNG+을/JKO
결정하도록	결정/NNG+하/XSV+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.186.5.3
피고인이 사망하면 ‘공소권 없음’ 처분을 하는 것과 같은 차원이다.

피고인이	피고인/NNG+이/JKS
사망하면	사망/NNG+하/XSV+면/EC
‘공소권	‘/SS+공소/NNG+권/XSN
없음’	없/VA+음/ETN+’/SS
처분을	처분/NNG+을/JKO
하는	하/VV+는/ETM
것과	것/NNB+과/JKB
같은	같/VA+은/ETM
차원이다.	차원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.186.5.4
앞으로 검찰이 옥시의 혐의를 규명한다고 해도 옥시의 새 법인을 기소하지 못할 수 있다.

앞으로	앞/NNG+으로/JKB
검찰이	검찰/NNG+이/JKS
옥시의	옥시/NNP+의/JKG
혐의를	혐의/NNG+를/JKO
규명한다고	규명/NNG+하/XSV+ㄴ다고/EC
해도	하/VV+아도/EC
새	새/MMA
법인을	법인/NNG+을/JKO
기소하지	기소/NNG+하/XSV+지/EC
못할	못하/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.186.6.1
2005년 대법원 판례에 따르면 기존 법인이 사라지면 형사책임이 존속 법인에 승계되지 않는다.

2005년	2005/SN+년/NNB
대법원	대/XPN+법원/NNG
판례에	판례/NNG+에/JKB
따르면	따르/VV+면/EC
기존	기존/NNG
법인이	법인/NNG+이/JKS
사라지면	사라지/VV+면/EC
형사책임이	형사/NNG+책임/NNG+이/JKS
존속	존속/NNG
법인에	법인/NNG+에/JKB
승계되지	승계/NNG+되/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000049.186.6.2
수사팀은 대법원 판례를 검토하며 옥시의 신설 법인이 이전 법인과 사실상 같다는 점을 밝히는 데 주력하고 있는 것으로 알려졌다.

수사팀은	수사/NNG+팀/NNG+은/JX
대법원	대/XPN+법원/NNG
판례를	판례/NNG+를/JKO
검토하며	검토/NNG+하/XSV+며/EC
옥시의	옥시/NNP+의/JKG
신설	신설/NNG
법인이	법인/NNG+이/JKS
이전	이전/NNG
법인과	법인/NNG+과/JC
사실상	사실/NNG+상/XSN
같다는	같/VA+다는/ETM
점을	점/NNG+을/JKO
밝히는	밝히/VV+는/ETM
데	데/NNB
주력하고	주력/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.186.7.1
한편 옥시 측이 ‘짜맞추기 실험 결과’를 연구진에 주문한 정황도 속속 드러나고 있다.

한편	한편/MAG
옥시	옥시/NNP
측이	측/NNB+이/JKS
‘짜맞추기	‘/SS+짜/VV+아/EC+맞추/VV+기/ETN
실험	실험/NNG
결과’를	결과/NNG+’/SS+를/JKO
연구진에	연구진/NNG+에/JKB
주문한	주문/NNG+하/XSV+ㄴ/ETM
정황도	정황/NNG+도/JX
속속	속속/MAG
드러나고	드러나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.186.7.2
가습기 살균제와 폐 손상 사이에 인과관계가 없다는 결과 보고서를 낸 호서대 실험팀이 가습기 살균제로 인한 공기 중 위험 농도를 측정하는 실험에서 옥시 직원이 사는 아파트를 실험 장소로 이용한 것으로 전해졌다.

가습기	가습기/NNG
살균제와	살균제/NNG+와/JC
폐	폐/NNG
손상	손상/NNG
사이에	사이/NNG+에/JKB
인과관계가	인과/NNG+관계/NNG+가/JKS
없다는	없/VA+다는/ETM
결과	결과/NNG
보고서를	보고서/NNG+를/JKO
낸	내/VV+ㄴ/ETM
호서대	호서대/NNP
실험팀이	실험/NNG+팀/NNG+이/JKS
살균제로	살균제/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
공기	공기/NNG
중	중/NNB
위험	위험/NNG
농도를	농도/NNG+를/JKO
측정하는	측정/NNG+하/XSV+는/ETM
실험에서	실험/NNG+에서/JKB
옥시	옥시/NNP
직원이	직원/NNG+이/JKS
사는	살/VV+는/ETM
아파트를	아파트/NNG+를/JKO
실험	실험/NNG
장소로	장소/NNG+로/JKB
이용한	이용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.186.7.3
또 옥시 측은 동물 흡입 독성 실험을 서울대팀에 맡기면서 ‘가습기 살균제 최대 노출치를 권장 사용량의 4배로 한정하라’고 주문한 것으로 알려졌다.

또	또/MAG
옥시	옥시/NNP
측은	측/NNB+은/JX
동물	동물/NNG
흡입	흡입/NNG
독성	독성/NNG
실험을	실험/NNG+을/JKO
서울대팀에	서울대/NNP+팀/NNG+에/JKB
맡기면서	맡기/VV+면서/EC
‘가습기	‘/SS+가습기/NNG
살균제	살균제/NNG
최대	최대/NNG
노출치를	노출/NNG+치/XSN+를/JKO
권장	권장/NNG
사용량의	사용량/NNG+의/JKG
4배로	4/SN+배/NNG+로/JKB
한정하라’고	한정/NNG+하/XSV+라/EF+’/SS+고/JKQ
주문한	주문/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.186.7.4
동물을 이용하는 통상적인 독성 실험은 권장 사용량의 10배까지 노출하라고 설정한다.

동물을	동물/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
통상적인	통상/NNG+적/XSN+이/VCP+ㄴ/ETM
독성	독성/NNG
실험은	실험/NNG+은/JX
권장	권장/NNG
사용량의	사용량/NNG+의/JKG
10배까지	10/SN+배/NNG+까지/JX
노출하라고	노출/NNG+하/XSV+라고/EC
설정한다.	설정/NNG+하/XSV+ㄴ다/EF+./SF


