# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.289
metadata : {}


# id : NWRW1800000029.289.1.1
우즈 연습경기서 한 라운드 10언더… 모처럼 ‘황제 샷’

우즈	우즈/NNP
완성했다.	완성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.289.5.1
예년 같으면 휴식을 취할 때이지만 요즘 우즈는 가을 시리즈 출전 준비로 분주하다.

예년	예년/NNG
같으면	같/VA+으면/EC
휴식을	휴식/NNG+을/JKO
취할	취하/VV+ㄹ/ETM
때이지만	때/NNG+이/VCP+지만/EC
요즘	요즘/NNG
우즈는	우즈/NNP+는/JX
가을	가을/NNG
시리즈	시리즈/NNG
출전	출전/NNG
준비로	준비/NNG+로/JKB
분주하다.	분주/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.289.5.2
가을 시리즈는 플레이오프가 끝난 뒤 하위권 선수들이 주로 출전하는 대회.

가을	가을/NNG
시리즈는	시리즈/NNG+는/JX
플레이오프가	플레이오프/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
하위권	하위/NNG+권/XSN
선수들이	선수/NNG+들/XSN+이/JKS
주로	주로/MAG
출전하는	출전/NNG+하/XSV+는/ETM
대회.	대회/NNG+./SF


# id : NWRW1800000029.289.5.3
하지만 우즈는 실전감각 회복을 위해 가을 시리즈 출전 의사를 밝혔다.

하지만	하지만/MAJ
우즈는	우즈/NNP+는/JX
실전감각	실전/NNG+감각/NNG
회복을	회복/NNG+을/JKO
위해	위하/VV+아/EC
가을	가을/NNG
시리즈	시리즈/NNG
출전	출전/NNG
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.289.5.4
첫 대회는 6일 시작하는 프라이어스닷컴오픈이다.

첫	첫/MMN
대회는	대회/NNG+는/JX
6일	6/SN+일/NNB
시작하는	시작/NNG+하/XSV+는/ETM
프라이어스닷컴오픈이다.	프라이어스닷컴오픈/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.289.6.1
우즈는 예전에도 연습경기에서의 좋은 결과를 정식 대회로 연결한 적이 있다.

우즈는	우즈/NNP+는/JX
예전에도	예전/NNG+에/JKB+도/JX
연습경기에서의	연습/NNG+경기/NNG+에서/JKB+의/JKG
좋은	좋/VA+은/ETM
결과를	결과/NNG+를/JKO
정식	정식/NNG
대회로	대회/NNG+로/JKB
연결한	연결/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.289.6.2
1997년 마스터스대회를 앞두고 연습경기에서 59타를 친 뒤 마스터스대회 사상 최연소 챔피언에 올랐다.

1997년	1997/SN+년/NNB
마스터스대회를	마스터스/NNG+대회/NNG+를/JKO
앞두고	앞두/VV+고/EC
연습경기에서	연습/NNG+경기/NNG+에서/JKB
59타를	59/SN+타/NNG+를/JKO
친	치/VV+ㄴ/ETM
뒤	뒤/NNG
마스터스대회	마스터스/NNG+대회/NNG
사상	사상/NNG
최연소	최/XPN+연소/NNG
챔피언에	챔피언/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.289.7.1
우즈는 내달 열릴 예정인 미국과 세계 연합팀(유럽 제외) 간의 골프대항전인 프레지던츠컵에 단장 추천으로 출전한다.

우즈는	우즈/NNP+는/JX
내달	내달/NNG
열릴	열리/VV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
미국과	미국/NNP+과/JC
세계	세계/NNG
연합팀(유럽	연합/NNG+팀/NNG+(/SS+유럽/NNP
제외)	제외/NNG+)/SS
간의	간/NNB+의/JKG
골프대항전인	골프/NNG+대항전/NNG+이/VCP+ㄴ/ETM
프레지던츠컵에	프레지던츠컵/NNG+에/JKB
단장	단장/NNG
추천으로	추천/NNG+으로/JKB
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.289.7.2
포인트가 부족한 우즈를 뽑은 단장 프레드 커플스는 이 때문에 비판을 받았다.

포인트가	포인트/NNG+가/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
우즈를	우즈/NNP+를/JKO
뽑은	뽑/VV+은/ETM
단장	단장/NNG
프레드	프레드/NNP
커플스는	커플스/NNP+는/JX
이	이/NP
때문에	때문/NNB+에/JKB
비판을	비판/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.289.7.3
그러나 우즈가 예전 실력을 발휘한다면 모든 논란을 한 번에 잠재울 수 있다.

그러나	그러나/MAJ
우즈가	우즈/NNP+가/JKS
예전	예전/NNG
실력을	실력/NNG+을/JKO
발휘한다면	발휘/NNG+하/XSV+ㄴ다면/EC
모든	모든/MMN
논란을	논란/NNG+을/JKO
한	한/MMN
번에	번/NNB+에/JKB
잠재울	잠재우/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


