# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.402
metadata : {}


# id : NWRW1800000021.402.1.1
[인천/부천]섬마을 소녀가장 “4개 대학 붙었어요”

[인천/부천]섬마을	[/SS+인천/NNP+//SP+부천/NNP+]/SS+섬마을/NNG
써	쓰/VV+어/EC
시	시/NNG
교육청이	교육청/NNG+이/JKS
지난달	지난달/NNG
주최한	주최/NNG+하/XSV+ㄴ/ETM
‘효행실천사례발표대회’에서	‘/SS+효행/NNG+실천/NNG+사례/NNG+발표/NNG+대회/NNG+’/SS+에서/JKB
최우수상을	최우수상/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.402.3.2
장 양은 “대학 합격의 기쁨보다 앞으로 대학 생활을 어떻게 해나가야 할지에 더욱 마음이 무겁다”며 “사실 동생과 할머니 뒷바라지를 어떻게 해야 할지 걱정이 앞선다”고 말했다.

장	장/NNP
양은	양/NNB+은/JX
“대학	“/SS+대학/NNG
합격의	합격/NNG+의/JKG
기쁨보다	기쁨/NNG+보다/JKB
앞으로	앞/NNG+으로/JKB
대학	대학/NNG
생활을	생활/NNG+을/JKO
어떻게	어떻/VA+게/EC
해나가야	하/VV+아/EC+나가/VX+아야/EC
할지에	하/VX+ㄹ지/EF+에/JKB
더욱	더욱/MAG
마음이	마음/NNG+이/JKS
무겁다”며	무겁/VA+다/EF+”/SS+며/EC
“사실	“/SS+사실/MAG
동생과	동생/NNG+과/JC
할머니	할머니/NNG
뒷바라지를	뒷바라지/NNG+를/JKO
해야	하/VV+아야/EC
할지	하/VX+ㄹ지/EF
걱정이	걱정/NNG+이/JKS
앞선다”고	앞서/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.402.3.3
장 양은 이런 고민 때문에 강화도에서 가까운 인하대로 최종 진학을 결정했다.

장	장/NNP
양은	양/NNB+은/JX
이런	이런/MMD
고민	고민/NNG
때문에	때문/NNB+에/JKB
강화도에서	강화도/NNP+에서/JKB
가까운	가깝/VA+ㄴ/ETM
인하대로	인하대/NNP+로/JKB
최종	최종/NNG
진학을	진학/NNG+을/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.402.4.1
장 양은 이날 “외교관이나 기자가 돼서 국가의 위상을 높이거나 사회적 약자를 대변하는 게 꿈”이라고 말했다.

장	장/NNP
양은	양/NNB+은/JX
이날	이날/NNG
“외교관이나	“/SS+외교관/NNG+이나/JC
기자가	기자/NNG+가/JKS
돼서	되/VV+어서/EC
국가의	국가/NNG+의/JKG
위상을	위상/NNG+을/JKO
높이거나	높이/VV+거나/EC
사회적	사회/NNG+적/XSN
약자를	약자/NNG+를/JKO
대변하는	대변/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
꿈”이라고	꿈/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.402.4.2
하지만 장 양은 대학 입학 뒤에도 등록금과 수업료, 책값, 생활비 등을 마련할 길이 막막하기만 하다.

하지만	하지만/MAJ
장	장/NNP
양은	양/NNB+은/JX
대학	대학/NNG
입학	입학/NNG
뒤에도	뒤/NNG+에/JKB+도/JX
등록금과	등록금/NNG+과/JC
수업료,	수업료/NNG+,/SP
책값,	책값/NNG+,/SP
생활비	생활비/NNG
등을	등/NNB+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
길이	길/NNG+이/JKS
막막하기만	막막하/VA+기/ETN+만/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000021.402.5.1
이건호 담임교사는 “효선이는 가정 형편이 어렵고 부모님의 따뜻한 사랑을 받지 못했는데도 항상 밝고, 공부도 반에서 1∼3등을 하는 우등생”이라며 “효선이가 계속 공부할 수 있게 주변에서 많은 관심을 가져 줬으면 좋겠다”고 말했다.

이건호	이건호/NNP
담임교사는	담임/NNG+교사/NNG+는/JX
“효선이는	“/SS+효선이/NNP+는/JX
가정	가정/NNG
형편이	형편/NNG+이/JKS
어렵고	어렵/VA+고/EC
부모님의	부모/NNG+님/XSN+의/JKG
따뜻한	따뜻하/VA+ㄴ/ETM
사랑을	사랑/NNG+을/JKO
받지	받/VV+지/EC
못했는데도	못하/VX+았/EP+는데/EC+도/JX
항상	항상/MAG
밝고,	밝/VA+고/EC+,/SP
공부도	공부/NNG+도/JX
반에서	반/NNG+에서/JKB
1∼3등을	1/SN+∼/SO+3/SN+등/NNB+을/JKO
하는	하/VV+는/ETM
우등생”이라며	우등/NNG+생/XSN+”/SS+이/VCP+라며/EC
“효선이가	“/SS+효선이/NNP+가/JKS
계속	계속/MAG
공부할	공부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
주변에서	주변/NNG+에서/JKB
많은	많/VA+은/ETM
관심을	관심/NNG+을/JKO
가져	가지/VV+어/EC
줬으면	주/VX+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.402.6.1
장 양과 여동생들은 수업료 면제, 점심·저녁식사 제공, 장학금 지급 등 교동고 측의 배려로 학교생활을 잘하고 있다.

장	장/NNP
양과	양/NNB+과/JC
여동생들은	여동생/NNG+들/XSN+은/JX
수업료	수업료/NNG
면제,	면제/NNG+,/SP
점심·저녁식사	점심/NNG+·/SP+저녁/NNG+식사/NNG
제공,	제공/NNG+,/SP
장학금	장학금/NNG
지급	지급/NNG
등	등/NNB
교동고	교동고/NNP
측의	측/NNB+의/JKG
배려로	배려/NNG+로/JKB
학교생활을	학교생활/NNG+을/JKO
잘하고	잘/MAG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


