# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.121
metadata : {}


# id : NWRW1800000040.121.1.1
뮤지컬들 ‘수난시대’

뮤지컬들	뮤지컬/NNG+들/XSN
전달조차도	전달/NNG+조차/JX+도/JX
여의치	여의하/VA+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“기업의	“/SS+기업/NNG+의/JKG
이익	이익/NNG
논리	논리/NNG
사이에	사이/NNG+에/JKB
많은	많/VA+은/ETM
대중의	대중/NNG+의/JKG
관심이	관심/NNG+이/JKS
집중되고	집중/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
공연이	공연/NNG+이/JKS
볼모가	볼모/NNG+가/JKC
되는	되/VV+는/ETM
이런	이런/MMD
일은	일/NNG+은/JX
앞으로	앞/NNG+으로/JKB
없어야	없/VA+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


