# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.44
metadata : {}


# id : NWRW1800000045.44.1.1
[뉴스 분석]여론 업은 부자증세… 오바마 승부수, 巨野의 벽 넘을까

[뉴스	[/SS+뉴스/NNG
연소득	연/NNG+소득/NNG
100만	100/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
10억8000만	10/SN+억/NR+8000/SN+만/NR
원)	원/NNB+)/SS
이상	이상/NNG
부자들의	부자/NNG+들/XSN+의/JKG
소득세율을	소득세/NNG+율/XSN+을/JKO
17%대에서	17/SN+%/SW+대/XSN+에서/JKB
30%로	30/SN+%/SW+로/JKB
높이는	높이/VV+는/ETM
내용의	내용/NNG+의/JKG
부자	부자/NNG
과세법안이다.	과세/NNG+법안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.44.4.3
이후 오바마 대통령은 2012년 대선 승리의 여세를 몰아 2013년 1월 공화당을 압박해 6000억 달러(약 690조 원) 규모의 부자 증세 합의안을 이끌어냈다.

이후	이후/NNG
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
2012년	2012/SN+년/NNB
대선	대선/NNG
승리의	승리/NNG+의/JKG
여세를	여세/NNG+를/JKO
몰아	몰/VV+아/EC
2013년	2013/SN+년/NNB
1월	1/SN+월/NNB
공화당을	공화당/NNP+을/JKO
압박해	압박/NNG+하/XSV+아/EC
6000억	6000/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
690조	690/SN+조/NR
원)	원/NNB+)/SS
규모의	규모/NNG+의/JKG
부자	부자/NNG
증세	증세/NNG
합의안을	합의안/NNG+을/JKO
이끌어냈다.	이끌/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.44.4.4
20년 만의 증세였다.

20년	20/SN+년/NNB
만의	만/NNB+의/JKG
증세였다.	증세/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.44.4.5
연소득 45만 달러(약 4억9000만 원) 이상의 고소득 가구의 소득세율을 35%에서 39.6%로 올리는 것이 핵심이었다.

연소득	연/NNG+소득/NNG
45만	45/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
4억9000만	4/SN+억/NR+9000/SN+만/NR
원)	원/NNB+)/SS
이상의	이상/NNG+의/JKG
고소득	고/XPN+소득/NNG
가구의	가구/NNG+의/JKG
소득세율을	소득세/NNG+율/XSN+을/JKO
35%에서	35/SN+%/SW+에서/JKB
39.6%로	39/SN+./SP+6/SN+%/SW+로/JKB
올리는	올리/VV+는/ETM
것이	것/NNB+이/JKS
핵심이었다.	핵심/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.44.5.1
하지만 이번 증세안에 대해 워싱턴 정가에선 회의적인 시각이 더 많다.

하지만	하지만/MAJ
이번	이번/NNG
증세안에	증세안/NNG+에/JKB
대해	대하/VV+아/EC
워싱턴	워싱턴/NNP
정가에선	정가/NNG+에서/JKB+ㄴ/JX
회의적인	회의/NNG+적/XSN+이/VCP+ㄴ/ETM
시각이	시각/NNG+이/JKS
더	더/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000045.44.5.2
2년 만에 또 증세를 추진할 수 있겠느냐는 것이 핵심이다.

2년	2/SN+년/NNB
만에	만/NNB+에/JKB
또	또/MAG
증세를	증세/NNG+를/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있겠느냐는	있/VA+겠/EP+느냐는/ETM
것이	것/NNB+이/JKS
핵심이다.	핵심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.44.5.3
게다가 민주당이 상원 다수를 차지하고 있던 2년 전과는 달리 현재는 상하 양원 모두 공화당이 장악하고 있는 상황이다.

게다가	게다가/MAG
민주당이	민주당/NNP+이/JKS
상원	상원/NNG
다수를	다수/NNG+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
2년	2/SN+년/NNB
전과는	전/NNG+과/JKB+는/JX
달리	달리/MAG
현재는	현재/NNG+는/JX
상하	상하/NNG
양원	양원/NNG
모두	모두/MAG
공화당이	공화당/NNP+이/JKS
장악하고	장악/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.44.5.4
세제 개편은 이민개혁 등 다른 이슈와 달리 대통령 행정명령만으로 추진할 수 없고 법을 고쳐야 해서 의회의 벽을 넘기 쉽지 않을 것으로 보인다.

세제	세제/NNG
개편은	개편/NNG+은/JX
이민개혁	이민/NNG+개혁/NNG
등	등/NNB
다른	다른/MMD
이슈와	이슈/NNG+와/JKB
달리	달리/MAG
대통령	대통령/NNG
행정명령만으로	행정/NNG+명령/NNG+만/JX+으로/JKB
추진할	추진/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없고	없/VA+고/EC
법을	법/NNG+을/JKO
고쳐야	고치/VV+어야/EC
해서	하/VX+아서/EC
의회의	의회/NNG+의/JKG
벽을	벽/NNG+을/JKO
넘기	넘/VV+기/ETN
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.44.6.1
이번 증세안은 연 50만 달러(약 5억4000만 원)를 넘는 가계의 자본소득에 대한 최고세율을 현 23.8%에서 28%로 올리는 것도 있지만 무엇보다 공화당의 ‘돈줄’이라 할 수 있는 월가 대형 은행을 겨냥하고 있어 공화당으로선 받아들이기 어려운 상황이다.

이번	이번/NNG
증세안은	증세안/NNG+은/JX
연	연/NNG
50만	50/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
5억4000만	5/SN+억/NR+4000/SN+만/NR
원)를	원/NNB+)/SS+를/JKO
넘는	넘/VV+는/ETM
가계의	가계/NNG+의/JKG
자본소득에	자본/NNG+소득/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
최고세율을	최고/NNG+세율/NNG+을/JKO
현	현/MMD
23.8%에서	23/SN+./SP+8/SN+%/SW+에서/JKB
28%로	28/SN+%/SW+로/JKB
올리는	올리/VV+는/ETM
것도	것/NNB+도/JX
있지만	있/VA+지만/EC
무엇보다	무엇/NP+보다/JKB
공화당의	공화당/NNP+의/JKG
‘돈줄’이라	‘/SS+돈줄/NNG+’/SS+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
월가	월가/NNP
대형	대형/NNG
은행을	은행/NNG+을/JKO
겨냥하고	겨냥/NNG+하/XSV+고/EC
있어	있/VX+어/EC
공화당으로선	공화당/NNP+으로서/JKB+ㄴ/JX
받아들이기	받아들이/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.44.6.2
백악관은 자산 규모 500억 달러(약 51조1000억 원) 이상 은행의 부채에 이자 외에 0.07%의 수수료까지 물려 세수를 확보할 계획이다.

백악관은	백악관/NNP+은/JX
자산	자산/NNG
규모	규모/NNG
500억	500/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
51조1000억	51/SN+조/NR+1000/SN+억/NR
원)	원/NNB+)/SS
이상	이상/NNG
은행의	은행/NNG+의/JKG
부채에	부채/NNG+에/JKB
이자	이자/NNG
외에	외/NNB+에/JKB
0.07%의	0/SN+./SP+07/SN+%/SW+의/JKG
수수료까지	수수료/NNG+까지/JX
물려	물리/VV+어/EC
세수를	세수/NNG+를/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.44.7.1
그렇다고 변수가 없는 것은 아니다.

그렇다고	그렇/VA+다고/EC
변수가	변수/NNG+가/JKS
없는	없/VA+는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000045.44.7.2
2016년 대선에서 8년 만의 정권 교체를 노리는 공화당으로선 중산, 서민층이 호의적인 부자 증세를 모르쇠로 일관할 수도 없는 노릇이다.

2016년	2016/SN+년/NNB
대선에서	대선/NNG+에서/JKB
8년	8/SN+년/NNB
만의	만/NNB+의/JKG
정권	정권/NNG
교체를	교체/NNG+를/JKO
노리는	노리/VV+는/ETM
공화당으로선	공화당/NNP+으로서/JKB+ㄴ/JX
중산,	중산/NNG+,/SP
서민층이	서민/NNG+층/XSN+이/JKS
호의적인	호의/NNG+적/XSN+이/VCP+ㄴ/ETM
부자	부자/NNG
증세를	증세/NNG+를/JKO
모르쇠로	모르쇠/NNG+로/JKB
일관할	일관/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
없는	없/VA+는/ETM
노릇이다.	노릇/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.44.8.1
CNN 여론조사 결과 응답자 중 무려 81%가 대통령의 중산층 살리기를 강조한 신년연설에 전폭적 지지를 보였다.

CNN	CNN/SL
여론조사	여론/NNG+조사/NNG
결과	결과/NNG
응답자	응답자/NNG
중	중/NNB
무려	무려/MAG
81%가	81/SN+%/SW+가/JKS
대통령의	대통령/NNG+의/JKG
중산층	중산/NNG+층/XSN
살리기를	살리/VV+기/ETN+를/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
신년연설에	신년/NNG+연설/NNG+에/JKB
전폭적	전폭/NNG+적/XSN
지지를	지지/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.44.8.2
내년 대선을 겨냥해 수년 동안 히스패닉 등 전통적 민주당 지지층 끌어안기 노력을 해온 공화당으로서는 대통령이 제시한 원안까지는 아니더라도 중간 지점에서의 증세안에 합의할 가능성이 있다는 의견들도 있다.

내년	내년/NNG
대선을	대선/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
수년	수년/NNG
동안	동안/NNG
히스패닉	히스패닉/NNG
등	등/NNB
전통적	전통/NNG+적/XSN
민주당	민주당/NNP
지지층	지지/NNG+층/XSN
끌어안기	끌어안기/NNG
노력을	노력/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
공화당으로서는	공화당/NNP+으로서/JKB+는/JX
대통령이	대통령/NNG+이/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
원안까지는	원안/NNG+까지/JX+는/JX
아니더라도	아니/VCN+더라도/EC
중간	중간/NNG
지점에서의	지점/NNG+에서/JKB+의/JKG
증세안에	증세안/NNG+에/JKB
합의할	합의/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
의견들도	의견/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


