# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.282
metadata : {}


# id : NWRW1800000040.282.1.1
‘80억원의 사나이’ 추신수

‘80억원의	‘/SS+80/SN+억/NR+원/NNB+의/JKG
# id : NWRW1800000040.282.4.4
박찬호는 자유계약선수 자격을 취득한 뒤 5년 6500만달러의 초대박 계약을 했다.

박찬호는	박찬호/NNP+는/JX
자유계약선수	자유/NNG+계약/NNG+선수/NNG
자격을	자격/NNG+을/JKO
취득한	취득/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
5년	5/SN+년/NNB
6500만달러의	6500/SN+만/NR+달러/NNB+의/JKG
초대박	초/XPN+대/XPN+박/NNG
계약을	계약/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.282.4.5
추신수도 나름 대박 계약으로 가기 위한 초석을 마련하게 된 셈.

추신수도	추신수/NNP+도/JX
나름	나름/NNB
대박	대/XPN+박/NNG
계약으로	계약/NNG+으로/JKB
가기	가/VV+기/ETN
위한	위하/VV+ㄴ/ETM
초석을	초석/NNG+을/JKO
마련하게	마련/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
셈.	셈/NNB+./SF


# id : NWRW1800000040.282.5.1
추신수는 지난해 클리블랜드 인디언스에서 타율 0.283, 16홈런 67타점 21도루를 기록했다.

추신수는	추신수/NNP+는/JX
지난해	지난해/NNG
클리블랜드	클리블랜드/NNP
인디언스에서	인디언스/NNP+에서/JKB
타율	타율/NNG
0.283,	0/SN+./SP+283/SN+,/SP
16홈런	16/SN+홈런/NNG
67타점	67/SN+타점/NNG
21도루를	21/SN+도루/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.282.5.2
특히 5월 중순부터 팀 사정으로 3번 타자에서 1번 타자로 변신해서는 99경기에서 타율 0.310, 출루율 0.389로 좋은 활약을 펼쳤다.

특히	특히/MAG
5월	5/SN+월/NNB
중순부터	중순/NNG+부터/JX
팀	팀/NNG
사정으로	사정/NNG+으로/JKB
3번	3/SN+번/NNB
타자에서	타자/NNG+에서/JKB
1번	1/SN+번/NNB
타자로	타자/NNG+로/JKB
변신해서는	변신/NNG+하/XSV+아서/EC+는/JX
99경기에서	99/SN+경기/NNG+에서/JKB
타율	타율/NNG
0.310,	0/SN+./SP+310/SN+,/SP
출루율	출루/NNG+율/XSN
0.389로	0/SN+./SP+389/SN+로/JKB
좋은	좋/VA+은/ETM
활약을	활약/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.282.5.3
<엠엘비닷컴>은 “추신수가 올해 신시내티에서도 1번 타자로 기용될 것”이라고 전망했다.

<엠엘비닷컴>은	</SS+엠엘비닷컴/NNP+>/SS+은/JX
“추신수가	“/SS+추신수/NNP+가/JKS
올해	올해/NNG
신시내티에서도	신시내티/NNP+에서/JKB+도/JX
1번	1/SN+번/NNB
타자로	타자/NNG+로/JKB
기용될	기용/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.282.6.1
자유계약선수 자격을 갖추게 되는 올 시즌 추신수는 큰 도전에 직면해 있다.

자유계약선수	자유/NNG+계약/NNG+선수/NNG
자격을	자격/NNG+을/JKO
갖추게	갖추/VV+게/EC
되는	되/VV+는/ETM
올	올/NNG
시즌	시즌/NNG
추신수는	추신수/NNP+는/JX
큰	크/VA+ㄴ/ETM
도전에	도전/NNG+에/JKB
직면해	직면/NNG+하/XSV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.282.6.2
우익수에서 중견수로의 변화가 그것.

우익수에서	우익수/NNG+에서/JKB
중견수로의	중견수/NNG+로/JKB+의/JKG
변화가	변화/NNG+가/JKS
그것.	그것/NP+./SF


# id : NWRW1800000040.282.6.3
추신수가 메이저리그에서 중견수로 경기에 나선 것은 10경기밖에 되지 않는다.

추신수가	추신수/NNP+가/JKS
메이저리그에서	메이저리그/NNG+에서/JKB
중견수로	중견수/NNG+로/JKB
경기에	경기/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
10경기밖에	10/SN+경기/NNG+밖에/JX
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000040.282.6.4
이에 대해 추신수는 이날 <유에스에이 투데이>(USA TODAY)와의 인터뷰에서 “메이저리그에서 99%는 우익수로 출전했었기 때문에 중견수 포지션이 아직 익숙치는 않다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
추신수는	추신수/NNP+는/JX
이날	이날/NNG
<유에스에이	</SS+유에스에이/NNP
투데이>(USA	투데이/NNP+>/SS+(/SS+USA/SL
TODAY)와의	TODAY/SL+)/SS+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“메이저리그에서	“/SS+메이저리그/NNG+에서/JKB
99%는	99/SN+%/SW+는/JX
우익수로	우익수/NNG+로/JKB
출전했었기	출전/NNG+하/XSV+았었/EP+기/ETN
때문에	때문/NNB+에/JKB
중견수	중견수/NNG
포지션이	포지션/NNG+이/JKS
아직	아직/MAG
익숙치는	익숙하/VA+지/EC+는/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000040.282.6.5
하지만 스프링캠프 동안 적응 훈련을 할 것이고, 나의 플레이가 만족스럽지 않다면 바꾸면 된다”고 밝혔다.

하지만	하지만/MAJ
스프링캠프	스프링캠프/NNG
동안	동안/NNG
적응	적응/NNG
훈련을	훈련/NNG+을/JKO
할	하/VV+ㄹ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
나의	나/NP+의/JKG
플레이가	플레이/NNG+가/JKS
만족스럽지	만족/NNG+스럽/XSA+지/EC
않다면	않/VX+다면/EC
바꾸면	바꾸/VV+면/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.282.6.6
이어 “많은 사람들이 내가 중견수로는 미덥지 않다고 말하지만 내가 할 수 있는 만큼 최선을 다하겠다”고 덧붙였다.

이어	이어/MAG
“많은	“/SS+많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
내가	내/NP+가/JKS
중견수로는	중견수/NNG+로/JKB+는/JX
미덥지	미덥/VA+지/EC
않다고	않/VX+다고/EC
말하지만	말/NNG+하/XSV+지만/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
만큼	만큼/NNB
최선을	최선/NNG+을/JKO
다하겠다”고	다/MAG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.282.6.7
올 시즌 목표에 대해서는 “어느 타순에 위치하는지는 중요하지 않다.

올	올/NNG
시즌	시즌/NNG
목표에	목표/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“어느	“/SS+어느/MMD
타순에	타순/NNG+에/JKB
위치하는지는	위치/NNG+하/XSV+는지/EC+는/JX
중요하지	중요/NNG+하/XSA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000040.282.6.8
선발 라이업에 들어 매일 경기를 치르는 것이 내 목표”라고 강조했다.

선발	선발/NNG
라이업에	라이업/NNG+에/JKB
들어	들/VV+어/EC
매일	매일/MAG
경기를	경기/NNG+를/JKO
치르는	치르/VV+는/ETM
것이	것/NNB+이/JKS
내	나/NP+의/JKG
목표”라고	목표/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


