# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.43
metadata : {}


# id : NWRW1800000046.43.1.1
"가장 골치아픈 직업"… 첫 女性 유엔 총장 나오나

"가장	"/SS+가장/MAG
또 사무총장은 유엔이 분류하는 서구(북미 포함)·동구·아프리카·아시아·중남미 등 5개 권역의 지역 안배도 고려하는데, 동구권에서 한 번도 총장을 배출하지 못해 '동구 출신 여성 총장' 가능성이 높다.

또	또/MAG
사무총장은	사무총장/NNG+은/JX
유엔이	유엔/NNP+이/JKS
분류하는	분류/NNG+하/XSV+는/ETM
서구(북미	서구/NNP+(/SS+북미/NNP
포함)·동구·아프리카·아시아·중남미	포함/NNG+)/SS+·/SP+동구/NNP+·/SP+아프리카/NNP+·/SP+아시아/NNP+·/SP+중남미/NNP
등	등/NNB
5개	5/SN+개/NNB
권역의	권역/NNG+의/JKG
지역	지역/NNG
안배도	안배/NNG+도/JX
고려하는데,	고려/NNG+하/XSV+는데/EC+,/SP
동구권에서	동구/NNP+권/XSN+에서/JKB
한	한/MMN
번도	번/NNB+도/JX
총장을	총장/NNG+을/JKO
배출하지	배출/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
'동구	'/SS+동구/NNP
출신	출신/NNG
여성	여성/NNG
총장'	총장/NNG+'/SS
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000046.43.7.2
불가리아 출신인 이리나 보코바 유네스코 사무총장과 크리스탈리나 게오르기에바 EU(유럽연합) 집행위원회 부위원장, 베스나 푸시치 크로아티아 부총리 겸 외교부 장관 등이 이 조건에 맞는 인물들이다.

불가리아	불가리아/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
이리나	이리나/NNP
보코바	보코바/NNP
유네스코	유네스코/NNP
사무총장과	사무총장/NNG+과/JC
크리스탈리나	크리스탈리나/NNP
게오르기에바	게오르기에바/NNP
EU(유럽연합)	EU/SL+(/SS+유럽연합/NNP+)/SS
집행위원회	집행/NNG+위원회/NNG
부위원장,	부위원장/NNG+,/SP
베스나	베스나/NNP
푸시치	푸시치/NNP
크로아티아	크로아티아/NNP
부총리	부총리/NNG
겸	겸/NNB
외교부	외교부/NNG
장관	장관/NNG
등이	등/NNB+이/JKS
이	이/MMD
조건에	조건/NNG+에/JKB
맞는	맞/VV+는/ETM
인물들이다.	인물/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.43.7.3
뉴질랜드 총리 출신인 헬렌 클라크 유엔개발계획(UNDP) 총재 등 비동구권 출신 여성도 거론된다.

뉴질랜드	뉴질랜드/NNP
총리	총리/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
헬렌	헬렌/NNP
클라크	클라크/NNP
유엔개발계획(UNDP)	유엔개발계획/NNP+(/SS+UNDP/SL+)/SS
총재	총재/NNG
등	등/NNB
비동구권	비/XPN+동구/NNP+권/XSN
출신	출신/NNG
여성도	여성/NNG+도/JX
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.43.7.4
남성 중엔 케빈 러드 전 호주 총리 등이 후보로 점쳐지고 있다.

남성	남성/NNG
중엔	중/NNB+에/JKB+ㄴ/JX
케빈	케빈/NNP
러드	러드/NNP
전	전/MMD
호주	호주/NNP
총리	총리/NNG
등이	등/NNB+이/JKS
후보로	후보/NNG+로/JKB
점쳐지고	점치/VV+어/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.43.7.5
한 유엔 소식통은 "동구 출신은 러시아의 비토 가능성을 극복해야 하는 게 숙제"라고 했다.

한	한/MMN
유엔	유엔/NNP
소식통은	소식통/NNG+은/JX
"동구	"/SS+동구/NNP
출신은	출신/NNG+은/JX
러시아의	러시아/NNP+의/JKG
비토	비토/NNG
가능성을	가능/NNG+성/XSN+을/JKO
극복해야	극복/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
게	거/NNB+이/JKS
숙제"라고	숙제/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.43.8.1
반기문 총장은 지난 14일 미국 뉴욕 맨해튼 월스트리트의 한 대형 연회장에서 열린 유엔출입기자협회(UNCA) 송년 만찬에 참석해 사무총장의 과중한 업무를 코믹하게 다룬 '유엔 사무총장이 되는 법(How to be a Secretary General)'이라는 영상물을 공개했다.

반기문	반기문/NNP
총장은	총장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
미국	미국/NNP
뉴욕	뉴욕/NNP
맨해튼	맨해튼/NNP
월스트리트의	월스트리트/NNP+의/JKG
한	한/MMN
대형	대형/NNG
연회장에서	연회장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
유엔출입기자협회(UNCA)	유엔출입기자협회/NNP+(/SS+UNCA/SL+)/SS
송년	송년/NNG
만찬에	만찬/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
사무총장의	사무총장/NNG+의/JKG
과중한	과중하/VA+ㄴ/ETM
업무를	업무/NNG+를/JKO
코믹하게	코믹/NNG+하/XSA+게/EC
다룬	다루/VV+ㄴ/ETM
'유엔	'/SS+유엔/NNP
사무총장이	사무총장/NNG+이/JKS
되는	되/VV+는/ETM
법(How	법/NNB+(/SS+How/SL
to	to/SL
be	be/SL
a	a/SL
Secretary	Secretary/SL
General)'이라는	General/SL+)/SS+'/SS+이/VCP+라는/ETM
영상물을	영상물/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.43.8.2
영상 속 반 총장은 오전 2시 37분 양복을 입은 채 잠자리에 들었다가 3시 57분 자명종 소리에 잠을 깨 4시 3분부터 각종 보고 자료를 읽고, 화장실 변기에 앉아 있는 사이에도 두툼한 서류 뭉치가 문 아래로 들어오는 살인적 일정을 소화하는 모습으로 그려진다.

영상	영상/NNG
속	속/NNG
반	반/NNP
총장은	총장/NNG+은/JX
오전	오전/NNG
2시	2/SN+시/NNB
37분	37/SN+분/NNB
양복을	양복/NNG+을/JKO
입은	입/VV+은/ETM
채	채/NNB
잠자리에	잠자리/NNG+에/JKB
들었다가	들/VV+었/EP+다가/EC
3시	3/SN+시/NNB
57분	57/SN+분/NNB
자명종	자명종/NNG
소리에	소리/NNG+에/JKB
잠을	잠/NNG+을/JKO
깨	깨/VV+어/EC
4시	4/SN+시/NNB
3분부터	3/SN+분/NNB+부터/JX
각종	각종/NNG
보고	보고/NNG
자료를	자료/NNG+를/JKO
읽고,	읽/VV+고/EC+,/SP
화장실	화장실/NNG
변기에	변기/NNG+에/JKB
앉아	앉/VV+아/EC
있는	있/VX+는/ETM
사이에도	사이/NNG+에/JKB+도/JX
두툼한	두툼하/VA+ㄴ/ETM
서류	서류/NNG
뭉치가	뭉치/NNG+가/JKS
문	문/NNG
아래로	아래/NNG+로/JKB
들어오는	들어오/VV+는/ETM
살인적	살인/NNG+적/XSN
일정을	일정/NNG+을/JKO
소화하는	소화/NNG+하/XSV+는/ETM
모습으로	모습/NNG+으로/JKB
그려진다.	그리/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.43.8.3
반 총장은 "내 임기가 1년 남아 차기에 대한 얘기가 나오고 있다"며 "여자 사무총장은 어떤가요.

반	반/NNP
총장은	총장/NNG+은/JX
"내	"/SS+나/NP+의/JKG
임기가	임기/NNG+가/JKS
1년	1/SN+년/NNB
남아	남/VV+아/EC
차기에	차기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
얘기가	얘기/NNG+가/JKS
나오고	나오/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"여자	"/SS+여자/NNG
사무총장은	사무총장/NNG+은/JX
어떤가요.	어떻/VA+ㄴ가/EF+요/JX+./SF


# id : NWRW1800000046.43.8.4
최적임자를 공개 과정을 통해, 특히 각종 TV 쇼에서 대결을 벌여 뽑는 건 어떤가요"라고 말하기도 했다.

최적임자를	최적임자/NNG+를/JKO
공개	공개/NNG
과정을	과정/NNG+을/JKO
통해,	통하/VV+아/EC+,/SP
특히	특히/MAG
각종	각종/NNG
TV	TV/SL
쇼에서	쇼/NNG+에서/JKB
대결을	대결/NNG+을/JKO
벌여	벌이/VV+어/EC
뽑는	뽑/VV+는/ETM
건	거/NNB+ㄴ/JX
어떤가요"라고	어떻/VA+ㄴ가/EF+요/JX+"/SS+라고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


