# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.199
metadata : {}


# id : NWRW1800000022.199.1.1
[불어라 녹색바람_그린 스쿨] (2) 무주 푸른꿈고교;자전거페달 돌려 '교실 등' 켜요

[불어라	[/SS+불/VV+어라/EF
역사,	역사/NNG+,/SP
에너지를	에너지/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
사회이슈	사회/NNG+이슈/NNG
등	등/NNB
이론을	이론/NNG+을/JKO
배운	배우/VV+ㄴ/ETM
뒤	뒤/NNG
직접	직접/MAG
만드는	만들/VV+는/ETM
법을	법/NNB+을/JKO
배운다.	배우/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.199.5.1
톱으로 잘라낸 판자에 은박지를 둘러 만든 '태양열 오븐'으로 음식을 조리하고, 드럼통에 볏짚과 쇠똥, 물을 같은 비율로 채워 바이오 가스를 만든 뒤 연료로 사용하기도 한다.

톱으로	톱/NNG+으로/JKB
잘라낸	자르/VV+아/EC+내/VX+ㄴ/ETM
판자에	판자/NNG+에/JKB
은박지를	은박지/NNG+를/JKO
둘러	두르/VV+어/EC
만든	만들/VV+ㄴ/ETM
'태양열	'/SS+태양열/NNG
오븐'으로	오븐/NNG+'/SS+으로/JKB
음식을	음식/NNG+을/JKO
조리하고,	조리/NNG+하/XSV+고/EC+,/SP
드럼통에	드럼통/NNG+에/JKB
볏짚과	볏짚/NNG+과/JC
쇠똥,	쇠똥/NNG+,/SP
물을	물/NNG+을/JKO
같은	같/VA+은/ETM
비율로	비율/NNG+로/JKB
채워	채우/VV+어/EC
바이오	바이오/NNG
가스를	가스/NNG+를/JKO
뒤	뒤/NNG
연료로	연료/NNG+로/JKB
사용하기도	사용/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.199.5.2
학교 식당에서 나오는 폐식용유로는 바이오 디젤을 제조해 경운기 연료로 쓰고 있다.

학교	학교/NNG
식당에서	식당/NNG+에서/JKB
나오는	나오/VV+는/ETM
폐식용유로는	폐/XPN+식용유/NNG+로/JKB+는/JX
바이오	바이오/NNG
디젤을	디젤/NNG+을/JKO
제조해	제조/NNG+하/XSV+아/EC
경운기	경운기/NNG
연료로	연료/NNG+로/JKB
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.199.5.3
3학년 임승진(18)군은 "오븐에 그릇을 놓고 달걀과 감자를 삶으면 태양빛에 경제가 들어 있다는 사실을 실감할 수 있다"고 했다.

3학년	3/SN+학년/NNG
임승진(18)군은	임승진/NNP+(/SS+18/SN+)/SS+군/NNB+은/JX
"오븐에	"/SS+오븐/NNG+에/JKB
그릇을	그릇/NNG+을/JKO
놓고	놓/VV+고/EC
달걀과	달걀/NNG+과/JKB
감자를	감자/NNG+를/JKO
삶으면	삶/VV+으면/EC
태양빛에	태양빛/NNG+에/JKB
경제가	경제/NNG+가/JKS
들어	들/VV+어/EC
있다는	있/VX+다는/ETM
사실을	사실/NNG+을/JKO
실감할	실감/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.199.6.1
이 학교 1~2학년 학생들은 주 2시간씩 '생태 농업'을 배우고 있다.

이	이/MMD
학교	학교/NNG
1~2학년	1/SN+~/SO+2/SN+학년/NNG
학생들은	학생/NNG+들/XSN+은/JX
주	주/NNG
2시간씩	2/SN+시간/NNB+씩/XSN
'생태	'/SS+생태/NNG
농업'을	농업/NNG+'/SS+을/JKO
배우고	배우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.199.6.2
학생마다 3.3㎡(1평) 안팎씩 텃밭을 만들어 야채를 기르고 숲에서 표고버섯 등을 재배한다.

학생마다	학생/NNG+마다/JX
3.3㎡(1평)	3/SN+./SP+3/SN+㎡/SW+(/SS+1/SN+평/NNB+)/SS
안팎씩	안팎/NNG+씩/XSN
텃밭을	텃밭/NNG+을/JKO
만들어	만들/VV+어/EC
야채를	야채/NNG+를/JKO
기르고	기르/VV+고/EC
숲에서	숲/NNG+에서/JKB
표고버섯	표고버섯/NNG
등을	등/NNB+을/JKO
재배한다.	재배/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.199.6.3
퇴비 역시 학교에서 자체적으로 생산한다.

퇴비	퇴비/NNG
역시	역시/MAG
학교에서	학교/NNG+에서/JKB
자체적으로	자체/NNG+적/XSN+으로/JKB
생산한다.	생산/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.199.6.4
학생들이 기르는 닭 200마리와 소 6마리의 분뇨, 그리고 텃밭 옆 '생태 뒷간'에서 거둔 인분(人糞)으로 퇴비를 만들어 쓰는 것이다.

학생들이	학생/NNG+들/XSN+이/JKS
기르는	기르/VV+는/ETM
닭	닭/NNG
200마리와	200/SN+마리/NNB+와/JC
소	소/NNG
6마리의	6/SN+마리/NNB+의/JKG
분뇨,	분뇨/NNG+,/SP
그리고	그리고/MAJ
텃밭	텃밭/NNG
옆	옆/NNG
'생태	'/SS+생태/NNG
뒷간'에서	뒷간/NNG+'/SS+에서/JKB
거둔	거두/VV+ㄴ/ETM
인분(人糞)으로	인분/NNG+(/SS+人糞/SH+)/SS+으로/JKB
퇴비를	퇴비/NNG+를/JKO
만들어	만들/VV+어/EC
쓰는	쓰/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.199.7.1
도시 출신으로 이 학교 학생이 된 송승석(17·2학년)군은 "처음엔 '뒷간'을 사용하기 난감했지만, 이제는 자연 순환 과정의 한 고리로 자연스럽게 받아들이게 됐다"고 말했다.

도시	도시/NNG
출신으로	출신/NNG+으로/JKB
이	이/MMD
학교	학교/NNG
학생이	학생/NNG+이/JKC
된	되/VV+ㄴ/ETM
송승석(17·2학년)군은	송승석/NNP+(/SS+17/SN+·/SP+2/SN+학년/NNG+)/SS+군/NNB+은/JX
"처음엔	"/SS+처음/NNG+에/JKB+ㄴ/JX
'뒷간'을	'/SS+뒷간/NNG+'/SS+을/JKO
사용하기	사용/NNG+하/XSV+기/ETN
난감했지만,	난감하/VA+았/EP+지만/EC+,/SP
이제는	이제/NNG+는/JX
자연	자연/NNG
순환	순환/NNG
과정의	과정/NNG+의/JKG
한	한/MMN
고리로	고리/NNG+로/JKB
자연스럽게	자연/NNG+스럽/XSA+게/EC
받아들이게	받아들이/VV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.199.8.1
푸른꿈고교는 1999년 개교해 한 학년 두 학급씩 120여명의 학생들이 다니고 있다.

푸른꿈고교는	푸른꿈고교/NNP+는/JX
1999년	1999/SN+년/NNB
개교해	개교/NNG+하/XSV+아/EC
한	한/MMN
학년	학년/NNG
두	두/MMN
학급씩	학급/NNG+씩/XSN
120여명의	120/SN+여/XSN+명/NNB+의/JKG
학생들이	학생/NNG+들/XSN+이/JKS
다니고	다니/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.199.8.2
이 학교 정기준 교감은 "태양과 바람의 학교를 지향하며, 학생들을 '자연을 닮은 사람'으로 길러내는 것이 우리 학교의 교육 목표"라고 했다.

이	이/MMD
학교	학교/NNG
정기준	정기준/NNP
교감은	교감/NNG+은/JX
"태양과	"/SS+태양/NNG+과/JC
바람의	바람/NNG+의/JKG
학교를	학교/NNG+를/JKO
지향하며,	지향/NNG+하/XSV+며/EC+,/SP
학생들을	학생/NNG+들/XSN+을/JKO
'자연을	'/SS+자연/NNG+을/JKO
닮은	닮/VV+은/ETM
사람'으로	사람/NNG+'/SS+으로/JKB
길러내는	기르/VV+어/EC+내/VX+는/ETM
것이	것/NNB+이/JKS
우리	우리/NP
학교의	학교/NNG+의/JKG
교육	교육/NNG
목표"라고	목표/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


