# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.422
metadata : {}


# id : NWRW1800000036.422.1.1
“단일화 경선효과 사라져 다행” “파국 직전에 극적 봉합돼 당혹”

“단일화	“/SS+단일/NNG+화/XSN
사라져	사라지/VV+어/EC
버린	버리/VX+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.422.6.3
박 후보에겐 이 정도면 호재인 셈”이라고 말했다.

박	박/NNP
후보에겐	후보/NNG+에게/JKB+ㄴ/JX
이	이/MMD
정도면	정도/NNG+이/VCP+면/EC
호재인	호재/NNG+이/VCP+ㄴ/ETM
셈”이라고	셈/NNB+”/SS+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.422.6.4
또다른 선대위 관계자는 “지난해 (지지율에서 크게) 이기고 있는 상황에서 양보를 했던 박원순 서울시장과의 단일화 같은 파괴력은 없을 것”이라고 말했다.

또다른	또/MAG+다른/MMD
선대위	선대위/NNG
관계자는	관계자/NNG+는/JX
“지난해	“/SS+지난해/NNG
(지지율에서	(/SS+지지/NNG+율/XSN+에서/JKB
크게)	크/VA+게/EC+)/SS
이기고	이기/VV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
양보를	양보/NNG+를/JKO
했던	하/VV+았/EP+던/ETM
박원순	박원순/NNP
서울시장과의	서울시장/NNG+과/JKB+의/JKG
단일화	단일/NNG+화/XSN
같은	같/VA+은/ETM
파괴력은	파괴력/NNG+은/JX
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.422.7.1
그러나 파국으로 치닫던 단일화가 극적으로 봉합되자 당혹스러워하는 반응도 적지 않다.

그러나	그러나/MAJ
파국으로	파국/NNG+으로/JKB
치닫던	치닫/VV+던/ETM
단일화가	단일/NNG+화/XSN+가/JKS
극적으로	극/NNG+적/XSN+으로/JKB
봉합되자	봉합/NNG+되/XSV+자/EC
당혹스러워하는	당혹/NNG+스럽/XSA+어/EC+하/VX+는/ETM
반응도	반응/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000036.422.7.2
한 선대위 관계자는 “마지막 순간에 소위 ‘아름다운 단일화’가 된 셈이다.

한	한/MMN
선대위	선대위/NNG
관계자는	관계자/NNG+는/JX
“마지막	“/SS+마지막/NNG
순간에	순간/NNG+에/JKB
소위	소위/MAG
‘아름다운	‘/SS+아름답/VA+ㄴ/ETM
단일화’가	단일/NNG+화/XSN+’/SS+가/JKC
된	되/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.422.7.3
박 후보로선 상황이 힘겨운 싸움 구도가 될 것 같다”고 말했다.

박	박/NNP
후보로선	후보/NNG+로서/JKB+ㄴ/JX
상황이	상황/NNG+이/JKS
힘겨운	힘겹/VA+ㄴ/ETM
싸움	싸움/NNG
구도가	구도/NNG+가/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.422.7.4
또다른 당 핵심 관계자도 “단일화가 나쁘게 결론났다고 보긴 어려울 것 같다.

또다른	또/MAG+다른/MMD
당	당/NNG
핵심	핵심/NNG
관계자도	관계자/NNG+도/JX
“단일화가	“/SS+단일/NNG+화/XSN+가/JKS
나쁘게	나쁘/VA+게/EC
결론났다고	결론/NNG+나/VV+았/EP+다고/EC
보긴	보/VV+기/ETN+ㄴ/JX
어려울	어렵/VA+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000036.422.7.5
100% 아름다운 단일화는 아니지만 효과가 분명히 있을 것이다.

100%	100/SN+%/SW
아름다운	아름답/VA+ㄴ/ETM
단일화는	단일/NNG+화/XSN+는/JX
아니지만	아니/VCN+지만/EC
효과가	효과/NNG+가/JKS
분명히	분명히/MAG
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.422.7.6
박 후보의 보수 회귀 행보가 결국 패착이 될까 걱정스럽다”고 말했다.

박	박/NNP
후보의	후보/NNG+의/JKG
보수	보수/NNG
회귀	회귀/NNG
행보가	행보/NNG+가/JKS
결국	결국/MAG
패착이	패착/NNG+이/JKC
될까	되/VV+ㄹ까/EF
걱정스럽다”고	걱정/NNG+스럽/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.422.8.1
한 선대위 핵심 간부는 “우리로선 솔직히 긴장해야 할 일이 벌어진 셈이다.

한	한/MMN
선대위	선대위/NNG
핵심	핵심/NNG
간부는	간부/NNG+는/JX
“우리로선	“/SS+우리/NP+로서/JKB+ㄴ/JX
솔직히	솔직히/MAG
긴장해야	긴장/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
일이	일/NNG+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.422.8.2
여론조사를 통해 단일화를 했다면 분명히 후유증이 있어서 우리에게 유리했을 텐데 안 후보가 깨끗이 백의종군을 선언해버려 우리로선 난감하다”고 말했다.

여론조사를	여론/NNG+조사/NNG+를/JKO
통해	통하/VV+아/EC
단일화를	단일/NNG+화/XSN+를/JKO
했다면	하/VV+았/EP+다면/EC
분명히	분명히/MAG
후유증이	후유증/NNG+이/JKS
있어서	있/VA+어서/EC
우리에게	우리/NP+에게/JKB
유리했을	유리/NNG+하/XSA+았/EP+을/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
안	안/NNP
후보가	후보/NNG+가/JKS
깨끗이	깨끗이/MAG
백의종군을	백의종군/NNG+을/JKO
선언해버려	선언/NNG+하/XSV+아/EC+버리/VX+어/EC
우리로선	우리/NP+로서/JKB+ㄴ/JX
난감하다”고	난감하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.422.9.1
향후 안 후보 지지자들의 표심이 어디로 갈지에 관해서도 촉각을 곤두세웠다.

향후	향후/NNG
안	안/NNP
후보	후보/NNG
지지자들의	지지자/NNG+들/XSN+의/JKG
표심이	표심/NNG+이/JKS
어디로	어디/NP+로/JKB
갈지에	가/VV+ㄹ지/EC+에/JKB
관해서도	관하/VV+아서/EC+도/JX
촉각을	촉각/NNG+을/JKO
곤두세웠다.	곤두세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.422.9.2
한 최고위원은 “관건은 향후 안 후보 지지층이 어떻게 움직일 것이냐에 달렸다.

한	한/MMN
최고위원은	최고/NNG+위원/NNG+은/JX
“관건은	“/SS+관건/NNG+은/JX
향후	향후/NNG
안	안/NNP
후보	후보/NNG
지지층이	지지/NNG+층/XSN+이/JKS
어떻게	어떻/VA+게/EC
움직일	움직이/VV+ㄹ/ETM
것이냐에	것/NNB+이/VCP+냐/EF+에/JKB
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.422.9.3
신성범 사무부총장은 “우리 당이 정치개혁을 선도적으로 하겠다는 선언을 해 안 후보 지지자를 흡수해야 한다”고 말했다.

신성범	신성범/NNP
사무부총장은	사무/NNG+부총장/NNG+은/JX
“우리	“/SS+우리/NP
당이	당/NNG+이/JKS
정치개혁을	정치/NNG+개혁/NNG+을/JKO
선도적으로	선도/NNG+적/XSN+으로/JKB
하겠다는	하/VV+겠/EP+다는/ETM
선언을	선언/NNG+을/JKO
해	하/VV+아/EC
안	안/NNP
후보	후보/NNG
지지자를	지지자/NNG+를/JKO
흡수해야	흡수/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


