# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.337
metadata : {}


# id : NWRW1800000037.337.1.1
靑 “부처 이름 바뀐 장관 5명도 임명”

靑	靑/SH
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.337.4.3
김 대변인은 전날 정부조직법 개정과 관련 없는 장관 7명만 임명하겠다고 발표했었다.

김	김/NNP
대변인은	대변인/NNG+은/JX
전날	전날/NNG
정부조직법	정부/NNG+조직법/NNG
개정과	개정/NNG+과/JKB
관련	관련/NNG
없는	없/VA+는/ETM
장관	장관/NNG
7명만	7/SN+명/NNB+만/JX
임명하겠다고	임명/NNG+하/XSV+겠/EP+다고/EC
발표했었다.	발표/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000037.337.5.1
11일 장관 12명이 임명되면 헌법상 규정된 국무위원 수(15명) 절반 이상의 국무위원이 참석할 수 있기 때문에 국무회의가 열릴 수 있다.

11일	11/SN+일/NNB
장관	장관/NNG
12명이	12/SN+명/NNB+이/JKS
임명되면	임명/NNG+되/XSV+면/EC
헌법상	헌법/NNG+상/XSN
규정된	규정/NNG+되/XSV+ㄴ/ETM
국무위원	국무/NNG+위원/NNG
수(15명)	수/NNG+(/SS+15/SN+명/NNB+)/SS
절반	절반/NNG
이상의	이상/NNG+의/JKG
국무위원이	국무/NNG+위원/NNG+이/JKS
참석할	참석/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
국무회의가	국무/NNG+회의/NNG+가/JKS
열릴	열리/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.337.5.2
그러나 12일 박근혜 정부 첫 국무회의가 열릴 수 있을지는 미지수다.

그러나	그러나/MAJ
12일	12/SN+일/NNB
박근혜	박근혜/NNP
정부	정부/NNG
첫	첫/MMN
국무회의가	국무/NNG+회의/NNG+가/JKS
열릴	열리/VV+ㄹ/ETM
수	수/NNB
있을지는	있/VA+을지/EF+는/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.337.6.1
국회 정부조직법 개정안 처리 여부를 지켜보며 외부 일정을 자제했던 박 대통령은 다음 주부터는 민생 현장을 직접 찾아가는 등 다양한 활동에 본격적으로 나설 것으로 전해졌다.

국회	국회/NNG
정부조직법	정부/NNG+조직법/NNG
개정안	개정안/NNG
처리	처리/NNG
여부를	여부/NNG+를/JKO
지켜보며	지켜보/VV+며/EC
외부	외부/NNG
일정을	일정/NNG+을/JKO
자제했던	자제/NNG+하/XSV+았/EP+던/ETM
박	박/NNP
대통령은	대통령/NNG+은/JX
다음	다음/NNG
주부터는	주/NNG+부터/JX+는/JX
민생	민생/NNG
현장을	현장/NNG+을/JKO
직접	직접/MAG
찾아가는	찾아가/VV+는/ETM
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
활동에	활동/NNG+에/JKB
본격적으로	본격/NNG+적/XSN+으로/JKB
나설	나서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.337.7.1
여야는 8일 정부조직법 개정안 국회 처리와 관련해 협상을 벌였지만 핵심 쟁점인 종합유선방송사업자(SO) 관련 업무의 미래창조과학부 이관 문제를 놓고 간극을 좁히지 못해 불발됐다.

여야는	여야/NNG+는/JX
8일	8/SN+일/NNB
정부조직법	정부/NNG+조직법/NNG
개정안	개정안/NNG
국회	국회/NNG
처리와	처리/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
협상을	협상/NNG+을/JKO
벌였지만	벌이/VV+었/EP+지만/EC
핵심	핵심/NNG
쟁점인	쟁점/NNG+이/VCP+ㄴ/ETM
종합유선방송사업자(SO)	종합/NNG+유선/NNG+방송/NNG+사업자/NNG+(/SS+SO/SL+)/SS
관련	관련/NNG
업무의	업무/NNG+의/JKG
미래창조과학부	미래/NNG+창조/NNG+과학부/NNG
이관	이관/NNG
문제를	문제/NNG+를/JKO
놓고	놓/VV+고/EC
간극을	간극/NNG+을/JKO
좁히지	좁히/VV+지/EC
못해	못하/VX+아/EC
불발됐다.	불발/NNG+되/XSV+었/EP+다/EF+./SF


