# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.67
metadata : {}


# id : NWRW1800000041.67.1.1
타임머신 타고 돌아간듯… 100년前 뉴욕과 만나다

타임머신	타임머신/NNG
사업가협회는 캡슐을 역사협회에 맡긴 뒤 1974년 개봉하기로 했다.

사업가협회는	사업가/NNG+협회/NNG+는/JX
캡슐을	캡슐/NNG+을/JKO
역사협회에	역사/NNG+협회/NNG+에/JKB
맡긴	맡기/VV+ㄴ/ETM
뒤	뒤/NNG
1974년	1974/SN+년/NNB
개봉하기로	개봉/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.67.5.3
그러나 역사협회가 이를 까맣게 잊었고 1990년대에 이르러서야 한 큐레이터가 캡슐을 창고에서 발견했다.

그러나	그러나/MAJ
역사협회가	역사/NNG+협회/NNG+가/JKS
이를	이/NP+를/JKO
까맣게	까맣/VA+게/EC
잊었고	잊/VV+었/EP+고/EC
1990년대에	1990/SN+년대/NNB+에/JKB
이르러서야	이르/VV+어서/EC+야/JX
한	한/MMN
큐레이터가	큐레이터/NNG+가/JKS
캡슐을	캡슐/NNG+을/JKO
창고에서	창고/NNG+에서/JKB
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.67.5.4
그 사이 사업가협회는 사라졌다.

그	그/MMD
사이	사이/NNG
사업가협회는	사업가/NNG+협회/NNG+는/JX
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.67.6.1
캡슐 안에는 한 은행가가 살인자로 밝혀졌다는 내용의 당시 뉴욕타임스, 커피, 차, 향신료 등이 들어 있었다.

캡슐	캡슐/NNG
안에는	안/NNG+에/JKB+는/JX
한	한/MMN
은행가가	은행가/NNG+가/JKS
살인자로	살인자/NNG+로/JKB
밝혀졌다는	밝혀지/VV+었/EP+다는/ETM
내용의	내용/NNG+의/JKG
당시	당시/NNG
뉴욕타임스,	뉴욕타임스/NNP+,/SP
커피,	커피/NNG+,/SP
차,	차/NNG+,/SP
향신료	향신료/NNG
등이	등/NNB+이/JKS
들어	들/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.67.6.2
1774년 미국 독립전쟁 전에 뉴욕이 식민지의 단결을 호소하며 보스턴에 보낸 서류의 복제본도 포함돼 있었다.

1774년	1774/SN+년/NNB
미국	미국/NNP
독립전쟁	독립/NNG+전쟁/NNG
전에	전/NNG+에/JKB
뉴욕이	뉴욕/NNP+이/JKS
식민지의	식민지/NNG+의/JKG
단결을	단결/NNG+을/JKO
호소하며	호소/NNG+하/XSV+며/EC
보스턴에	보스턴/NNP+에/JKB
보낸	보내/VV+ㄴ/ETM
서류의	서류/NNG+의/JKG
복제본도	복제본/NNG+도/JX
포함돼	포함/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.67.7.1
역사협회 인턴으로 일하던 고교생들은 이날 곧바로 100년 뒤 개봉할 새 타임캡슐을 만들었다.

역사협회	역사/NNG+협회/NNG
인턴으로	인턴/NNG+으로/JKB
일하던	일/NNG+하/XSV+던/ETM
고교생들은	고교/NNG+생/XSN+들/XSN+은/JX
이날	이날/NNG
곧바로	곧바로/MAG
100년	100/SN+년/NNB
뒤	뒤/NNG
개봉할	개봉/NNG+하/XSV+ㄹ/ETM
새	새/MMA
타임캡슐을	타임캡슐/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.67.7.2
가수 레이디 가가의 콘서트 티켓, 전자책 킨들, 아이폰, 1달러 지폐, 신용카드 등을 넣었다.

가수	가수/NNG
레이디	레이디/NNP
가가의	가가/NNP+의/JKG
콘서트	콘서트/NNG
티켓,	티켓/NNG+,/SP
전자책	전자책/NNG
킨들,	킨들/NNP+,/SP
아이폰,	아이폰/NNP+,/SP
1달러	1/SN+달러/NNB
지폐,	지폐/NNG+,/SP
신용카드	신용/NNG+카드/NNG
등을	등/NNB+을/JKO
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.67.7.3
한 학생은 뉴욕 지하철의 서비스가 달라졌다고 알리는 포스터를 훔쳐오기도 했다.

한	한/MMN
학생은	학생/NNG+은/JX
뉴욕	뉴욕/NNP
지하철의	지하철/NNG+의/JKG
서비스가	서비스/NNG+가/JKS
달라졌다고	달라지/VV+었/EP+다고/EC
알리는	알리/VV+는/ETM
포스터를	포스터/NNG+를/JKO
훔쳐오기도	훔치/VV+어/EC+오/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


