# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.200
metadata : {}


# id : NWRW1800000052.200.1.1
중구 공영주차장 예정지 주민 조사해보니 차량 한집 0.5대꼴…서울 평균의 절반

중구	중구/NNP
‘심각한	‘/SS+심각하/VA+ㄴ/ETM
주차난’을	주차난/NNG+’/SS+을/JKO
주민들이	주민/NNG+들/XSN+이/JKS
직접	직접/MAG
검증하겠다고	검증/NNG+하/XSV+겠/EP+다고/EC
나선	나서/VV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.200.6.3
이들 조사 결과, 주민들 보유차량 자체가 서울 평균의 절반에 불과했다.

이들	이/NP+들/XSN
조사	조사/NNG
결과,	결과/NNG+,/SP
주민들	주민/NNG+들/XSN
보유차량	보유/NNG+차량/NNG
자체가	자체/NNG+가/JKS
서울	서울/NNP
평균의	평균/NNG+의/JKG
절반에	절반/NNG+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000052.200.7.1
다산동 주민대책위원회는 2일 오전 강제수용 대상지인 다산동 432-283번지 앞에서 기자회견을 열어 “강제수용 대상지 중심에서 반경 300m 안쪽에 거주하는 전체 1128가구 중 조사 대상 280가구(전체의 25%)가 보유한 차량은 총 173대에 그쳤다”고 밝혔다.

다산동	다산동/NNP
주민대책위원회는	주민/NNG+대책/NNG+위원회/NNG+는/JX
2일	2/SN+일/NNB
오전	오전/NNG
강제수용	강제/NNG+수용/NNG
대상지인	대상지/NNG+이/VCP+ㄴ/ETM
432-283번지	432/SN+-/SO+283/SN+번지/NNG
앞에서	앞/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“강제수용	“/SS+강제/NNG+수용/NNG
대상지	대상지/NNG
중심에서	중심/NNG+에서/JKB
반경	반경/NNG
300m	300/SN+m/SW
안쪽에	안쪽/NNG+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
전체	전체/NNG
1128가구	1128/SN+가구/NNG
중	중/NNB
조사	조사/NNG
대상	대상/NNG
280가구(전체의	280/SN+가구/NNG+(/SS+전체/NNG+의/JKG
25%)가	25/SN+%/SW+)/SS+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
차량은	차량/NNG+은/JX
총	총/MMA
173대에	173/SN+대/NNB+에/JKB
그쳤다”고	그치/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.200.7.2
이는 가구당 보유차량이 0.6대꼴이란 말로, 서울시민 평균 승용차 보유대수인 가구당 1.2대(서울연구원 ‘서울시민 승용차 소유와 이용특성 분석’ 보고서)의 절반이다.

이는	이/NP+는/JX
가구당	가구/NNG+당/XSN
보유차량이	보유/NNG+차량/NNG+이/JKS
0.6대꼴이란	0/SN+./SP+6/SN+대/NNB+꼴/XSN+이/VCP+란/ETM
말로,	말/NNG+로/JKB+,/SP
서울시민	서울/NNP+시민/NNG
평균	평균/NNG
승용차	승용차/NNG
보유대수인	보유/NNG+대수/NNG+이/VCP+ㄴ/ETM
1.2대(서울연구원	1/SN+./SP+2/SN+대/NNB+(/SS+서울연구원/NNP
‘서울시민	‘/SS+서울/NNP+시민/NNG
소유와	소유/NNG+와/JC
이용특성	이용/NNG+특성/NNG
분석’	분석/NNG+’/SS
보고서)의	보고서/NNG+)/SS+의/JKG
절반이다.	절반/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.200.8.1
강제수용 대상지 쪽에 가까울수록 차량보유율은 더 떨어진다.

강제수용	강제/NNG+수용/NNG
대상지	대상지/NNG
쪽에	쪽/NNB+에/JKB
가까울수록	가깝/VA+ㄹ수록/EC
차량보유율은	차량/NNG+보유/NNG+율/XSN+은/JX
더	더/MAG
떨어진다.	떨어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.200.8.2
대상지 반경 200m 내 조사된 177가구의 보유차량은 96대로 차량보유율은 가구당 0.5대였고, 100m 안 99가구는 0.4대꼴(보유차량 41대)이었다.

대상지	대상지/NNG
반경	반경/NNG
200m	200/SN+m/SW
내	내/NNB
조사된	조사/NNG+되/XSV+ㄴ/ETM
177가구의	177/SN+가구/NNG+의/JKG
보유차량은	보유/NNG+차량/NNG+은/JX
96대로	96/SN+대/NNB+로/JKB
차량보유율은	차량/NNG+보유/NNG+율/XSN+은/JX
가구당	가구/NNG+당/XSN
0.5대였고,	0/SN+./SP+5/SN+대/NNB+이/VCP+었/EP+고/EC+,/SP
100m	100/SN+m/SW
안	안/NNG
99가구는	99/SN+가구/NNG+는/JX
0.4대꼴(보유차량	0/SN+./SP+4/SN+대/NNB+꼴/XSN+(/SS+보유/NNG+차량/NNG
41대)이었다.	41/SN+대/NNB+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.200.8.3
특히 강제수용 대상지 내 조사된 주민 37가구(전체 52가구)의 보유차량은 12대로 가구당 0.3대에 그쳤다.

특히	특히/MAG
강제수용	강제/NNG+수용/NNG
대상지	대상지/NNG
내	내/NNB
조사된	조사/NNG+되/XSV+ㄴ/ETM
주민	주민/NNG
37가구(전체	37/SN+가구/NNG+(/SS+전체/NNG
52가구)의	52/SN+가구/NNG+)/SS+의/JKG
보유차량은	보유/NNG+차량/NNG+은/JX
12대로	12/SN+대/NNB+로/JKB
가구당	가구/NNG+당/XSN
0.3대에	0/SN+./SP+3/SN+대/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.200.9.1
중구는 이 마을 주차난을 이유로 주민 52가구가 30~40년 살고 있는 집을 강제수용해 문화시설이 포함된 7층 규모의 초대형 주차장을 지으려 하고 있다.

중구는	중구/NNP+는/JX
이	이/MMD
마을	마을/NNG
주차난을	주차난/NNG+을/JKO
이유로	이유/NNG+로/JKB
주민	주민/NNG
52가구가	52/SN+가구/NNG+가/JKS
30~40년	30/SN+~/SO+40/SN+년/NNB
살고	살/VV+고/EC
있는	있/VX+는/ETM
집을	집/NNG+을/JKO
강제수용해	강제/NNG+수용/NNG+하/XSV+아/EC
문화시설이	문화/NNG+시설/NNG+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
7층	7/SN+층/NNG
규모의	규모/NNG+의/JKG
초대형	초/XPN+대형/NNG
주차장을	주차장/NNG+을/JKO
지으려	짓/VV+으려/EC
하고	하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.200.9.2
(<한겨레> 2월23일치 16면 참조) 중구는 “통계를 뽑아보면 (대상지 반경 300m 내) 전체 1128가구 중 자동차 등록대수는 1195대”라고 설명한다.

(<한겨레>	(/SS+</SS+한겨레/NNP+>/SS
2월23일치	2/SN+월/NNB+23/SN+일/NNB+치/NNB
16면	16/SN+면/NNG
참조)	참조/NNG+)/SS
중구는	중구/NNP+는/JX
“통계를	“/SS+통계/NNG+를/JKO
뽑아보면	뽑/VV+아/EC+보/VX+면/EC
(대상지	(/SS+대상지/NNG
반경	반경/NNG
300m	300/SN+m/SW
내)	내/NNB+)/SS
전체	전체/NNG
1128가구	1128/SN+가구/NNG
중	중/NNB
자동차	자동차/NNG
등록대수는	등록/NNG+대수/NNG+는/JX
1195대”라고	1195/SN+대/NNB+”/SS+라고/JKQ
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.200.9.3
주민대책위는 “주택 밀집지역의 거주민들 중에는 노인들이 많아 차량이 없는 집이 실제로 많았다.

주민대책위는	주민/NNG+대책위/NNG+는/JX
“주택	“/SS+주택/NNG
밀집지역의	밀집/NNG+지역/NNG+의/JKG
거주민들	거주민/NNG+들/XSN
중에는	중/NNB+에/JKB+는/JX
노인들이	노인/NNG+들/XSN+이/JKS
많아	많/VA+아/EC
차량이	차량/NNG+이/JKS
없는	없/VA+는/ETM
집이	집/NNG+이/JKS
실제로	실제로/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000052.200.9.4
다만 우리가 조사하지 못한 일부 고급빌라의 경우 1가구에 차량 2~4대를 보유한 곳도 있다.

다만	다만/MAG
우리가	우리/NP+가/JKS
조사하지	조사/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
일부	일부/NNG
고급빌라의	고급/NNG+빌라/NNG+의/JKG
경우	경우/NNG
1가구에	1/SN+가구/NNG+에/JKB
차량	차량/NNG
2~4대를	2/SN+~/SO+4/SN+대/NNB+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
곳도	곳/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.200.9.5
이런 곳은 주차난과 관계없다”고도 말한다.

이런	이런/MMD
곳은	곳/NNG+은/JX
주차난과	주차난/NNG+과/JKB
관계없다”고도	관계없/VA+다/EF+”/SS+고/JKQ+도/JX
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.200.10.1
실태조사와 함께 진행한 거주민 대상의 설문조사 결과는 중구의 그간 주장과 더 다르다.

실태조사와	실태/NNG+조사/NNG+와/JKB
함께	함께/MAG
진행한	진행/NNG+하/XSV+ㄴ/ETM
거주민	거주민/NNG
대상의	대상/NNG+의/JKG
설문조사	설문/NNG+조사/NNG
결과는	결과/NNG+는/JX
중구의	중구/NNP+의/JKG
그간	그/NP+간/XSN
주장과	주장/NNG+과/JKB
더	더/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000052.200.10.2
주민 조사 결과 대상지 300m 반경 안쪽에 거주하는 가구의 93.9%가 “공영주차장이 필요 없다”고 밝혔고 이 중 “전혀 필요 없다”는 답변도 87.5%에 달했다.

주민	주민/NNG
조사	조사/NNG
결과	결과/NNG
대상지	대상지/NNG
300m	300/SN+m/SW
반경	반경/NNG
안쪽에	안쪽/NNG+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
가구의	가구/NNG+의/JKG
93.9%가	93/SN+./SP+9/SN+%/SW+가/JKS
“공영주차장이	“/SS+공영/NNG+주차장/NNG+이/JKS
필요	필요/NNG
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔고	밝히/VV+었/EP+고/EC
이	이/MMD
중	중/NNB
“전혀	“/SS+전혀/MAG
없다”는	없/VA+다/EF+”/SS+는/ETM
답변도	답변/NNG+도/JX
87.5%에	87/SN+./SP+5/SN+%/SW+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.200.11.1
반면 중구는 지난해 ‘사업지 영향권’ 내 주민으로 고작 100명을 꼽아 설문조사한 결과로 주차난을 설명하고 서울시 지원예산(137억원)을 따낸 바 있다.

반면	반면/NNG
중구는	중구/NNP+는/JX
지난해	지난해/NNG
‘사업지	‘/SS+사업지/NNG
영향권’	영향/NNG+권/XSN+’/SS
내	내/NNB
주민으로	주민/NNG+으로/JKB
고작	고작/MAG
100명을	100/SN+명/NNB+을/JKO
꼽아	꼽/VV+아/EC
설문조사한	설문/NNG+조사/NNG+하/XSV+ㄴ/ETM
결과로	결과/NNG+로/JKB
주차난을	주차난/NNG+을/JKO
설명하고	설명/NNG+하/XSV+고/EC
서울시	서울시/NNP
지원예산(137억원)을	지원/NNG+예산/NNG+(/SS+137/SN+억/NR+원/NNB+)/SS+을/JKO
따낸	따내/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.200.11.2
100명 가운데 92명이 설문에 응했고 이들 중 70명(76.1%)이 “(주차공간이) 부족하다”고 답했다는 내용이다.

100명	100/SN+명/NNB
가운데	가운데/NNG
92명이	92/SN+명/NNB+이/JKS
설문에	설문/NNG+에/JKB
응했고	응하/VV+았/EP+고/EC
이들	이/NP+들/XSN
중	중/NNB
70명(76.1%)이	70/SN+명/NNB+(/SS+76/SN+./SP+1/SN+%/SW+)/SS+이/JKS
“(주차공간이)	“/SS+(/SS+주차/NNG+공간/NNG+이/JKS+)/SS
부족하다”고	부족/NNG+하/XSA+다/EF+”/SS+고/JKQ
답했다는	답/NNG+하/XSV+았/EP+다는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.200.12.1
주민대책위의 이번 조사는 행정기관이 해야 할 일을 생존을 위해 직접 발벗고 나서 진행했다는 점에서 주목받는다.

주민대책위의	주민/NNG+대책위/NNG+의/JKG
이번	이번/NNG
조사는	조사/NNG+는/JX
행정기관이	행정/NNG+기관/NNG+이/JKS
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
일을	일/NNG+을/JKO
생존을	생존/NNG+을/JKO
위해	위하/VV+아/EC
직접	직접/MAG
발벗고	발/NNG+벗/VV+고/EC
나서	나서/VV+어/EC
진행했다는	진행/NNG+하/XSV+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
주목받는다.	주목/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000052.200.12.2
중구의 무리한 사업 추진, 서울시의 허술한 예산지원 등 ‘행정 실패’ 논란 속에 이른바 ‘마을 자치’가 살아나는 역설이 벌어진 셈이다.

중구의	중구/NNP+의/JKG
무리한	무리/NNG+하/XSA+ㄴ/ETM
사업	사업/NNG
추진,	추진/NNG+,/SP
서울시의	서울시/NNP+의/JKG
허술한	허술하/VA+ㄴ/ETM
예산지원	예산/NNG+지원/NNG
등	등/NNB
‘행정	‘/SS+행정/NNG
실패’	실패/NNG+’/SS
논란	논란/NNG
속에	속/NNG+에/JKB
이른바	이른바/MAG
‘마을	‘/SS+마을/NNG
자치’가	자치/NNG+’/SS+가/JKS
살아나는	살아나/VV+는/ETM
역설이	역설/NNG+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.200.13.1
주민대책위원회 추은경(39)씨는 “지난달 26일부터 29일까지 4일 동안 주민들과 함께 밤낮없이 뛰어다니며 가가호호 조사했다.

주민대책위원회	주민/NNG+대책/NNG+위원회/NNG
추은경(39)씨는	추은경/NNP+(/SS+39/SN+)/SS+씨/NNB+는/JX
“지난달	“/SS+지난달/NNG
26일부터	26/SN+일/NNB+부터/JX
29일까지	29/SN+일/NNB+까지/JX
4일	4/SN+일/NNB
동안	동안/NNG
주민들과	주민/NNG+들/XSN+과/JKB
함께	함께/MAG
밤낮없이	밤낮없이/MAG
뛰어다니며	뛰어다니/VV+며/EC
가가호호	가가호호/MAG
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.200.13.2
중구는 물론이고, 예산을 지원하는 서울시도 이런 식의 현장 조사는 시도도 안 했다.

중구는	중구/NNP+는/JX
물론이고,	물론/NNG+이/VCP+고/EC+,/SP
예산을	예산/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
서울시도	서울시/NNP+도/JX
이런	이런/MMD
식의	식/NNB+의/JKG
현장	현장/NNG
조사는	조사/NNG+는/JX
시도도	시도/NNG+도/JX
안	안/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.200.13.3
그러면서 ‘주차난’이나 ‘공익’만 외치며 주민들을 내쫓으려 했다니 이해할 수 없다”고 말했다.

그러면서	그러/VV+면서/EC
‘주차난’이나	‘/SS+주차난/NNG+’/SS+이나/JC
‘공익’만	‘/SS+공익/NNG+’/SS+만/JX
외치며	외치/VV+며/EC
주민들을	주민/NNG+들/XSN+을/JKO
내쫓으려	내쫓/VV+으려/EC
했다니	하/VX+았/EP+다니/EC
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.200.14.1
주민대책위 김희수(60) 부위원장은 “우리 동네를 강제수용해 지으려는 주차장의 설계지침서를 보면, 여행객들을 배려하는 내용이 강조돼 있다.

주민대책위	주민/NNG+대책위/NNG
김희수(60)	김희수/NNP+(/SS+60/SN+)/SS
부위원장은	부위원장/NNG+은/JX
“우리	“/SS+우리/NP
동네를	동네/NNG+를/JKO
강제수용해	강제/NNG+수용/NNG+하/XSV+아/EC
지으려는	짓/VV+으려는/ETM
주차장의	주차장/NNG+의/JKG
설계지침서를	설계/NNG+지침서/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
여행객들을	여행객/NNG+들/XSN+을/JKO
배려하는	배려/NNG+하/XSV+는/ETM
내용이	내용/NNG+이/JKS
강조돼	강조/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.200.14.2
이전에 지은 다산아트 공영주차장도 주차장보다 공연장이 더 크다.

이전에	이전/NNG+에/JKB
지은	짓/VV+은/ETM
다산아트	다산아트/NNP
공영주차장도	공영/NNG+주차장/NNG+도/JX
주차장보다	주차장/NNG+보다/JKB
공연장이	공연장/NNG+이/JKS
더	더/MAG
크다.	크/VA+다/EF+./SF


# id : NWRW1800000052.200.14.3
주차난 해소란 명분을 들고 있지만, 실상은 다산성곽길 관광객용 주차장인 셈”이라고 지적했다.

주차난	주차난/NNG
해소란	해소/NNG+이/VCP+란/ETM
명분을	명분/NNG+을/JKO
들고	들/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
실상은	실상/NNG+은/JX
다산성곽길	다산성곽길/NNP
관광객용	관광객/NNG+용/XSN
주차장인	주차장/NNG+이/VCP+ㄴ/ETM
셈”이라고	셈/NNB+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


