# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.321
metadata : {}


# id : NWRW1800000021.321.1.1
원형탈모, 부위 작을 때 조기치료를

원형탈모,	원형/NNG+탈모/NNG+,/SP
“스트레스가	“/SS+스트레스/NNG+가/JKS
심할수록	심하/VA+ㄹ수록/EC
원형탈모증이	원형/NNG+탈모증/NNG+이/JKS
잘	잘/MAG
생긴다”며	생기/VV+ㄴ다/EF+”/SS+며/EC
“원형탈모가	“/SS+원형/NNG+탈모/NNG+가/JKS
생기면	생기/VV+면/EC
보기	보/VV+기/ETN
흉하다는	흉하/VA+다는/ETM
생각에	생각/NNG+에/JKB
심리적으로	심리/NNG+적/XSN+으로/JKB
점점	점점/MAG
더	더/MAG
위축된다”고	위축/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.321.5.1
원형탈모증은 유전 요인과 스트레스가 가장 큰 원인이다.

원형탈모증은	원형/NNG+탈모증/NNG+은/JX
유전	유전/NNG
요인과	요인/NNG+과/JC
스트레스가	스트레스/NNG+가/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
원인이다.	원인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.321.5.2
혈액 속에 있는 T림프구가 자신의 털을 자신의 몸으로 인식하지 못하고 공격할 때도 원형탈모가 생긴다.

혈액	혈액/NNG
속에	속/NNG+에/JKB
있는	있/VA+는/ETM
T림프구가	T/SL+림프구/NNG+가/JKS
자신의	자신/NNG+의/JKG
털을	털/NNG+을/JKO
몸으로	몸/NNG+으로/JKB
인식하지	인식/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
공격할	공격/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
원형탈모가	원형/NNG+탈모/NNG+가/JKS
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.321.5.3
과도하게 몸 안의 면역체계가 작동하면서 우리 몸을 스스로 공격하는 면역질환의 일종인 셈이다.

과도하게	과도/NNG+하/XSA+게/EC
몸	몸/NNG
안의	안/NNG+의/JKG
면역체계가	면역/NNG+체계/NNG+가/JKS
작동하면서	작동/NNG+하/XSV+면서/EC
우리	우리/NP
몸을	몸/NNG+을/JKO
스스로	스스로/MAG
공격하는	공격/NNG+하/XSV+는/ETM
면역질환의	면역/NNG+질환/NNG+의/JKG
일종인	일종/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.321.6.1
동전만 한 크기로 한 군데 정도만 생기는 단발성 원형탈모증은 스트레스를 받지 않는다면 별다른 치료 없이 3∼6개월에 회복된다.

동전만	동전/NNG+만/JX
한	한/MMN
크기로	크기/NNG+로/JKB
군데	군데/NNB
정도만	정도/NNG+만/JX
생기는	생기/VV+는/ETM
단발성	단발/NNG+성/XSN
원형탈모증은	원형/NNG+탈모증/NNG+은/JX
스트레스를	스트레스/NNG+를/JKO
받지	받/VV+지/EC
않는다면	않/VX+는다면/EC
별다른	별다르/VA+ㄴ/ETM
치료	치료/NNG
없이	없이/MAG
3∼6개월에	3/SN+∼/SO+6/SN+개월/NNB+에/JKB
회복된다.	회복/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.321.6.2
머리가 빠진 부위의 크기가 작을수록 치료가 잘되기 때문에 조기에 치료하는 것이 좋다.

머리가	머리/NNG+가/JKS
빠진	빠지/VV+ㄴ/ETM
부위의	부위/NNG+의/JKG
크기가	크기/NNG+가/JKS
작을수록	작/VA+을수록/EC
치료가	치료/NNG+가/JKS
잘되기	잘/MAG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
조기에	조기/NNG+에/JKB
치료하는	치료/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000021.321.7.1
탈모 부위에 스테로이드 주사를 놓거나 ‘미녹시딜’이라는 약을 바르기도 한다.

탈모	탈모/NNG
부위에	부위/NNG+에/JKB
스테로이드	스테로이드/NNG
주사를	주사/NNG+를/JKO
놓거나	놓/VV+거나/EC
‘미녹시딜’이라는	‘/SS+미녹시딜/NNG+’/SS+이/VCP+라는/ETM
약을	약/NNG+을/JKO
바르기도	바르/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.321.7.2
탈모 부위의 모근을 강화하는 메조세러피 시술을 쓰기도 한다.

탈모	탈모/NNG
부위의	부위/NNG+의/JKG
모근을	모근/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
메조세러피	메조세러피/NNG
시술을	시술/NNG+을/JKO
쓰기도	쓰/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


