# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.20
metadata : {}


# id : NWRW1800000041.20.1.1
‘내 몸을 위한’ 건강 식재료 매출 늘어

‘내	‘/SS+나/NP+의/JKG
면제품	면/NNG+제품/NNG
출시	출시/NNG
이후	이후/NNG
아워홈의	아워홈/NNP+의/JKG
면류	면류/NNG
매출은	매출/NNG+은/JX
150%로	150/SN+%/SW+로/JKB
껑충	껑충/MAG
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.20.5.4
앞으로 쿠키나 장류 등에도 글루텐프리 제품을 내놓을 예정이다.

앞으로	앞/NNG+으로/JKB
쿠키나	쿠키/NNG+나/JC
장류	장류/NNG
등에도	등/NNB+에/JKB+도/JX
글루텐프리	글루텐프리/NNG
제품을	제품/NNG+을/JKO
내놓을	내놓/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.20.6.1
쌀로 만든 빵을 판매하는 중소 제과업체 ‘쁘띠아미’는 주부들 사이에 입소문을 타며 2012년 설립 이후 매월 매출이 100% 이상씩 늘어나고 있다.

쌀로	쌀/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
빵을	빵/NNG+을/JKO
판매하는	판매/NNG+하/XSV+는/ETM
중소	중소/NNG
제과업체	제과업체/NNG
‘쁘띠아미’는	‘/SS+쁘띠아미/NNP+’/SS+는/JX
주부들	주부/NNG+들/XSN
사이에	사이/NNG+에/JKB
입소문을	입소문/NNG+을/JKO
타며	타/VV+며/EC
2012년	2012/SN+년/NNB
설립	설립/NNG
이후	이후/NNG
매월	매월/MAG
매출이	매출/NNG+이/JKS
100%	100/SN+%/SW
이상씩	이상/NNG+씩/XSN
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.20.6.2
이은창 쁘띠아미 대표는 “밀가루 알레르기 환자뿐 아니라 어린 아이를 둔 주부, 소화 기능이 떨어진 어르신 등 다양한 연령층이 찾고 있다”고 말했다.

이은창	이은창/NNP
쁘띠아미	쁘띠아미/NNP
대표는	대표/NNG+는/JX
“밀가루	“/SS+밀가루/NNG
알레르기	알레르기/NNG
환자뿐	환자/NNG+뿐/JX
아니라	아니/VCN+라/EC
어린	어리/VA+ㄴ/ETM
아이를	아이/NNG+를/JKO
둔	두/VV+ㄴ/ETM
주부,	주부/NNG+,/SP
소화	소화/NNG
기능이	기능/NNG+이/JKS
떨어진	떨어지/VV+ㄴ/ETM
어르신	어르신/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
연령층이	연령/NNG+층/XSN+이/JKS
찾고	찾/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.20.6.3
이 밖에 샘표와 오리온 등이 각각 글루텐프리 쌀면과 쿠키 등을 출시했다.

이	이/MMD
밖에	밖/NNG+에/JKB
샘표와	샘표/NNP+와/JC
오리온	오리온/NNP
등이	등/NNB+이/JKS
각각	각각/MAG
글루텐프리	글루텐프리/NNG
쌀면과	쌀/NNG+면/NNG+과/JC
쿠키	쿠키/NNG
등을	등/NNB+을/JKO
출시했다.	출시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.20.7.1
독자적인 나트륨 저감 공법을 개발해 기존 제품보다 나트륨 함량을 줄인 김치와 장류, 젓갈 등도 잇달아 내놓고 있다.

독자적인	독자/NNG+적/XSN+이/VCP+ㄴ/ETM
나트륨	나트륨/NNG
저감	저감/NNG
공법을	공법/NNG+을/JKO
개발해	개발/NNG+하/XSV+아/EC
기존	기존/NNG
제품보다	제품/NNG+보다/JKB
함량을	함량/NNG+을/JKO
줄인	줄이/VV+ㄴ/ETM
김치와	김치/NNG+와/JC
장류,	장류/NNG+,/SP
젓갈	젓갈/NNG
등도	등/NNB+도/JX
잇달아	잇달/VV+아/EC
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.20.7.2
대상 청정원과 CJ제일제당 샘표 등이 저염 장류를 잇달아 선보였다.

대상	대상/NNP
청정원과	청정원/NNP+과/JC
CJ제일제당	CJ제일제당/NNP
샘표	샘표/NNP
등이	등/NNB+이/JKS
저염	저염/NNG
장류를	장류/NNG+를/JKO
잇달아	잇달/VV+아/EC
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.20.7.3
아워홈 선농 등은 기존 김치보다 나트륨 함량을 30∼50% 줄인 저염 김치를 내놨다.

아워홈	아워홈/NNP
선농	선농/NNP
등은	등/NNB+은/JX
기존	기존/NNG
김치보다	김치/NNG+보다/JKB
나트륨	나트륨/NNG
함량을	함량/NNG+을/JKO
30∼50%	30/SN+∼/SO+50/SN+%/SW
줄인	줄이/VV+ㄴ/ETM
저염	저염/NNG
김치를	김치/NNG+를/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.20.7.4
저염 젓갈과 저염 김치 등을 선보인 현대백화점 식품관의 저(低)나트륨 식품코너 매출은 올해 들어 전년 동기보다 16.7% 늘었다.

저염	저염/NNG
젓갈과	젓갈/NNG+과/JC
김치	김치/NNG
등을	등/NNB+을/JKO
선보인	선보이/VV+ㄴ/ETM
현대백화점	현대백화점/NNP
식품관의	식품관/NNG+의/JKG
저(低)나트륨	저/XPN+(/SS+低/SH+)/SS+나트륨/NNG
식품코너	식품/NNG+코너/NNG
매출은	매출/NNG+은/JX
올해	올해/NNG
들어	들/VV+어/EC
전년	전년/NNG
동기보다	동기/NNG+보다/JKB
16.7%	16/SN+./SP+7/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.20.8.1
문현경 단국대 식품영양학과 교수는 “특정 성분을 피하거나 적게 들어간 제품을 일시적으로 소비하는 것에서 나아가 식단에 대한 전반적인 관리를 해내가는 것이 바람직하다”고 말했다.

문현경	문현경/NNP
단국대	단국대/NNP
식품영양학과	식품/NNG+영양학/NNG+과/NNG
교수는	교수/NNG+는/JX
“특정	“/SS+특정/NNG
성분을	성분/NNG+을/JKO
피하거나	피하/VV+거나/EC
적게	적/VA+게/EC
들어간	들어가/VV+ㄴ/ETM
제품을	제품/NNG+을/JKO
일시적으로	일시/NNG+적/XSN+으로/JKB
소비하는	소비/NNG+하/XSV+는/ETM
것에서	것/NNB+에서/JKB
나아가	나아가/VV+아/EC
식단에	식단/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
관리를	관리/NNG+를/JKO
해내가는	해내/VV+어/EC+가/VX+는/ETM
것이	것/NNB+이/JKS
바람직하다”고	바람직하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


