# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.91
metadata : {}


# id : NWRW1800000040.91.1.1
인텔, 북한 진출 준비중?

인텔,	인텔/NNP+,/SP
정부의	정부/NNG+의/JKG
허가	허가/NNG
없이	없이/MAG
북한의	북한/NNP+의/JKG
상품·서비스·기술을	상품/NNG+·/SP+서비스/NNG+·/SP+기술/NNG+을/JKO
수입할	수입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.91.6.2
인텔은 북한에서 상표권을 등록하고 지적재산권을 보호하는 서비스 활동도 제한될 수 있다고 보고 예외를 요청한 셈이다.

인텔은	인텔/NNP+은/JX
북한에서	북한/NNP+에서/JKB
상표권을	상표/NNG+권/XSN+을/JKO
등록하고	등록/NNG+하/XSV+고/EC
지적재산권을	지/NNG+적/XSN+재산/NNG+권/XSN+을/JKO
보호하는	보호/NNG+하/XSV+는/ETM
서비스	서비스/NNG
활동도	활동/NNG+도/JX
제한될	제한/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
보고	보/VV+고/EC
예외를	예외/NNG+를/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.91.6.3
이는 앞으로 미국의 대북 제재가 풀리면 북한 시장 진출을 모색하려는 사전 포석으로 보인다.

이는	이/NP+는/JX
앞으로	앞/NNG+으로/JKB
미국의	미국/NNP+의/JKG
대북	대북/NNG
제재가	제재/NNG+가/JKS
풀리면	풀리/VV+면/EC
북한	북한/NNP
시장	시장/NNG
진출을	진출/NNG+을/JKO
모색하려는	모색/NNG+하/XSV+려는/ETM
사전	사전/NNG
포석으로	포석/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.91.6.4
그러나 인텔이 상표권 등록 예외를 인정받더라도 대북 제재가 풀리기 전에는 북한 관련 사업을 하기는 힘들다.

그러나	그러나/MAJ
인텔이	인텔/NNP+이/JKS
상표권	상표/NNG+권/XSN
등록	등록/NNG
예외를	예외/NNG+를/JKO
인정받더라도	인정/NNG+받/XSV+더라도/EC
대북	대북/NNG
제재가	제재/NNG+가/JKS
풀리기	풀리/VV+기/ETN
전에는	전/NNG+에/JKB+는/JX
북한	북한/NNP
관련	관련/NNG
사업을	사업/NNG+을/JKO
하기는	하/VV+기/ETN+는/JX
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000040.91.7.1
이와 관련해 인텔 대변인인 척 멀로이는 <연합뉴스>와 전화통화에서 “우리는 현시점에서 북한에서 비즈니스를 할 계획이 없다”며 “우리는 세계적으로 국경을 초월해서 지적재산권 보호 활동을 펴고 있으며 이번 신청도 그 일환”이라고 밝혔다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
인텔	인텔/NNP
대변인인	대변인/NNG+이/VCP+ㄴ/ETM
척	척/NNP
멀로이는	멀로이/NNP+는/JX
<연합뉴스>와	</SS+연합뉴스/NNP+>/SS+와/JKB
전화통화에서	전화/NNG+통화/NNG+에서/JKB
“우리는	“/SS+우리/NP+는/JX
현시점에서	현시점/NNG+에서/JKB
북한에서	북한/NNP+에서/JKB
비즈니스를	비즈니스/NNG+를/JKO
할	하/VV+ㄹ/ETM
계획이	계획/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
세계적으로	세계/NNG+적/XSN+으로/JKB
국경을	국경/NNG+을/JKO
초월해서	초월/NNG+하/XSV+아서/EC
지적재산권	지/NNG+적/XSN+재산/NNG+권/XSN
보호	보호/NNG
활동을	활동/NNG+을/JKO
펴고	펴/VV+고/EC
있으며	있/VX+으며/EC
이번	이번/NNG
신청도	신청/NNG+도/JX
그	그/MMD
일환”이라고	일환/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.91.7.2
그는 “앞으로 수년간 많은 사람들이 북한에 들어가 시장을 만들려고 하고 있기 때문에 정보기술 지적재산권 보호에 나서려는 것”이라고 덧붙였다.

그는	그/NP+는/JX
“앞으로	“/SS+앞/NNG+으로/JKB
수년간	수년/NNG+간/XSN
많은	많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
북한에	북한/NNP+에/JKB
들어가	들어가/VV+아/EC
시장을	시장/NNG+을/JKO
만들려고	만들/VV+려고/EC
하고	하/VX+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
정보기술	정보/NNG+기술/NNG
지적재산권	지/NNG+적/XSN+재산/NNG+권/XSN
보호에	보호/NNG+에/JKB
나서려는	나서/VV+려는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


