# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.213
metadata : {}


# id : NWRW1800000030.213.1.1
'양'의 이름으로… 양학선, 체조 신기술 등재 예정

'양'의	'/SS+양/NNP+'/SS+의/JKG
최고인	최고/NNG+이/VCP+ㄴ/ETM
7.4점으로	7/SN+./SP+4/SN+점/NNB+으로/JKB
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.213.5.1
양학선의 신기술은 향후 FIG 기술위원회의 심의와 본부 보고, 기술 규정 개정 등 절차를 거쳐 '양'이라는 이름으로 정식 등재될 전망이다.

양학선의	양학선/NNP+의/JKG
신기술은	신/XPN+기술/NNG+은/JX
향후	향후/NNG
FIG	FIG/SL
기술위원회의	기술/NNG+위원회/NNG+의/JKG
심의와	심의/NNG+와/JC
본부	본부/NNG
보고,	보고/NNG+,/SP
기술	기술/NNG
규정	규정/NNG
개정	개정/NNG
등	등/NNB
절차를	절차/NNG+를/JKO
거쳐	거치/VV+어/EC
'양'이라는	'/SS+양/NNP+'/SS+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
정식	정식/NNG
등재될	등재/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.213.6.1
신기술이 FIG에 등재되면 양학선은 여홍철 경희대 교수에 이어 한국 선수로는 두 번째로 자신의 이름을 딴 기술을 올리게 된다.

신기술이	신/XPN+기술/NNG+이/JKS
FIG에	FIG/SL+에/JKB
등재되면	등재/NNG+되/XSV+면/EC
양학선은	양학선/NNP+은/JX
여홍철	여홍철/NNP
경희대	경희대/NNP
교수에	교수/NNG+에/JKB
이어	잇/VV+어/EC
한국	한국/NNP
선수로는	선수/NNG+로/JKB+는/JX
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
자신의	자신/NNG+의/JKG
이름을	이름/NNG+을/JKO
딴	따/VV+ㄴ/ETM
기술을	기술/NNG+을/JKO
올리게	올리/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.213.6.2
여 교수는 선수로 활약하던 1993년과 1994년 도마 종목에서 '여1'과 '여2' 기술을 잇따라 등재시켰다.

여	여/NNP
교수는	교수/NNG+는/JX
선수로	선수/NNG+로/JKB
활약하던	활약/NNG+하/XSV+던/ETM
1993년과	1993/SN+년/NNB+과/JC
1994년	1994/SN+년/NNB
도마	도마/NNG
종목에서	종목/NNG+에서/JKB
'여1'과	'/SS+여/NNP+1/SN+'/SS+과/JC
'여2'	'/SS+여/NNP+2/SN+'/SS
기술을	기술/NNG+을/JKO
잇따라	잇따르/VV+아/EC
등재시켰다.	등재/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.213.7.1
양학선은 "내 이름을 딴 기술이 등재된다면 영광이다. 연습 때는 착지가 흔들렸는데 경기에서는 실수하지 않아 다행이었다"며 "오늘 부엘을 처음으로 이겼지만 국내가 아닌 다른 굵직한 세계대회에서도 제대로 한번 이기고 싶다"고 말했다.

양학선은	양학선/NNP+은/JX
"내	"/SS+나/NP+의/JKG
이름을	이름/NNG+을/JKO
딴	따/VV+ㄴ/ETM
기술이	기술/NNG+이/JKS
등재된다면	등재/NNG+되/XSV+ㄴ다면/EC
영광이다.	영광/NNG+이/VCP+다/EF+./SF
연습	연습/NNG
때는	때/NNG+는/JX
착지가	착지/NNG+가/JKS
흔들렸는데	흔들리/VV+었/EP+는데/EC
경기에서는	경기/NNG+에서/JKB+는/JX
실수하지	실수/NNG+하/XSV+지/EC
않아	않/VX+아/EC
다행이었다"며	다행/NNG+이/VCP+었/EP+다/EF+"/SS+며/EC
"오늘	"/SS+오늘/MAG
부엘을	부엘/NNP+을/JKO
처음으로	처음/NNG+으로/JKB
이겼지만	이기/VV+었/EP+지만/EC
국내가	국내/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
굵직한	굵직하/VA+ㄴ/ETM
세계대회에서도	세계/NNG+대회/NNG+에서/JKB+도/JX
제대로	제대로/MAG
한번	한번/MAG
이기고	이기/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


