# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.28
metadata : {}


# id : NWRW1800000049.28.1.1
방수기능 도마오른 아이폰7

방수기능	방수/NNG+기능/NNG
번	번/NNB
만에,	만/NNB+에/JKB+,/SP
아이폰7	아이폰7/NNP
플러스는	플러스/NNP+는/JX
세	세/MMN
만에	만/NNB+에/JKB
더	더/MAG
이상	이상/NNG
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
수준으로	수준/NNG+으로/JKB
부서졌다.	부서지/VV+었/EP+다/EF+./SF


