# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.125
metadata : {}


# id : NWRW1800000032.125.1.1
미 연준, 이번엔 ‘오퍼레이션 트위스트’?

미	미/NNP
‘오퍼레이션	‘/SS+오퍼레이션/NNG
트위스트’정책이	트위스트/NNG+’/SS+정책/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
20일	20/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.125.5.2
장기채권과 단기채권을 각각 사고팔아 전체적인 통화 공급량은 변화시키지 않으면서 경기부양 효과를 낼 수 있을 것이라는 게 연준의 기대다.

장기채권과	장기/NNG+채권/NNG+과/JC
단기채권을	단기/NNG+채권/NNG+을/JKO
각각	각각/MAG
사고팔아	사고팔/VV+아/EC
전체적인	전체/NNG+적/XSN+이/VCP+ㄴ/ETM
통화	통화/NNG
공급량은	공급량/NNG+은/JX
변화시키지	변화/NNG+시키/XSV+지/EC
않으면서	않/VX+으면서/EC
경기부양	경기/NNG+부양/NNG
효과를	효과/NNG+를/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
연준의	연준/NNP+의/JKG
기대다.	기대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.125.6.1
이번 오퍼레이션 트위스트 규모는 향후 6개월간 3000억~4000억달러(460조원)가 될 것으로 전망된다.

이번	이번/NNG
오퍼레이션	오퍼레이션/NNG
트위스트	트위스트/NNG
규모는	규모/NNG+는/JX
향후	향후/NNG
6개월간	6/SN+개월/NNB+간/XSN
3000억~4000억달러(460조원)가	3000/SN+억/NR+~/SO+4000/SN+억/NR+달러/NNB+(/SS+460/SN+조/NR+원/NNB+)/SS+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.125.7.1
그러나 월스트리트의 전문가들은 이번 조처가 실업률 인하 등 뚜렷한 경기부양 효과를 내긴 힘들 것이라고 내다봤다.

그러나	그러나/MAJ
월스트리트의	월스트리트/NNP+의/JKG
전문가들은	전문가/NNG+들/XSN+은/JX
이번	이번/NNG
조처가	조처/NNG+가/JKS
실업률	실업/NNG+률/XSN
인하	인하/NNG
등	등/NNB
뚜렷한	뚜렷하/VA+ㄴ/ETM
경기부양	경기/NNG+부양/NNG
효과를	효과/NNG+를/JKO
내긴	내/VV+기/ETN+ㄴ/JX
힘들	힘들/VA+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.125.7.2
제이피모건체이스의 수석 이코노미스트인 마이클 페롤리는 이번 조처에 대해 “장기금리를 0.1%포인트 끌어내리는 효과를 낼 것으로 본다”면서도 “연준이 아무것도 하지 않는 것보단 낫지만 경제 (회생)에 결정타를 날리거나 흐름을 바꾸진 못할 것”이라고 말했다.

제이피모건체이스의	제이피모건체이스/NNP+의/JKG
수석	수석/NNG
이코노미스트인	이코노미스트/NNG+이/VCP+ㄴ/ETM
마이클	마이클/NNP
페롤리는	페롤리/NNP+는/JX
이번	이번/NNG
조처에	조처/NNG+에/JKB
대해	대하/VV+아/EC
“장기금리를	“/SS+장기/NNG+금리/NNG+를/JKO
0.1%포인트	0/SN+./SP+1/SN+%포인트/NNG
끌어내리는	끌어내리/VV+는/ETM
효과를	효과/NNG+를/JKO
낼	내/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
본다”면서도	보/VV+ㄴ다/EF+”/SS+면서/EC+도/JX
“연준이	“/SS+연준/NNP+이/JKS
아무것도	아무것/NNG+도/JX
하지	하/VV+지/EC
않는	않/VX+는/ETM
것보단	것/NNB+보다/JKB+ㄴ/JX
낫지만	낫/VA+지만/EC
경제	경제/NNG
(회생)에	(/SS+회생/NNG+)/SS+에/JKB
결정타를	결정타/NNG+를/JKO
날리거나	날리/VV+거나/EC
흐름을	흐름/NNG+을/JKO
바꾸진	바꾸/VV+지/EC+ㄴ/JX
못할	못하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.125.8.1
연준은 이와 함께 은행들이 예치한 초과지급준비금의 이자율을 현행 0.25%에서 0%로 떨어뜨려 은행들이 연준에서 자금을 회수해 기업이나 가계에 대한 대출을 유도하는 방식도 택할 것으로 전망되고 있다.

연준은	연준/NNP+은/JX
이와	이/NP+와/JKB
함께	함께/MAG
은행들이	은행/NNG+들/XSN+이/JKS
예치한	예치/NNG+하/XSV+ㄴ/ETM
초과지급준비금의	초과/NNG+지급/NNG+준비금/NNG+의/JKG
이자율을	이자/NNG+율/XSN+을/JKO
현행	현행/NNG
0.25%에서	0/SN+./SP+25/SN+%/SW+에서/JKB
0%로	0/SN+%/SW+로/JKB
떨어뜨려	떨어뜨리/VV+어/EC
연준에서	연준/NNP+에서/JKB
자금을	자금/NNG+을/JKO
회수해	회수/NNG+하/XSV+아/EC
기업이나	기업/NNG+이나/JC
가계에	가계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대출을	대출/NNG+을/JKO
유도하는	유도/NNG+하/XSV+는/ETM
방식도	방식/NNG+도/JX
택할	택하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망되고	전망/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


