# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.411
metadata : {}


# id : NWRW1800000048.411.1.1
검찰, 홍준표 측근 집 압수수색…‘윤씨 회유’ 증거확보 나서

검찰,	검찰/NNG+,/SP
가까운	가깝/VA+ㄴ/ETM
김해수	김해수/NNP
전	전/MMD
청와대	청와대/NNP
정무비서관,	정무/NNG+비서관/NNG+,/SP
엄아무개씨가	엄/NNP+아무개/NP+씨/NNB+가/JKS
윤	윤/NNP
부사장을	부사장/NNG+을/JKO
불러내거나	불러내/VV+거나/EC
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
회유를	회유/NNG+를/JKO
시도했다는	시도/NNG+하/XSV+았/EP+다는/ETM
의혹과	의혹/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
증거	증거/NNG
확보	확보/NNG
차원에서	차원/NNG+에서/JKB
압수수색을	압수/NNG+수색/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.411.7.1
수사팀은 또 ‘리스트 8인’ 중 두번째로 이 전 총리를 14일 조사하기로 했다.

수사팀은	수사/NNG+팀/NNG+은/JX
또	또/MAG
‘리스트	‘/SS+리스트/NNG
8인’	8/SN+인/NNG+’/SS
중	중/NNB
두번째로	두/MMN+번/NNB+째/XSN+로/JKB
이	이/NNP
전	전/MMD
총리를	총리/NNG+를/JKO
14일	14/SN+일/NNB
조사하기로	조사/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.411.7.2
이 전 총리는 충남 부여·청양 국회의원 재선거에 나선 2013년 4월께 성완종 전 경남기업 회장한테서 불법 정치자금 3000만원을 받은 혐의를 사고 있다.

이	이/NNP
전	전/MMD
총리는	총리/NNG+는/JX
충남	충남/NNP
부여·청양	부여/NNP+·/SP+청양/NNP
국회의원	국회/NNG+의원/NNG
재선거에	재/XPN+선거/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
4월께	4/SN+월/NNB+께/XSN
성완종	성완종/NNP
경남기업	경남기업/NNP
회장한테서	회장/NNG+한테서/JKB
불법	불법/NNG
정치자금	정치/NNG+자금/NNG
3000만원을	3000/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.411.7.3
수사팀은 이 전 총리가 부여 선거사무소에서 성 전 회장을 만났다는 증언이 나온 2013년 4월4일과 그 전후 두 사람의 행적을 추적해 돈 수수 정황을 상당 부분 확인한 것으로 알려졌다.

수사팀은	수사/NNG+팀/NNG+은/JX
이	이/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
부여	부여/NNP
선거사무소에서	선거/NNG+사무소/NNG+에서/JKB
성	성/NNP
회장을	회장/NNG+을/JKO
만났다는	만나/VV+았/EP+다는/ETM
증언이	증언/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
4월4일과	4/SN+월/NNB+4/SN+일/NNB+과/JC
그	그/MMD
전후	전후/NNG
두	두/MMN
사람의	사람/NNG+의/JKG
행적을	행적/NNG+을/JKO
추적해	추적/NNG+하/XSV+아/EC
돈	돈/NNG
수수	수수/NNG
정황을	정황/NNG+을/JKO
상당	상당/NNG
부분	부분/NNG
확인한	확인/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.411.8.1
한편 ‘자원외교’ 비리 의혹을 수사하는 서울중앙지검 특수1부(부장 임관혁)는 캐나다 정유회사 하베스트를 비싼 값에 인수한 의혹과 관련해 이날 한국석유공사 울산 본사 사무실을 압수수색했다.

한편	한편/MAG
‘자원외교’	‘/SS+자원/NNG+외교/NNG+’/SS
비리	비리/NNG
의혹을	의혹/NNG+을/JKO
수사하는	수사/NNG+하/XSV+는/ETM
서울중앙지검	서울중앙지검/NNP
특수1부(부장	특수/NNG+1/SN+부/NNG+(/SS+부장/NNG
임관혁)는	임관혁/NNP+)/SS+는/JX
캐나다	캐나다/NNP
정유회사	정유/NNG+회사/NNG
하베스트를	하베스트/NNP+를/JKO
비싼	비싸/VA+ㄴ/ETM
값에	값/NNG+에/JKB
인수한	인수/NNG+하/XSV+ㄴ/ETM
의혹과	의혹/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
이날	이날/NNG
한국석유공사	한국석유공사/NNP
울산	울산/NNP
본사	본사/NNG
사무실을	사무실/NNG+을/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.411.8.2
또 강영원 전 사장 집, 하베스트 인수 자문을 맡은 메릴린치 서울지점 등에도 수사관 30여명을 보내 각종 서류와 컴퓨터 하드디스크 등을 확보했다.

또	또/MAG
강영원	강영원/NNP
전	전/MMD
사장	사장/NNG
집,	집/NNG+,/SP
하베스트	하베스트/NNP
인수	인수/NNG
자문을	자문/NNG+을/JKO
맡은	맡/VV+은/ETM
메릴린치	메릴린치/NNP
서울지점	서울/NNP+지점/NNG
등에도	등/NNB+에/JKB+도/JX
수사관	수사관/NNG
30여명을	30/SN+여/XSN+명/NNB+을/JKO
보내	보내/VV+어/EC
각종	각종/NNG
서류와	서류/NNG+와/JC
컴퓨터	컴퓨터/NNG
하드디스크	하드/NNG+디스크/NNG
등을	등/NNB+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.411.8.3
앞서 감사원은 하베스트를 비싼 값에 무리하게 인수해 회사에 3133억원가량 손해를 입힌 혐의(업무상 배임)로 지난 1월 강 전 사장을 고발한 바 있다.

앞서	앞서/MAG
감사원은	감사원/NNG+은/JX
하베스트를	하베스트/NNP+를/JKO
비싼	비싸/VA+ㄴ/ETM
값에	값/NNG+에/JKB
무리하게	무리/NNG+하/XSA+게/EC
인수해	인수/NNG+하/XSV+아/EC
회사에	회사/NNG+에/JKB
3133억원가량	3133/SN+억/NR+원/NNB+가량/XSN
손해를	손해/NNG+를/JKO
입힌	입히/VV+ㄴ/ETM
혐의(업무상	혐의/NNG+(/SS+업무/NNG+상/XSN
배임)로	배임/NNG+)/SS+로/JKB
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
강	강/NNP
전	전/MMD
사장을	사장/NNG+을/JKO
고발한	고발/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


