# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.196
metadata : {}


# id : NWRW1800000045.196.1.1
외모-학력 이어 직장 따지는 소개팅 앱

외모-학력	외모/NNG+-/SO+학력/NNG
같아	같/VA+아/EC
계열로	계열/NNG+로/JKB
묶임),	묶이/VV+ㅁ/ETN+)/SS+,/SP
현대자동차,	현대자동차/NNP+,/SP
대한항공	대한항공/NNP
등	등/NNB
업종별	업종/NNG+별/XSN
주요	주요/NNG
업체는	업체/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
공무원,	공무원/NNG+,/SP
초중고교	초중고교/NNG
교사가	교사/NNG+가/JKS
포함돼	포함/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
것도	것/NNB+도/JX
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.196.5.4
육형찬 페이즐리 대표(30)는 “누락된 회사 직원이 개발진에 e메일을 보내면 회사의 규모, 요청 횟수 등을 감안해 리스트에 올린다”고 설명했다.

육형찬	육형찬/NNP
페이즐리	페이즐리/NNP
대표(30)는	대표/NNG+(/SS+30/SN+)/SS+는/JX
“누락된	“/SS+누락/NNG+되/XSV+ㄴ/ETM
회사	회사/NNG
직원이	직원/NNG+이/JKS
개발진에	개발진/NNG+에/JKB
e메일을	e/SL+메일/NNG+을/JKO
보내면	보내/VV+면/EC
회사의	회사/NNG+의/JKG
규모,	규모/NNG+,/SP
요청	요청/NNG
횟수	횟수/NNG
등을	등/NNB+을/JKO
감안해	감안/NNG+하/XSV+아/EC
리스트에	리스트/NNG+에/JKB
올린다”고	올리/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.196.6.1
메이저 기업 재직 여부를 강조한 앱에 걸맞게 개인 프로필에는 사진, 닉네임 다음에 소속 회사 이름이 뜨도록 해 놨다.

메이저	메이저/NNG
기업	기업/NNG
재직	재직/NNG
여부를	여부/NNG+를/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
앱에	앱/NNG+에/JKB
걸맞게	걸맞/VA+게/EC
개인	개인/NNG
프로필에는	프로필/NNG+에/JKB+는/JX
사진,	사진/NNG+,/SP
닉네임	닉네임/NNG
다음에	다음/NNG+에/JKB
소속	소속/NNG
회사	회사/NNG
이름이	이름/NNG+이/JKS
뜨도록	뜨/VV+도록/EC
해	하/VX+아/EC
놨다.	놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.196.6.2
출시 한 달이 지난 10일 현재 메이저 가입 회원은 600여 명.

출시	출시/NNG
한	한/MMN
달이	달/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
현재	현재/MAG
메이저	메이저/NNP
가입	가입/NNG
회원은	회원/NNG+은/JX
600여	600/SN+여/XSN
명.	명/NNB+./SF


# id : NWRW1800000045.196.6.3
주로 직장 동료와 만든 모바일 단체 채팅방 등을 통해 입소문이 퍼지고 있다고 한다.

주로	주로/MAG
직장	직장/NNG
동료와	동료/NNG+와/JKB
만든	만들/VV+ㄴ/ETM
모바일	모바일/NNG
단체	단체/NNG
채팅방	채팅방/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
입소문이	입소문/NNG+이/JKS
퍼지고	퍼지/VV+고/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.196.7.1
출신 대학을 인증해 이성을 소개해주는 앱은 이미 활성화 단계다.

출신	출신/NNG
대학을	대학/NNG+을/JKO
인증해	인증/NNG+하/XSV+아/EC
이성을	이성/NNG+을/JKO
소개해주는	소개/NNG+하/XSV+아/EC+주/VX+는/ETM
앱은	앱/NNG+은/JX
이미	이미/MAG
활성화	활성/NNG+화/XSN
단계다.	단계/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.196.7.2
서울대생을 위한 소개팅 앱인 ‘스누매치’가 대표 사례다.

서울대생을	서울대/NNP+생/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
소개팅	소개팅/NNG
앱인	앱/NNG+이/VCP+ㄴ/ETM
‘스누매치’가	‘/SS+스누매치/NNP+’/SS+가/JKS
대표	대표/NNG
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.196.7.3
스누매치도 메이저와 동일하게 대학 계정 e메일로 서울대생임을 인증한 뒤 이성을 소개받는 앱이다.

스누매치도	스누매치/NNP+도/JX
메이저와	메이저/NNP+와/JKB
동일하게	동일/NNG+하/XSA+게/EC
대학	대학/NNG
계정	계정/NNG
e메일로	e/SL+메일/NNG+로/JKB
서울대생임을	서울대/NNP+생/XSN+이/VCP+ㅁ/ETN+을/JKO
인증한	인증/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이성을	이성/NNG+을/JKO
소개받는	소개/NNG+받/XSV+는/ETM
앱이다.	앱/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.196.7.4
서울대생이 아니어도 가입할 순 있지만 상대방이 원치 않으면 매칭 대상에서 배제된다.

서울대생이	서울대/NNP+생/XSN+이/JKC
아니어도	아니/VCN+어도/EC
가입할	가입/NNG+하/XSV+ㄹ/ETM
순	수/NNB+ㄴ/JX
있지만	있/VA+지만/EC
상대방이	상대방/NNG+이/JKS
원치	원/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
매칭	매칭/NNG
대상에서	대상/NNG+에서/JKB
배제된다.	배제/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.196.8.1
소개팅 앱 초기에는 상대방의 외모를 보고 이성을 선택하는 앱이 주류를 이뤘다.

소개팅	소개팅/NNG
앱	앱/NNG
초기에는	초기/NNG+에/JKB+는/JX
상대방의	상대방/NNG+의/JKG
외모를	외모/NNG+를/JKO
보고	보/VV+고/EC
이성을	이성/NNG+을/JKO
선택하는	선택/NNG+하/XSV+는/ETM
앱이	앱/NNG+이/JKS
주류를	주류/NNG+를/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.196.8.2
10만 회 이상 내려받은 앱 ‘아만다(아무나 만나지 않는다)’는 자신의 사진을 올린 뒤 이성들의 프로필 심사를 통과해야만 회원 자격을 준다.

10만	10/SN+만/NR
회	회/NNB
이상	이상/NNG
내려받은	내려받/VV+은/ETM
앱	앱/NNG
‘아만다(아무나	‘/SS+아만다/NNG+(/SS+아무/NP+나/JX
만나지	만나/VV+지/EC
않는다)’는	않/VX+는다/EF+)/SS+’/SS+는/JX
자신의	자신/NNG+의/JKG
사진을	사진/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
뒤	뒤/NNG
이성들의	이성/NNG+들/XSN+의/JKG
프로필	프로필/NNG
심사를	심사/NNG+를/JKO
통과해야만	통과/NNG+하/XSV+아야/EC+만/JX
회원	회원/NNG
자격을	자격/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.196.9.1
소개팅 앱을 바라보는 시선은 엇갈린다.

소개팅	소개팅/NNG
앱을	앱/NNG+을/JKO
바라보는	바라보/VV+는/ETM
시선은	시선/NNG+은/JX
엇갈린다.	엇갈리/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.196.9.2
개인의 인성보다 외모, 학벌, 직업 등 외적 스펙만을 강조하는 세태에 대한 우려가 나오는 동시에 좋은 이성을 만나기 위한 개인의 노력이라는 주장이 팽팽히 맞선다.

개인의	개인/NNG+의/JKG
인성보다	인성/NNG+보다/JKB
외모,	외모/NNG+,/SP
학벌,	학벌/NNG+,/SP
직업	직업/NNG
등	등/NNB
외적	외적/NNG
스펙만을	스펙/NNG+만/JX+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
세태에	세태/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려가	우려/NNG+가/JKS
나오는	나오/VV+는/ETM
동시에	동시/NNG+에/JKB
좋은	좋/VA+은/ETM
이성을	이성/NNG+을/JKO
만나기	만나/VV+기/ETN
위한	위하/VV+ㄴ/ETM
노력이라는	노력/NNG+이/VCP+라는/ETM
주장이	주장/NNG+이/JKS
팽팽히	팽팽히/MAG
맞선다.	맞서/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.196.9.3
직장인 박모 씨(29)는 “피곤한 직장생활 속에서 주선자의 눈치를 보지 않고 원하는 조건을 맞출 수 있는 소개팅 앱이 편한 건 사실”이라고 했다.

직장인	직장인/NNG
박모	박/NNP+모/NP
씨(29)는	씨/NNB+(/SS+29/SN+)/SS+는/JX
“피곤한	“/SS+피곤/NNG+하/XSA+ㄴ/ETM
직장생활	직장/NNG+생활/NNG
속에서	속/NNG+에서/JKB
주선자의	주선자/NNG+의/JKG
눈치를	눈치/NNG+를/JKO
보지	보/VV+지/EC
않고	않/VX+고/EC
원하는	원/NNG+하/XSV+는/ETM
조건을	조건/NNG+을/JKO
맞출	맞추/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
소개팅	소개팅/NNG
앱이	앱/NNG+이/JKS
편한	편하/VA+ㄴ/ETM
건	거/NNB+ㄴ/JX
사실”이라고	사실/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.196.10.1
이명진 고려대 사회학과 교수는 “오프라인 소개팅에서 주선자가 맡는 필터링의 역할을 온라인 앱에서 ‘인증 절차’가 대체하고 있는 것일 뿐”이라며 “정보의 공개가 균등하지 않은 온라인 공간에서 상대방에 대한 신뢰를 확보하려는 시도로 풀이된다”고 설명했다.

이명진	이명진/NNP
고려대	고려대/NNP
사회학과	사회학과/NNG
교수는	교수/NNG+는/JX
“오프라인	“/SS+오프라인/NNG
소개팅에서	소개팅/NNG+에서/JKB
주선자가	주선자/NNG+가/JKS
맡는	맡/VV+는/ETM
필터링의	필터링/NNG+의/JKG
역할을	역할/NNG+을/JKO
온라인	온라인/NNG
앱에서	앱/NNG+에서/JKB
‘인증	‘/SS+인증/NNG
절차’가	절차/NNG+’/SS+가/JKS
대체하고	대체/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
뿐”이라며	뿐/NNB+”/SS+이라며/EC
“정보의	“/SS+정보/NNG+의/JKG
공개가	공개/NNG+가/JKS
균등하지	균등/NNG+하/XSA+지/EC
않은	않/VX+은/ETM
공간에서	공간/NNG+에서/JKB
상대방에	상대방/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰를	신뢰/NNG+를/JKO
확보하려는	확보/NNG+하/XSV+려는/ETM
시도로	시도/NNG+로/JKB
풀이된다”고	풀이/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


