# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.34
metadata : {}


# id : NWRW1800000025.34.1.1
모비스 “하승진 없는 KCC쯤이야”

모비스	모비스/NNP
오리온스와는	오리온스/NNP+와/JKB+는/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.34.4.1
모비스는 외곽슛이 활기를 띠며 3점슛으로만 30점을 넣었다.

모비스는	모비스/NNP+는/JX
외곽슛이	외곽/NNG+슛/NNG+이/JKS
활기를	활기/NNG+를/JKO
띠며	띠/VV+며/EC
3점슛으로만	3/SN+점/NNB+슛/NNG+으로/JKB+만/JX
30점을	30/SN+점/NNB+을/JKO
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.34.4.2
3점슛 3개를 포함해 18점을 넣은 양동근과 김동우, 김효범, 애런 헤인즈(이상 14득점), 박종천(11득점) 등 주전들이 고르게 득점에 가세한 모비스는 32승(12패)째를 거둬 2위와의 승차를 1.5경기로 벌렸다.

3점슛	3/SN+점/NNB+슛/NNG
3개를	3/SN+개/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
18점을	18/SN+점/NNB+을/JKO
넣은	넣/VV+은/ETM
양동근과	양동근/NNP+과/JC
김동우,	김동우/NNP+,/SP
김효범,	김효범/NNP+,/SP
애런	애런/NNP
헤인즈(이상	헤인즈/NNP+(/SS+이상/NNG
14득점),	14/SN+득점/NNG+)/SS+,/SP
박종천(11득점)	박종천/NNP+(/SS+11/SN+득점/NNG+)/SS
등	등/NNB
주전들이	주전/NNG+들/XSN+이/JKS
고르게	고르/VA+게/EC
득점에	득점/NNG+에/JKB
가세한	가세/NNG+하/XSV+ㄴ/ETM
모비스는	모비스/NNP+는/JX
32승(12패)째를	32/SN+승/NNB+(/SS+12/SN+패/NNB+)/SS+째/XSN+를/JKO
거둬	거두/VV+어/EC
2위와의	2/SN+위/NNB+와/JKB+의/JKG
승차를	승차/NNG+를/JKO
1.5경기로	1/SN+./SP+5/SN+경기/NNG+로/JKB
벌렸다.	벌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.34.4.3
18개의 실책에 가로채기 10개를 당하면서 맥없이 주저앉은 KCC는 올 시즌 팀 최다 점수차 패배의 수모까지 당하며 30승 13패로 KT와 공동 2위가 됐다.

18개의	18/SN+개/NNB+의/JKG
실책에	실책/NNG+에/JKB
가로채기	가로채기/NNG
10개를	10/SN+개/NNB+를/JKO
당하면서	당하/VV+면서/EC
맥없이	맥없이/MAG
주저앉은	주저앉/VV+은/ETM
KCC는	KCC/SL+는/JX
올	올/NNG
시즌	시즌/NNG
팀	팀/NNG
최다	최다/NNG
점수차	점수/NNG+차/NNG
패배의	패배/NNG+의/JKG
수모까지	수모/NNG+까지/JX
당하며	당하/VV+며/EC
30승	30/SN+승/NNB
13패로	13/SN+패/NNB+로/JKB
KT와	KT/SL+와/JKB
공동	공동/NNG
2위가	2/SN+위/NNB+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.34.5.1
삼성은 서울 라이벌 SK를 77-69로 꺾고 3연승하며 포스트시즌 진출의 마지노선인 6위 굳히기에 들어갔다.

삼성은	삼성/NNP+은/JX
서울	서울/NNP
라이벌	라이벌/NNG
SK를	SK/SL+를/JKO
77-69로	77/SN+-/SO+69/SN+로/JKB
꺾고	꺾/VV+고/EC
3연승하며	3/SN+연승/NNG+하/XSV+며/EC
포스트시즌	포스트시즌/NNG
진출의	진출/NNG+의/JKG
마지노선인	마지노선/NNG+이/VCP+ㄴ/ETM
6위	6/SN+위/NNB
굳히기에	굳히/VV+기/ETN+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.34.5.2
17득점 12리바운드로 더블더블을 기록한 이승준이 공격과 수비를 이끌었다.

17득점	17/SN+득점/NNG
12리바운드로	12/SN+리바운드/NNG+로/JKB
더블더블을	더블/NNG+더블/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
이승준이	이승준/NNP+이/JKS
공격과	공격/NNG+과/JC
수비를	수비/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.34.5.3
19승 23패가 된 삼성은 7위 전자랜드(15승 29패)와의 승차를 5경기로 벌렸다.

19승	19/SN+승/NNB
23패가	23/SN+패/NNB+가/JKC
된	되/VV+ㄴ/ETM
삼성은	삼성/NNP+은/JX
7위	7/SN+위/NNB
전자랜드(15승	전자랜드/NNP+(/SS+15/SN+승/NNB
29패)와의	29/SN+패/NNB+)/SS+와/JKB+의/JKG
승차를	승차/NNG+를/JKO
5경기로	5/SN+경기/NNG+로/JKB
벌렸다.	벌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.34.6.1
대구에서는 LG가 홈팀 오리온스를 86-73으로 누르고 이번 시즌 오리온스전 5전 전승을 기록하며 25승(18패)째를 올렸다.

대구에서는	대구/NNP+에서/JKB+는/JX
LG가	LG/SL+가/JKS
홈팀	홈팀/NNG
오리온스를	오리온스/NNP+를/JKO
86-73으로	86/SN+-/SO+73/SN+으로/JKB
누르고	누르/VV+고/EC
이번	이번/NNG
시즌	시즌/NNG
오리온스전	오리온스전/NNG
5전	5/SN+전/NNB
전승을	전승/NNG+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
25승(18패)째를	25/SN+승/NNB+(/SS+18/SN+패/NNB+)/SS+째/XSN+를/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.34.6.2
문태영이 29점을 넣고 리바운드도 15개를 잡아내며 맹활약했다.

문태영이	문태영/NNP+이/JKS
29점을	29/SN+점/NNB+을/JKO
넣고	넣/VV+고/EC
리바운드도	리바운드/NNG+도/JX
15개를	15/SN+개/NNB+를/JKO
잡아내며	잡아내/VV+며/EC
맹활약했다.	맹활약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.34.6.3
5연패에 빠진 오리온스는 10승 33패.

5연패에	5/SN+연패/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
오리온스는	오리온스/NNP+는/JX
10승	10/SN+승/NNB
33패.	33/SN+패/NNB+./SF


