# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.32
metadata : {}


# id : NWRW1800000032.32.1.1
7년만에 ‘다 바뀐’ SM7 /‘독주’ 그랜저에 도전장

7년만에	7/SN+년/NNB+만/NNB+에/JKB
종전(9.8㎞/ℓ)보다	종전/NNG+(/SS+9/SN+./SP+8/SN+㎞/SW+//SP+ℓ/SW+)/SS+보다/JKB
개선됐다.	개선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.32.4.4
또 동급 최초로 엔진의 순간 출력이 증가하고 가속 페달의 반응이 빨라지는 스포츠 모드 주행이 가능하도록 설계된 것도 특징이다.

또	또/MAG
동급	동급/NNG
최초로	최초/NNG+로/JKB
엔진의	엔진/NNG+의/JKG
순간	순간/NNG
출력이	출력/NNG+이/JKS
증가하고	증가/NNG+하/XSV+고/EC
가속	가속/NNG
페달의	페달/NNG+의/JKG
반응이	반응/NNG+이/JKS
빨라지는	빠르/VA+아/EC+지/VX+는/ETM
스포츠	스포츠/NNG
모드	모드/NNG
주행이	주행/NNG+이/JKS
가능하도록	가능/NNG+하/XSA+도록/EC
설계된	설계/NNG+되/XSV+ㄴ/ETM
것도	것/NNB+도/JX
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.32.4.5
이날 장마리 위르티제 르노삼성차 사장은 “올해 상반기 내수 시장에서 부침이 있었지만 곧 신차효과로 판매량을 안정화시킬 계획”이라며 “내년에는 전기차를 양산하고 향후 소형차도 라인업에 추가하기 위해 준비중”이라고 말했다.

이날	이날/NNG
장마리	장마리/NNP
위르티제	위르티제/NNP
르노삼성차	르노삼성차/NNP
사장은	사장/NNG+은/JX
“올해	“/SS+올해/NNG
상반기	상반기/NNG
내수	내수/NNG
시장에서	시장/NNG+에서/JKB
부침이	부침/NNG+이/JKS
있었지만	있/VA+었/EP+지만/EC
곧	곧/MAG
신차효과로	신차/NNG+효과/NNG+로/JKB
판매량을	판매량/NNG+을/JKO
안정화시킬	안정/NNG+화/XSN+시키/XSV+ㄹ/ETM
계획”이라며	계획/NNG+”/SS+이/VCP+라며/EC
“내년에는	“/SS+내년/NNG+에/JKB+는/JX
전기차를	전기/NNG+차/NNG+를/JKO
양산하고	양산/NNG+하/XSV+고/EC
향후	향후/NNG
소형차도	소형차/NNG+도/JX
라인업에	라인업/NNG+에/JKB
추가하기	추가/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
준비중”이라고	준비/NNG+중/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.32.5.1
업계의 관심은 새롭게 변신한 에스엠7이 신형 그랜저 돌풍을 과연 잠재울 수 있을지다.

업계의	업계/NNG+의/JKG
관심은	관심/NNG+은/JX
새롭게	새롭/VA+게/EC
변신한	변신/NNG+하/XSV+ㄴ/ETM
에스엠7이	에스엠7/NNP+이/JKS
신형	신형/NNG
그랜저	그랜저/NNP
돌풍을	돌풍/NNG+을/JKO
과연	과연/MAG
잠재울	잠재우/VV+ㄹ/ETM
수	수/NNB
있을지다.	있/VA+을지/EF+이/VCP+다/EF+./SF


# id : NWRW1800000032.32.5.2
준대형 동급인 그랜저는 올해 2~6월 연속 월 1만대 이상 판매량을 올리면서 인기몰이에 한창이다.

준대형	준/XPN+대형/NNG
동급인	동급/NNG+이/VCP+ㄴ/ETM
그랜저는	그랜저/NNP+는/JX
올해	올해/NNG
2~6월	2/SN+~/SO+6/SN+월/NNB
연속	연속/NNG
월	월/NNG
1만대	1/SN+만/NR+대/NNB
이상	이상/NNG
판매량을	판매량/NNG+을/JKO
올리면서	올리/VV+면서/EC
인기몰이에	인기몰이/NNG+에/JKB
한창이다.	한창/NNG+이/VCP+다/EF+./SF


